1 ; Balduvian Dead ; Summon Zombies 2/3 ; 3B ; Uncommon ; Mike Kimble ;  Alliances
34 ; Awesome Presence ; Enchant Creature ; U ; Common ; Lawrence Snelly ;  Alliances
35 ; Awesome Presence ; Enchant Creature ; U ; Common ; Lawrence Snelly ;  Alliances
36 ; Benthic Explorers ; Summon Merfolk 2/4 ; 3U ; Common ; Greg Simanson ;  Alliances
37 ; Benthic Explorers ; Summon Merfolk 2/4 ; 3U ; Common ; Greg Simanson ;  Alliances
38 ; Browse ; Enchantment ; 2UU ; Uncommon ; Phil Foglio ;  Alliances
39 ; Diminishing Returns ; Sorcery ; 2UU ; Rare ; L. A. Williams ;  Alliances
40 ; False Demise ; Enchant Creature ; 2U ; Common ; Randy Gallegos ;  Alliances
41 ; False Demise ; Enchant Creature ; 2U ; Common ; Randy Gallegos ;  Alliances
42 ; Force of Will ; Interrupt ; 3UU ; Uncommon ; Terese Nielsen ;  Alliances
43 ; Foresight ; Sorcery ; 1U ; Common ; Terese Nielsen ;  Alliances
44 ; Foresight ; Sorcery ; 1U ; Common ; Terese Nielsen ;  Alliances
45 ; Lat-Nam's Legacy ; Instant ; 1U ; Common ; Tom Wänerstrand ;  Alliances
46 ; Lat-Nam's Legacy ; Instant ; 1U ; Common ; Tom Wänerstrand ;  Alliances
47 ; Library of Lat-Nam ; Sorcery ; 4U ; Rare ; Alan Rabinowitz ;  Alliances
48 ; Phantasmal Sphere ; Summon Phantasm 0/1 ; 1U ; Rare ; Mark Tedin ;  Alliances
49 ; Soldevi Heretic ; Summon Heretic 2/2 ; 2U ; Common ; Mike Kimble ;  Alliances
50 ; Soldevi Heretic ; Summon Heretic 2/2 ; 2U ; Common ; Mike Kimble ;  Alliances
51 ; Soldevi Sage ; Summon Wizard 1/1 ; 1U ; Common ; Carol Heyer ;  Alliances
52 ; Soldevi Sage ; Summon Wizard 1/1 ; 1U ; Common ; Carol Heyer ;  Alliances
53 ; Spiny Starfish ; Summon Starfish 0/1 ; 2U ; Uncommon ; Alan Rabinowitz ;  Alliances
54 ; Storm Crow ; Summon Bird 1/2 ; 1U ; Common ; Sandra Everingham ;  Alliances
55 ; Storm Crow ; Summon Bird 1/2 ; 1U ; Common ; Sandra Everingham ;  Alliances
56 ; Storm Elemental ; Summon Elemental 3/4 ; 5U ; Uncommon ; John Matson ;  Alliances
57 ; Suffocation ; Instant ; 1U ; Uncommon ; L. A. Williams ;  Alliances
58 ; Thought Lash ; Enchantment ; 2UU ; Rare ; Mark Tedin ;  Alliances
59 ; Tidal Control ; Enchantment ; 1UU ; Rare ; Randy Gallegos ;  Alliances
60 ; Viscerid Armor ; Enchant Creature ; 1U ; Common ; Heather Hudson ;  Alliances
61 ; Viscerid Armor ; Enchant Creature ; 1U ; Common ; Heather Hudson ;  Alliances
62 ; Viscerid Drone ; Summon Homarid 1/2 ; 1U ; Uncommon ; Heather Hudson ;  Alliances
63 ; Bounty of the Hunt ; Instant ; 3GG ; Uncommon ; Jeff A. Menges ;  Alliances
64 ; Deadly Insect ; Summon Insect 6/1 ; 4G ; Common ; Scott Kirschner ;  Alliances
65 ; Deadly Insect ; Summon Insect 6/1 ; 4G ; Common ; Scott Kirschner ;  Alliances
66 ; Elvish Bard ; Summon Elf 2/4 ; 3GG ; Uncommon ; Susan Van Camp ;  Alliances
67 ; Elvish Ranger ; Summon Elf 4/1 ; 2G ; Common ; Terese Nielsen ;  Alliances
68 ; Elvish Ranger ; Summon Elf 4/1 ; 2G ; Common ; Terese Nielsen ;  Alliances
69 ; Elvish Spirit Guide ; Summon Spirit 2/2 ; 2G ; Uncommon ; Julie Baroh ;  Alliances
70 ; Fyndhorn Druid ; Summon Druid 2/2 ; 2G ; Common ; Rob Alexander ;  Alliances
71 ; Fyndhorn Druid ; Summon Druid 2/2 ; 2G ; Common ; Rob Alexander ;  Alliances
72 ; Gargantuan Gorilla ; Summon Gorilla 7/7 ; 4GGG ; Rare ; Greg Simanson ;  Alliances
73 ; Gift of the Woods ; Enchant Creature ; G ; Common ; Susan Van Camp ;  Alliances
74 ; Gift of the Woods ; Enchant Creature ; G ; Common ; Susan Van Camp ;  Alliances
75 ; Gorilla Berserkers ; Summon Gorillas 2/3 ; 3GG ; Common ; John Matson ;  Alliances
76 ; Gorilla Berserkers ; Summon Gorillas 2/3 ; 3GG ; Common ; John Matson ;  Alliances
77 ; Gorilla Chieftain ; Summon Gorilla 3/3 ; 2GG ; Common ; Quinton Hoover ;  Alliances
78 ; Gorilla Chieftain ; Summon Gorilla 3/3 ; 2GG ; Common ; Quinton Hoover ;  Alliances
79 ; Hail Storm ; Instant ; 1GG ; Uncommon ; Jeff A. Menges ;  Alliances
80 ; Kaysa ; Summon Legend 2/3 ; 3GG ; Rare ; Rebecca Guay ;  Alliances
81 ; Nature's Chosen ; Enchant Creature ; G ; Uncommon ; Rebecca Guay ;  Alliances
82 ; Nature's Wrath ; Enchantment ; 4GG ; Rare ; Liz Danforth ;  Alliances
83 ; Splintering Wind ; Enchantment ; 2GG ; Rare ; Ron Spencer ;  Alliances
84 ; Taste of Paradise ; Sorcery ; 3G ; Common ; Lawrence Snelly ;  Alliances
85 ; Taste of Paradise ; Sorcery ; 3G ; Common ; Lawrence Snelly ;  Alliances
86 ; Tornado ; Enchantment ; 4G ; Rare ; Susan Van Camp ;  Alliances
87 ; Undergrowth ; Instant ; G ; Common ; Pat Morrissey ;  Alliances
88 ; Undergrowth ; Instant ; G ; Common ; Pat Morrissey ;  Alliances
89 ; Whip Vine ; Summon Wall 1/4 ; 2G ; Common ; L. A. Williams ;  Alliances
90 ; Whip Vine ; Summon Wall 1/4 ; 2G ; Common ; L. A. Williams ;  Alliances
91 ; Yavimaya Ancients ; Summon Treefolk 2/7 ; 3GG ; Common ; Quinton Hoover ;  Alliances
92 ; Yavimaya Ancients ; Summon Treefolk 2/7 ; 3GG ; Common ; Quinton Hoover ;  Alliances
93 ; Yavimaya Ants ; Summon Swarm 5/1 ; 2GG ; Uncommon ; Pat Morrissey ;  Alliances
94 ; Agent of Stromgald ; Summon Knight 1/1 ; R ; Common ; Alan Rabinowitz ;  Alliances
95 ; Agent of Stromgald ; Summon Knight 1/1 ; R ; Common ; Alan Rabinowitz ;  Alliances
96 ; Balduvian Horde ; Summon Barbarians 5/5 ; 2RR ; Rare ; Brian Snoddy ;  Alliances
97 ; Balduvian War-Makers ; Summon Barbarians 3/3 ; 4R ; Common ; Mike Kimble ;  Alliances
98 ; Balduvian War-Makers ; Summon Barbarians 3/3 ; 4R ; Common ; Mike Kimble ;  Alliances
99 ; Bestial Fury ; Enchant Creature ; 2R ; Common ; Mike Raabe ;  Alliances
100 ; Bestial Fury ; Enchant Creature ; 2R ; Common ; Mike Raabe ;  Alliances
101 ; Burnout ; Interrupt ; 1R ; Uncommon ; Mike Raabe ;  Alliances
102 ; Chaos Harlequin ; Summon Harlequin 2/4 ; 2RR ; Rare ; Alan Rabinowitz ;  Alliances
103 ; Death Spark ; Instant ; R ; Uncommon ; Mark Tedin ;  Alliances
104 ; Enslaved Scout ; Summon Goblin 2/2 ; 2R ; Common ; Rebecca Guay ;  Alliances
105 ; Enslaved Scout ; Summon Goblin 2/2 ; 2R ; Common ; Rebecca Guay ;  Alliances
106 ; Gorilla Shaman ; Summon Gorilla 1/1 ; R ; Common ; Anthony Waters ;  Alliances
107 ; Gorilla Shaman ; Summon Gorilla 1/1 ; R ; Common ; Anthony Waters ;  Alliances
108 ; Gorilla War Cry ; Instant ; 1R ; Common ; Bryon Wackwitz ;  Alliances
109 ; Gorilla War Cry ; Instant ; 1R ; Common ; Bryon Wackwitz ;  Alliances
110 ; Guerrilla Tactics ; Instant ; 1R ; Common ; Randy Asplund-Faith ;  Alliances
111 ; Guerrilla Tactics ; Instant ; 1R ; Common ; Randy Asplund-Faith ;  Alliances
112 ; Omen of Fire ; Instant ; 3RR ; Rare ; Pete Venters ;  Alliances
113 ; Pillage ; Sorcery ; 1RR ; Uncommon ; Richard Kane Ferguson ;  Alliances
114 ; Primitive Justice ; Sorcery ; 1R ; Uncommon ; Anthony Waters ;  Alliances
115 ; Pyrokinesis ; Instant ; 4RR ; Uncommon ; Ron Spencer ;  Alliances
116 ; Rogue Skycaptain ; Summon Mercenary 3/4 ; 2R ; Rare ; Randy Asplund-Faith ;  Alliances
117 ; Soldier of Fortune ; Summon Mercenary 1/1 ; R ; Uncommon ; Douglas Shuler ;  Alliances
118 ; Storm Shaman ; Summon Cleric 0/4 ; 2R ; Common ; Carol Heyer ;  Alliances
119 ; Storm Shaman ; Summon Cleric 0/4 ; 2R ; Common ; Carol Heyer ;  Alliances
120 ; Varchild's Crusader ; Summon Knight 3/2 ; 3R ; Common ; Mark Poole ;  Alliances
121 ; Varchild's Crusader ; Summon Knight 3/2 ; 3R ; Common ; Mark Poole ;  Alliances
122 ; Varchild's War-Riders ; Summon War-Riders 3/4 ; 1R ; Rare ; Susan Van Camp ;  Alliances
123 ; Veteran's Voice ; Enchant Creature ; R ; Common ; Andi Rusu ;  Alliances
124 ; Veteran's Voice ; Enchant Creature ; R ; Common ; Andi Rusu ;  Alliances
125 ; Carrier Pigeons ; Summon Pigeons 1/1 ; 3W ; Common ; Pat Morrissey ;  Alliances
126 ; Carrier Pigeons ; Summon Pigeons 1/1 ; 3W ; Common ; Pat Morrissey ;  Alliances
127 ; Errand of Duty ; Instant ; 1W ; Common ; Julie Baroh ;  Alliances
128 ; Errand of Duty ; Instant ; 1W ; Common ; Julie Baroh ;  Alliances
129 ; Exile ; Instant ; 2W ; Rare ; Rob Alexander ;  Alliances
130 ; Inheritance ; Enchantment ; W ; Uncommon ; Kaja Foglio ;  Alliances
131 ; Ivory Gargoyle ; Summon Gargoyle 2/2 ; 4W ; Rare ; Quinton Hoover ;  Alliances
132 ; Juniper Order Advocate ; Summon Knight 1/2 ; 2W ; Uncommon ; Douglas Shuler ;  Alliances
133 ; Kjeldoran Escort ; Summon Soldier 2/3 ; 2WW ; Common ; Bryon Wackwitz ;  Alliances
134 ; Kjeldoran Escort ; Summon Soldier 2/3 ; 2WW ; Common ; Bryon Wackwitz ;  Alliances
135 ; Kjeldoran Home Guard ; Summon Soldier 1/6 ; 3W ; Uncommon ; Andi Rusu ;  Alliances
136 ; Kjeldoran Pride ; Enchant Creature ; 1W ; Common ; Kaja Foglio ;  Alliances
137 ; Kjeldoran Pride ; Enchant Creature ; 1W ; Common ; Kaja Foglio ;  Alliances
138 ; Martyrdom ; Instant ; 1WW ; Common ; Mark Poole ;  Alliances
139 ; Martyrdom ; Instant ; 1WW ; Common ; Mark Poole ;  Alliances
140 ; Noble Steeds ; Enchantment ; 2W ; Common ; Rebecca Guay ;  Alliances
141 ; Noble Steeds ; Enchantment ; 2W ; Common ; Rebecca Guay ;  Alliances
142 ; Reinforcements ; Instant ; W ; Common ; Diana Vick ;  Alliances
143 ; Reinforcements ; Instant ; W ; Common ; Diana Vick ;  Alliances
144 ; Reprisal ; Instant ; 1W ; Common ; Randy Asplund-Faith ;  Alliances
145 ; Reprisal ; Instant ; 1W ; Common ; Randy Asplund-Faith ;  Alliances
146 ; Royal Decree ; Enchantment ; 2WW ; Rare ; Pete Venters ;  Alliances
147 ; Royal Herbalist ; Summon Cleric 1/1 ; W ; Common ; Douglas Shuler ;  Alliances
148 ; Royal Herbalist ; Summon Cleric 1/1 ; W ; Common ; Douglas Shuler ;  Alliances
149 ; Scars of the Veteran ; Instant ; 4W ; Uncommon ; Dan Frazier ;  Alliances
150 ; Seasoned Tactician ; Summon Tactician 1/3 ; 2W ; Uncommon ; Dan Frazier ;  Alliances
151 ; Sustaining Spirit ; Summon Guardian 0/3 ; 1W ; Rare ; Rebecca Guay ;  Alliances
152 ; Sworn Defender ; Summon Knight 1/3 ; 2WW ; Rare ; D. Alexander Gregory ;  Alliances
153 ; Unlikely Alliance ; Enchantment ; 1W ; Uncommon ; Phil Foglio ;  Alliances
154 ; Wild Aesthir ; Summon Aesthir 1/1 ; 2W ; Common ; Greg Simanson ;  Alliances
155 ; Wild Aesthir ; Summon Aesthir 1/1 ; 2W ; Common ; Greg Simanson ;  Alliances
156 ; Aesthir Glider ; Artifact Creature 2/1 ; 3 ; Common ; Ruth Thompson ;  Alliances
157 ; Aesthir Glider ; Artifact Creature 2/1 ; 3 ; Common ; Ruth Thompson ;  Alliances
158 ; Ashnod's Cylix ; Artifact ; 2 ; Rare ; Nicola Leonard ;  Alliances
159 ; Astrolabe ; Artifact ; 3 ; Common ; Amy Weber ;  Alliances
160 ; Astrolabe ; Artifact ; 3 ; Common ; Amy Weber ;  Alliances
161 ; Floodwater Dam ; Artifact ; 3 ; Rare ; Randy Gallegos ;  Alliances
162 ; Gustha's Scepter ; Artifact ; 0 ; Rare ; Sandra Everingham ;  Alliances
163 ; Helm of Obedience ; Artifact ; 4 ; Rare ; Brian Snoddy ;  Alliances
164 ; Lodestone Bauble ; Artifact ; 0 ; Rare ; Douglas Shuler ;  Alliances
165 ; Mishra's Groundbreaker ; Artifact ; 4 ; Uncommon ; Randy Gallegos ;  Alliances
166 ; Mystic Compass ; Artifact ; 2 ; Uncommon ; Amy Weber ;  Alliances
167 ; Phyrexian Devourer ; Artifact Creature 1/1 ; 6 ; Rare ; Mark Tedin ;  Alliances
168 ; Phyrexian Portal ; Artifact ; 3 ; Rare ; Pete Venters ;  Alliances
169 ; Phyrexian War Beast ; Artifact Creature 3/4 ; 3 ; Common ; Bill Sienkiewicz ;  Alliances
170 ; Phyrexian War Beast ; Artifact Creature 3/4 ; 3 ; Common ; Bill Sienkiewicz ;  Alliances
171 ; Scarab of the Unseen ; Artifact ; 2 ; Uncommon ; Sandra Everingham ;  Alliances
172 ; Shield Sphere ; Artifact Creature 0/6 ; 0 ; Uncommon ; Alan Rabinowitz ;  Alliances
173 ; Sol Grail ; Artifact ; 3 ; Uncommon ; Christopher Rush ;  Alliances
174 ; Soldevi Digger ; Artifact ; 2 ; Rare ; Amy Weber ;  Alliances
175 ; Soldevi Sentry ; Artifact Creature 1/1 ; 1 ; Common ; Alan Rabinowitz ;  Alliances
176 ; Soldevi Sentry ; Artifact Creature 1/1 ; 1 ; Common ; Alan Rabinowitz ;  Alliances
177 ; Soldevi Steam Beast ; Artifact Creature 4/2 ; 5 ; Common ; Bill Sienkiewicz ;  Alliances
178 ; Soldevi Steam Beast ; Artifact Creature 4/2 ; 5 ; Common ; Bill Sienkiewicz ;  Alliances
179 ; Storm Cauldron ; Artifact ; 5 ; Rare ; Dan Frazier ;  Alliances
180 ; Urza's Engine ; Artifact Creature 1/5 ; 5 ; Uncommon ; Greg Simanson ;  Alliances
181 ; Whirling Catapult ; Artifact ; 4 ; Uncommon ; Dan Frazier ;  Alliances
182 ; Balduvian Trading Post ; Land ; ; Rare ; Tom Wänerstrand ;  Alliances
183 ; Heart of Yavimaya ; Land ; ; Rare ; Pete Venters ;  Alliances
184 ; Kjeldoran Outpost ; Land ; ; Rare ; Jeff A. Menges ;  Alliances
185 ; Lake of the Dead ; Land ; ; Rare ; Pete Venters ;  Alliances
186 ; School of the Unseen ; Land ; ; Uncommon ; Pat Morrissey ;  Alliances
187 ; Sheltered Valley ; Land ; ; Rare ; Rob Alexander ;  Alliances
188 ; Soldevi Excavations ; Land ; ; Rare ; Liz Danforth ;  Alliances
189 ; Thawing Glaciers ; Land ; ; Rare ; Jeff A. Menges ;  Alliances
190 ; Energy Arc ; Instant ; WU ; Uncommon ; Terese Nielsen ;  Alliances
191 ; Lim-Dul's Paladin ; Summon Paladin 0/3 ; 2BR ; Uncommon ; Christopher Rush ;  Alliances
192 ; Lim-Dul's Vault ; Instant ; UB ; Uncommon ; Rob Alexander ;  Alliances
193 ; Lord of Tresserhorn ; Summon Legend 10/4 ; 1UBR ; Rare ; Anson Maddocks ;  Alliances
194 ; Misfortune ; Sorcery ; 1BRG ; Rare ; Ron Spencer ;  Alliances
195 ; Nature's Blessing ; Enchantment ; 2WG ; Uncommon ; Sandra Everingham ;  Alliances
196 ; Phelddagrif ; Summon Legend 4/4 ; 1WUG ; Rare ; Amy Weber ;  Alliances
197 ; Surge of Strength ; Instant ; RG ; Uncommon ; Ruth Thompson ;  Alliances
198 ; Wandering Mage ; Summon Cleric 0/3 ; WUB ; Rare ; Pete Venters ;  Alliances
199 ; Winter's Night ; Enchant World ; WRG ; Rare ; Rob Alexander ;  Alliances
