1 ; Akrasan Squire ; Creature — Human Soldier 1/1 ; W ; Common ; Todd Lockwood ;  Shards of Alara
21 ; Ranger of Eos ; Creature — Human Soldier 3/2 ; 3W ; Rare ; Volkan Baga ;  Shards of Alara
22 ; Resounding Silence ; Instant ; 3W ; Common ; Mark Zug ;  Shards of Alara
23 ; Rockcaster Platoon ; Creature — Rhino Soldier 5/7 ; 5WW ; Uncommon ; David Palumbo ;  Shards of Alara
24 ; Sanctum Gargoyle ; Artifact Creature — Gargoyle 2/3 ; 3W ; Common ; Shelly Wan ;  Shards of Alara
25 ; Scourglass ; Artifact ; 3WW ; Rare ; Matt Cavotta ;  Shards of Alara
26 ; Sighted-Caste Sorcerer ; Creature — Human Wizard 1/1 ; 1W ; Common ; Chris Rahn ;  Shards of Alara
27 ; Sigiled Paladin ; Creature — Human Knight 2/2 ; WW ; Uncommon ; Greg Staples ;  Shards of Alara
28 ; Soul's Grace ; Instant ; 1W ; Common ; Christopher Moeller ;  Shards of Alara
29 ; Sunseed Nurturer ; Creature — Human Druid Wizard 1/1 ; 2W ; Uncommon ; Steve Argyle ;  Shards of Alara
30 ; Welkin Guide ; Creature — Bird Cleric 2/2 ; 4W ; Common ; David Palumbo ;  Shards of Alara
31 ; Yoked Plowbeast ; Creature — Beast 5/5 ; 5WW ; Common ; Steve Argyle ;  Shards of Alara
32 ; Call to Heel ; Instant ; 1U ; Common ; Randy Gallegos ;  Shards of Alara
33 ; Cancel ; Instant ; 1UU ; Common ; David Palumbo ;  Shards of Alara
34 ; Cathartic Adept ; Creature — Human Wizard 1/1 ; U ; Common ; Carl Critchlow ;  Shards of Alara
35 ; Cloudheath Drake ; Artifact Creature — Drake 3/3 ; 4U ; Common ; Izzy ;  Shards of Alara
36 ; Coma Veil ; Enchantment — Aura ; 4U ; Common ; Dan Scott ;  Shards of Alara
37 ; Courier's Capsule ; Artifact ; 1U ; Common ; Andrew Murray ;  Shards of Alara
38 ; Covenant of Minds ; Sorcery ; 4U ; Rare ; Dan Seagrave ;  Shards of Alara
39 ; Dawnray Archer ; Creature — Human Archer 1/1 ; 2U ; Uncommon ; Dan Dos Santos ;  Shards of Alara
40 ; Esper Battlemage ; Artifact Creature — Human Wizard 2/2 ; 2U ; Uncommon ; Matt Cavotta ;  Shards of Alara
41 ; Etherium Astrolabe ; Artifact ; 2U ; Uncommon ; Michael Bruinsma ;  Shards of Alara
42 ; Etherium Sculptor ; Artifact Creature — Vedalken Artificer 1/2 ; 1U ; Common ; Steven Belledin ;  Shards of Alara
43 ; Fatestitcher ; Creature — Zombie Wizard 1/2 ; 3U ; Uncommon ; E. M. Gist ;  Shards of Alara
44 ; Filigree Sages ; Artifact Creature — Vedalken Wizard 2/3 ; 3U ; Uncommon ; Dan Scott ;  Shards of Alara
45 ; Gather Specimens ; Instant ; 3UUU ; Rare ; Michael Bruinsma ;  Shards of Alara
46 ; Jhessian Lookout ; Creature — Human Scout 2/1 ; 1U ; Common ; Donato Giancola ;  Shards of Alara
47 ; Kathari Screecher ; Creature — Bird Soldier 2/2 ; 2U ; Common ; Pete Venters ;  Shards of Alara
48 ; Kederekt Leviathan ; Creature — Leviathan 5/5 ; 6UU ; Rare ; Mark Hyzer ;  Shards of Alara
49 ; Master of Etherium ; Artifact Creature — Vedalken Wizard */* ; 2U ; Rare ; Matt Cavotta ;  Shards of Alara
50 ; Memory Erosion ; Enchantment ; 1UU ; Rare ; Howard Lyon ;  Shards of Alara
51 ; Mindlock Orb ; Artifact ; 3U ; Rare ; rk post ;  Shards of Alara
52 ; Outrider of Jhess ; Creature — Human Knight 2/2 ; 3U ; Common ; Alan Pollack ;  Shards of Alara
53 ; Protomatter Powder ; Artifact ; 2U ; Uncommon ; Francis Tsai ;  Shards of Alara
54 ; Resounding Wave ; Instant ; 2U ; Common ; Izzy ;  Shards of Alara
55 ; Sharding Sphinx ; Artifact Creature — Sphinx 4/4 ; 4UU ; Rare ; Michael Bruinsma ;  Shards of Alara
56 ; Skill Borrower ; Artifact Creature — Human Wizard 1/3 ; 2U ; Rare ; Shelly Wan ;  Shards of Alara
57 ; Spell Snip ; Instant ; 2U ; Common ; Michael Sutfin ;  Shards of Alara
58 ; Sphinx's Herald ; Artifact Creature — Vedalken Wizard 1/1 ; U ; Uncommon ; Dan Scott ;  Shards of Alara
59 ; Steelclad Serpent ; Artifact Creature — Serpent 4/5 ; 5U ; Common ; Carl Critchlow ;  Shards of Alara
60 ; Tezzeret the Seeker ; Planeswalker — Tezzeret 4 ; 3UU ; Mythic Rare ; Anthony Francisco ;  Shards of Alara
61 ; Tortoise Formation ; Instant ; 3U ; Common ; Mark Zug ;  Shards of Alara
62 ; Vectis Silencers ; Artifact Creature — Human Rogue 1/2 ; 2U ; Common ; Steven Belledin ;  Shards of Alara
63 ; Ad Nauseam ; Instant ; 3BB ; Rare ; Jeremy Jarvis ;  Shards of Alara
64 ; Archdemon of Unx ; Creature — Demon 6/6 ; 5BB ; Rare ; Dave Allsop ;  Shards of Alara
65 ; Banewasp Affliction ; Enchantment — Aura ; 1B ; Common ; Dave Allsop ;  Shards of Alara
66 ; Blister Beetle ; Creature — Insect 1/1 ; 1B ; Common ; Anthony S. Waters ;  Shards of Alara
67 ; Bone Splinters ; Sorcery ; B ; Common ; Cole Eastburn ;  Shards of Alara
68 ; Corpse Connoisseur ; Creature — Zombie Wizard 3/3 ; 4B ; Uncommon ; Mark Hyzer ;  Shards of Alara
69 ; Cunning Lethemancer ; Creature — Human Wizard 2/2 ; 2B ; Rare ; Paul Bonner ;  Shards of Alara
70 ; Death Baron ; Creature — Zombie Wizard 2/2 ; 1BB ; Rare ; Nils Hamm ;  Shards of Alara
71 ; Deathgreeter ; Creature — Human Shaman 1/1 ; B ; Common ; Dominick Domingo ;  Shards of Alara
72 ; Demon's Herald ; Creature — Human Wizard 1/1 ; B ; Uncommon ; Karl Kopinski ;  Shards of Alara
73 ; Dreg Reaver ; Creature — Zombie Beast 4/3 ; 4B ; Common ; Thomas M. Baxa ;  Shards of Alara
74 ; Dregscape Zombie ; Creature — Zombie 2/1 ; 1B ; Common ; Lars Grant-West ;  Shards of Alara
75 ; Executioner's Capsule ; Artifact ; B ; Common ; Warren Mahy ;  Shards of Alara
76 ; Fleshbag Marauder ; Creature — Zombie Warrior 3/1 ; 2B ; Uncommon ; Pete Venters ;  Shards of Alara
77 ; Glaze Fiend ; Artifact Creature — Illusion 0/1 ; 1B ; Common ; Joshua Hagler ;  Shards of Alara
78 ; Grixis Battlemage ; Creature — Human Wizard 2/2 ; 2B ; Uncommon ; Nils Hamm ;  Shards of Alara
79 ; Immortal Coil ; Artifact ; 2BB ; Rare ; Dan Scott ;  Shards of Alara
80 ; Infest ; Sorcery ; 1BB ; Uncommon ; Karl Kopinski ;  Shards of Alara
81 ; Onyx Goblet ; Artifact ; 2B ; Common ; rk post ;  Shards of Alara
82 ; Puppet Conjurer ; Artifact Creature — Human Wizard 1/2 ; 1B ; Uncommon ; Steven Belledin ;  Shards of Alara
83 ; Resounding Scream ; Sorcery ; 2B ; Common ; Thomas M. Baxa ;  Shards of Alara
84 ; Salvage Titan ; Artifact Creature — Golem 6/4 ; 4BB ; Rare ; Anthony Francisco ;  Shards of Alara
85 ; Scavenger Drake ; Creature — Drake 1/1 ; 3B ; Uncommon ; Trevor Claxton ;  Shards of Alara
86 ; Shadowfeed ; Instant ; B ; Common ; Dave Kendall ;  Shards of Alara
87 ; Shore Snapper ; Creature — Beast 2/2 ; 2B ; Common ; Dave Kendall ;  Shards of Alara
88 ; Skeletal Kathari ; Creature — Bird Skeleton 3/2 ; 4B ; Common ; Carl Critchlow ;  Shards of Alara
89 ; Tar Fiend ; Creature — Elemental 4/4 ; 5B ; Rare ; Anthony S. Waters ;  Shards of Alara
90 ; Undead Leotau ; Creature — Zombie Cat 3/4 ; 5B ; Common ; Carl Critchlow ;  Shards of Alara
91 ; Vein Drinker ; Creature — Vampire 4/4 ; 4BB ; Rare ; Lars Grant-West ;  Shards of Alara
92 ; Viscera Dragger ; Creature — Zombie Ogre Warrior 3/3 ; 3B ; Common ; Ralph Horsley ;  Shards of Alara
93 ; Bloodpyre Elemental ; Creature — Elemental 4/1 ; 4R ; Common ; Trevor Claxton ;  Shards of Alara
94 ; Bloodthorn Taunter ; Creature — Human Scout 1/1 ; 1R ; Common ; Jesper Ejsing ;  Shards of Alara
95 ; Caldera Hellion ; Creature — Hellion 3/3 ; 3RR ; Rare ; Raymond Swanland ;  Shards of Alara
96 ; Crucible of Fire ; Enchantment ; 3R ; Rare ; Dominick Domingo ;  Shards of Alara
97 ; Dragon Fodder ; Sorcery ; 1R ; Common ; Jaime Jones ;  Shards of Alara
98 ; Dragon's Herald ; Creature — Goblin Shaman 1/1 ; R ; Uncommon ; Daarken ;  Shards of Alara
99 ; Exuberant Firestoker ; Creature — Human Druid Shaman 1/1 ; 2R ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Shards of Alara
100 ; Flameblast Dragon ; Creature — Dragon 5/5 ; 4RR ; Rare ; Jaime Jones ;  Shards of Alara
101 ; Goblin Assault ; Enchantment ; 2R ; Rare ; Jaime Jones ;  Shards of Alara
102 ; Goblin Mountaineer ; Creature — Goblin Scout 1/1 ; R ; Common ; Michael Ryan ;  Shards of Alara
103 ; Hell's Thunder ; Creature — Elemental 4/4 ; 1RR ; Rare ; Karl Kopinski ;  Shards of Alara
104 ; Hissing Iguanar ; Creature — Lizard 3/1 ; 2R ; Common ; Brandon Kitkouski ;  Shards of Alara
105 ; Incurable Ogre ; Creature — Ogre Mutant 5/1 ; 3R ; Common ; Carl Critchlow ;  Shards of Alara
106 ; Jund Battlemage ; Creature — Human Shaman 2/2 ; 2R ; Uncommon ; Vance Kovacs ;  Shards of Alara
107 ; Lightning Talons ; Enchantment — Aura ; 2R ; Common ; Pete Venters ;  Shards of Alara
108 ; Magma Spray ; Instant ; R ; Common ; Jarreau Wimberly ;  Shards of Alara
109 ; Predator Dragon ; Creature — Dragon 4/4 ; 3RRR ; Rare ; Raymond Swanland ;  Shards of Alara
110 ; Resounding Thunder ; Instant ; 2R ; Common ; Jon Foster ;  Shards of Alara
111 ; Ridge Rannet ; Creature — Beast 6/4 ; 5RR ; Common ; Jim Murray ;  Shards of Alara
112 ; Rockslide Elemental ; Creature — Elemental 1/1 ; 2R ; Uncommon ; Joshua Hagler ;  Shards of Alara
113 ; Scourge Devil ; Creature — Devil 3/3 ; 4R ; Uncommon ; Dave Kendall ;  Shards of Alara
114 ; Skeletonize ; Instant ; 4R ; Uncommon ; Karl Kopinski ;  Shards of Alara
115 ; Soul's Fire ; Instant ; 2R ; Common ; Wayne Reynolds ;  Shards of Alara
116 ; Thorn-Thrash Viashino ; Creature — Viashino Warrior 2/2 ; 3R ; Common ; Jon Foster ;  Shards of Alara
117 ; Thunder-Thrash Elder ; Creature — Viashino Warrior 1/1 ; 2R ; Uncommon ; Brandon Kitkouski ;  Shards of Alara
118 ; Viashino Skeleton ; Creature — Viashino Skeleton 2/1 ; 3R ; Common ; Cole Eastburn ;  Shards of Alara
119 ; Vicious Shadows ; Enchantment ; 6R ; Rare ; Joshua Hagler ;  Shards of Alara
120 ; Vithian Stinger ; Creature — Human Shaman 0/1 ; 2R ; Common ; Dave Kendall ;  Shards of Alara
121 ; Volcanic Submersion ; Sorcery ; 4R ; Common ; Trevor Claxton ;  Shards of Alara
122 ; Where Ancients Tread ; Enchantment ; 4R ; Rare ; Zoltan Boros & Gabor Szikszai ;  Shards of Alara
123 ; Algae Gharial ; Creature — Crocodile 1/1 ; 3G ; Uncommon ; Michael Ryan ;  Shards of Alara
124 ; Behemoth's Herald ; Creature — Elf Shaman 1/1 ; G ; Uncommon ; Parente ;  Shards of Alara
125 ; Cavern Thoctar ; Creature — Beast 5/5 ; 5G ; Common ; Jean-Sébastien Rossbach ;  Shards of Alara
126 ; Court Archers ; Creature — Human Archer 1/3 ; 2G ; Common ; Randy Gallegos ;  Shards of Alara
127 ; Cylian Elf ; Creature — Elf Scout 2/2 ; 1G ; Common ; Steve Prescott ;  Shards of Alara
128 ; Druid of the Anima ; Creature — Elf Druid 1/1 ; 1G ; Common ; Jim Murray ;  Shards of Alara
129 ; Drumhunter ; Creature — Human Druid Warrior 2/2 ; 3G ; Uncommon ; Jim Murray ;  Shards of Alara
130 ; Elvish Visionary ; Creature — Elf Shaman 1/1 ; 1G ; Common ; D. Alexander Gregory ;  Shards of Alara
131 ; Feral Hydra ; Creature — Hydra Beast 0/0 ; XG ; Rare ; Steve Prescott ;  Shards of Alara
132 ; Gift of the Gargantuan ; Sorcery ; 2G ; Common ; Jean-Sébastien Rossbach ;  Shards of Alara
133 ; Godtoucher ; Creature — Elf Cleric 2/2 ; 3G ; Common ; Jesper Ejsing ;  Shards of Alara
134 ; Jungle Weaver ; Creature — Spider 5/6 ; 5GG ; Common ; Trevor Hairsine ;  Shards of Alara
135 ; Keeper of Progenitus ; Creature — Elf Druid 1/3 ; 3G ; Rare ; Kev Walker ;  Shards of Alara
136 ; Lush Growth ; Enchantment — Aura ; G ; Common ; Jesper Ejsing ;  Shards of Alara
137 ; Mighty Emergence ; Enchantment ; 2G ; Uncommon ; Steve Prescott ;  Shards of Alara
138 ; Manaplasm ; Creature — Ooze 1/1 ; 2G ; Rare ; Daarken ;  Shards of Alara
139 ; Mosstodon ; Creature — Plant Elephant 5/3 ; 4G ; Common ; Parente ;  Shards of Alara
140 ; Mycoloth ; Creature — Fungus 4/4 ; 3GG ; Rare ; Raymond Swanland ;  Shards of Alara
141 ; Naturalize ; Instant ; 1G ; Common ; Trevor Hairsine ;  Shards of Alara
142 ; Naya Battlemage ; Creature — Human Shaman 2/2 ; 2G ; Uncommon ; Steve Argyle ;  Shards of Alara
143 ; Ooze Garden ; Enchantment ; 1G ; Rare ; Anthony S. Waters ;  Shards of Alara
144 ; Resounding Roar ; Instant ; 1G ; Common ; Steve Prescott ;  Shards of Alara
145 ; Rhox Charger ; Creature — Rhino Soldier 3/3 ; 3G ; Uncommon ; Chris Rahn ;  Shards of Alara
146 ; Sacellum Godspeaker ; Creature — Elf Druid 2/2 ; 2G ; Rare ; Wayne Reynolds ;  Shards of Alara
147 ; Savage Hunger ; Enchantment — Aura ; 2G ; Common ; Trevor Claxton ;  Shards of Alara
148 ; Skullmulcher ; Creature — Elemental 3/3 ; 4G ; Rare ; Michael Ryan ;  Shards of Alara
149 ; Soul's Might ; Sorcery ; 4G ; Common ; Kev Walker ;  Shards of Alara
150 ; Spearbreaker Behemoth ; Creature — Beast 5/5 ; 5GG ; Rare ; Christopher Moeller ;  Shards of Alara
151 ; Topan Ascetic ; Creature — Human Monk 2/2 ; 2G ; Uncommon ; Sal Villagran ;  Shards of Alara
152 ; Wild Nacatl ; Creature — Cat Warrior 1/1 ; G ; Common ; Wayne Reynolds ;  Shards of Alara
153 ; Agony Warp ; Instant ; UB ; Common ; Dave Allsop ;  Shards of Alara
154 ; Ajani Vengeant ; Planeswalker — Ajani 3 ; 2WR ; Mythic Rare ; Wayne Reynolds ;  Shards of Alara
155 ; Bant Charm ; Instant ; WUG ; Uncommon ; Randy Gallegos ;  Shards of Alara
156 ; Blightning ; Sorcery ; 1BR ; Common ; Thomas M. Baxa ;  Shards of Alara
157 ; Blood Cultist ; Creature — Human Wizard 1/1 ; 1BR ; Uncommon ; Karl Kopinski ;  Shards of Alara
158 ; Branching Bolt ; Instant ; 1RG ; Common ; Vance Kovacs ;  Shards of Alara
159 ; Brilliant Ultimatum ; Sorcery ; WWUUUBB ; Rare ; Anthony Francisco ;  Shards of Alara
160 ; Broodmate Dragon ; Creature — Dragon 4/4 ; 3BRG ; Rare ; Vance Kovacs ;  Shards of Alara
161 ; Bull Cerodon ; Creature — Beast 5/5 ; 4WR ; Uncommon ; Jesper Ejsing ;  Shards of Alara
162 ; Carrion Thrash ; Creature — Viashino Warrior 4/4 ; 2BRG ; Common ; Jaime Jones ;  Shards of Alara
163 ; Clarion Ultimatum ; Sorcery ; WWWUUGG ; Rare ; Michael Komarck ;  Shards of Alara
164 ; Cruel Ultimatum ; Sorcery ; UUBBBRR ; Rare ; Ralph Horsley ;  Shards of Alara
165 ; Deft Duelist ; Creature — Human Rogue 2/1 ; WU ; Common ; David Palumbo ;  Shards of Alara
166 ; Empyrial Archangel ; Creature — Angel 5/8 ; 4WWUG ; Mythic Rare ; Greg Staples ;  Shards of Alara
167 ; Esper Charm ; Instant ; WUB ; Uncommon ; Michael Bruinsma ;  Shards of Alara
168 ; Fire-Field Ogre ; Creature — Ogre Mutant 4/2 ; 1UBR ; Uncommon ; Mitch Cotie ;  Shards of Alara
169 ; Goblin Deathraiders ; Creature — Goblin Warrior 3/1 ; BR ; Common ; Raymond Swanland ;  Shards of Alara
170 ; Godsire ; Creature — Beast 8/8 ; 4WRGG ; Mythic Rare ; Jim Murray ;  Shards of Alara
171 ; Grixis Charm ; Instant ; UBR ; Uncommon ; Lars Grant-West ;  Shards of Alara
172 ; Hellkite Overlord ; Creature — Dragon 8/8 ; 4BRRG ; Mythic Rare ; Justin Sweet ;  Shards of Alara
173 ; Hindering Light ; Instant ; WU ; Common ; Chris Rahn ;  Shards of Alara
174 ; Jhessian Infiltrator ; Creature — Human Rogue 2/2 ; UG ; Uncommon ; Donato Giancola ;  Shards of Alara
175 ; Jund Charm ; Instant ; BRG ; Uncommon ; Brandon Kitkouski ;  Shards of Alara
176 ; Kederekt Creeper ; Creature — Horror 2/3 ; UBR ; Common ; Mark Hyzer ;  Shards of Alara
177 ; Kiss of the Amesha ; Sorcery ; 4WU ; Uncommon ; Todd Lockwood ;  Shards of Alara
178 ; Kresh the Bloodbraided ; Legendary Creature — Human Warrior 3/3 ; 2BRG ; Mythic Rare ; Raymond Swanland ;  Shards of Alara
179 ; Mayael the Anima ; Legendary Creature — Elf Shaman 2/3 ; WRG ; Mythic Rare ; Jason Chan ;  Shards of Alara
180 ; Naya Charm ; Instant ; WRG ; Uncommon ; Jesper Ejsing ;  Shards of Alara
181 ; Necrogenesis ; Enchantment ; BG ; Uncommon ; Trevor Claxton ;  Shards of Alara
182 ; Prince of Thralls ; Creature — Demon 7/7 ; 4UBBR ; Mythic Rare ; Paul Bonner ;  Shards of Alara
183 ; Punish Ignorance ; Instant ; WUUB ; Rare ; Shelly Wan ;  Shards of Alara
184 ; Qasali Ambusher ; Creature — Cat Warrior 2/3 ; 1WG ; Uncommon ; Kev Walker ;  Shards of Alara
185 ; Rafiq of the Many ; Legendary Creature — Human Knight 3/3 ; 1WUG ; Mythic Rare ; Michael Komarck ;  Shards of Alara
186 ; Rakeclaw Gargantuan ; Creature — Beast 5/3 ; 2WRG ; Common ; Jesper Ejsing ;  Shards of Alara
187 ; Realm Razer ; Creature — Beast 4/2 ; 3WRG ; Rare ; Hideaki Takamura ;  Shards of Alara
188 ; Rhox War Monk ; Creature — Rhino Monk 3/4 ; WUG ; Uncommon ; Dan Dos Santos ;  Shards of Alara
189 ; Rip-Clan Crasher ; Creature — Human Warrior 2/2 ; RG ; Common ; Justin Sweet ;  Shards of Alara
190 ; Sangrite Surge ; Sorcery ; 4RG ; Uncommon ; Jarreau Wimberly ;  Shards of Alara
191 ; Sarkhan Vol ; Planeswalker — Sarkhan 4 ; 2RG ; Mythic Rare ; Daarken ;  Shards of Alara
192 ; Sedraxis Specter ; Creature — Specter 3/2 ; UBR ; Rare ; Cole Eastburn ;  Shards of Alara
193 ; Sedris, the Traitor King ; Legendary Creature — Zombie Warrior 5/5 ; 3UBR ; Mythic Rare ; Paul Bonner ;  Shards of Alara
194 ; Sharuum the Hegemon ; Legendary Artifact Creature — Sphinx 5/5 ; 3WUB ; Mythic Rare ; Izzy ;  Shards of Alara
195 ; Sigil Blessing ; Instant ; WG ; Common ; Matt Stewart ;  Shards of Alara
196 ; Sphinx Sovereign ; Artifact Creature — Sphinx 6/6 ; 4WUUB ; Mythic Rare ; Chippy ;  Shards of Alara
197 ; Sprouting Thrinax ; Creature — Lizard 3/3 ; BRG ; Uncommon ; Jarreau Wimberly ;  Shards of Alara
198 ; Steward of Valeron ; Creature — Human Druid Knight 2/2 ; WG ; Common ; Greg Staples ;  Shards of Alara
199 ; Stoic Angel ; Creature — Angel 3/4 ; 1WUG ; Rare ; Volkan Baga ;  Shards of Alara
200 ; Swerve ; Instant ; UR ; Uncommon ; Karl Kopinski ;  Shards of Alara
201 ; Thoughtcutter Agent ; Artifact Creature — Human Rogue 1/1 ; UB ; Uncommon ; Cyril Van Der Haegen ;  Shards of Alara
202 ; Tidehollow Sculler ; Artifact Creature — Zombie 2/2 ; WB ; Uncommon ; rk post ;  Shards of Alara
203 ; Tidehollow Strix ; Artifact Creature — Bird 2/1 ; UB ; Common ; Cyril Van Der Haegen ;  Shards of Alara
204 ; Titanic Ultimatum ; Sorcery ; WWRRGGG ; Rare ; Steve Prescott ;  Shards of Alara
205 ; Tower Gargoyle ; Artifact Creature — Gargoyle 4/4 ; 1WUB ; Uncommon ; Matt Cavotta ;  Shards of Alara
206 ; Violent Ultimatum ; Sorcery ; BBRRRGG ; Rare ; Raymond Swanland ;  Shards of Alara
207 ; Waveskimmer Aven ; Creature — Bird Soldier 2/4 ; 2WUG ; Common ; Mark Zug ;  Shards of Alara
208 ; Windwright Mage ; Artifact Creature — Human Wizard 2/2 ; WUB ; Common ; Chippy ;  Shards of Alara
209 ; Woolly Thoctar ; Creature — Beast 5/4 ; WRG ; Uncommon ; Wayne Reynolds ;  Shards of Alara
210 ; Lich's Mirror ; Artifact ; 5 ; Mythic Rare ; Ash Wood ;  Shards of Alara
211 ; Minion Reflector ; Artifact ; 5 ; Rare ; Mark Tedin ;  Shards of Alara
212 ; Obelisk of Bant ; Artifact ; 3 ; Common ; David Palumbo ;  Shards of Alara
213 ; Obelisk of Esper ; Artifact ; 3 ; Common ; Francis Tsai ;  Shards of Alara
214 ; Obelisk of Grixis ; Artifact ; 3 ; Common ; Nils Hamm ;  Shards of Alara
215 ; Obelisk of Jund ; Artifact ; 3 ; Common ; Brandon Kitkouski ;  Shards of Alara
216 ; Obelisk of Naya ; Artifact ; 3 ; Common ; Steve Prescott ;  Shards of Alara
217 ; Quietus Spike ; Artifact — Equipment ; 3 ; Rare ; Mark Brill ;  Shards of Alara
218 ; Relic of Progenitus ; Artifact ; 1 ; Common ; Jean-Sébastien Rossbach ;  Shards of Alara
219 ; Sigil of Distinction ; Artifact — Equipment ; X ; Rare ; Alan Pollack ;  Shards of Alara
220 ; Arcane Sanctum ; Land ; ; Uncommon ; Anthony Francisco ;  Shards of Alara
221 ; Bant Panorama ; Land ; ; Common ; Donato Giancola ;  Shards of Alara
222 ; Crumbling Necropolis ; Land ; ; Uncommon ; Dave Kendall ;  Shards of Alara
223 ; Esper Panorama ; Land ; ; Common ; Franz Vohwinkel ;  Shards of Alara
224 ; Grixis Panorama ; Land ; ; Common ; Nils Hamm ;  Shards of Alara
225 ; Jund Panorama ; Land ; ; Common ; Jaime Jones ;  Shards of Alara
226 ; Jungle Shrine ; Land ; ; Uncommon ; Wayne Reynolds ;  Shards of Alara
227 ; Naya Panorama ; Land ; ; Common ; Hideaki Takamura ;  Shards of Alara
228 ; Savage Lands ; Land ; ; Uncommon ; Vance Kovacs ;  Shards of Alara
229 ; Seaside Citadel ; Land ; ; Uncommon ; Volkan Baga ;  Shards of Alara
230 ; Plains ; Basic Land — Plains ; ; Land ; Zoltan Boros & Gabor Szikszai ;  Shards of Alara
231 ; Plains ; Basic Land — Plains ; ; Land ; Michael Komarck ;  Shards of Alara
232 ; Plains ; Basic Land — Plains ; ; Land ; Michael Komarck ;  Shards of Alara
233 ; Plains ; Basic Land — Plains ; ; Land ; Chippy ;  Shards of Alara
234 ; Island ; Basic Land — Island ; ; Land ; Michael Komarck ;  Shards of Alara
235 ; Island ; Basic Land — Island ; ; Land ; Chippy ;  Shards of Alara
236 ; Island ; Basic Land — Island ; ; Land ; Chippy ;  Shards of Alara
237 ; Island ; Basic Land — Island ; ; Land ; Mark Tedin ;  Shards of Alara
238 ; Swamp ; Basic Land — Swamp ; ; Land ; Chippy ;  Shards of Alara
239 ; Swamp ; Basic Land — Swamp ; ; Land ; Mark Tedin ;  Shards of Alara
240 ; Swamp ; Basic Land — Swamp ; ; Land ; Mark Tedin ;  Shards of Alara
241 ; Swamp ; Basic Land — Swamp ; ; Land ; Aleksi Briclot ;  Shards of Alara
242 ; Mountain ; Basic Land — Mountain ; ; Land ; Mark Tedin ;  Shards of Alara
243 ; Mountain ; Basic Land — Mountain ; ; Land ; Aleksi Briclot ;  Shards of Alara
244 ; Mountain ; Basic Land — Mountain ; ; Land ; Aleksi Briclot ;  Shards of Alara
245 ; Mountain ; Basic Land — Mountain ; ; Land ; Zoltan Boros & Gabor Szikszai ;  Shards of Alara
246 ; Forest ; Basic Land — Forest ; ; Land ; Aleksi Briclot ;  Shards of Alara
247 ; Forest ; Basic Land — Forest ; ; Land ; Zoltan Boros & Gabor Szikszai ;  Shards of Alara
248 ; Forest ; Basic Land — Forest ; ; Land ; Zoltan Boros & Gabor Szikszai ;  Shards of Alara
249 ; Forest ; Basic Land — Forest ; ; Land ; Michael Komarck ;  Shards of Alara
