1 ; Ather Shockwave ; Instant ; 3W ; Uncommon ; Stephen Tappin ;  Saviors of Kamigawa
74 ; Kagemaro's Clutch ; Enchant Creature ; 3B ; Common ; Pat Lee ;  Saviors of Kamigawa
75 ; Kami of Empty Graves ; Creature - Spirit 4/1 ; 3B ; Common ; Greg Hildebrandt ;  Saviors of Kamigawa
76 ; Kemuri-Onna ; Creature - Spirit 3/3 ; 4B ; Uncommon ; Ittoku ;  Saviors of Kamigawa
77 ; Kiku's Shadow ; Sorcery ; BB ; Uncommon ; Pete Venters ;  Saviors of Kamigawa
78 ; Kuon, Ogre Ascendant ; Legendary Creature - Ogre Monk 2/4 ; BBB ; Rare ; Hideaki Takamura ;  Saviors of Kamigawa
79 ; Kuro's Taken ; Creature - Rat Samurai 1/1 ; 1B ; Common ; Puddnhead ;  Saviors of Kamigawa
80 ; Locust Miser ; Creature - Rat Shaman 2/2 ; 2BB ; Uncommon ; Alan Pollack ;  Saviors of Kamigawa
81 ; Maga, Traitor to Mortals ; Legendary Creature - Human Wizard 0/0 ; XBBB ; Rare ; Jim Murray ;  Saviors of Kamigawa
82 ; Measure of Wickedness ; Enchantment ; 3B ; Uncommon ; Daren Bader ;  Saviors of Kamigawa
83 ; Neverending Torment ; Sorcery ; 4BB ; Rare ; Thomas Gianni ;  Saviors of Kamigawa
84 ; One with Nothing ; Instant ; B ; Rare ; Jim Nelson ;  Saviors of Kamigawa
85 ; Pain's Reward ; Sorcery ; 2B ; Rare ; Matt Cavotta ;  Saviors of Kamigawa
86 ; Raving Oni-Slave ; Creature - Ogre Warrior 3/3 ; 1B ; Common ; Eric Polak ;  Saviors of Kamigawa
87 ; Razorjaw Oni ; Creature - Demon Spirit 4/5 ; 3B ; Uncommon ; Carl Critchlow ;  Saviors of Kamigawa
88 ; Shinen of Fear's Chill ; Creature - Spirit 3/2 ; 4B ; Common ; Darrell Riche ;  Saviors of Kamigawa
89 ; Sink into Takenuma ; Sorcery - Arcane ; 3B ; Common ; Pat Lee ;  Saviors of Kamigawa
90 ; Skull Collector ; Creature - Ogre Warrior 3/3 ; 1BB ; Uncommon ; Thomas M. Baxa ;  Saviors of Kamigawa
91 ; Adamaro, First to Desire ; Legendary Creature - Spirit */* ; 1RR ; Rare ; Paolo Parente ;  Saviors of Kamigawa
92 ; Akki Drillmaster ; Creature - Goblin Shaman 2/2 ; 2R ; Common ; Alan Pollack ;  Saviors of Kamigawa
93 ; Akki Underling ; Creature - Goblin Warrior 2/1 ; 1R ; Common ; Franz Vohwinkel ;  Saviors of Kamigawa
94 ; Barrel Down Sokenzan ; Instant - Arcane ; 2R ; Common ; Greg Staples ;  Saviors of Kamigawa
95 ; Burning-Eye Zubera ; Creature - Zubera Spirit 3/3 ; 2RR ; Uncommon ; Anthony S. Waters ;  Saviors of Kamigawa
96 ; Captive Flame ; Enchantment ; 2R ; Uncommon ; Keith Garletts ;  Saviors of Kamigawa
97 ; Feral Lightning ; Sorcery ; 3RRR ; Uncommon ; Chippy ;  Saviors of Kamigawa
98 ; Gaze of Adamaro ; Instant - Arcane ; 2RR ; Uncommon ; Paolo Parente ;  Saviors of Kamigawa
99 ; Ghost-Lit Raider ; Creature - Spirit 2/1 ; 2R ; Uncommon ; Ittoku ;  Saviors of Kamigawa
100 ; Glitterfang ; Creature - Spirit 1/1 ; R ; Common ; Ron Spencer ;  Saviors of Kamigawa
101 ; Godo's Irregulars ; Creature - Human Warrior 1/1 ; R ; Uncommon ; Tim Hildebrandt ;  Saviors of Kamigawa
102 ; Hidetsugu's Second Rite ; Instant ; 3R ; Rare ; Jeff Miracola ;  Saviors of Kamigawa
103 ; Homura, Human Ascendant ; Legendary Creature - Human Monk 4/4 ; 4RR ; Rare ; Kev Walker ;  Saviors of Kamigawa
104 ; Iizuka the Ruthless ; Legendary Creature - Human Samurai 3/3 ; 3RR ; Rare ; Darrell Riche ;  Saviors of Kamigawa
105 ; Inner Fire ; Sorcery ; 3R ; Common ; Christopher Moeller ;  Saviors of Kamigawa
106 ; Into the Fray ; Instant - Arcane ; R ; Common ; Paolo Parente ;  Saviors of Kamigawa
107 ; Jiwari, the Earth Aflame ; Legendary Creature - Spirit 3/3 ; 3RR ; Rare ; Adam Rex ;  Saviors of Kamigawa
108 ; Oni of Wild Places ; Creature - Demon Spirit 6/5 ; 5R ; Uncommon ; Mark Tedin ;  Saviors of Kamigawa
109 ; Path of Anger's Flame ; Instant - Arcane ; 2R ; Common ; Pat Lee ;  Saviors of Kamigawa
110 ; Rally the Horde ; Sorcery ; 5R ; Rare ; Paolo Parente ;  Saviors of Kamigawa
111 ; Ronin Cavekeeper ; Creature - Human Samurai 4/3 ; 5R ; Common ; Paolo Parente ;  Saviors of Kamigawa
112 ; Shinen of Fury's Fire ; Creature - Spirit 2/1 ; 2R ; Common ; Dan Frazier ;  Saviors of Kamigawa
113 ; Skyfire Kirin ; Legendary Creature - Kirin Spirit 3/3 ; 2RR ; Rare ; Tsutomu Kawade ;  Saviors of Kamigawa
114 ; Sokenzan Renegade ; Creature - Ogre Samurai Mercenary 3/3 ; 2R ; Uncommon ; Alan Pollack ;  Saviors of Kamigawa
115 ; Sokenzan Spellblade ; Creature - Ogre Samurai Shaman 2/3 ; 4R ; Common ; Carl Critchlow ;  Saviors of Kamigawa
116 ; Spiraling Embers ; Sorcery - Arcane ; 3R ; Common ; Chippy ;  Saviors of Kamigawa
117 ; Sunder from Within ; Sorcery - Arcane ; 2RR ; Uncommon ; Jeff Miracola ;  Saviors of Kamigawa
118 ; Thoughts of Ruin ; Sorcery ; 2RR ; Rare ; John Avon ;  Saviors of Kamigawa
119 ; Undying Flames ; Sorcery ; 4RR ; Rare ; Tsutomu Kawade ;  Saviors of Kamigawa
120 ; Yuki-Onna ; Creature - Spirit 3/1 ; 3R ; Uncommon ; Hideaki Takamura ;  Saviors of Kamigawa
121 ; Arashi, the Sky Asunder ; Legendary Creature - Spirit 5/5 ; 3GG ; Rare ; Kev Walker ;  Saviors of Kamigawa
122 ; Ayumi, the Last Visitor ; Legendary Creature - Spirit 7/3 ; 3GG ; Rare ; rk post ;  Saviors of Kamigawa
123 ; Bounteous Kirin ; Legendary Creature - Kirin Spirit 4/4 ; 5GG ; Rare ; Shishizaru ;  Saviors of Kamigawa
124 ; Briarknit Kami ; Creature - Spirit 3/3 ; 3GG ; Uncommon ; Brian Despain ;  Saviors of Kamigawa
125 ; Dense Canopy ; Enchantment ; 1G ; Uncommon ; Luca Zontini ;  Saviors of Kamigawa
126 ; Descendant of Masumaro ; Creature - Human Monk 1/1 ; 2G ; Uncommon ; Rob Alexander ;  Saviors of Kamigawa
127 ; Dosan's Oldest Chant ; Sorcery ; 4G ; Common ; Tim Hildebrandt ;  Saviors of Kamigawa
128 ; Elder Pine of Jukai ; Creature - Spirit 2/1 ; 2G ; Common ; Alan Pollack ;  Saviors of Kamigawa
129 ; Endless Swarm ; Sorcery ; 5GGG ; Rare ; Jeremy Jarvis ;  Saviors of Kamigawa
130 ; Fiddlehead Kami ; Creature - Spirit 3/3 ; 4G ; Common ; Rebecca Guay ;  Saviors of Kamigawa
131 ; Ghost-Lit Nourisher ; Creature - Spirit 2/1 ; 2G ; Uncommon ; Tsutomu Kawade ;  Saviors of Kamigawa
132 ; Haru-Onna ; Creature - Spirit 2/1 ; 3G ; Uncommon ; Rebecca Guay ;  Saviors of Kamigawa
133 ; Inner Calm, Outer Strength ; Instant - Arcane ; 2G ; Common ; Stephen Tappin ;  Saviors of Kamigawa
134 ; Kami of the Tended Garden ; Creature - Spirit 4/4 ; 3G ; Uncommon ; Thomas M. Baxa ;  Saviors of Kamigawa
135 ; Kashi-Tribe Elite ; Creature - Snake Warrior 2/3 ; 1GG ; Uncommon ; Ben Thompson ;  Saviors of Kamigawa
136 ; Masumaro, First to Live ; Legendary Creature - Spirit */* ; 3GGG ; Rare ; Adam Rex ;  Saviors of Kamigawa
137 ; Matsu-Tribe Birdstalker ; Creature - Snake Warrior Archer 2/2 ; 2GG ; Common ; Heather Hudson ;  Saviors of Kamigawa
138 ; Molting Skin ; Enchantment ; 2G ; Uncommon ; Jeremy Jarvis ;  Saviors of Kamigawa
139 ; Nightsoil Kami ; Creature - Spirit 6/4 ; 4GG ; Common ; Jim Nelson ;  Saviors of Kamigawa
140 ; Okina Nightwatch ; Creature - Human Monk 4/3 ; 4G ; Common ; Heather Hudson ;  Saviors of Kamigawa
141 ; Promised Kannushi ; Creature - Human Druid 1/1 ; G ; Common ; Matt Thompson ;  Saviors of Kamigawa
142 ; Reki, the History of Kamigawa ; Legendary Creature - Human Shaman 1/2 ; 2G ; Rare ; Edward P. Beard, Jr. ;  Saviors of Kamigawa
143 ; Rending Vines ; Instant - Arcane ; 1GG ; Common ; Dan Frazier ;  Saviors of Kamigawa
144 ; Sakura-Tribe Scout ; Creature - Snake Shaman Scout 1/1 ; G ; Common ; Darrell Riche ;  Saviors of Kamigawa
145 ; Sasaya, Orochi Ascendant ; Legendary Creature - Snake Monk 2/3 ; 1GG ; Rare ; Christopher Moeller ;  Saviors of Kamigawa
146 ; Seed the Land ; Enchantment ; 2GG ; Rare ; Anthony S. Waters ;  Saviors of Kamigawa
147 ; Seek the Horizon ; Sorcery ; 3G ; Uncommon ; Eric Polak ;  Saviors of Kamigawa
148 ; Sekki, Seasons' Guide ; Legendary Creature - Spirit 0/0 ; 5GGG ; Rare ; Kev Walker ;  Saviors of Kamigawa
149 ; Shinen of Life's Roar ; Creature - Spirit 1/2 ; 1G ; Common ; Matt Cavotta ;  Saviors of Kamigawa
150 ; Stampeding Serow ; Creature - Beast 5/4 ; 2GG ; Uncommon ; Edward P. Beard, Jr. ;  Saviors of Kamigawa
151 ; Iname as One ; Legendary Creature - Spirit 8/8 ; 8BBGG ; Rare ; Stephen Tappin ;  Saviors of Kamigawa
152 ; Ashes of the Fallen ; Artifact ; 2 ; Rare ; Dan Frazier ;  Saviors of Kamigawa
153 ; Blood Clock ; Artifact ; 4 ; Rare ; Keith Garletts ;  Saviors of Kamigawa
154 ; Ebony Owl Netsuke ; Artifact ; 2 ; Uncommon ; Tim Hildebrandt ;  Saviors of Kamigawa
155 ; Ivory Crane Netsuke ; Artifact ; 2 ; Uncommon ; Greg Hildebrandt ;  Saviors of Kamigawa
156 ; Manriki-Gusari ; Artifact - Equipment ; 2 ; Uncommon ; Thomas Gianni ;  Saviors of Kamigawa
157 ; O-Naginata ; Artifact - Equipment ; 1 ; Uncommon ; Brian Snoddy ;  Saviors of Kamigawa
158 ; Pithing Needle ; Artifact ; 1 ; Rare ; Pete Venters ;  Saviors of Kamigawa
159 ; Scroll of Origins ; Artifact ; 2 ; Rare ; Dany Orizio ;  Saviors of Kamigawa
160 ; Soratami Cloud Chariot ; Artifact ; 5 ; Uncommon ; Franz Vohwinkel ;  Saviors of Kamigawa
161 ; Wine of Blood and Iron ; Artifact ; 3 ; Rare ; Luca Zontini ;  Saviors of Kamigawa
162 ; Mikokoro, Center of the Sea ; Legendary Land ; ; Rare ; John Avon ;  Saviors of Kamigawa
163 ; Miren, the Moaning Well ; Legendary Land ; ; Rare ; Rob Alexander ;  Saviors of Kamigawa
164 ; Oboro, Palace in the Clouds ; Legendary Land ; ; Rare ; Rob Alexander ;  Saviors of Kamigawa
165 ; Tomb of Urami ; Legendary Land ; ; Rare ; Alex Horley-Orlandelli ;  Saviors of Kamigawa
166 ; Rune-Tail's Essence ; Legendary Enchantment ; 2W ; Rare ; Randy Gallegos ;  Saviors of Kamigawa
167 ; Erayo's Essence ; Legendary Enchantment ; 1U ; Rare ; Matt Cavotta ;  Saviors of Kamigawa
168 ; Kuon's Essence ; Legendary Enchantment ; BBB ; Rare ; Hideaki Takamura ;  Saviors of Kamigawa
169 ; Homura's Essence ; Legendary Enchantment ; 4RR ; Rare ; Kev Walker ;  Saviors of Kamigawa
170 ; Sasaya's Essence ; Legendary Enchantment ; 1GG ; Rare ; Christopher Moeller ;  Saviors of Kamigawa
