1 ; All Is Dust ; Tribal Sorcery - Eldrazi ; 7 ; Mythic Rare ; Jason Felix ;  Rise of the Eldrazi
77 ; Merfolk Skyscout ; Creature - Merfolk Scout 2/3 ; 2UU ; Uncommon ; rk post ;  Rise of the Eldrazi
78 ; Mnemonic Wall ; Creature - Wall 0/4 ; 4U ; Common ; Vance Kovacs ;  Rise of the Eldrazi
79 ; Narcolepsy ; Enchantment - Aura ; 1U ; Common ; Johann Bodin ;  Rise of the Eldrazi
80 ; Phantasmal Abomination ; Creature - Illusion 5/5 ; 1UU ; Uncommon ; Goran Josic ;  Rise of the Eldrazi
81 ; Reality Spasm ; Instant ; XUU ; Uncommon ; Jason Felix ;  Rise of the Eldrazi
82 ; Recurring Insight ; Sorcery ; 4UU ; Rare ; Zoltan Boros & Gabor Szikszai ;  Rise of the Eldrazi
83 ; Regress ; Instant ; 2U ; Common ; Izzy ;  Rise of the Eldrazi
84 ; Renegade Doppelganger ; Creature - Shapeshifter 0/1 ; 1U ; Rare ; James Ryman ;  Rise of the Eldrazi
85 ; Sea Gate Oracle ; Creature - Human Wizard 1/3 ; 2U ; Common ; Daniel Ljunggren ;  Rise of the Eldrazi
86 ; See Beyond ; Sorcery ; 1U ; Common ; Andrew Robinson ;  Rise of the Eldrazi
87 ; Shared Discovery ; Sorcery ; U ; Common ; Ryan Pancoast ;  Rise of the Eldrazi
88 ; Skywatcher Adept ; Creature - Merfolk Wizard 1/1 ; U ; Common ; Tomasz Jedruszek ;  Rise of the Eldrazi
89 ; Sphinx of Magosi ; Creature - Sphinx 6/6 ; 3UUU ; Rare ; James Ryman ;  Rise of the Eldrazi
90 ; Surrakar Spellblade ; Creature - Surrakar 2/1 ; 1UU ; Rare ; Dave Kendall ;  Rise of the Eldrazi
91 ; Training Grounds ; Enchantment ; U ; Rare ; James Ryman ;  Rise of the Eldrazi
92 ; Unified Will ; Instant ; 1U ; Uncommon ; Matt Cavotta ;  Rise of the Eldrazi
93 ; Venerated Teacher ; Creature - Human Wizard 2/2 ; 2U ; Common ; Greg Staples ;  Rise of the Eldrazi
94 ; Arrogant Bloodlord ; Creature - Vampire Knight 4/4 ; 1BB ; Uncommon ; Mike Bierek ;  Rise of the Eldrazi
95 ; Bala Ged Scorpion ; Creature - Scorpion 2/3 ; 3B ; Common ; Daarken ;  Rise of the Eldrazi
96 ; Baneful Omen ; Enchantment ; 4BBB ; Rare ; Karl Kopinski ;  Rise of the Eldrazi
97 ; Bloodrite Invoker ; Creature - Vampire Shaman 3/1 ; 2B ; Common ; Svetlin Velinov ;  Rise of the Eldrazi
98 ; Bloodthrone Vampire ; Creature - Vampire 1/1 ; 1B ; Common ; Steve Argyle ;  Rise of the Eldrazi
99 ; Cadaver Imp ; Creature - Imp 1/1 ; 1BB ; Common ; Dave Kendall ;  Rise of the Eldrazi
100 ; Consume the Meek ; Instant ; 3BB ; Rare ; Chippy ;  Rise of the Eldrazi
101 ; Consuming Vapors ; Sorcery ; 3B ; Rare ; Trevor Claxton ;  Rise of the Eldrazi
102 ; Contaminated Ground ; Enchantment - Aura ; 1B ; Common ; Rob Alexander ;  Rise of the Eldrazi
103 ; Corpsehatch ; Sorcery ; 3BB ; Uncommon ; Kekai Kotaki ;  Rise of the Eldrazi
104 ; Curse of Wizardry ; Enchantment ; 2BB ; Uncommon ; Kekai Kotaki ;  Rise of the Eldrazi
105 ; Death Cultist ; Creature - Human Wizard 1/1 ; B ; Common ; Igor Kieryluk ;  Rise of the Eldrazi
106 ; Demonic Appetite ; Enchantment - Aura ; B ; Common ; Igor Kieryluk ;  Rise of the Eldrazi
107 ; Drana, Kalastria Bloodchief ; Legendary Creature - Vampire Shaman 4/4 ; 3BB ; Rare ; Mike Bierek ;  Rise of the Eldrazi
108 ; Dread Drone ; Creature - Eldrazi Drone 4/1 ; 4B ; Common ; Raymond Swanland ;  Rise of the Eldrazi
109 ; Escaped Null ; Creature - Zombie Berserker 1/2 ; 3B ; Uncommon ; Ryan Pancoast ;  Rise of the Eldrazi
110 ; Essence Feed ; Sorcery ; 5B ; Common ; Daarken ;  Rise of the Eldrazi
111 ; Gloomhunter ; Creature - Bat 2/1 ; 2B ; Common ; Lars Grant-West ;  Rise of the Eldrazi
112 ; Guul Draz Assassin ; Creature - Vampire Assassin 1/1 ; B ; Rare ; James Ryman ;  Rise of the Eldrazi
113 ; Hellcarver Demon ; Creature - Demon 6/6 ; 3BBB ; Mythic Rare ; Greg Staples ;  Rise of the Eldrazi
114 ; Induce Despair ; Instant ; 2B ; Common ; Igor Kieryluk ;  Rise of the Eldrazi
115 ; Inquisition of Kozilek ; Sorcery ; B ; Uncommon ; Tomasz Jedruszek ;  Rise of the Eldrazi
116 ; Last Kiss ; Instant ; 2B ; Common ; Vance Kovacs ;  Rise of the Eldrazi
117 ; Mortician Beetle ; Creature - Insect 1/1 ; B ; Rare ; Lars Grant-West ;  Rise of the Eldrazi
118 ; Nighthaze ; Sorcery ; B ; Common ; Tomasz Jedruszek ;  Rise of the Eldrazi
119 ; Nirkana Cutthroat ; Creature - Vampire Warrior 3/2 ; 2B ; Uncommon ; Erica Yang ;  Rise of the Eldrazi
120 ; Nirkana Revenant ; Creature - Vampire Shade 4/4 ; 4BB ; Mythic Rare ; Igor Kieryluk ;  Rise of the Eldrazi
121 ; Null Champion ; Creature - Zombie Warrior 1/1 ; 1B ; Common ; Chris Rahn ;  Rise of the Eldrazi
122 ; Pawn of Ulamog ; Creature - Vampire Shaman 2/2 ; 1BB ; Uncommon ; Daarken ;  Rise of the Eldrazi
123 ; Perish the Thought ; Sorcery ; 2B ; Common ; Austin Hsu ;  Rise of the Eldrazi
124 ; Pestilence Demon ; Creature - Demon 7/6 ; 5BBB ; Rare ; Justin Sweet ;  Rise of the Eldrazi
125 ; Repay in Kind ; Sorcery ; 5BB ; Rare ; Vance Kovacs ;  Rise of the Eldrazi
126 ; Shrivel ; Sorcery ; 1B ; Common ; Jung Park ;  Rise of the Eldrazi
127 ; Skeletal Wurm ; Creature - Skeleton Wurm 7/6 ; 7B ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Rise of the Eldrazi
128 ; Suffer the Past ; Instant ; XB ; Uncommon ; Trevor Claxton ;  Rise of the Eldrazi
129 ; Thought Gorger ; Creature - Horror 2/2 ; 2BB ; Rare ; Jason Felix ;  Rise of the Eldrazi
130 ; Vendetta ; Instant ; B ; Common ; Karl Kopinski ;  Rise of the Eldrazi
131 ; Virulent Swipe ; Instant ; B ; Uncommon ; Raymond Swanland ;  Rise of the Eldrazi
132 ; Zof Shade ; Creature - Shade 2/2 ; 3B ; Common ; Jason A. Engle ;  Rise of the Eldrazi
133 ; Zulaport Enforcer ; Creature - Human Warrior 1/1 ; B ; Common ; Matt Stewart ;  Rise of the Eldrazi
134 ; Akoum Boulderfoot ; Creature - Giant Warrior 4/5 ; 4RR ; Uncommon ; Alex Horley-Orlandelli ;  Rise of the Eldrazi
135 ; Battle Rampart ; Creature - Wall 1/3 ; 2R ; Common ; Steve Prescott ;  Rise of the Eldrazi
136 ; Battle-Rattle Shaman ; Creature - Goblin Shaman 2/2 ; 3R ; Common ; Warren Mahy ;  Rise of the Eldrazi
137 ; Brimstone Mage ; Creature - Human Shaman 2/2 ; 2R ; Uncommon ; Volkan Baga ;  Rise of the Eldrazi
138 ; Brood Birthing ; Sorcery ; 1R ; Common ; Anthony Francisco ;  Rise of the Eldrazi
139 ; Conquering Manticore ; Creature - Manticore 5/5 ; 4RR ; Rare ; Chris Rahn ;  Rise of the Eldrazi
140 ; Devastating Summons ; Sorcery ; R ; Rare ; Jung Park ;  Rise of the Eldrazi
141 ; Disaster Radius ; Sorcery ; 5RR ; Rare ; James Paick ;  Rise of the Eldrazi
142 ; Emrakul's Hatcher ; Creature - Eldrazi Drone 3/3 ; 4R ; Common ; Jaime Jones ;  Rise of the Eldrazi
143 ; Explosive Revelation ; Sorcery ; 3RR ; Uncommon ; Justin Sweet ;  Rise of the Eldrazi
144 ; Fissure Vent ; Sorcery ; 3RR ; Common ; Philip Straub ;  Rise of the Eldrazi
145 ; Flame Slash ; Sorcery ; R ; Common ; Raymond Swanland ;  Rise of the Eldrazi
146 ; Forked Bolt ; Sorcery ; R ; Uncommon ; Tomasz Jedruszek ;  Rise of the Eldrazi
147 ; Goblin Arsonist ; Creature - Goblin Shaman 1/1 ; R ; Common ; Wayne Reynolds ;  Rise of the Eldrazi
148 ; Goblin Tunneler ; Creature - Goblin Rogue 1/1 ; 1R ; Common ; Jesper Ejsing ;  Rise of the Eldrazi
149 ; Grotag Siege-Runner ; Creature - Goblin Rogue 2/1 ; 1R ; Common ; Zoltan Boros & Gabor Szikszai ;  Rise of the Eldrazi
150 ; Heat Ray ; Instant ; XR ; Common ; Austin Hsu ;  Rise of the Eldrazi
151 ; Hellion Eruption ; Sorcery ; 5R ; Rare ; Anthony Francisco ;  Rise of the Eldrazi
152 ; Kargan Dragonlord ; Creature - Human Warrior 2/2 ; RR ; Mythic Rare ; Jason Chan ;  Rise of the Eldrazi
153 ; Kiln Fiend ; Creature - Elemental Beast 1/2 ; 1R ; Common ; Adi Granov ;  Rise of the Eldrazi
154 ; Lagac Lizard ; Creature - Lizard 3/3 ; 3R ; Common ; Svetlin Velinov ;  Rise of the Eldrazi
155 ; Lavafume Invoker ; Creature - Goblin Shaman 2/2 ; 2R ; Common ; Dave Kendall ;  Rise of the Eldrazi
156 ; Lord of Shatterskull Pass ; Creature - Minotaur Shaman 3/3 ; 3R ; Rare ; Kekai Kotaki ;  Rise of the Eldrazi
157 ; Lust for War ; Enchantment - Aura ; 2R ; Uncommon ; Raymond Swanland ;  Rise of the Eldrazi
158 ; Magmaw ; Creature - Elemental 4/4 ; 3RR ; Rare ; Karl Kopinski ;  Rise of the Eldrazi
159 ; Ogre Sentry ; Creature - Ogre Warrior 3/3 ; 1R ; Common ; Eric Deschamps ;  Rise of the Eldrazi
160 ; Rage Nimbus ; Creature - Elemental 5/3 ; 2R ; Rare ; Vincent Proce ;  Rise of the Eldrazi
161 ; Raid Bombardment ; Enchantment ; 2R ; Common ; Matt Cavotta ;  Rise of the Eldrazi
162 ; Rapacious One ; Creature - Eldrazi Drone 5/4 ; 5R ; Uncommon ; Jason A. Engle ;  Rise of the Eldrazi
163 ; Soulsurge Elemental ; Creature - Elemental */1 ; 3R ; Uncommon ; Jason A. Engle ;  Rise of the Eldrazi
164 ; Spawning Breath ; Instant ; 1R ; Common ; Trevor Claxton ;  Rise of the Eldrazi
165 ; Splinter Twin ; Enchantment - Aura ; 2RR ; Rare ; Goran Josic ;  Rise of the Eldrazi
166 ; Staggershock ; Instant ; 2R ; Common ; Raymond Swanland ;  Rise of the Eldrazi
167 ; Surreal Memoir ; Sorcery ; 3R ; Uncommon ; Jaime Jones ;  Rise of the Eldrazi
168 ; Traitorous Instinct ; Sorcery ; 3R ; Uncommon ; Scott Chou ;  Rise of the Eldrazi
169 ; Tuktuk the Explorer ; Legendary Creature - Goblin 1/1 ; 2R ; Rare ; Volkan Baga ;  Rise of the Eldrazi
170 ; Valakut Fireboar ; Creature - Elemental Boar 1/7 ; 4R ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Rise of the Eldrazi
171 ; Vent Sentinel ; Creature - Elemental 2/4 ; 3R ; Common ; Chris Rahn ;  Rise of the Eldrazi
172 ; World at War ; Sorcery ; 3RR ; Rare ; Igor Kieryluk ;  Rise of the Eldrazi
173 ; Wrap in Flames ; Sorcery ; 3R ; Common ; Véronique Meignaud ;  Rise of the Eldrazi
174 ; Ancient Stirrings ; Sorcery ; G ; Common ; Vincent Proce ;  Rise of the Eldrazi
175 ; Aura Gnarlid ; Creature - Beast 2/2 ; 2G ; Common ; Lars Grant-West ;  Rise of the Eldrazi
176 ; Awakening Zone ; Enchantment ; 2G ; Rare ; Johann Bodin ;  Rise of the Eldrazi
177 ; Bear Umbra ; Enchantment - Aura ; 2GG ; Rare ; Howard Lyon ;  Rise of the Eldrazi
178 ; Beastbreaker of Bala Ged ; Creature - Human Warrior 2/2 ; 1G ; Uncommon ; Karl Kopinski ;  Rise of the Eldrazi
179 ; Boar Umbra ; Enchantment - Aura ; 2G ; Uncommon ; Christopher Moeller ;  Rise of the Eldrazi
180 ; Bramblesnap ; Creature - Elemental 1/1 ; 1G ; Uncommon ; James Ryman ;  Rise of the Eldrazi
181 ; Broodwarden ; Creature - Eldrazi Drone 4/4 ; 3GG ; Uncommon ; Izzy ;  Rise of the Eldrazi
182 ; Daggerback Basilisk ; Creature - Basilisk 2/2 ; 2G ; Common ; Jesper Ejsing ;  Rise of the Eldrazi
183 ; Gelatinous Genesis ; Sorcery ; XXG ; Rare ; Daniel Ljunggren ;  Rise of the Eldrazi
184 ; Gigantomancer ; Creature - Human Shaman 1/1 ; 7G ; Rare ; Chippy ;  Rise of the Eldrazi
185 ; Gravity Well ; Enchantment ; 1GG ; Uncommon ; Rob Alexander ;  Rise of the Eldrazi
186 ; Growth Spasm ; Sorcery ; 2G ; Common ; Dan Scott ;  Rise of the Eldrazi
187 ; Haze Frog ; Creature - Frog 2/1 ; 3GG ; Common ; Jesper Ejsing ;  Rise of the Eldrazi
188 ; Irresistible Prey ; Sorcery ; G ; Uncommon ; Jesper Ejsing ;  Rise of the Eldrazi
189 ; Jaddi Lifestrider ; Creature - Elemental 2/8 ; 4G ; Uncommon ; Vincent Proce ;  Rise of the Eldrazi
190 ; Joraga Treespeaker ; Creature - Elf Druid 1/1 ; G ; Uncommon ; Cyril Van Der Haegen ;  Rise of the Eldrazi
191 ; Kazandu Tuskcaller ; Creature - Human Shaman 1/1 ; 1G ; Rare ; Mike Bierek ;  Rise of the Eldrazi
192 ; Khalni Hydra ; Creature - Hydra 8/8 ; GGGGGGGG ; Mythic Rare ; Todd Lockwood ;  Rise of the Eldrazi
193 ; Kozilek's Predator ; Creature - Eldrazi Drone 3/3 ; 3G ; Common ; Steve Argyle ;  Rise of the Eldrazi
194 ; Leaf Arrow ; Instant ; G ; Common ; Eric Deschamps ;  Rise of the Eldrazi
195 ; Living Destiny ; Instant ; 3G ; Common ; James Ryman ;  Rise of the Eldrazi
196 ; Might of the Masses ; Instant ; G ; Common ; Johann Bodin ;  Rise of the Eldrazi
197 ; Momentous Fall ; Instant ; 2GG ; Rare ; Tomasz Jedruszek ;  Rise of the Eldrazi
198 ; Mul Daya Channelers ; Creature - Elf Druid Shaman 2/2 ; 1GG ; Rare ; Jason Chan ;  Rise of the Eldrazi
199 ; Naturalize ; Instant ; 1G ; Common ; Howard Lyon ;  Rise of the Eldrazi
200 ; Nema Siltlurker ; Creature - Lizard 3/5 ; 4G ; Common ; Wayne Reynolds ;  Rise of the Eldrazi
201 ; Nest Invader ; Creature - Eldrazi Drone 2/2 ; 1G ; Common ; Trevor Claxton ;  Rise of the Eldrazi
202 ; Ondu Giant ; Creature - Giant Druid 2/4 ; 3G ; Common ; Igor Kieryluk ;  Rise of the Eldrazi
203 ; Overgrown Battlement ; Creature - Wall 0/4 ; 1G ; Common ; Franz Vohwinkel ;  Rise of the Eldrazi
204 ; Pelakka Wurm ; Creature - Wurm 7/7 ; 4GGG ; Uncommon ; Daniel Ljunggren ;  Rise of the Eldrazi
205 ; Prey's Vengeance ; Instant ; G ; Uncommon ; Jesper Ejsing ;  Rise of the Eldrazi
206 ; Realms Uncharted ; Instant ; 2G ; Rare ; Volkan Baga ;  Rise of the Eldrazi
207 ; Snake Umbra ; Enchantment - Aura ; 2G ; Common ; Christopher Moeller ;  Rise of the Eldrazi
208 ; Spider Umbra ; Enchantment - Aura ; G ; Common ; Christopher Moeller ;  Rise of the Eldrazi
209 ; Sporecap Spider ; Creature - Spider 1/5 ; 2G ; Common ; Lars Grant-West ;  Rise of the Eldrazi
210 ; Stomper Cub ; Creature - Beast 5/3 ; 3GG ; Common ; Karl Kopinski ;  Rise of the Eldrazi
211 ; Tajuru Preserver ; Creature - Elf Shaman 2/1 ; 1G ; Rare ; rk post ;  Rise of the Eldrazi
212 ; Vengevine ; Creature - Elemental 4/3 ; 2GG ; Mythic Rare ; Raymond Swanland ;  Rise of the Eldrazi
213 ; Wildheart Invoker ; Creature - Elf Shaman 4/3 ; 2GG ; Common ; Erica Yang ;  Rise of the Eldrazi
214 ; Sarkhan the Mad ; Planeswalker - Sarkhan ; 3BR ; Mythic Rare ; Chippy ;  Rise of the Eldrazi
215 ; Angelheart Vial ; Artifact ; 5 ; Rare ; Chippy ;  Rise of the Eldrazi
216 ; Dreamstone Hedron ; Artifact ; 6 ; Uncommon ; Eric Deschamps ;  Rise of the Eldrazi
217 ; Enatu Golem ; Artifact Creature - Golem 3/5 ; 6 ; Uncommon ; Daniel Ljunggren ;  Rise of the Eldrazi
218 ; Hedron Matrix ; Artifact - Equipment ; 4 ; Rare ; Jaime Jones ;  Rise of the Eldrazi
219 ; Keening Stone ; Artifact ; 6 ; Rare ; Jung Park ;  Rise of the Eldrazi
220 ; Ogre's Cleaver ; Artifact - Equipment ; 2 ; Uncommon ; Adi Granov ;  Rise of the Eldrazi
221 ; Pennon Blade ; Artifact - Equipment ; 3 ; Uncommon ; Alex Horley-Orlandelli ;  Rise of the Eldrazi
222 ; Prophetic Prism ; Artifact ; 2 ; Common ; John Avon ;  Rise of the Eldrazi
223 ; Reinforced Bulwark ; Artifact Creature - Wall 0/4 ; 3 ; Common ; Ryan Pancoast ;  Rise of the Eldrazi
224 ; Runed Servitor ; Artifact Creature - Construct 2/2 ; 2 ; Uncommon ; Mike Bierek ;  Rise of the Eldrazi
225 ; Sphinx-Bone Wand ; Artifact ; 7 ; Rare ; Franz Vohwinkel ;  Rise of the Eldrazi
226 ; Warmonger's Chariot ; Artifact - Equipment ; 2 ; Uncommon ; Warren Mahy ;  Rise of the Eldrazi
227 ; Eldrazi Temple ; Land ; ; Rare ; James Paick ;  Rise of the Eldrazi
228 ; Evolving Wilds ; Land ; ; Common ; Steven Belledin ;  Rise of the Eldrazi
229 ; Plains ; Basic Land - Plains ; ; Land ; John Avon ;  Rise of the Eldrazi
230 ; Plains ; Basic Land - Plains ; ; Land ; John Avon ;  Rise of the Eldrazi
231 ; Plains ; Basic Land - Plains ; ; Land ; John Avon ;  Rise of the Eldrazi
232 ; Plains ; Basic Land - Plains ; ; Land ; John Avon ;  Rise of the Eldrazi
233 ; Island ; Basic Land - Island ; ; Land ; Vincent Proce ;  Rise of the Eldrazi
234 ; Island ; Basic Land - Island ; ; Land ; Vincent Proce ;  Rise of the Eldrazi
