1 ; Animate Dead ; Enchant Dead Creature ; 1B ; Uncommon ; Anson Maddocks ;  Limited Edition Alpha
113 ; Kudzu ; Enchant Land ; 1GG ; Rare ; Mark Poole ;  Limited Edition Alpha
114 ; Ley Druid ; Summon Cleric 1/1 ; 2G ; Uncommon ; Sandra Everingham ;  Limited Edition Alpha
115 ; Lifeforce ; Enchantment ; GG ; Uncommon ; Dameon Willich ;  Limited Edition Alpha
116 ; Lifelace ; Interrupt ; G ; Rare ; Amy Weber ;  Limited Edition Alpha
117 ; Living Artifact ; Enchant Artifact ; G ; Rare ; Anson Maddocks ;  Limited Edition Alpha
118 ; Living Lands ; Enchantment ; 3G ; Rare ; Jesper Myrfors ;  Limited Edition Alpha
119 ; Llanowar Elves ; Summon Elves 1/1 ; G ; Common ; Anson Maddocks ;  Limited Edition Alpha
120 ; Lure ; Enchant Creature ; 1GG ; Uncommon ; Anson Maddocks ;  Limited Edition Alpha
121 ; Natural Selection ; Instant ; G ; Rare ; Mark Poole ;  Limited Edition Alpha
122 ; Regeneration ; Enchant Creature ; 1G ; Common ; Quinton Hoover ;  Limited Edition Alpha
123 ; Regrowth ; Sorcery ; 1G ; Uncommon ; Dameon Willich ;  Limited Edition Alpha
124 ; Scryb Sprites ; Summon Faeries 1/1 ; G ; Common ; Amy Weber ;  Limited Edition Alpha
125 ; Shanodin Dryads ; Summon Nymphs 1/1 ; G ; Common ; Anson Maddocks ;  Limited Edition Alpha
126 ; Stream of Life ; Sorcery ; XG ; Common ; Mark Poole ;  Limited Edition Alpha
127 ; Thicket Basilisk ; Summon Basilisk 2/4 ; 3GG ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
128 ; Timber Wolves ; Summon Wolves 1/1 ; G ; Rare ; Melissa Benson ;  Limited Edition Alpha
129 ; Tranquility ; Sorcery ; 2G ; Common ; Douglas Schuler ;  Limited Edition Alpha
130 ; Tsunami ; Sorcery ; 3G ; Uncommon ; Richard Thomas ;  Limited Edition Alpha
131 ; Verduran Enchantress ; Summon Enchantress 0/2 ; 1GG ; Rare ; Kev Brockschmidt ;  Limited Edition Alpha
132 ; Wall of Brambles ; Summon Wall 2/3 ; 2G ; Uncommon ; Anson Maddocks ;  Limited Edition Alpha
133 ; Wall of Ice ; Summon Wall 0/7 ; 2G ; Uncommon ; Richard Thomas ;  Limited Edition Alpha
134 ; Wall of Wood ; Summon Wall 0/3 ; G ; Common ; Mark Tedin ;  Limited Edition Alpha
135 ; Wanderlust ; Enchant Creature ; 2G ; Uncommon ; Cornelius Brudi ;  Limited Edition Alpha
136 ; War Mammoth ; Summon Mammoth 3/3 ; 3G ; Common ; Jeff A. Menges ;  Limited Edition Alpha
137 ; Web ; Enchant Creature ; G ; Rare ; Rob Alexander ;  Limited Edition Alpha
138 ; Wild Growth ; Enchant Land ; G ; Common ; Mark Poole ;  Limited Edition Alpha
139 ; Burrowing ; Enchant Creature ; R ; Uncommon ; Mark Poole ;  Limited Edition Alpha
140 ; Chaoslace ; Interrupt ; R ; Rare ; Dameon Willich ;  Limited Edition Alpha
141 ; Disintegrate ; Sorcery ; XR ; Common ; Anson Maddocks ;  Limited Edition Alpha
142 ; Dragon Whelp ; Summon Dragon 2/3 ; 2RR ; Uncommon ; Amy Weber ;  Limited Edition Alpha
143 ; Dwarven Demolition Team ; Summon Dwarves 1/1 ; 2R ; Uncommon ; Kev Brockschmidt ;  Limited Edition Alpha
144 ; Dwarven Warriors ; Summon Dwarves 1/1 ; 2R ; Common ; Douglas Schuler ;  Limited Edition Alpha
145 ; Earth Elemental ; Summon Elemental 4/5 ; 3RR ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
146 ; Earthbind ; Enchant Flying Creature ; R ; Common ; Quinton Hoover ;  Limited Edition Alpha
147 ; Earthquake ; Sorcery ; XR ; Rare ; Dan Frazier ;  Limited Edition Alpha
148 ; False Orders ; Instant ; R ; Common ; Anson Maddocks ;  Limited Edition Alpha
149 ; Fire Elemental ; Summon Elemental 5/4 ; 3RR ; Uncommon ; Melissa Benson ;  Limited Edition Alpha
150 ; Fireball ; Sorcery ; XR ; Common ; Mark Tedin ;  Limited Edition Alpha
151 ; Firebreathing ; Enchant Creature ; R ; Common ; Dan Frazier ;  Limited Edition Alpha
152 ; Flashfires ; Sorcery ; 3R ; Uncommon ; Dameon Willich ;  Limited Edition Alpha
153 ; Fork ; Interrupt ; RR ; Rare ; Amy Weber ;  Limited Edition Alpha
154 ; Goblin Balloon Brigade ; Summon Goblins 1/1 ; R ; Uncommon ; Andi Rusu ;  Limited Edition Alpha
155 ; Goblin King ; Summon Goblin King 2/2 ; 1RR ; Rare ; Jesper Myrfors ;  Limited Edition Alpha
156 ; Granite Gargoyle ; Summon Gargoyle 2/2 ; 2R ; Rare ; Christopher Rush ;  Limited Edition Alpha
157 ; Gray Ogre ; Summon Ogre 2/2 ; 2R ; Common ; Dan Frazier ;  Limited Edition Alpha
158 ; Hill Giant ; Summon Giant 3/3 ; 3R ; Common ; Dan Frazier ;  Limited Edition Alpha
159 ; Hurloon Minotaur ; Summon Minotaur 2/3 ; 1RR ; Common ; Anson Maddocks ;  Limited Edition Alpha
160 ; Ironclaw Orcs ; Summon Orcs 2/2 ; 1R ; Common ; Anson Maddocks ;  Limited Edition Alpha
161 ; Keldon Warlord ; Summon Lord */* ; 2RR ; Uncommon ; Kev Brockschmidt ;  Limited Edition Alpha
162 ; Lightning Bolt ; Instant ; R ; Common ; Christopher Rush ;  Limited Edition Alpha
163 ; Mana Flare ; Enchantment ; 2R ; Rare ; Christopher Rush ;  Limited Edition Alpha
164 ; Manabarbs ; Enchantment ; 3R ; Rare ; Christopher Rush ;  Limited Edition Alpha
165 ; Mons's Goblin Raiders ; Summon Goblins 1/1 ; R ; Common ; Jeff A. Menges ;  Limited Edition Alpha
166 ; Orcish Artillery ; Summon Orcs 1/3 ; 1RR ; Uncommon ; Anson Maddocks ;  Limited Edition Alpha
167 ; Orcish Oriflamme ; Enchantment ; 3R ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
168 ; Power Surge ; Enchantment ; RR ; Rare ; Douglas Schuler ;  Limited Edition Alpha
169 ; Raging River ; Enchantment ; RR ; Rare ; Sandra Everingham ;  Limited Edition Alpha
170 ; Red Elemental Blast ; Instant ; R ; Common ; Richard Thomas ;  Limited Edition Alpha
171 ; Roc of Kher Ridges ; Summon Roc 3/3 ; 3R ; Rare ; Andi Rusu ;  Limited Edition Alpha
172 ; Rock Hydra ; Summon Hydra 0/0 ; XRR ; Rare ; Jeff A. Menges ;  Limited Edition Alpha
173 ; Sedge Troll ; Summon Troll 2/2 ; 2R ; Rare ; Jeff A. Menges ;  Limited Edition Alpha
174 ; Shatter ; Instant ; 1R ; Common ; Amy Weber ;  Limited Edition Alpha
175 ; Shivan Dragon ; Summon Dragon 5/5 ; 4RR ; Rare ; Melissa Benson ;  Limited Edition Alpha
176 ; Smoke ; Enchantment ; RR ; Rare ; Jesper Myrfors ;  Limited Edition Alpha
177 ; Stone Giant ; Summon Giant 3/4 ; 2RR ; Uncommon ; Dameon Willich ;  Limited Edition Alpha
178 ; Stone Rain ; Sorcery ; 2R ; Common ; Daniel Gelon ;  Limited Edition Alpha
179 ; Tunnel ; Instant ; R ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
180 ; Two-Headed Giant of Foriys ; Summon Giant 4/4 ; 4R ; Rare ; Anson Maddocks ;  Limited Edition Alpha
181 ; Uthden Troll ; Summon Troll 2/2 ; 2R ; Uncommon ; Douglas Schuler ;  Limited Edition Alpha
182 ; Wall of Fire ; Summon Wall 0/5 ; 1RR ; Uncommon ; Richard Thomas ;  Limited Edition Alpha
183 ; Wall of Stone ; Summon Wall 0/8 ; 1RR ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
184 ; Wheel of Fortune ; Sorcery ; 2R ; Rare ; Daniel Gelon ;  Limited Edition Alpha
185 ; Animate Wall ; Enchant Wall ; W ; Rare ; Dan Frazier ;  Limited Edition Alpha
186 ; Armageddon ; Sorcery ; 3W ; Rare ; Jesper Myrfors ;  Limited Edition Alpha
187 ; Balance ; Sorcery ; 1W ; Rare ; Mark Poole ;  Limited Edition Alpha
188 ; Benalish Hero ; Summon Hero 1/1 ; W ; Common ; Douglas Schuler ;  Limited Edition Alpha
189 ; Black Ward ; Enchant Creature ; W ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
190 ; Blaze of Glory ; Instant ; W ; Rare ; Richard Thomas ;  Limited Edition Alpha
191 ; Blessing ; Enchant Creature ; WW ; Rare ; Julie Baroh ;  Limited Edition Alpha
192 ; Blue Ward ; Enchant Creature ; W ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
193 ; Castle ; Enchantment ; 3W ; Uncommon ; Dameon Willich ;  Limited Edition Alpha
194 ; Circle of Protection: Blue ; Enchantment ; 1W ; Common ; Dameon Willich ;  Limited Edition Alpha
195 ; Circle of Protection: Green ; Enchantment ; 1W ; Common ; Sandra Everingham ;  Limited Edition Alpha
196 ; Circle of Protection: Red ; Enchantment ; 1W ; Common ; Anson Maddocks ;  Limited Edition Alpha
197 ; Circle of Protection: White ; Enchantment ; 1W ; Common ; Douglas Schuler ;  Limited Edition Alpha
198 ; Consecrate Land ; Enchant Land ; W ; Uncommon ; Jeff A. Menges ;  Limited Edition Alpha
199 ; Conversion ; Enchantment ; 2WW ; Uncommon ; Jesper Myrfors ;  Limited Edition Alpha
200 ; Crusade ; Enchantment ; WW ; Rare ; Mark Poole ;  Limited Edition Alpha
201 ; Death Ward ; Instant ; W ; Common ; Dan Frazier ;  Limited Edition Alpha
202 ; Disenchant ; Instant ; 1W ; Common ; Amy Weber ;  Limited Edition Alpha
203 ; Farmstead ; Enchant Land ; WWW ; Rare ; Mark Poole ;  Limited Edition Alpha
204 ; Green Ward ; Enchant Creature ; W ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
205 ; Guardian Angel ; Instant ; XW ; Common ; Anson Maddocks ;  Limited Edition Alpha
206 ; Healing Salve ; Instant ; W ; Common ; Dan Frazier ;  Limited Edition Alpha
207 ; Holy Armor ; Enchant Creature ; W ; Common ; Melissa Benson ;  Limited Edition Alpha
208 ; Holy Strength ; Enchant Creature ; W ; Common ; Anson Maddocks ;  Limited Edition Alpha
209 ; Island Sanctuary ; Enchantment ; 1W ; Rare ; Mark Poole ;  Limited Edition Alpha
210 ; Karma ; Enchantment ; 2WW ; Uncommon ; Richard Thomas ;  Limited Edition Alpha
211 ; Lance ; Enchant Creature ; W ; Uncommon ; Rob Alexander ;  Limited Edition Alpha
212 ; Mesa Pegasus ; Summon Pegasus 1/1 ; 1W ; Common ; Melissa Benson ;  Limited Edition Alpha
213 ; Northern Paladin ; Summon Paladin 3/3 ; 2WW ; Rare ; Douglas Schuler ;  Limited Edition Alpha
214 ; Pearled Unicorn ; Summon Unicorn 2/2 ; 2W ; Common ; Cornelius Brudi ;  Limited Edition Alpha
215 ; Personal Incarnation ; Summon Avatar 6/6 ; 3WWW ; Rare ; Kev Brockschmidt ;  Limited Edition Alpha
216 ; Purelace ; Interrupt ; W ; Rare ; Sandra Everingham ;  Limited Edition Alpha
217 ; Red Ward ; Enchant Creature ; W ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
218 ; Resurrection ; Sorcery ; 2WW ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
219 ; Reverse Damage ; Instant ; 1WW ; Rare ; Dameon Willich ;  Limited Edition Alpha
220 ; Righteousness ; Instant ; W ; Rare ; Douglas Schuler ;  Limited Edition Alpha
221 ; Samite Healer ; Summon Cleric 1/1 ; 1W ; Common ; Tom Wänerstrand ;  Limited Edition Alpha
222 ; Savannah Lions ; Summon Lions 2/1 ; W ; Rare ; Daniel Gelon ;  Limited Edition Alpha
223 ; Serra Angel ; Summon Angel 4/4 ; 3WW ; Uncommon ; Douglas Schuler ;  Limited Edition Alpha
224 ; Swords to Plowshares ; Instant ; W ; Uncommon ; Jeff A. Menges ;  Limited Edition Alpha
225 ; Veteran Bodyguard ; Summon Bodyguard 2/5 ; 3WW ; Rare ; Douglas Schuler ;  Limited Edition Alpha
226 ; Wall of Swords ; Summon Wall 3/5 ; 3W ; Uncommon ; Mark Tedin ;  Limited Edition Alpha
227 ; White Knight ; Summon Knight 2/2 ; WW ; Uncommon ; Daniel Gelon ;  Limited Edition Alpha
228 ; White Ward ; Enchant Creature ; W ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
229 ; Wrath of God ; Sorcery ; 2WW ; Rare ; Quinton Hoover ;  Limited Edition Alpha
230 ; Ankh of Mishra ; Continuous Artifact ; 2 ; Rare ; Amy Weber ;  Limited Edition Alpha
231 ; Basalt Monolith ; Mono Artifact ; 3 ; Uncommon ; Jesper Myrfors ;  Limited Edition Alpha
232 ; Black Lotus ; Mono Artifact ; 0 ; Rare ; Christopher Rush ;  Limited Edition Alpha
233 ; Black Vise ; Continuous Artifact ; 1 ; Uncommon ; Richard Thomas ;  Limited Edition Alpha
234 ; Celestial Prism ; Mono Artifact ; 3 ; Uncommon ; Amy Weber ;  Limited Edition Alpha
235 ; Chaos Orb ; Mono Artifact ; 2 ; Rare ; Mark Tedin ;  Limited Edition Alpha
236 ; Clockwork Beast ; Artifact Creature 0/4 ; 6 ; Rare ; Drew Tucker ;  Limited Edition Alpha
237 ; Conservator ; Mono Artifact ; 4 ; Uncommon ; Amy Weber ;  Limited Edition Alpha
238 ; Copper Tablet ; Continuous Artifact ; 2 ; Uncommon ; Amy Weber ;  Limited Edition Alpha
239 ; Crystal Rod ; Poly Artifact ; 1 ; Uncommon ; Amy Weber ;  Limited Edition Alpha
240 ; Cyclopean Tomb ; Mono Artifact ; 4 ; Rare ; Anson Maddocks ;  Limited Edition Alpha
241 ; Dingus Egg ; Continuous Artifact ; 4 ; Rare ; Dan Frazier ;  Limited Edition Alpha
242 ; Disrupting Scepter ; Mono Artifact ; 3 ; Rare ; Dan Frazier ;  Limited Edition Alpha
243 ; Forcefield ; Poly Artifact ; 3 ; Rare ; Dan Frazier ;  Limited Edition Alpha
244 ; Gauntlet of Might ; Continuous Artifact ; 4 ; Rare ; Christopher Rush ;  Limited Edition Alpha
245 ; Glasses of Urza ; Mono Artifact ; 1 ; Uncommon ; Douglas Schuler ;  Limited Edition Alpha
246 ; Helm of Chatzuk ; Mono Artifact ; 1 ; Rare ; Mark Tedin ;  Limited Edition Alpha
247 ; Howling Mine ; Continuous Artifact ; 2 ; Rare ; Mark Poole ;  Limited Edition Alpha
248 ; Icy Manipulator ; Mono Artifact ; 4 ; Uncommon ; Douglas Schuler ;  Limited Edition Alpha
249 ; Illusionary Mask ; Poly Artifact ; 2 ; Rare ; Amy Weber ;  Limited Edition Alpha
250 ; Iron Star ; Poly Artifact ; 1 ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
251 ; Ivory Cup ; Poly Artifact ; 1 ; Uncommon ; Anson Maddocks ;  Limited Edition Alpha
252 ; Jade Monolith ; Poly Artifact ; 4 ; Rare ; Anson Maddocks ;  Limited Edition Alpha
253 ; Jade Statue ; Artifact ; 4 ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
254 ; Jayemdae Tome ; Mono Artifact ; 4 ; Rare ; Mark Tedin ;  Limited Edition Alpha
255 ; Juggernaut ; Artifact Creature 5/3 ; 4 ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
256 ; Kormus Bell ; Continuous Artifact ; 4 ; Rare ; Christopher Rush ;  Limited Edition Alpha
257 ; Library of Leng ; Continuous Artifact ; 1 ; Uncommon ; Daniel Gelon ;  Limited Edition Alpha
258 ; Living Wall ; Artifact Creature 0/6 ; 4 ; Uncommon ; Anson Maddocks ;  Limited Edition Alpha
