1 ; Angelic Favor ; Instant ; 3W ; Uncommon ; Paolo Parente ;  Nemesis
53 ; Belbe's Percher ; Creature - Bird 2/2 ; 2B ; Common ; Edward P. Beard, Jr. ;  Nemesis
54 ; Carrion Wall ; Creature - Wall 3/2 ; 1BB ; Uncommon ; Tony Szczudlo ;  Nemesis
55 ; Dark Triumph ; Instant ; 4B ; Uncommon ; Adam Rex ;  Nemesis
56 ; Death Pit Offering ; Enchantment ; 2BB ; Rare ; Pete Venters ;  Nemesis
57 ; Divining Witch ; Creature - Spellshaper 1/1 ; 1B ; Rare ; Donato Giancola ;  Nemesis
58 ; Massacre ; Sorcery ; 2BB ; Uncommon ; Pete Venters ;  Nemesis
59 ; Mind Slash ; Enchantment ; 1BB ; Uncommon ; Adam Rex ;  Nemesis
60 ; Mind Swords ; Sorcery ; 1B ; Common ; Daren Bader ;  Nemesis
61 ; Murderous Betrayal ; Enchantment ; BBB ; Rare ; Randy Gallegos ;  Nemesis
62 ; Parallax Dementia ; Enchant Creature ; 1B ; Common ; Eric Peterson ;  Nemesis
63 ; Parallax Nexus ; Enchantment ; 2B ; Rare ; Greg Staples ;  Nemesis
64 ; Phyrexian Driver ; Creature - Mercenary 1/1 ; 2B ; Common ; Chippy ;  Nemesis
65 ; Phyrexian Prowler ; Creature - Mercenary 3/3 ; 3B ; Uncommon ; Mark Zug ;  Nemesis
66 ; Plague Witch ; Creature - Spellshaper 1/1 ; 1B ; Common ; Nelson DeCastro ;  Nemesis
67 ; Rathi Assassin ; Creature - Mercenary 2/2 ; 2BB ; Rare ; Dana Knutson ;  Nemesis
68 ; Rathi Fiend ; Creature - Mercenary 2/2 ; 3B ; Uncommon ; Mark Tedin ;  Nemesis
69 ; Rathi Intimidator ; Creature - Mercenary 2/1 ; 1BB ; Common ; Mike Ploog ;  Nemesis
70 ; Seal of Doom ; Enchantment ; 2B ; Common ; Christopher Moeller ;  Nemesis
71 ; Spineless Thug ; Creature - Mercenary 2/2 ; 1B ; Common ; Matthew D. Wilson ;  Nemesis
72 ; Spiteful Bully ; Creature - Mercenary 3/3 ; 1B ; Common ; Chippy ;  Nemesis
73 ; Stronghold Discipline ; Sorcery ; 2BB ; Common ; Li Tie ;  Nemesis
74 ; Vicious Hunger ; Sorcery ; BB ; Common ; Massimilano Frezzato ;  Nemesis
75 ; Volrath the Fallen ; Creature - Legend 6/4 ; 3BBB ; Rare ; Kev Walker ;  Nemesis
76 ; Ancient Hydra ; Creature - Hydra 5/1 ; 4R ; Uncommon ; Scott M. Fischer ;  Nemesis
77 ; Arc Mage ; Creature - Spellshaper 2/2 ; 2R ; Uncommon ; Terese Nielsen ;  Nemesis
78 ; Bola Warrior ; Creature - Spellshaper 1/1 ; 1R ; Common ; Adam Rex ;  Nemesis
79 ; Downhill Charge ; Instant ; 2R ; Common ; Greg & Tim Hildebrandt ;  Nemesis
80 ; Flame Rift ; Sorcery ; 1R ; Common ; Ben Thompson ;  Nemesis
81 ; Flowstone Crusher ; Creature - Beast 4/4 ; 3RR ; Common ; Ben Thompson ;  Nemesis
82 ; Flowstone Overseer ; Creature - Beast 4/4 ; 2RRR ; Rare ; Andrew Goldhawk ;  Nemesis
83 ; Flowstone Slide ; Sorcery ; X2RR ; Rare ; Chippy ;  Nemesis
84 ; Flowstone Strike ; Instant ; 1R ; Common ; Mike Ploog ;  Nemesis
85 ; Flowstone Surge ; Enchantment ; 1R ; Uncommon ; Scott Hampton ;  Nemesis
86 ; Flowstone Wall ; Creature - Wall 0/6 ; 2R ; Common ; Jeff Miracola ;  Nemesis
87 ; Laccolith Grunt ; Creature - Beast 2/2 ; 2R ; Common ; Arnie Swekel ;  Nemesis
88 ; Laccolith Rig ; Enchant Creature ; R ; Common ; Massimilano Frezzato ;  Nemesis
89 ; Laccolith Titan ; Creature - Beast 6/6 ; 5RR ; Rare ; Tony Szczudlo ;  Nemesis
90 ; Laccolith Warrior ; Creature - Beast 3/3 ; 2RR ; Uncommon ; Mark Zug ;  Nemesis
91 ; Laccolith Whelp ; Creature - Beast 1/1 ; R ; Common ; Dave Dorman ;  Nemesis
92 ; Mana Cache ; Enchantment ; 1RR ; Rare ; rk post ;  Nemesis
93 ; Mogg Alarm ; Sorcery ; 1RR ; Uncommon ; Dave Dorman ;  Nemesis
94 ; Mogg Salvage ; Instant ; 2R ; Uncommon ; Paolo Parente ;  Nemesis
95 ; Mogg Toady ; Creature - Goblin 2/2 ; 1R ; Common ; Mike Ploog ;  Nemesis
96 ; Moggcatcher ; Creature - Mercenary 2/2 ; 2RR ; Rare ; Pete Venters ;  Nemesis
97 ; Rupture ; Sorcery ; 2R ; Uncommon ; Gao Yan ;  Nemesis
98 ; Seal of Fire ; Enchantment ; R ; Common ; Christopher Moeller ;  Nemesis
99 ; Shrieking Mogg ; Creature - Goblin 1/1 ; 1R ; Rare ; Dan Frazier ;  Nemesis
100 ; Stronghold Gambit ; Sorcery ; 1R ; Rare ; Greg & Tim Hildebrandt ;  Nemesis
101 ; Animate Land ; Instant ; G ; Uncommon ; Rebecca Guay ;  Nemesis
102 ; Blastoderm ; Creature - Beast 5/5 ; 2GG ; Common ; Eric Peterson ;  Nemesis
103 ; Coiling Woodworm ; Creature - Insect */1 ; 2G ; Uncommon ; David Martin ;  Nemesis
104 ; Fog Patch ; Instant ; 1G ; Common ; Rebecca Guay ;  Nemesis
105 ; Harvest Mage ; Creature - Spellshaper 1/1 ; G ; Common ; Dan Frazier ;  Nemesis
106 ; Mossdog ; Creature - Hound 1/1 ; G ; Common ; Matt Cavotta ;  Nemesis
107 ; Nesting Wurm ; Creature - Wurm 4/3 ; 4GG ; Uncommon ; rk post ;  Nemesis
108 ; Overlaid Terrain ; Enchantment ; 2GG ; Rare ; DiTerlizzi ;  Nemesis
109 ; Pack Hunt ; Sorcery ; 3G ; Rare ; Sam Wood ;  Nemesis
110 ; Refreshing Rain ; Instant ; 3G ; Uncommon ; Don Hazeltine ;  Nemesis
111 ; Reverent Silence ; Sorcery ; 3G ; Common ; Don Hazeltine ;  Nemesis
112 ; Rhox ; Creature - Beast 5/5 ; 4GG ; Rare ; Carl Critchlow ;  Nemesis
113 ; Saproling Burst ; Enchantment ; 4G ; Rare ; Carl Critchlow ;  Nemesis
114 ; Saproling Cluster ; Enchantment ; 1G ; Rare ; Matt Cavotta ;  Nemesis
115 ; Seal of Strength ; Enchantment ; G ; Common ; Christopher Moeller ;  Nemesis
116 ; Skyshroud Behemoth ; Creature - Beast 10/10 ; 5GG ; Rare ; Eric Peterson ;  Nemesis
117 ; Skyshroud Claim ; Sorcery ; 3G ; Common ; Mark Romanoski ;  Nemesis
118 ; Skyshroud Cutter ; Creature - Beast 2/2 ; 3G ; Common ; Tony Szczudlo ;  Nemesis
119 ; Skyshroud Poacher ; Creature - Rebel 2/2 ; 2GG ; Rare ; Ron Spencer ;  Nemesis
120 ; Skyshroud Ridgeback ; Creature - Beast 2/3 ; G ; Common ; Carl Critchlow ;  Nemesis
121 ; Skyshroud Sentinel ; Creature - Elf 1/1 ; 2G ; Common ; Randy Gallegos ;  Nemesis
122 ; Stampede Driver ; Creature - Spellshaper 1/1 ; G ; Uncommon ; Ron Spears ;  Nemesis
123 ; Treetop Bracers ; Enchant Creature ; 1G ; Common ; Heather Hudson ;  Nemesis
124 ; Wild Mammoth ; Creature - Elephant 3/4 ; 2G ; Uncommon ; Bradley Williams ;  Nemesis
125 ; Woodripper ; Creature - Beast 4/6 ; 3GG ; Uncommon ; Alan Pollack ;  Nemesis
126 ; Belbe's Armor ; Artifact ; 3 ; Uncommon ; D. Alexander Gregory ;  Nemesis
127 ; Belbe's Portal ; Artifact ; 5 ; Rare ; Mark Tedin ;  Nemesis
128 ; Complex Automaton ; Artifact Creature - Golem 4/4 ; 4 ; Rare ; Dana Knutson ;  Nemesis
129 ; Eye of Yawgmoth ; Artifact ; 3 ; Rare ; DiTerlizzi ;  Nemesis
130 ; Flint Golem ; Artifact Creature - Golem 2/3 ; 4 ; Uncommon ; Lou Harrison ;  Nemesis
131 ; Flowstone Armor ; Artifact ; 3 ; Uncommon ; Paolo Parente ;  Nemesis
132 ; Flowstone Thopter ; Artifact Creature 4/4 ; 7 ; Uncommon ; Mike Ploog ;  Nemesis
133 ; Kill Switch ; Artifact ; 3 ; Rare ; Brian Snoddy ;  Nemesis
134 ; Parallax Inhibitor ; Artifact ; 2 ; Rare ; Greg Staples ;  Nemesis
135 ; Predator, Flagship ; Legendary Artifact ; 5 ; Rare ; Mark Tedin ;  Nemesis
136 ; Rackling ; Artifact Creature 2/2 ; 4 ; Uncommon ; D. Alexander Gregory ;  Nemesis
137 ; Rejuvenation Chamber ; Artifact ; 3 ; Uncommon ; Alan Pollack ;  Nemesis
138 ; Rusting Golem ; Artifact Creature - Golem */* ; 4 ; Uncommon ; Greg Staples ;  Nemesis
139 ; Tangle Wire ; Artifact ; 3 ; Rare ; Glen Angus ;  Nemesis
140 ; Viseling ; Artifact Creature 2/2 ; 4 ; Uncommon ; Kev Walker ;  Nemesis
141 ; Kor Haven ; Legendary Land ; ; Rare ; Darrell Riche ;  Nemesis
142 ; Rath's Edge ; Legendary Land ; ; Rare ; Ron Spencer ;  Nemesis
143 ; Terrain Generator ; Land ; ; Uncommon ; Alan Pollack ;  Nemesis
