1 ; Academy Rector ; Creature - Cleric 1/2 ; 3W ; Rare ; Heather Hudson ;  Urza's Destiny
37 ; Mental Discipline ; Enchantment ; 1UU ; Common ; Edward P. Beard, Jr. ;  Urza's Destiny
38 ; Metathran Elite ; Creature - Soldier 2/3 ; 1UU ; Uncommon ; Jim Nelson ;  Urza's Destiny
39 ; Metathran Soldier ; Creature - Soldier 1/1 ; 1U ; Common ; Paolo Parente ;  Urza's Destiny
40 ; Opposition ; Enchantment ; 2UU ; Rare ; Todd Lockwood ;  Urza's Destiny
41 ; Private Research ; Enchant Creature ; U ; Uncommon ; Scott M. Fischer ;  Urza's Destiny
42 ; Quash ; Instant ; 2UU ; Uncommon ; Don Hazeltine ;  Urza's Destiny
43 ; Rayne, Academy Chancellor ; Creature - Wizard Legend 1/1 ; 2U ; Rare ; Matthew Wilson ;  Urza's Destiny
44 ; Rescue ; Instant ; U ; Common ; Greg Staples ;  Urza's Destiny
45 ; Scent of Brine ; Instant ; 1U ; Common ; Greg Staples ;  Urza's Destiny
46 ; Sigil of Sleep ; Enchant Creature ; U ; Common ; Greg & Tim Hildebrandt ;  Urza's Destiny
47 ; Telepathic Spies ; Creature - Wizard 2/2 ; 2U ; Common ; Thomas M. Baxa ;  Urza's Destiny
48 ; Temporal Adept ; Creature - Wizard 1/1 ; 1UU ; Rare ; Heather Hudson ;  Urza's Destiny
49 ; Thieving Magpie ; Creature - Bird 1/3 ; 2UU ; Uncommon ; Una Fricker ;  Urza's Destiny
50 ; Treachery ; Enchant Creature ; 3UU ; Rare ; Matthew Wilson ;  Urza's Destiny
51 ; Apprentice Necromancer ; Creature - Wizard 1/1 ; 1B ; Rare ; Pete Venters ;  Urza's Destiny
52 ; Attrition ; Enchantment ; 1BB ; Rare ; Scott M. Fischer ;  Urza's Destiny
53 ; Body Snatcher ; Creature - Minion 2/2 ; 2BB ; Rare ; Mark Zug ;  Urza's Destiny
54 ; Bubbling Muck ; Sorcery ; B ; Common ; Greg & Tim Hildebrandt ;  Urza's Destiny
55 ; Carnival of Souls ; Enchantment ; 1B ; Rare ; Brian Snoddy ;  Urza's Destiny
56 ; Chime of Night ; Enchant Creature ; 1B ; Common ; Pete Venters ;  Urza's Destiny
57 ; Disease Carriers ; Creature - Rat 2/2 ; 2BB ; Common ; Chippy and Matthew Wilson ;  Urza's Destiny
58 ; Dying Wail ; Enchant Creature ; 1B ; Common ; Brian Snoddy ;  Urza's Destiny
59 ; Encroach ; Sorcery ; B ; Uncommon ; rk post ;  Urza's Destiny
60 ; Eradicate ; Sorcery ; 2BB ; Uncommon ; Kev Walker ;  Urza's Destiny
61 ; Festering Wound ; Enchant Creature ; 1B ; Uncommon ; Chippy and Matthew Wilson ;  Urza's Destiny
62 ; Lurking Jackals ; Enchantment ; B ; Uncommon ; Greg Staples ;  Urza's Destiny
63 ; Nightshade Seer ; Creature - Wizard 1/1 ; 3B ; Uncommon ; Donato Giancola ;  Urza's Destiny
64 ; Phyrexian Monitor ; Creature - Skeleton 2/2 ; 3B ; Common ; Carl Critchlow ;  Urza's Destiny
65 ; Phyrexian Negator ; Creature - Horror 5/5 ; 2B ; Rare ; John Zeleznik ;  Urza's Destiny
66 ; Plague Dogs ; Creature - Hound 3/3 ; 4B ; Uncommon ; Chippy and Matthew Wilson ;  Urza's Destiny
67 ; Rapid Decay ; Instant ; 1B ; Rare ; Chippy ;  Urza's Destiny
68 ; Ravenous Rats ; Creature - Rat 1/1 ; 1B ; Common ; Carl Critchlow ;  Urza's Destiny
69 ; Scent of Nightshade ; Instant ; 1B ; Common ; John Avon ;  Urza's Destiny
70 ; Skittering Horror ; Creature - Horror 4/3 ; 2B ; Common ; Mark Zug ;  Urza's Destiny
71 ; Slinking Skirge ; Creature - Imp 2/1 ; 3B ; Common ; Ron Spencer ;  Urza's Destiny
72 ; Soul Feast ; Sorcery ; 3BB ; Uncommon ; Ray Lago ;  Urza's Destiny
73 ; Squirming Mass ; Creature - Horror 1/1 ; 1B ; Common ; Ron Spencer ;  Urza's Destiny
74 ; Twisted Experiment ; Enchant Creature ; 1B ; Common ; rk post ;  Urza's Destiny
75 ; Yawgmoth's Bargain ; Enchantment ; 4BB ; Rare ; Michael Sutfin ;  Urza's Destiny
76 ; Ather Sting ; Enchantment ; 3R ; Uncommon ; Pete Venters ;  Urza's Destiny
77 ; Bloodshot Cyclops ; Creature - Giant 4/4 ; 5R ; Rare ; Ray Lago ;  Urza's Destiny
78 ; Cinder Seer ; Creature - Wizard 1/1 ; 3R ; Uncommon ; Donato Giancola ;  Urza's Destiny
79 ; Colos Yearling ; Creature - Beast 1/1 ; 2R ; Common ; Patrick Ho ;  Urza's Destiny
80 ; Covetous Dragon ; Creature - Dragon 6/5 ; 4R ; Rare ; rk post ;  Urza's Destiny
81 ; Flame Jet ; Sorcery ; 1R ; Common ; John Avon ;  Urza's Destiny
82 ; Goblin Berserker ; Creature - Goblin 2/2 ; 3R ; Uncommon ; Christopher Rush ;  Urza's Destiny
83 ; Goblin Festival ; Enchantment ; 1R ; Rare ; Jeff Laubenstein ;  Urza's Destiny
84 ; Goblin Gardener ; Creature - Goblin 2/1 ; 3R ; Common ; Dan Frazier ;  Urza's Destiny
85 ; Goblin Marshal ; Creature - Goblin 3/3 ; 4RR ; Rare ; DiTerlizzi ;  Urza's Destiny
86 ; Goblin Masons ; Creature - Goblin 2/1 ; 1R ; Common ; DiTerlizzi ;  Urza's Destiny
87 ; Hulking Ogre ; Creature - Ogre 3/3 ; 2R ; Common ; Greg & Tim Hildebrandt ;  Urza's Destiny
88 ; Impatience ; Enchantment ; 2R ; Rare ; Mark Brill ;  Urza's Destiny
89 ; Incendiary ; Enchant Creature ; R ; Uncommon ; Jeff Laubenstein ;  Urza's Destiny
90 ; Keldon Champion ; Creature - Barbarian 3/2 ; 2RR ; Uncommon ; Mark Tedin ;  Urza's Destiny
91 ; Keldon Vandals ; Creature - Townsfolk 4/1 ; 2R ; Common ; Greg Staples ;  Urza's Destiny
92 ; Landslide ; Sorcery ; R ; Uncommon ; Jeff Laubenstein ;  Urza's Destiny
93 ; Mark of Fury ; Enchant Creature ; R ; Common ; Thomas M. Baxa ;  Urza's Destiny
94 ; Reckless Abandon ; Sorcery ; R ; Common ; Ron Spears ;  Urza's Destiny
95 ; Repercussion ; Enchantment ; 1RR ; Rare ; Michael Sutfin ;  Urza's Destiny
96 ; Scent of Cinder ; Sorcery ; 1R ; Common ; Marc Fishman ;  Urza's Destiny
97 ; Sowing Salt ; Sorcery ; 2RR ; Uncommon ; Todd Lockwood ;  Urza's Destiny
98 ; Trumpet Blast ; Instant ; 2R ; Common ; Carl Critchlow ;  Urza's Destiny
99 ; Wake of Destruction ; Sorcery ; 3RRR ; Rare ; Todd Lockwood ;  Urza's Destiny
100 ; Wild Colos ; Creature - Beast 2/2 ; 2R ; Common ; Marc Fishman ;  Urza's Destiny
101 ; Ancient Silverback ; Creature - Ape 6/5 ; 4GG ; Rare ; Paolo Parente ;  Urza's Destiny
102 ; Compost ; Enchantment ; 1G ; Uncommon ; Douglas Shuler ;  Urza's Destiny
103 ; Elvish Lookout ; Creature - Elf 1/1 ; G ; Common ; Greg & Tim Hildebrandt ;  Urza's Destiny
104 ; Elvish Piper ; Creature - Elf 1/1 ; 3G ; Rare ; Scott M. Fischer ;  Urza's Destiny
105 ; Emperor Crocodile ; Creature - Crocodile 5/5 ; 3G ; Rare ; Kev Walker ;  Urza's Destiny
106 ; Gamekeeper ; Creature - Elf 2/2 ; 3G ; Uncommon ; Scott Hampton ;  Urza's Destiny
107 ; Goliath Beetle ; Creature - Insect 3/1 ; 2G ; Common ; Hazeltine ;  Urza's Destiny
108 ; Heart Warden ; Creature - Elf 1/1 ; 1G ; Common ; Adam Rex ;  Urza's Destiny
109 ; Hunting Moa ; Creature - Beast 3/2 ; 2G ; Uncommon ; DiTerlizzi ;  Urza's Destiny
110 ; Ivy Seer ; Creature - Wizard 1/1 ; 3G ; Uncommon ; Donato Giancola ;  Urza's Destiny
111 ; Magnify ; Instant ; G ; Common ; Michael Sutfin ;  Urza's Destiny
112 ; Marker Beetles ; Creature - Insect 2/3 ; 1GG ; Common ; Ron Spencer ;  Urza's Destiny
113 ; Momentum ; Enchant Creature ; 2G ; Uncommon ; Carl Critchlow ;  Urza's Destiny
114 ; Multani's Decree ; Sorcery ; 3G ; Common ; Eric Peterson ;  Urza's Destiny
115 ; Pattern of Rebirth ; Enchant Creature ; 3G ; Rare ; Mark Brill ;  Urza's Destiny
116 ; Plated Spider ; Creature - Spider 4/4 ; 4G ; Common ; Ron Spencer ;  Urza's Destiny
117 ; Plow Under ; Sorcery ; 3GG ; Rare ; Edward P. Beard, Jr. ;  Urza's Destiny
118 ; Rofellos, Llanowar Emissary ; Creature - Elf Legend 2/1 ; GG ; Rare ; Michael Sutfin ;  Urza's Destiny
119 ; Rofellos's Gift ; Sorcery ; G ; Common ; Pete Venters ;  Urza's Destiny
120 ; Scent of Ivy ; Instant ; G ; Common ; John Avon ;  Urza's Destiny
121 ; Splinter ; Sorcery ; 2GG ; Uncommon ; Daren Bader ;  Urza's Destiny
122 ; Taunting Elf ; Creature - Elf 0/1 ; G ; Common ; Scott M. Fischer ;  Urza's Destiny
123 ; Thorn Elemental ; Creature - Elemental 7/7 ; 5GG ; Rare ; rk post ;  Urza's Destiny
124 ; Yavimaya Elder ; Creature - Druid 2/1 ; 1GG ; Common ; Ray Lago ;  Urza's Destiny
125 ; Yavimaya Enchantress ; Creature - Druid 2/2 ; 2G ; Uncommon ; Matthew Wilson ;  Urza's Destiny
126 ; Braidwood Cup ; Artifact ; 3 ; Uncommon ; Greg & Tim Hildebrandt ;  Urza's Destiny
127 ; Braidwood Sextant ; Artifact ; 1 ; Uncommon ; Hazeltine ;  Urza's Destiny
128 ; Brass Secretary ; Artifact Creature 2/1 ; 3 ; Uncommon ; DiTerlizzi ;  Urza's Destiny
129 ; Caltrops ; Artifact ; 3 ; Uncommon ; Jeff Laubenstein ;  Urza's Destiny
130 ; Extruder ; Artifact Creature 4/3 ; 4 ; Uncommon ; Mark Tedin ;  Urza's Destiny
131 ; Fodder Cannon ; Artifact ; 4 ; Uncommon ; DiTerlizzi ;  Urza's Destiny
132 ; Junk Diver ; Artifact Creature 1/1 ; 3 ; Rare ; Eric Peterson ;  Urza's Destiny
133 ; Mantis Engine ; Artifact Creature 3/3 ; 5 ; Uncommon ; John Zeleznik ;  Urza's Destiny
134 ; Masticore ; Artifact Creature 4/4 ; 4 ; Rare ; Paolo Parente ;  Urza's Destiny
135 ; Metalworker ; Artifact Creature 1/2 ; 3 ; Rare ; Hazeltine ;  Urza's Destiny
136 ; Powder Keg ; Artifact ; 2 ; Rare ; Dan Frazier ;  Urza's Destiny
137 ; Scrying Glass ; Artifact ; 2 ; Rare ; Patrick Ho ;  Urza's Destiny
138 ; Storage Matrix ; Artifact ; 3 ; Rare ; Patrick Ho ;  Urza's Destiny
139 ; Thran Dynamo ; Artifact ; 4 ; Uncommon ; Ron Spears ;  Urza's Destiny
140 ; Thran Foundry ; Artifact ; 1 ; Uncommon ; John Zeleznik ;  Urza's Destiny
141 ; Thran Golem ; Artifact Creature - Golem 3/3 ; 5 ; Rare ; Ron Spears ;  Urza's Destiny
142 ; Urza's Incubator ; Artifact ; 3 ; Rare ; Pete Venters ;  Urza's Destiny
143 ; Yavimaya Hollow ; Legendary Land ; ; Rare ; Douglas Shuler ;  Urza's Destiny
