1 ; Adarkar Valkyrie ; Snow Creature - Angel 4/5 ; 4WW ; Rare ; Jeremy Jarvis ;  Coldsnap
118 ; Rimehorn Aurochs ; Snow Creature - Aurochs 3/3 ; 4G ; Uncommon ; Brian Despain ;  Coldsnap
119 ; Ronom Hulk ; Creature - Beast 5/6 ; 4G ; Common ; Zoltan Boros & Gabor Szikszai ;  Coldsnap
120 ; Shape of the Wiitigo ; Enchantment - Aura ; 3GGG ; Rare ; Ron Spencer ;  Coldsnap
121 ; Sheltering Ancient ; Creature - Treefolk 5/5 ; 1G ; Uncommon ; Pete Venters ;  Coldsnap
122 ; Simian Brawler ; Creature - Ape Warrior 3/3 ; 3G ; Common ; Warren Mahy ;  Coldsnap
123 ; Sound the Call ; Sorcery ; 2G ; Common ; Jim Nelson ;  Coldsnap
124 ; Steam Spitter ; Creature - Spider 1/5 ; 4G ; Uncommon ; Christopher Rush ;  Coldsnap
125 ; Surging Might ; Enchantment - Aura ; 2G ; Common ; Luca Zontini ;  Coldsnap
126 ; Blizzard Specter ; Snow Creature - Specter 2/3 ; 2UB ; Uncommon ; Hideaki Takamura ;  Coldsnap
127 ; Deepfire Elemental ; Creature - Elemental 4/4 ; 4BR ; Uncommon ; Joel Thomas ;  Coldsnap
128 ; Diamond Faerie ; Snow Creature - Faerie 3/3 ; 2WUG ; Rare ; Heather Hudson ;  Coldsnap
129 ; Garza Zol, Plague Queen ; Legendary Creature - Vampire 5/5 ; 4UBR ; Rare ; Darrell Riche ;  Coldsnap
130 ; Juniper Order Ranger ; Creature - Human Knight 2/4 ; 3WG ; Uncommon ; Greg Hildebrandt ;  Coldsnap
131 ; Sek'Kuar, Deathkeeper ; Legendary Creature - Orc Shaman 4/3 ; 2BRG ; Rare ; Jeff Miracola ;  Coldsnap
132 ; Tamanoa ; Creature - Spirit 2/4 ; WRG ; Rare ; rk post ;  Coldsnap
133 ; Vanish into Memory ; Instant ; 2WU ; Uncommon ; Rebekah Lynn ;  Coldsnap
134 ; Wilderness Elemental ; Creature - Elemental */3 ; 1RG ; Uncommon ; Anthony S. Waters ;  Coldsnap
135 ; Zur the Enchanter ; Legendary Creature - Human Wizard 1/4 ; 1WUB ; Rare ; Pete Venters ;  Coldsnap
136 ; Coldsteel Heart ; Snow Artifact ; 2 ; Uncommon ; Mark Romanoski ;  Coldsnap
137 ; Jester's Scepter ; Artifact ; 3 ; Rare ; Matt Cavotta ;  Coldsnap
138 ; Mishra's Bauble ; Artifact ; 0 ; Uncommon ; Chippy ;  Coldsnap
139 ; Phyrexian Ironfoot ; Snow Artifact Creature - Construct 3/4 ; 3 ; Uncommon ; Stephan Martiniere ;  Coldsnap
140 ; Phyrexian Snowcrusher ; Snow Artifact Creature - Juggernaut 6/5 ; 6 ; Uncommon ; Dave Allsop ;  Coldsnap
141 ; Phyrexian Soulgorger ; Snow Artifact Creature - Construct 8/8 ; 3 ; Rare ; Brian Snoddy ;  Coldsnap
142 ; Thrumming Stone ; Legendary Artifact ; 5 ; Rare ; Rob Alexander ;  Coldsnap
143 ; Arctic Flats ; Snow Land ; ; Uncommon ; John Avon ;  Coldsnap
144 ; Boreal Shelf ; Snow Land ; ; Uncommon ; Heather Hudson ;  Coldsnap
145 ; Dark Depths ; Legendary Snow Land ; ; Rare ; Stephan Martiniere ;  Coldsnap
146 ; Frost Marsh ; Snow Land ; ; Uncommon ; Jim Pavelec ;  Coldsnap
147 ; Highland Weald ; Snow Land ; ; Uncommon ; John Avon ;  Coldsnap
148 ; Mouth of Ronom ; Snow Land ; ; Uncommon ; Daren Bader ;  Coldsnap
149 ; Scrying Sheets ; Snow Land ; ; Rare ; Thomas M. Baxa ;  Coldsnap
150 ; Tresserhorn Sinks ; Snow Land ; ; Uncommon ; Darrell Riche ;  Coldsnap
151 ; Snow-Covered Plains ; Basic Snow Land - Plains ; ; Common ; Mark Romanoski ;  Coldsnap
152 ; Snow-Covered Island ; Basic Snow Land - Island ; ; Common ; Franz Vohwinkel ;  Coldsnap
153 ; Snow-Covered Swamp ; Basic Snow Land - Swamp ; ; Common ; Rob Alexander ;  Coldsnap
154 ; Snow-Covered Mountain ; Basic Snow Land - Mountain ; ; Common ; John Zeleznik ;  Coldsnap
155 ; Snow-Covered Forest ; Basic Snow Land - Forest ; ; Common ; Jim Nelson ;  Coldsnap
