1 ; Animate Dead ; Enchant Dead Creature ; 1B ; Uncommon ; Anson Maddocks ;  Revised Edition
78 ; Sea Serpent ; Summon Serpent 5/5 ; 5U ; Common ; Jeff A. Menges ;  Revised Edition
79 ; Serendib Efreet ; Summon Efreet 3/4 ; 2U ; Rare ; Jesper Myrfors ;  Revised Edition
80 ; Siren's Call ; Instant ; U ; Uncommon ; Anson Maddocks ;  Revised Edition
81 ; Sleight of Mind ; Interrupt ; U ; Rare ; Mark Poole ;  Revised Edition
82 ; Spell Blast ; Interrupt ; XU ; Common ; Brian Snoddy ;  Revised Edition
83 ; Stasis ; Enchantment ; 1U ; Rare ; Fay Jones ;  Revised Edition
84 ; Steal Artifact ; Enchant Artifact ; 2UU ; Uncommon ; Amy Weber ;  Revised Edition
85 ; Thoughtlace ; Interrupt ; U ; Rare ; Mark Poole ;  Revised Edition
86 ; Unstable Mutation ; Enchant Creature ; U ; Common ; Douglas Shuler ;  Revised Edition
87 ; Unsummon ; Instant ; U ; Common ; Douglas Shuler ;  Revised Edition
88 ; Vesuvan Doppelganger ; Summon Doppelganger 0/0 ; 3UU ; Rare ; Quinton Hoover ;  Revised Edition
89 ; Volcanic Eruption ; Sorcery ; XUUU ; Rare ; Douglas Shuler ;  Revised Edition
90 ; Wall of Air ; Summon Wall 1/5 ; 1UU ; Uncommon ; Richard Thomas ;  Revised Edition
91 ; Wall of Water ; Summon Wall 0/5 ; 1UU ; Uncommon ; Richard Thomas ;  Revised Edition
92 ; Water Elemental ; Summon Elemental 5/4 ; 3UU ; Uncommon ; Jeff A. Menges ;  Revised Edition
93 ; Aspect of Wolf ; Enchant Creature ; 1G ; Rare ; Jeff A. Menges ;  Revised Edition
94 ; Birds of Paradise ; Summon Mana Birds 0/1 ; G ; Rare ; Mark Poole ;  Revised Edition
95 ; Channel ; Sorcery ; GG ; Uncommon ; Richard Thomas ;  Revised Edition
96 ; Cockatrice ; Summon Cockatrice 2/4 ; 3GG ; Rare ; Dan Frazier ;  Revised Edition
97 ; Craw Wurm ; Summon Wurm 6/4 ; 4GG ; Common ; Daniel Gelon ;  Revised Edition
98 ; Crumble ; Instant ; G ; Uncommon ; Jesper Myrfors ;  Revised Edition
99 ; Desert Twister ; Sorcery ; 4GG ; Uncommon ; Susan Van Camp ;  Revised Edition
100 ; Elvish Archers ; Summon Elves 2/1 ; 1G ; Rare ; Anson Maddocks ;  Revised Edition
101 ; Fastbond ; Enchantment ; G ; Rare ; Mark Poole ;  Revised Edition
102 ; Fog ; Instant ; G ; Common ; Jesper Myrfors ;  Revised Edition
103 ; Force of Nature ; Summon Force 8/8 ; 2GGGG ; Rare ; Douglas Shuler ;  Revised Edition
104 ; Fungusaur ; Summon Fungusaur 2/2 ; 3G ; Rare ; Daniel Gelon ;  Revised Edition
105 ; Gaea's Liege ; Summon Gaea's Liege */* ; 3GGG ; Rare ; Dameon Willich ;  Revised Edition
106 ; Giant Growth ; Instant ; G ; Common ; Sandra Everingham ;  Revised Edition
107 ; Giant Spider ; Summon Spider 2/4 ; 3G ; Common ; Sandra Everingham ;  Revised Edition
108 ; Grizzly Bears ; Summon Bears 2/2 ; 1G ; Common ; Jeff A. Menges ;  Revised Edition
109 ; Hurricane ; Sorcery ; XG ; Uncommon ; Dameon Willich ;  Revised Edition
110 ; Instill Energy ; Enchant Creature ; G ; Uncommon ; Dameon Willich ;  Revised Edition
111 ; Ironroot Treefolk ; Summon Treefolk 3/5 ; 4G ; Common ; Jesper Myrfors ;  Revised Edition
112 ; Kudzu ; Enchant Land ; 1GG ; Rare ; Mark Poole ;  Revised Edition
113 ; Ley Druid ; Summon Cleric 1/1 ; 2G ; Uncommon ; Sandra Everingham ;  Revised Edition
114 ; Lifeforce ; Enchantment ; GG ; Uncommon ; Dameon Willich ;  Revised Edition
115 ; Lifelace ; Interrupt ; G ; Rare ; Amy Weber ;  Revised Edition
116 ; Living Artifact ; Enchant Artifact ; G ; Rare ; Anson Maddocks ;  Revised Edition
117 ; Living Lands ; Enchantment ; 3G ; Rare ; Jesper Myrfors ;  Revised Edition
118 ; Llanowar Elves ; Summon Elves 1/1 ; G ; Common ; Anson Maddocks ;  Revised Edition
119 ; Lure ; Enchant Creature ; 1GG ; Uncommon ; Anson Maddocks ;  Revised Edition
120 ; Regeneration ; Enchant Creature ; 1G ; Common ; Quinton Hoover ;  Revised Edition
121 ; Regrowth ; Sorcery ; 1G ; Uncommon ; Dameon Willich ;  Revised Edition
122 ; Scryb Sprites ; Summon Faeries 1/1 ; G ; Common ; Amy Weber ;  Revised Edition
123 ; Shanodin Dryads ; Summon Nymphs 1/1 ; G ; Common ; Anson Maddocks ;  Revised Edition
124 ; Stream of Life ; Sorcery ; XG ; Common ; Mark Poole ;  Revised Edition
125 ; Thicket Basilisk ; Summon Basilisk 2/4 ; 3GG ; Uncommon ; Dan Frazier ;  Revised Edition
126 ; Timber Wolves ; Summon Wolves 1/1 ; G ; Rare ; Melissa Benson ;  Revised Edition
127 ; Titania's Song ; Enchantment ; 3G ; Rare ; Kerstin Kaman ;  Revised Edition
128 ; Tranquility ; Sorcery ; 2G ; Common ; Douglas Shuler ;  Revised Edition
129 ; Tsunami ; Sorcery ; 3G ; Uncommon ; Richard Thomas ;  Revised Edition
130 ; Verduran Enchantress ; Summon Enchantress 0/2 ; 1GG ; Rare ; Kev Brockschmidt ;  Revised Edition
131 ; Wall of Brambles ; Summon Wall 2/3 ; 2G ; Uncommon ; Anson Maddocks ;  Revised Edition
132 ; Wall of Ice ; Summon Wall 0/7 ; 2G ; Uncommon ; Richard Thomas ;  Revised Edition
133 ; Wall of Wood ; Summon Wall 0/3 ; G ; Common ; Mark Tedin ;  Revised Edition
134 ; Wanderlust ; Enchant Creature ; 2G ; Uncommon ; Cornelius Brudi ;  Revised Edition
135 ; War Mammoth ; Summon Mammoth 3/3 ; 3G ; Common ; Jeff A. Menges ;  Revised Edition
136 ; Web ; Enchant Creature ; G ; Rare ; Rob Alexander ;  Revised Edition
137 ; Wild Growth ; Enchant Land ; G ; Common ; Mark Poole ;  Revised Edition
138 ; Atog ; Summon Atog 1/2 ; 1R ; Common ; Jesper Myrfors ;  Revised Edition
139 ; Burrowing ; Enchant Creature ; R ; Uncommon ; Mark Poole ;  Revised Edition
140 ; Chaoslace ; Interrupt ; R ; Rare ; Dameon Willich ;  Revised Edition
141 ; Disintegrate ; Sorcery ; XR ; Common ; Anson Maddocks ;  Revised Edition
142 ; Dragon Whelp ; Summon Dragon 2/3 ; 2RR ; Uncommon ; Amy Weber ;  Revised Edition
143 ; Dwarven Warriors ; Summon Dwarves 1/1 ; 2R ; Common ; Douglas Shuler ;  Revised Edition
144 ; Dwarven Weaponsmith ; Summon Dwarves 1/1 ; 1R ; Uncommon ; Mark Poole ;  Revised Edition
145 ; Earth Elemental ; Summon Elemental 4/5 ; 3RR ; Uncommon ; Dan Frazier ;  Revised Edition
146 ; Earthbind ; Enchant Creature ; R ; Common ; Quinton Hoover ;  Revised Edition
147 ; Earthquake ; Sorcery ; XR ; Rare ; Dan Frazier ;  Revised Edition
148 ; Fire Elemental ; Summon Elemental 5/4 ; 3RR ; Uncommon ; Melissa Benson ;  Revised Edition
149 ; Fireball ; Sorcery ; XR ; Common ; Mark Tedin ;  Revised Edition
150 ; Firebreathing ; Enchant Creature ; R ; Common ; Dan Frazier ;  Revised Edition
151 ; Flashfires ; Sorcery ; 3R ; Uncommon ; Dameon Willich ;  Revised Edition
152 ; Fork ; Interrupt ; RR ; Rare ; Amy Weber ;  Revised Edition
153 ; Goblin Balloon Brigade ; Summon Goblins 1/1 ; R ; Uncommon ; Andi Rusu ;  Revised Edition
154 ; Goblin King ; Summon Lord 2/2 ; 1RR ; Rare ; Jesper Myrfors ;  Revised Edition
155 ; Granite Gargoyle ; Summon Gargoyle 2/2 ; 2R ; Rare ; Christopher Rush ;  Revised Edition
156 ; Gray Ogre ; Summon Ogre 2/2 ; 2R ; Common ; Dan Frazier ;  Revised Edition
157 ; Hill Giant ; Summon Giant 3/3 ; 3R ; Common ; Dan Frazier ;  Revised Edition
158 ; Hurloon Minotaur ; Summon Minotaur 2/3 ; 1RR ; Common ; Anson Maddocks ;  Revised Edition
159 ; Keldon Warlord ; Summon Lord */* ; 2RR ; Uncommon ; Kev Brockschmidt ;  Revised Edition
160 ; Kird Ape ; Summon Ape 1/1 ; R ; Common ; Ken Meyer, Jr. ;  Revised Edition
161 ; Lightning Bolt ; Instant ; R ; Common ; Christopher Rush ;  Revised Edition
162 ; Magnetic Mountain ; Enchantment ; 1RR ; Rare ; Susan Van Camp ;  Revised Edition
163 ; Mana Flare ; Enchantment ; 2R ; Rare ; Christopher Rush ;  Revised Edition
164 ; Manabarbs ; Enchantment ; 3R ; Rare ; Christopher Rush ;  Revised Edition
165 ; Mijae Djinn ; Summon Djinn 6/3 ; RRR ; Rare ; Susan Van Camp ;  Revised Edition
166 ; Mons's Goblin Raiders ; Summon Goblins 1/1 ; R ; Common ; Jeff A. Menges ;  Revised Edition
167 ; Orcish Artillery ; Summon Orcs 1/3 ; 1RR ; Uncommon ; Anson Maddocks ;  Revised Edition
168 ; Orcish Oriflamme ; Enchantment ; 3R ; Uncommon ; Dan Frazier ;  Revised Edition
169 ; Power Surge ; Enchantment ; RR ; Rare ; Douglas Shuler ;  Revised Edition
170 ; Red Elemental Blast ; Interrupt ; R ; Common ; Richard Thomas ;  Revised Edition
171 ; Roc of Kher Ridges ; Summon Roc 3/3 ; 3R ; Rare ; Andi Rusu ;  Revised Edition
172 ; Rock Hydra ; Summon Hydra 0/0 ; XRR ; Rare ; Jeff A. Menges ;  Revised Edition
173 ; Sedge Troll ; Summon Troll 2/2 ; 2R ; Rare ; Dan Frazier ;  Revised Edition
174 ; Shatter ; Instant ; 1R ; Common ; Amy Weber ;  Revised Edition
175 ; Shatterstorm ; Sorcery ; 2RR ; Uncommon ; Mark Poole ;  Revised Edition
176 ; Shivan Dragon ; Summon Dragon 5/5 ; 4RR ; Rare ; Melissa Benson ;  Revised Edition
177 ; Smoke ; Enchantment ; RR ; Rare ; Jesper Myrfors ;  Revised Edition
178 ; Stone Giant ; Summon Giant 3/4 ; 2RR ; Uncommon ; Dameon Willich ;  Revised Edition
179 ; Stone Rain ; Sorcery ; 2R ; Common ; Daniel Gelon ;  Revised Edition
180 ; Tunnel ; Instant ; R ; Uncommon ; Dan Frazier ;  Revised Edition
181 ; Uthden Troll ; Summon Troll 2/2 ; 2R ; Uncommon ; Douglas Shuler ;  Revised Edition
182 ; Wall of Fire ; Summon Wall 0/5 ; 1RR ; Uncommon ; Richard Thomas ;  Revised Edition
183 ; Wall of Stone ; Summon Wall 0/8 ; 1RR ; Uncommon ; Dan Frazier ;  Revised Edition
184 ; Wheel of Fortune ; Sorcery ; 2R ; Rare ; Daniel Gelon ;  Revised Edition
185 ; Animate Wall ; Enchant Wall ; W ; Rare ; Dan Frazier ;  Revised Edition
186 ; Armageddon ; Sorcery ; 3W ; Rare ; Jesper Myrfors ;  Revised Edition
187 ; Balance ; Sorcery ; 1W ; Rare ; Mark Poole ;  Revised Edition
188 ; Benalish Hero ; Summon Hero 1/1 ; W ; Common ; Douglas Shuler ;  Revised Edition
189 ; Black Ward ; Enchant Creature ; W ; Uncommon ; Dan Frazier ;  Revised Edition
190 ; Blessing ; Enchant Creature ; WW ; Rare ; Julie Baroh ;  Revised Edition
191 ; Blue Ward ; Enchant Creature ; W ; Uncommon ; Dan Frazier ;  Revised Edition
192 ; Castle ; Enchantment ; 3W ; Uncommon ; Dameon Willich ;  Revised Edition
193 ; Circle of Protection: Black ; Enchantment ; 1W ; Common ; Jesper Myrfors ;  Revised Edition
194 ; Circle of Protection: Blue ; Enchantment ; 1W ; Common ; Dameon Willich ;  Revised Edition
195 ; Circle of Protection: Green ; Enchantment ; 1W ; Common ; Sandra Everingham ;  Revised Edition
196 ; Circle of Protection: Red ; Enchantment ; 1W ; Common ; Mark Tedin ;  Revised Edition
197 ; Circle of Protection: White ; Enchantment ; 1W ; Common ; Douglas Shuler ;  Revised Edition
198 ; Conversion ; Enchantment ; 2WW ; Uncommon ; Jesper Myrfors ;  Revised Edition
199 ; Crusade ; Enchantment ; WW ; Rare ; Mark Poole ;  Revised Edition
200 ; Death Ward ; Instant ; W ; Common ; Mark Poole ;  Revised Edition
201 ; Disenchant ; Instant ; 1W ; Common ; Amy Weber ;  Revised Edition
202 ; Eye for an Eye ; Instant ; WW ; Rare ; Mark Poole ;  Revised Edition
203 ; Farmstead ; Enchant Land ; WWW ; Rare ; Mark Poole ;  Revised Edition
204 ; Green Ward ; Enchant Creature ; W ; Uncommon ; Dan Frazier ;  Revised Edition
205 ; Guardian Angel ; Instant ; XW ; Common ; Anson Maddocks ;  Revised Edition
206 ; Healing Salve ; Instant ; W ; Common ; Dan Frazier ;  Revised Edition
207 ; Holy Armor ; Enchant Creature ; W ; Common ; Melissa Benson ;  Revised Edition
208 ; Holy Strength ; Enchant Creature ; W ; Common ; Anson Maddocks ;  Revised Edition
209 ; Island Sanctuary ; Enchantment ; 1W ; Rare ; Mark Poole ;  Revised Edition
210 ; Karma ; Enchantment ; 2WW ; Uncommon ; Richard Thomas ;  Revised Edition
211 ; Lance ; Enchant Creature ; W ; Uncommon ; Rob Alexander ;  Revised Edition
212 ; Mesa Pegasus ; Summon Pegasus 1/1 ; 1W ; Common ; Melissa Benson ;  Revised Edition
213 ; Northern Paladin ; Summon Paladin 3/3 ; 2WW ; Rare ; Douglas Shuler ;  Revised Edition
214 ; Pearled Unicorn ; Summon Unicorn 2/2 ; 2W ; Common ; Cornelius Brudi ;  Revised Edition
215 ; Personal Incarnation ; Summon Avatar 6/6 ; 3WWW ; Rare ; Kev Brockschmidt ;  Revised Edition
216 ; Purelace ; Interrupt ; W ; Rare ; Sandra Everingham ;  Revised Edition
217 ; Red Ward ; Enchant Creature ; W ; Uncommon ; Dan Frazier ;  Revised Edition
218 ; Resurrection ; Sorcery ; 2WW ; Uncommon ; Dan Frazier ;  Revised Edition
219 ; Reverse Damage ; Instant ; 1WW ; Rare ; Dameon Willich ;  Revised Edition
220 ; Reverse Polarity ; Instant ; WW ; Uncommon ; Justin Hampton ;  Revised Edition
221 ; Righteousness ; Instant ; W ; Rare ; Douglas Shuler ;  Revised Edition
222 ; Samite Healer ; Summon Cleric 1/1 ; 1W ; Common ; Tom W‰nerstrand ;  Revised Edition
223 ; Savannah Lions ; Summon Lions 2/1 ; W ; Rare ; Daniel Gelon ;  Revised Edition
224 ; Serra Angel ; Summon Angel 4/4 ; 3WW ; Uncommon ; Douglas Shuler ;  Revised Edition
225 ; Swords to Plowshares ; Instant ; W ; Uncommon ; Jeff A. Menges ;  Revised Edition
226 ; Veteran Bodyguard ; Summon Bodyguard 2/5 ; 3WW ; Rare ; Douglas Shuler ;  Revised Edition
227 ; Wall of Swords ; Summon Wall 3/5 ; 3W ; Uncommon ; Mark Tedin ;  Revised Edition
228 ; White Knight ; Summon Knight 2/2 ; WW ; Uncommon ; Daniel Gelon ;  Revised Edition
229 ; White Ward ; Enchant Creature ; W ; Uncommon ; Dan Frazier ;  Revised Edition
230 ; Wrath of God ; Sorcery ; 2WW ; Rare ; Quinton Hoover ;  Revised Edition
231 ; Aladdin's Lamp ; Artifact ; 10 ; Rare ; Mark Tedin ;  Revised Edition
232 ; Aladdin's Ring ; Artifact ; 8 ; Rare ; Dan Frazier ;  Revised Edition
233 ; Ankh of Mishra ; Artifact ; 2 ; Rare ; Amy Weber ;  Revised Edition
234 ; Armageddon Clock ; Artifact ; 6 ; Rare ; Amy Weber ;  Revised Edition
235 ; Basalt Monolith ; Artifact ; 3 ; Uncommon ; Jesper Myrfors ;  Revised Edition
236 ; Black Vise ; Artifact ; 1 ; Uncommon ; Richard Thomas ;  Revised Edition
237 ; Bottle of Suleiman ; Artifact ; 4 ; Rare ; Jesper Myrfors ;  Revised Edition
238 ; Brass Man ; Artifact Creature 1/3 ; 1 ; Uncommon ; Christopher Rush ;  Revised Edition
239 ; Celestial Prism ; Artifact ; 3 ; Uncommon ; Amy Weber ;  Revised Edition
240 ; Clockwork Beast ; Artifact Creature 0/4 ; 6 ; Rare ; Drew Tucker ;  Revised Edition
241 ; Conservator ; Artifact ; 4 ; Uncommon ; Amy Weber ;  Revised Edition
242 ; Crystal Rod ; Artifact ; 1 ; Uncommon ; Amy Weber ;  Revised Edition
243 ; Dancing Scimitar ; Artifact Creature 1/5 ; 4 ; Rare ; Anson Maddocks ;  Revised Edition
244 ; Dingus Egg ; Artifact ; 4 ; Rare ; Dan Frazier ;  Revised Edition
245 ; Disrupting Scepter ; Artifact ; 3 ; Rare ; Dan Frazier ;  Revised Edition
246 ; Dragon Engine ; Artifact Creature 1/3 ; 3 ; Rare ; Anson Maddocks ;  Revised Edition
247 ; Ebony Horse ; Artifact ; 3 ; Rare ; Dameon Willich ;  Revised Edition
248 ; Flying Carpet ; Artifact ; 4 ; Rare ; Mark Tedin ;  Revised Edition
249 ; Glasses of Urza ; Artifact ; 1 ; Uncommon ; Douglas Shuler ;  Revised Edition
250 ; Helm of Chatzuk ; Artifact ; 1 ; Rare ; Mark Tedin ;  Revised Edition
251 ; Howling Mine ; Artifact ; 2 ; Rare ; Mark Poole ;  Revised Edition
252 ; Iron Star ; Artifact ; 1 ; Uncommon ; Dan Frazier ;  Revised Edition
253 ; Ivory Cup ; Artifact ; 1 ; Uncommon ; Anson Maddocks ;  Revised Edition
254 ; Ivory Tower ; Artifact ; 1 ; Rare ; Margaret Organ-Kean ;  Revised Edition
255 ; Jade Monolith ; Artifact ; 4 ; Rare ; Anson Maddocks ;  Revised Edition
256 ; Jandor's Ring ; Artifact ; 6 ; Rare ; Dan Frazier ;  Revised Edition
257 ; Jandor's Saddlebags ; Artifact ; 2 ; Rare ; Dameon Willich ;  Revised Edition
258 ; Jayemdae Tome ; Artifact ; 4 ; Rare ; Mark Tedin ;  Revised Edition
259 ; Juggernaut ; Artifact Creature 5/3 ; 4 ; Uncommon ; Dan Frazier ;  Revised Edition
260 ; Kormus Bell ; Artifact ; 4 ; Rare ; Christopher Rush ;  Revised Edition
261 ; Library of Leng ; Artifact ; 1 ; Uncommon ; Daniel Gelon ;  Revised Edition
262 ; Living Wall ; Artifact Creature 0/6 ; 4 ; Uncommon ; Anson Maddocks ;  Revised Edition
263 ; Mana Vault ; Artifact ; 1 ; Rare ; Mark Tedin ;  Revised Edition
264 ; Meekstone ; Artifact ; 1 ; Rare ; Quinton Hoover ;  Revised Edition
265 ; Millstone ; Artifact ; 2 ; Rare ; Kaja Foglio ;  Revised Edition
266 ; Mishra's War Machine ; Artifact Creature 5/5 ; 7 ; Rare ; Amy Weber ;  Revised Edition
267 ; Nevinyrral's Disk ; Artifact ; 4 ; Rare ; Mark Tedin ;  Revised Edition
268 ; Obsianus Golem ; Artifact Creature 4/6 ; 6 ; Uncommon ; Jesper Myrfors ;  Revised Edition
269 ; Onulet ; Artifact Creature 2/2 ; 3 ; Rare ; Kerstin Kaman ;  Revised Edition
270 ; Ornithopter ; Artifact Creature 0/2 ; 0 ; Uncommon ; Amy Weber ;  Revised Edition
271 ; Primal Clay ; Artifact Creature */* ; 4 ; Rare ; Kaja Foglio ;  Revised Edition
272 ; Rocket Launcher ; Artifact ; 4 ; Rare ; Pete Venters ;  Revised Edition
273 ; Rod of Ruin ; Artifact ; 4 ; Uncommon ; Christopher Rush ;  Revised Edition
274 ; Sol Ring ; Artifact ; 1 ; Uncommon ; Mark Tedin ;  Revised Edition
275 ; Soul Net ; Artifact ; 1 ; Uncommon ; Dameon Willich ;  Revised Edition
276 ; Sunglasses of Urza ; Artifact ; 3 ; Rare ; Dan Frazier ;  Revised Edition
277 ; The Hive ; Artifact ; 5 ; Rare ; Sandra Everingham ;  Revised Edition
278 ; The Rack ; Artifact ; 1 ; Uncommon ; Richard Thomas ;  Revised Edition
279 ; Throne of Bone ; Artifact ; 1 ; Uncommon ; Anson Maddocks ;  Revised Edition
