1 ; Abyssal Specter ; Summon Specter 2/3 ; 2BB ; Uncommon ; George Pratt ;  Fifth Edition
128 ; Steal Artifact ; Enchant Artifact ; 2UU ; Uncommon ; John Coulthart ;  Fifth Edition
129 ; Time Elemental ; Summon Elemental 0/2 ; 2U ; Rare ; Amy Weber ;  Fifth Edition
130 ; Twiddle ; Instant ; U ; Common ; Rob Alexander ;  Fifth Edition
131 ; Unstable Mutation ; Enchant Creature ; U ; Common ; Charles Gillespie ;  Fifth Edition
132 ; Unsummon ; Instant ; U ; Common ; Douglas Shuler ;  Fifth Edition
133 ; Updraft ; Instant ; 1U ; Common ; John Matson ;  Fifth Edition
134 ; Vodalian Soldiers ; Summon Merfolk 1/2 ; 1U ; Common ; Melissa A. Benson ;  Fifth Edition
135 ; Wall of Air ; Summon Wall 1/5 ; 1UU ; Uncommon ; Richard Kane Ferguson ;  Fifth Edition
136 ; Wind Spirit ; Summon Spirit 3/2 ; 4U ; Uncommon ; Kaja Foglio ;  Fifth Edition
137 ; Zephyr Falcon ; Summon Falcon 1/1 ; 1U ; Common ; Heather Hudson ;  Fifth Edition
138 ; Zur's Weirding ; Enchantment ; 3U ; Rare ; Liz Danforth ;  Fifth Edition
139 ; An-Havva Constable ; Summon Constable 2/1+* ; 1GG ; Rare ; Dan Frazier ;  Fifth Edition
140 ; Aspect of Wolf ; Enchant Creature ; 1G ; Rare ; Janine Johnston ;  Fifth Edition
141 ; Aurochs ; Summon Aurochs 2/3 ; 3G ; Common ; Steve White ;  Fifth Edition
142 ; Birds of Paradise ; Summon Mana Birds 0/1 ; G ; Rare ; Mark Poole ;  Fifth Edition
143 ; Carapace ; Enchant Creature ; G ; Common ; Anson Maddocks ;  Fifth Edition
144 ; Cat Warriors ; Summon Cat Warriors 2/2 ; 1GG ; Common ; Melissa A. Benson ;  Fifth Edition
145 ; Chub Toad ; Summon Toad 1/1 ; 2G ; Common ; Daniel Gelon ;  Fifth Edition
146 ; Cockatrice ; Summon Cockatrice 2/4 ; 3GG ; Rare ; Dan Frazier ;  Fifth Edition
147 ; Craw Giant ; Summon Giant 6/4 ; 3GGGG ; Uncommon ; Scott Kirschner ;  Fifth Edition
148 ; Craw Wurm ; Summon Wurm 6/4 ; 4GG ; Common ; Daniel Gelon ;  Fifth Edition
149 ; Crumble ; Instant ; G ; Uncommon ; Jesper Myrfors ;  Fifth Edition
150 ; Desert Twister ; Sorcery ; 4GG ; Uncommon ; Susan Van Camp ;  Fifth Edition
151 ; Durkwood Boars ; Summon Boars 4/4 ; 4G ; Common ; Mike Kimble ;  Fifth Edition
152 ; Elder Druid ; Summon Cleric 2/2 ; 3G ; Rare ; Richard Kane Ferguson ;  Fifth Edition
153 ; Elven Riders ; Summon Riders 3/3 ; 3GG ; Uncommon ; Dan Frazier ;  Fifth Edition
154 ; Elvish Archers ; Summon Elves 2/1 ; 1G ; Rare ; Anson Maddocks ;  Fifth Edition
155 ; Fog ; Instant ; G ; Common ; John Avon ;  Fifth Edition
156 ; Force of Nature ; Summon Force 8/8 ; 2GGGG ; Rare ; Pete Venters ;  Fifth Edition
157 ; Foxfire ; Instant ; 2G ; Common ; Margaret Organ-Kean ;  Fifth Edition
158 ; Fungusaur ; Summon Fungusaur 2/2 ; 3G ; Rare ; Scott M. Fischer ;  Fifth Edition
159 ; Fyndhorn Elder ; Summon Elf 1/1 ; 2G ; Uncommon ; Donato Giancola ;  Fifth Edition
160 ; Ghazb·n Ogre ; Summon Ogre 2/2 ; G ; Common ; Mike Raabe ;  Fifth Edition
161 ; Giant Growth ; Instant ; G ; Common ; DiTerlizzi ;  Fifth Edition
162 ; Giant Spider ; Summon Spider 2/4 ; 3G ; Common ; Brian Snoddy ;  Fifth Edition
163 ; Grizzly Bears ; Summon Bears 2/2 ; 1G ; Common ; Una Fricker ;  Fifth Edition
164 ; Hungry Mist ; Summon Mist 6/2 ; 2GG ; Common ; Heather Hudson ;  Fifth Edition
165 ; Hurricane ; Sorcery ; XG ; Uncommon ; Cornelius Brudi ;  Fifth Edition
166 ; Instill Energy ; Enchant Creature ; G ; Uncommon ; Ron Spencer ;  Fifth Edition
167 ; Ironroot Treefolk ; Summon Treefolk 3/5 ; 4G ; Common ; Jerry Tiritilli ;  Fifth Edition
168 ; Johtull Wurm ; Summon Wurm 6/6 ; 5G ; Uncommon ; Ian Miller ;  Fifth Edition
169 ; Killer Bees ; Summon Bees 0/1 ; 1GG ; Uncommon ; Phil Foglio ;  Fifth Edition
170 ; Ley Druid ; Summon Cleric 1/1 ; 2G ; Common ; Sandra Everingham ;  Fifth Edition
171 ; Lhurgoyf ; Summon Lhurgoyf */1+* ; 2GG ; Rare ; Pete Venters ;  Fifth Edition
172 ; Lifeforce ; Enchantment ; GG ; Uncommon ; Ron Spencer ;  Fifth Edition
173 ; Living Artifact ; Enchant Artifact ; G ; Rare ; Anson Maddocks ;  Fifth Edition
174 ; Living Lands ; Enchantment ; 3G ; Rare ; John Matson ;  Fifth Edition
175 ; Llanowar Elves ; Summon Elves 1/1 ; G ; Common ; Anson Maddocks ;  Fifth Edition
176 ; Lure ; Enchant Creature ; 1GG ; Uncommon ; Anson Maddocks ;  Fifth Edition
177 ; Marsh Viper ; Summon Viper 1/2 ; 3G ; Common ; Ron Spencer ;  Fifth Edition
178 ; Nature's Lore ; Sorcery ; 1G ; Common ; Alan Rabinowitz ;  Fifth Edition
179 ; Pradesh Gypsies ; Summon Gypsies 1/1 ; 2G ; Common ; Quinton Hoover ;  Fifth Edition
180 ; Primal Order ; Enchantment ; 2GG ; Rare ; David A. Cherry ;  Fifth Edition
181 ; Rabid Wombat ; Summon Wombat 0/1 ; 2GG ; Uncommon ; Kaja Foglio ;  Fifth Edition
182 ; Radjan Spirit ; Summon Spirit 3/2 ; 3G ; Uncommon ; Christopher Rush ;  Fifth Edition
183 ; Regeneration ; Enchant Creature ; 1G ; Common ; Quinton Hoover ;  Fifth Edition
184 ; Scaled Wurm ; Summon Wurm 7/6 ; 7G ; Common ; Daniel Gelon ;  Fifth Edition
185 ; Scavenger Folk ; Summon Scavenger Folk 1/1 ; G ; Common ; Jeff Miracola ;  Fifth Edition
186 ; Scryb Sprites ; Summon Faeries 1/1 ; G ; Common ; Amy Weber ;  Fifth Edition
187 ; Shanodin Dryads ; Summon Nymphs 1/1 ; G ; Common ; Gary Leach ;  Fifth Edition
188 ; Shrink ; Instant ; G ; Common ; Liz Danforth ;  Fifth Edition
189 ; Stampede ; Instant ; 1GG ; Rare ; Jeff A. Menges ;  Fifth Edition
190 ; Stream of Life ; Sorcery ; XG ; Common ; Terese Nielsen ;  Fifth Edition
191 ; Sylvan Library ; Enchantment ; 1G ; Rare ; Harold McNeill ;  Fifth Edition
192 ; Tarpan ; Summon Tarpan 1/1 ; G ; Common ; Margaret Organ-Kean ;  Fifth Edition
193 ; Thicket Basilisk ; Summon Basilisk 2/4 ; 3GG ; Uncommon ; Dan Frazier ;  Fifth Edition
194 ; Titania's Song ; Enchantment ; 3G ; Rare ; D. Alexander Gregory ;  Fifth Edition
195 ; Tranquility ; Sorcery ; 2G ; Common ; Douglas Shuler ;  Fifth Edition
196 ; Tsunami ; Sorcery ; 3G ; Uncommon ; Richard Thomas ;  Fifth Edition
197 ; Untamed Wilds ; Sorcery ; 2G ; Uncommon ; NÈNÈ Thomas ;  Fifth Edition
198 ; Venom ; Enchant Creature ; 1GG ; Common ; Tom W‰nerstrand ;  Fifth Edition
199 ; Verduran Enchantress ; Summon Enchantress 0/2 ; 1GG ; Rare ; Kev Brockschmidt ;  Fifth Edition
200 ; Wall of Brambles ; Summon Wall 2/3 ; 2G ; Uncommon ; Tony Roberts ;  Fifth Edition
201 ; Wanderlust ; Enchant Creature ; 2G ; Uncommon ; Rebecca Guay ;  Fifth Edition
202 ; War Mammoth ; Summon Mammoth 3/3 ; 3G ; Common ; Jeff A. Menges ;  Fifth Edition
203 ; Whirling Dervish ; Summon Dervish 1/1 ; GG ; Uncommon ; Susan Van Camp ;  Fifth Edition
204 ; Wild Growth ; Enchant Land ; G ; Common ; Pat Morrissey ;  Fifth Edition
205 ; Winter Blast ; Sorcery ; XG ; Uncommon ; Kaja Foglio ;  Fifth Edition
206 ; Wolverine Pack ; Summon Wolverine Pack 2/4 ; 2GG ; Uncommon ; Steve White ;  Fifth Edition
207 ; Wyluli Wolf ; Summon Wolf 1/1 ; 1G ; Rare ; Susan Van Camp ;  Fifth Edition
208 ; Ambush Party ; Summon Ambush Party 3/1 ; 4R ; Common ; Charles Gillespie ;  Fifth Edition
209 ; Atog ; Summon Atog 1/2 ; 1R ; Uncommon ; Jesper Myrfors ;  Fifth Edition
210 ; Ball Lightning ; Summon Ball Lightning 6/1 ; RRR ; Rare ; Quinton Hoover ;  Fifth Edition
211 ; Bird Maiden ; Summon Bird Maiden 1/2 ; 2R ; Common ; Kaja Foglio ;  Fifth Edition
212 ; Blood Lust ; Instant ; 1R ; Common ; Anson Maddocks ;  Fifth Edition
213 ; Brassclaw Orcs ; Summon Orcs 3/2 ; 2R ; Common ; Rob Alexander ;  Fifth Edition
214 ; Brothers of Fire ; Summon Brothers 2/2 ; 1RR ; Common ; Mark Tedin ;  Fifth Edition
215 ; Cave People ; Summon Cave People 1/4 ; 1RR ; Uncommon ; Steve Luke ;  Fifth Edition
216 ; Conquer ; Enchant Land ; 3RR ; Uncommon ; Gary Leach ;  Fifth Edition
217 ; Crimson Manticore ; Summon Manticore 2/2 ; 2RR ; Rare ; Roger Raupp ;  Fifth Edition
218 ; Detonate ; Sorcery ; XR ; Uncommon ; Randy Asplund ;  Fifth Edition
219 ; Disintegrate ; Sorcery ; XR ; Common ; Anson Maddocks ;  Fifth Edition
220 ; Dwarven Catapult ; Instant ; XR ; Uncommon ; Jeff A. Menges ;  Fifth Edition
221 ; Dwarven Soldier ; Summon Dwarf 2/1 ; 1R ; Common ; Randy Asplund ;  Fifth Edition
222 ; Dwarven Warriors ; Summon Dwarves 1/1 ; 2R ; Common ; Douglas Shuler ;  Fifth Edition
223 ; Earthquake ; Sorcery ; XR ; Rare ; Richard Kane Ferguson ;  Fifth Edition
224 ; Errantry ; Enchant Creature ; 1R ; Common ; Scott Kirschner ;  Fifth Edition
225 ; Eternal Warrior ; Enchant Creature ; R ; Common ; Anson Maddocks ;  Fifth Edition
226 ; Fire Drake ; Summon Drake 1/2 ; 1RR ; Uncommon ; Christopher Rush ;  Fifth Edition
227 ; Fireball ; Sorcery ; XR ; Common ; Mark Tedin ;  Fifth Edition
228 ; Firebreathing ; Enchant Creature ; R ; Common ; Dan Frazier ;  Fifth Edition
229 ; Flame Spirit ; Summon Spirit 2/3 ; 4R ; Uncommon ; Justin Hampton ;  Fifth Edition
230 ; Flare ; Instant ; 2R ; Common ; Andrew Robinson ;  Fifth Edition
231 ; Flashfires ; Sorcery ; 3R ; Uncommon ; Dameon Willich ;  Fifth Edition
232 ; Game of Chaos ; Sorcery ; RRR ; Rare ; Thomas Gianni ;  Fifth Edition
233 ; Giant Strength ; Enchant Creature ; RR ; Common ; Kev Walker ;  Fifth Edition
234 ; Goblin Digging Team ; Summon Goblins 1/1 ; R ; Common ; Phil Foglio ;  Fifth Edition
235 ; Goblin Hero ; Summon Goblin 2/2 ; 2R ; Common ; Pete Venters ;  Fifth Edition
236 ; Goblin King ; Summon Lord 2/2 ; 1RR ; Rare ; Phil Foglio ;  Fifth Edition
237 ; Goblin War Drums ; Enchantment ; 2R ; Common ; Dan Frazier ;  Fifth Edition
238 ; Goblin Warrens ; Enchantment ; 2R ; Rare ; Dan Frazier ;  Fifth Edition
239 ; Hill Giant ; Summon Giant 3/3 ; 3R ; Common ; Charles Gillespie ;  Fifth Edition
240 ; Hurloon Minotaur ; Summon Minotaur 2/3 ; 1RR ; Common ; Anson Maddocks ;  Fifth Edition
241 ; Imposing Visage ; Enchant Creature ; R ; Common ; Brian Snoddy ;  Fifth Edition
242 ; Incinerate ; Instant ; 1R ; Common ; Scott M. Fischer ;  Fifth Edition
243 ; Inferno ; Instant ; 5RR ; Rare ; Mike Kerr ;  Fifth Edition
244 ; Ironclaw Curse ; Enchant Creature ; R ; Rare ; Dennis Detwiller ;  Fifth Edition
245 ; Ironclaw Orcs ; Summon Orcs 2/2 ; 1R ; Common ; Anson Maddocks ;  Fifth Edition
246 ; Jokulhaups ; Sorcery ; 4RR ; Rare ; Mike Kerr ;  Fifth Edition
247 ; Keldon Warlord ; Summon Lord */* ; 2RR ; Uncommon ; Kev Brockschmidt ;  Fifth Edition
248 ; Mana Clash ; Sorcery ; R ; Rare ; Mark Tedin ;  Fifth Edition
249 ; Mana Flare ; Enchantment ; 2R ; Rare ; Christopher Rush ;  Fifth Edition
250 ; Manabarbs ; Enchantment ; 3R ; Rare ; Greg Simanson ;  Fifth Edition
251 ; Mons's Goblin Raiders ; Summon Goblins 1/1 ; R ; Common ; Pete Venters ;  Fifth Edition
252 ; Mountain Goat ; Summon Goat 1/1 ; R ; Common ; Cornelius Brudi ;  Fifth Edition
253 ; Orcish Artillery ; Summon Orcs 1/3 ; 1RR ; Uncommon ; Dan Frazier ;  Fifth Edition
254 ; Orcish Captain ; Summon Orc 1/1 ; R ; Uncommon ; Charles Gillespie ;  Fifth Edition
255 ; Orcish Conscripts ; Summon Orcs 2/2 ; R ; Common ; Douglas Shuler ;  Fifth Edition
256 ; Orcish Farmer ; Summon Orc 2/2 ; 1RR ; Common ; Dan Frazier ;  Fifth Edition
257 ; Orcish Oriflamme ; Enchantment ; 3R ; Uncommon ; Dan Frazier ;  Fifth Edition
258 ; Orcish Squatters ; Summon Orcs 2/3 ; 4R ; Rare ; Richard Kane Ferguson ;  Fifth Edition
259 ; Orgg ; Summon Orgg 6/6 ; 3RR ; Rare ; Daniel Gelon ;  Fifth Edition
260 ; Panic ; Instant ; R ; Common ; Greg Simanson ;  Fifth Edition
261 ; Primordial Ooze ; Summon Ooze 1/1 ; R ; Uncommon ; Randy Gallegos ;  Fifth Edition
262 ; Pyroblast ; Interrupt ; R ; Uncommon ; Kaja Foglio ;  Fifth Edition
263 ; Pyrotechnics ; Sorcery ; 4R ; Uncommon ; Anson Maddocks ;  Fifth Edition
264 ; Sabretooth Tiger ; Summon Tiger 2/1 ; 2R ; Common ; Melissa A. Benson ;  Fifth Edition
265 ; Shatter ; Instant ; 1R ; Common ; Hannibal King ;  Fifth Edition
266 ; Shatterstorm ; Sorcery ; 2RR ; Rare ; James Allen ;  Fifth Edition
267 ; Shivan Dragon ; Summon Dragon 5/5 ; 4RR ; Rare ; Melissa A. Benson ;  Fifth Edition
268 ; Smoke ; Enchantment ; RR ; Rare ; Tom Kyffin ;  Fifth Edition
269 ; Stone Giant ; Summon Giant 3/4 ; 2RR ; Uncommon ; James Allen ;  Fifth Edition
