1 ; Abomination ; Summon Abomination 2/6 ; 3BB ; Uncommon (U1) ; Mark Tedin ;  Legends
196 ; Lifeblood ; Enchantment ; 2WW ; Rare (C2) ; Mark Tedin ;  Legends
197 ; Moat ; Enchantment ; 2WW ; Rare (U1) ; Jeff A. Menges ;  Legends
198 ; Osai Vultures ; Summon Vultures 1/1 ; 1W ; Common (U1) ; Dan Frazier ;  Legends
199 ; Petra Sphinx ; Summon Sphinx 3/4 ; 2WWW ; Rare (R1) ; Sandra Everingham ;  Legends
200 ; Presence of the Master ; Enchantment ; 3W ; Uncommon (R1) ; Phil Foglio ;  Legends
201 ; Rapid Fire ; Instant ; 3W ; Rare (C1) ; Justin Hampton ;  Legends
202 ; Remove Enchantments ; Instant ; W ; Common (R1) ; Brian Snoddy ;  Legends
203 ; Righteous Avengers ; Summon Avengers 3/1 ; 4W ; Uncommon (U1) ; Heather Hudson ;  Legends
204 ; Seeker ; Enchant Creature ; 2WW ; Uncommon (R1) ; Mark Poole ;  Legends
205 ; Shield Wall ; Instant ; 1W ; Uncommon (C1) ; Douglas Shuler ;  Legends
206 ; Spirit Link ; Enchant Creature ; W ; Uncommon (U1) ; Kaja Foglio ;  Legends
207 ; Spiritual Sanctuary ; Enchantment ; 2WW ; Rare (U1) ; Amy Weber ;  Legends
208 ; Thunder Spirit ; Summon Spirit 2/2 ; 1WW ; Rare (U1) ; Randy Asplund-Faith ;  Legends
209 ; Tundra Wolves ; Summon Wolves 1/1 ; W ; Common (U1) ; Quinton Hoover ;  Legends
210 ; Visions ; Sorcery ; W ; Uncommon (R1) ; NÈNÈ Thomas ;  Legends
211 ; Wall of Caltrops ; Summon Wall 2/1 ; 1W ; Common (R1) ; Brian Snoddy ;  Legends
212 ; Wall of Light ; Summon Wall 1/5 ; 2W ; Uncommon (C2) ; Richard Thomas ;  Legends
213 ; Al-abara's Carpet ; Artifact ; 5 ; Rare (U1) ; Kaja Foglio ;  Legends
214 ; Alchor's Tomb ; Artifact ; 4 ; Rare (C1) ; Jesper Myrfors ;  Legends
215 ; Arena of the Ancients ; Artifact ; 3 ; Rare (U1) ; Tom W‰nerstrand ;  Legends
216 ; Black Mana Battery ; Artifact ; 4 ; Uncommon (R1) ; Anson Maddocks ;  Legends
217 ; Blue Mana Battery ; Artifact ; 4 ; Uncommon (R1) ; Amy Weber ;  Legends
218 ; Bronze Horse ; Artifact Creature 4/4 ; 7 ; Rare (R1) ; Mark Poole ;  Legends
219 ; Crimson Kobolds ; Summon Kobolds 0/1 ; 0 ; Common (U1) ; Anson Maddocks ;  Legends
220 ; Crookshank Kobolds ; Summon Kobolds 0/1 ; 0 ; Common (U1) ; Christopher Rush ;  Legends
221 ; Forethought Amulet ; Artifact ; 5 ; Rare (R1) ; Melissa Benson ;  Legends
222 ; Gauntlets of Chaos ; Artifact ; 5 ; Rare (R1) ; Dan Frazier ;  Legends
223 ; Green Mana Battery ; Artifact ; 4 ; Uncommon (R1) ; Christopher Rush ;  Legends
224 ; Horn of Deafening ; Artifact ; 4 ; Rare (U1) ; Dan Frazier ;  Legends
225 ; Knowledge Vault ; Artifact ; 4 ; Rare (R1) ; Amy Weber ;  Legends
226 ; Kobolds of Kher Keep ; Summon Kobolds 0/1 ; 0 ; Common (R1) ; Julie Baroh ;  Legends
227 ; Kry Shield ; Artifact ; 2 ; Uncommon (U1) ; Richard Thomas ;  Legends
228 ; Life Chisel ; Artifact ; 4 ; Uncommon (U2) ; Anthony Waters ;  Legends
229 ; Life Matrix ; Artifact ; 4 ; Rare (R1) ; Amy Weber ;  Legends
230 ; Mana Matrix ; Artifact ; 6 ; Rare (R1) ; Mark Tedin ;  Legends
231 ; Marble Priest ; Artifact Creature 3/3 ; 5 ; Uncommon (U1) ; Melissa Benson ;  Legends
232 ; Mirror Universe ; Artifact ; 6 ; Rare (R1) ; Phil Foglio ;  Legends
233 ; North Star ; Artifact ; 4 ; Rare (R1) ; Kaja Foglio ;  Legends
234 ; Nova Pentacle ; Artifact ; 4 ; Rare (R1) ; Richard Thomas ;  Legends
235 ; Planar Gate ; Artifact ; 6 ; Rare (R1) ; Melissa Benson ;  Legends
236 ; Red Mana Battery ; Artifact ; 4 ; Uncommon (U1) ; Mark Tedin ;  Legends
237 ; Relic Barrier ; Artifact ; 2 ; Uncommon (U2) ; Harold McNeill ;  Legends
238 ; Ring of Immortals ; Artifact ; 5 ; Rare (R1) ; Melissa Benson ;  Legends
239 ; Sentinel ; Artifact Creature 1/1 ; 4 ; Rare (R1) ; Randy Asplund-Faith ;  Legends
240 ; Serpent Generator ; Artifact ; 6 ; Rare (R1) ; Mark Tedin ;  Legends
241 ; Sword of the Ages ; Artifact ; 6 ; Rare (R1) ; Dan Frazier ;  Legends
242 ; Triassic Egg ; Artifact ; 4 ; Rare (R1) ; Dan Frazier ;  Legends
243 ; Voodoo Doll ; Artifact ; 6 ; Rare (R1) ; Sandra Everingham ;  Legends
244 ; White Mana Battery ; Artifact ; 4 ; Uncommon (U1) ; Anthony Waters ;  Legends
245 ; Adventurers' Guildhouse ; Land ; ; Uncommon (U1) ; Tom W‰nerstrand ;  Legends
246 ; Cathedral of Serra ; Land ; ; Uncommon (U1) ; Mark Poole ;  Legends
247 ; Hammerheim ; Legendary Land ; ; Uncommon (U2) ; Bryon Wackwitz ;  Legends
248 ; Karakas ; Legendary Land ; ; Uncommon (U2) ; Nicola Leonard ;  Legends
249 ; Mountain Stronghold ; Land ; ; Uncommon (U1) ; Tom W‰nerstrand ;  Legends
250 ; Pendelhaven ; Legendary Land ; ; Uncommon (U2) ; Bryon Wackwitz ;  Legends
251 ; Seafarer's Quay ; Land ; ; Uncommon (U2) ; Tom W‰nerstrand ;  Legends
252 ; The Tabernacle at Pendrell Vale ; Legendary Land ; ; Rare (R1) ; Nicola Leonard ;  Legends
253 ; Tolaria ; Legendary Land ; ; Uncommon (U2) ; Nicola Leonard ;  Legends
254 ; Unholy Citadel ; Land ; ; Uncommon (U2) ; Mark Poole ;  Legends
255 ; Urborg ; Legendary Land ; ; Uncommon (U2) ; Bryon Wackwitz ;  Legends
256 ; Adun Oakenshield ; Summon Legend 1/2 ; BRG ; Rare (R1) ; Jeff A. Menges ;  Legends
257 ; Angus Mackenzie ; Summon Legend 2/2 ; WUG ; Rare (R1) ; Bryon Wackwitz ;  Legends
258 ; Arcades Sabboth ; Summon Elder Dragon Legend 7/7 ; 2WWUUGG ; Rare (R1) ; Edward Beard, Jr. ;  Legends
259 ; Axelrod Gunnarson ; Summon Legend 5/5 ; 4BBRR ; Rare (R1) ; Scott Kirschner ;  Legends
260 ; Ayesha Tanaka ; Summon Legend 2/2 ; WWUU ; Rare (R1) ; Bryon Wackwitz ;  Legends
261 ; Barktooth Warbeard ; Summon Legend 6/5 ; 4BRR ; Uncommon (U1) ; Andi Rusu ;  Legends
262 ; Bartel Runeaxe ; Summon Legend 6/5 ; 3BRG ; Rare (R1) ; Andi Rusu ;  Legends
263 ; Boris Devilboon ; Summon Legend 2/2 ; 3BR ; Rare (R1) ; Jesper Myrfors ;  Legends
264 ; Chromium ; Summon Elder Dragon Legend 7/7 ; 2WWUUBB ; Rare (R1) ; Edward Beard, Jr. ;  Legends
265 ; Dakkon Blackblade ; Summon Legend */* ; 2WUUB ; Rare (R1) ; Richard Kane Ferguson ;  Legends
266 ; Gabriel Angelfire ; Summon Legend 4/4 ; 3WWGG ; Rare (R1) ; Daniel Gelon ;  Legends
267 ; Gosta Dirk ; Summon Legend 4/4 ; 3WWUU ; Rare (R1) ; Richard Thomas ;  Legends
