1 ; Cuombajj Witches ; Summon Witches 1/3 ; BB ; Common (C4) ; Kaja Foglio ;  Arabian Nights
83 ; Sandals of Abdallah ; Mono Artifact ; 4 ; Uncommon (U3) ; Dan Frazier ;  Arabian Nights
84 ; Bazaar of Baghdad ; Land ; ; Uncommon (U3) ; Jeff A. Menges ;  Arabian Nights
85 ; City of Brass ; Land ; ; Uncommon (U3) ; Mark Tedin ;  Arabian Nights
86 ; Desert ; Land ; ; Land (C11) ; Jesper Myrfors ;  Arabian Nights
87 ; Diamond Valley ; Land ; ; Uncommon (U2) ; Brian Snoddy ;  Arabian Nights
88 ; Elephant Graveyard ; Land ; ; Uncommon (U2) ; Rob Alexander ;  Arabian Nights
89 ; Island of Wak-Wak ; Land ; ; Uncommon (U2) ; Douglas Shuler ;  Arabian Nights
90 ; Library of Alexandria ; Land ; ; Uncommon (U3) ; Mark Poole ;  Arabian Nights
91 ; Mountain ; Land ; ; Uncommon (C1) ; Douglas Shuler ;  Arabian Nights
92 ; Oasis ; Land ; ; Uncommon (U4) ; Brian Snoddy ;  Arabian Nights
