1 ; Akroma, Angel of Wrath ; Creature - Angel Legend 6/6 ; 5WWW ; Rare ; Ron Spears ;  Legions
101 ; Goblin Lookout ; Creature - Goblin 1/2 ; 1R ; Common ; Jim Nelson ;  Legions
102 ; Hunter Sliver ; Creature - Sliver 1/1 ; 1R ; Common ; Kev Walker ;  Legions
103 ; Imperial Hellkite ; Creature - Dragon 6/6 ; 5RR ; Rare ; Matt Cavotta ;  Legions
104 ; Kilnmouth Dragon ; Creature - Dragon 5/5 ; 5RR ; Rare ; Carl Critchlow ;  Legions
105 ; Lavaborn Muse ; Creature - Spirit 3/3 ; 3R ; Rare ; Brian Snoddy ;  Legions
106 ; Macetail Hystrodon ; Creature - Beast 4/4 ; 6R ; Common ; Daren Bader ;  Legions
107 ; Magma Sliver ; Creature - Sliver 3/3 ; 3R ; Rare ; Wayne England ;  Legions
108 ; Ridgetop Raptor ; Creature - Beast 2/1 ; 3R ; Uncommon ; Daren Bader ;  Legions
109 ; Rockshard Elemental ; Creature - Elemental 4/3 ; 5RR ; Rare ; Anthony S. Waters ;  Legions
110 ; Shaleskin Plower ; Creature - Beast 3/2 ; 3R ; Common ; Daren Bader ;  Legions
111 ; Skirk Alarmist ; Creature - Wizard 1/2 ; 1R ; Rare ; Justin Sweet ;  Legions
112 ; Skirk Drill Sergeant ; Creature - Goblin 2/1 ; 1R ; Uncommon ; Alex Horley-Orlandelli ;  Legions
113 ; Skirk Marauder ; Creature - Goblin 2/1 ; 1R ; Common ; Pete Venters ;  Legions
114 ; Skirk Outrider ; Creature - Goblin 2/2 ; 3R ; Common ; Greg Staples ;  Legions
115 ; Unstable Hulk ; Creature - Goblin Mutant 2/2 ; 1RR ; Rare ; Ron Spencer ;  Legions
116 ; Warbreak Trumpeter ; Creature - Goblin 1/1 ; R ; Uncommon ; Dany Orizio ;  Legions
117 ; Berserk Murlodont ; Creature - Beast 3/3 ; 4G ; Common ; Arnie Swekel ;  Legions
118 ; Branchsnap Lorian ; Creature - Beast 4/1 ; 1GG ; Uncommon ; Heather Hudson ;  Legions
119 ; Brontotherium ; Creature - Beast 5/3 ; 4GG ; Uncommon ; Carl Critchlow ;  Legions
120 ; Brood Sliver ; Creature - Sliver 3/3 ; 4G ; Rare ; Ron Spears ;  Legions
121 ; Caller of the Claw ; Creature - Elf 2/2 ; 2G ; Rare ; Matt Cavotta ;  Legions
122 ; Canopy Crawler ; Creature - Beast 2/2 ; 3G ; Uncommon ; Anthony S. Waters ;  Legions
123 ; Defiant Elf ; Creature - Elf 1/1 ; G ; Common ; Pete Venters ;  Legions
124 ; Elvish Soultiller ; Creature - Elf Mutant 5/4 ; 3GG ; Rare ; Ron Spears ;  Legions
125 ; Enormous Baloth ; Creature - Beast 7/7 ; 6G ; Uncommon ; Mark Tedin ;  Legions
126 ; Feral Throwback ; Creature - Beast 3/3 ; 4GG ; Rare ; Carl Critchlow ;  Legions
127 ; Gempalm Strider ; Creature - Elf 2/2 ; 1G ; Uncommon ; Tim Hildebrandt ;  Legions
128 ; Glowering Rogon ; Creature - Beast 4/4 ; 5G ; Common ; Kev Walker ;  Legions
129 ; Hundroog ; Creature - Beast 4/7 ; 6G ; Common ; Wayne England ;  Legions
130 ; Krosan Cloudscraper ; Creature - Beast Mutant 13/13 ; 7GGG ; Rare ; Ron Spears ;  Legions
131 ; Krosan Vorine ; Creature - Cat Beast 3/2 ; 3G ; Common ; Carl Critchlow ;  Legions
132 ; Nantuko Vigilante ; Creature - Insect Druid Mutant 3/2 ; 3G ; Common ; Alex Horley-Orlandelli ;  Legions
133 ; Needleshot Gourna ; Creature - Beast 3/6 ; 4GG ; Common ; Edward P. Beard, Jr. ;  Legions
134 ; Patron of the Wild ; Creature - Elf 1/1 ; G ; Common ; Dave Dorman ;  Legions
135 ; Primal Whisperer ; Creature - Elf Soldier 2/2 ; 4G ; Rare ; Greg Staples ;  Legions
136 ; Quick Sliver ; Creature - Sliver 1/1 ; 1G ; Common ; John Avon ;  Legions
137 ; Root Sliver ; Creature - Sliver 2/2 ; 3G ; Uncommon ; Matt Thompson ;  Legions
138 ; Seedborn Muse ; Creature - Spirit 2/4 ; 3GG ; Rare ; Adam Rex ;  Legions
139 ; Stonewood Invoker ; Creature - Elf Mutant 2/2 ; 1G ; Common ; Eric Peterson ;  Legions
140 ; Timberwatch Elf ; Creature - Elf 1/2 ; 2G ; Common ; Dave Dorman ;  Legions
141 ; Totem Speaker ; Creature - Elf Druid 3/3 ; 4G ; Uncommon ; Darrell Riche ;  Legions
142 ; Tribal Forcemage ; Creature - Elf Wizard 1/1 ; 1G ; Rare ; Greg Staples ;  Legions
143 ; Vexing Beetle ; Creature - Insect 3/3 ; 4G ; Rare ; Matt Thompson ;  Legions
144 ; Wirewood Channeler ; Creature - Elf 2/2 ; 3G ; Uncommon ; Alan Pollack ;  Legions
145 ; Wirewood Hivemaster ; Creature - Elf 1/1 ; 1G ; Uncommon ; Darrell Riche ;  Legions
