1;Accorder Paladin ;Creature - Human Knight 3/1 ;1W ;Uncommon ;Kekai Kotaki ;Mirrodin Besieged
48;Nested Ghoul ;Creature - Zombie Warrior 4/2 ;3BB ;Uncommon ;Dave Kendall ;Mirrodin Besieged
49;Phyresis ;Enchantment - Aura ;1B ;Common ;Izzy ;Mirrodin Besieged
50;Phyrexian Crusader ;Creature - Zombie Knight 2/2 ;1BB ;Rare ;Eric Deschamps ;Mirrodin Besieged
51;Phyrexian Rager ;Creature - Horror 2/2 ;2B ;Common ;Stephan Martiniere ;Mirrodin Besieged
52;Phyrexian Vatmother ;Creature - Horror 4/5 ;2BB ;Rare ;Stephan Martiniere ;Mirrodin Besieged
53;Sangromancer ;Creature - Vampire Shaman 3/3 ;2BB ;Rare ;Igor Kieryluk ;Mirrodin Besieged
54;Scourge Servant ;Creature - Zombie 3/3 ;4B ;Common ;Daarken ;Mirrodin Besieged
55;Septic Rats ;Creature - Rat 2/2 ;1BB ;Uncommon ;Cos Koniotis ;Mirrodin Besieged
56;Spread the Sickness ;Sorcery ;4B ;Common ;Jaime Jones ;Mirrodin Besieged
57;Virulent Wound ;Instant ;B ;Common ;Whit Brachna ;Mirrodin Besieged
58;Blisterstick Shaman ;Creature - Goblin Shaman 2/1 ;2R ;Common ;Svetlin Velinov ;Mirrodin Besieged
59;Burn the Impure ;Instant ;1R ;Common ;Nic Klein ;Mirrodin Besieged
60;Concussive Bolt ;Sorcery ;3RR ;Common ;Johann Bodin ;Mirrodin Besieged
61;Crush ;Instant ;R ;Common ;Matt Stewart ;Mirrodin Besieged
62;Galvanoth ;Creature - Beast 3/3 ;3RR ;Rare ;Kev Walker ;Mirrodin Besieged
63;Gnathosaur ;Creature - Lizard 5/4 ;4RR ;Common ;Jason Chan ;Mirrodin Besieged
64;Goblin Wardriver ;Creature - Goblin Warrior 2/2 ;RR ;Uncommon ;Chippy ;Mirrodin Besieged
65;Hellkite Igniter ;Creature - Dragon 5/5 ;5RR ;Rare ;Jason Chan ;Mirrodin Besieged
66;Hero of Oxid Ridge ;Creature - Human Knight 4/2 ;2RR ;Mythic Rare ;Eric Deschamps ;Mirrodin Besieged
67;Into the Core ;Instant ;2RR ;Uncommon ;Whit Brachna ;Mirrodin Besieged
68;Koth's Courier ;Creature - Human Rogue 2/3 ;1RR ;Common ;Wayne Reynolds ;Mirrodin Besieged
69;Kuldotha Flamefiend ;Creature - Elemental 4/4 ;4RR ;Uncommon ;Raymond Swanland ;Mirrodin Besieged
70;Kuldotha Ringleader ;Creature - Giant Berserker 4/4 ;4R ;Common ;Greg Staples ;Mirrodin Besieged
71;Metallic Mastery ;Sorcery ;2R ;Uncommon ;Erica Yang ;Mirrodin Besieged
72;Ogre Resister ;Creature - Ogre 4/3 ;2RR ;Common ;Efrem Palacios ;Mirrodin Besieged
73;Rally the Forces ;Instant ;2R ;Common ;Steven Belledin ;Mirrodin Besieged
74;Red Sun's Zenith ;Sorcery ;XR ;Rare ;Svetlin Velinov ;Mirrodin Besieged
75;Slagstorm ;Sorcery ;1RR ;Rare ;Dan Scott ;Mirrodin Besieged
76;Spiraling Duelist ;Creature - Human Berserker 3/1 ;2RR ;Uncommon ;Karl Kopinski ;Mirrodin Besieged
77;Blightwidow ;Creature - Spider 2/4 ;3G ;Common ;Daniel Ljunggren ;Mirrodin Besieged
78;Creeping Corrosion ;Sorcery ;2GG ;Rare ;Ryan Pancoast ;Mirrodin Besieged
79;Fangren Marauder ;Creature - Beast 5/5 ;5G ;Common ;James Ryman ;Mirrodin Besieged
80;Glissa's Courier ;Creature - Horror 2/3 ;1GG ;Common ;Dave Kendall ;Mirrodin Besieged
81;Green Sun's Zenith ;Sorcery ;XG ;Rare ;David Rapoza ;Mirrodin Besieged
82;Lead the Stampede ;Sorcery ;2G ;Uncommon ;Efrem Palacios ;Mirrodin Besieged
83;Melira's Keepers ;Creature - Human Warrior 4/4 ;4G ;Uncommon ;Eric Deschamps ;Mirrodin Besieged
84;Mirran Mettle ;Instant ;G ;Common ;Karl Kopinski ;Mirrodin Besieged
85;Phyrexian Hydra ;Creature - Hydra 7/7 ;3GG ;Rare ;Mike Bierek ;Mirrodin Besieged
86;Pistus Strike ;Instant ;2G ;Common ;Jaime Jones ;Mirrodin Besieged
87;Plaguemaw Beast ;Creature - Beast 4/3 ;3GG ;Uncommon ;Whit Brachna ;Mirrodin Besieged
88;Praetor's Counsel ;Sorcery ;5GGG ;Mythic Rare ;Daarken ;Mirrodin Besieged
89;Quilled Slagwurm ;Creature - Wurm 8/8 ;4GGG ;Uncommon ;Matt Stewart ;Mirrodin Besieged
90;Rot Wolf ;Creature - Wolf 2/2 ;2G ;Common ;Nils Hamm ;Mirrodin Besieged
91;Tangle Mantis ;Creature - Insect 3/4 ;2GG ;Common ;Chris Rahn ;Mirrodin Besieged
92;Thrun, the Last Troll ;Legendary Creature - Troll Shaman 4/4 ;2GG ;Mythic Rare ;Jason Chan ;Mirrodin Besieged
93;Unnatural Predation ;Instant ;G ;Common ;Shelly Wan ;Mirrodin Besieged
94;Viridian Corrupter ;Creature - Elf Shaman 2/2 ;1GG ;Uncommon ;Matt Cavotta ;Mirrodin Besieged
95;Viridian Emissary ;Creature - Elf Scout 2/1 ;1G ;Common ;Matt Stewart ;Mirrodin Besieged
96;Glissa, the Traitor ;Legendary Creature - Zombie Elf 3/3 ;BGG ;Mythic Rare ;Chris Rahn ;Mirrodin Besieged
97;Tezzeret, Agent of Bolas ;Planeswalker - Tezzeret ;2UB ;Mythic Rare ;Aleksi Briclot ;Mirrodin Besieged
98;Bladed Sentinel ;Artifact Creature - Construct 2/4 ;4;Common ;Tomasz Jedruszek ;Mirrodin Besieged
99;Blightsteel Colossus ;Artifact Creature - Golem 11/11 ;12;Mythic Rare ;Chris Rahn ;Mirrodin Besieged
100;Bonehoard ;Artifact - Equipment ;4;Rare ;Chippy ;Mirrodin Besieged
101;Brass Squire ;Artifact Creature - Myr 1/3 ;3;Uncommon ;Ryan Pancoast ;Mirrodin Besieged
102;Copper Carapace ;Artifact - Equipment ;1;Common ;Franz Vohwinkel ;Mirrodin Besieged
103;Core Prowler ;Artifact Creature - Horror 2/2 ;4;Uncommon ;Dave Allsop ;Mirrodin Besieged
104;Darksteel Plate ;Artifact - Equipment ;3;Rare ;Daniel Ljunggren ;Mirrodin Besieged
105;Decimator Web ;Artifact ;4;Rare ;Daniel Ljunggren ;Mirrodin Besieged
106;Dross Ripper ;Artifact Creature - Hound 3/3 ;4;Common ;David Rapoza ;Mirrodin Besieged
107;Flayer Husk ;Artifact - Equipment ;1;Common ;Igor Kieryluk ;Mirrodin Besieged
108;Gust-Skimmer ;Artifact Creature - Insect 2/1 ;2;Common ;Dan Scott ;Mirrodin Besieged
109;Hexplate Golem ;Artifact Creature - Golem 5/7 ;7;Common ;Matt Cavotta ;Mirrodin Besieged
110;Ichor Wellspring ;Artifact ;2;Common ;Steven Belledin ;Mirrodin Besieged
111;Knowledge Pool ;Artifact ;6;Rare ;Mike Bierek ;Mirrodin Besieged
112;Lumengrid Gargoyle ;Artifact Creature - Gargoyle 4/4 ;6;Uncommon ;Randis Albion ;Mirrodin Besieged
113;Magnetic Mine ;Artifact ;4;Rare ;David Rapoza ;Mirrodin Besieged
114;Mirrorworks ;Artifact ;5;Rare ;John Avon ;Mirrodin Besieged
115;Mortarpod ;Artifact - Equipment ;2;Uncommon ;Eric Deschamps ;Mirrodin Besieged
116;Myr Sire ;Artifact Creature - Myr 1/1 ;2;Common ;Jaime Jones ;Mirrodin Besieged
117;Myr Turbine ;Artifact ;5;Rare ;Randis Albion ;Mirrodin Besieged
118;Myr Welder ;Artifact Creature - Myr 1/4 ;3;Rare ;Austin Hsu ;Mirrodin Besieged
119;Peace Strider ;Artifact Creature - Construct 3/3 ;4;Uncommon ;Igor Kieryluk ;Mirrodin Besieged
120;Phyrexian Digester ;Artifact Creature - Construct 2/1 ;3;Common ;Dave Allsop ;Mirrodin Besieged
121;Phyrexian Juggernaut ;Artifact Creature - Juggernaut 5/5 ;6;Uncommon ;Kev Walker ;Mirrodin Besieged
122;Phyrexian Revoker ;Artifact Creature - Horror 2/1 ;2;Rare ;Kev Walker ;Mirrodin Besieged
123;Pierce Strider ;Artifact Creature - Construct 3/3 ;4;Uncommon ;Igor Kieryluk ;Mirrodin Besieged
124;Piston Sledge ;Artifact - Equipment ;3;Uncommon ;Pete Venters ;Mirrodin Besieged
125;Plague Myr ;Artifact Creature - Myr 1/1 ;2;Uncommon ;Efrem Palacios ;Mirrodin Besieged
126;Psychosis Crawler ;Artifact Creature - Horror */* ;5;Rare ;Stephan Martiniere ;Mirrodin Besieged
127;Razorfield Rhino ;Artifact Creature - Rhino 4/4 ;6;Common ;Kekai Kotaki ;Mirrodin Besieged
128;Rusted Slasher ;Artifact Creature - Horror 4/1 ;4;Common ;Adrian Smith ;Mirrodin Besieged
129;Shimmer Myr ;Artifact Creature - Myr 2/2 ;3;Rare ;Jana Schirmer & Johannes Voss ;Mirrodin Besieged
130;Shriekhorn ;Artifact ;1;Common ;Erica Yang ;Mirrodin Besieged
131;Signal Pest ;Artifact Creature - Pest 0/1 ;1;Uncommon ;Mark Zug ;Mirrodin Besieged
132;Silverskin Armor ;Artifact - Equipment ;2;Uncommon ;Terese Nielsen ;Mirrodin Besieged
133;Skinwing ;Artifact - Equipment ;4;Uncommon ;Igor Kieryluk ;Mirrodin Besieged
134;Sphere of the Suns ;Artifact ;2;Uncommon ;Jana Schirmer & Johannes Voss ;Mirrodin Besieged
135;Spin Engine ;Artifact Creature - Construct 3/1 ;3;Common ;Pete Venters ;Mirrodin Besieged
136;Spine of Ish Sah ;Artifact ;7;Rare ;Daniel Ljunggren ;Mirrodin Besieged
137;Strandwalker ;Artifact - Equipment ;5;Uncommon ;Igor Kieryluk ;Mirrodin Besieged
138;Sword of Feast and Famine ;Artifact - Equipment ;3;Mythic Rare ;Chris Rahn ;Mirrodin Besieged
139;Tangle Hulk ;Artifact Creature - Beast 5/3 ;5;Common ;Mark Zug ;Mirrodin Besieged
140;Thopter Assembly ;Artifact Creature - Thopter 5/5 ;6;Rare ;Volkan Baga ;Mirrodin Besieged
141;Titan Forge ;Artifact ;3;Rare ;Svetlin Velinov ;Mirrodin Besieged
142;Training Drone ;Artifact Creature - Drone 4/4 ;3;Common ;Matt Cavotta ;Mirrodin Besieged
143;Viridian Claw ;Artifact - Equipment ;2;Uncommon ;Marc Simonetti ;Mirrodin Besieged
144;Contested War Zone ;Land ; ;Rare ;Scott Chou ;Mirrodin Besieged
145;Inkmoth Nexus ;Land ; ;Rare ;Jung Park ;Mirrodin Besieged
146;Plains ;Basic Land - Plains ; ;Land ;James Paick ;Mirrodin Besieged
147;Plains ;Basic Land - Plains ; ;Land ;James Paick ;Mirrodin Besieged
148;Island ;Basic Land - Island ; ;Land ;Jung Park ;Mirrodin Besieged
149;Island ;Basic Land - Island ; ;Land ;Jung Park ;Mirrodin Besieged
150;Swamp ;Basic Land - Swamp ; ;Land ;Lars Grant-West ;Mirrodin Besieged
151;Swamp ;Basic Land - Swamp ; ;Land ;Lars Grant-West ;Mirrodin Besieged
152;Mountain ;Basic Land - Mountain ; ;Land ;Tomasz Jedruszek ;Mirrodin Besieged
153;Mountain ;Basic Land - Mountain ; ;Land ;Tomasz Jedruszek ;Mirrodin Besieged
154;Forest ;Basic Land - Forest ; ;Land ;Mark Tedin ;Mirrodin Besieged
155;Forest ;Basic Land - Forest ; ;Land ;Mark Tedin ;Mirrodin Besieged
