1 ; Disenchant ; (Missing!) ; 1W ; Special ; Brian Snoddy ;  Coldsnap Theme Decks
38 ; Bounty of the Hunt ; (Missing!) ; 3GG ; Special ; Jeff A. Menges ;  Coldsnap Theme Decks
39 ; Deadly Insect ; (Missing!) 6/1 ; 4G ; Special ; Scott Kirschner ;  Coldsnap Theme Decks
40 ; Tinder Wall ; (Missing!) 0/3 ; G ; Special ; Rick Emond ;  Coldsnap Theme Decks
41 ; Woolly Mammoths ; (Missing!) 3/2 ; 1GG ; Special ; Dan Frazier ;  Coldsnap Theme Decks
42 ; Giant Trap Door Spider ; (Missing!) 2/3 ; 1RG ; Special ; Heather Hudson ;  Coldsnap Theme Decks
43 ; Wings of Aesthir ; (Missing!) ; WU ; Special ; Edward P. Beard, Jr. ;  Coldsnap Theme Decks
44 ; Arcum's Weathervane ; (Missing!) ; 2 ; Special ; Tom W‰nerstrand ;  Coldsnap Theme Decks
45 ; Barbed Sextant ; (Missing!) ; 1 ; Special ; Amy Weber ;  Coldsnap Theme Decks
46 ; Skull Catapult ; (Missing!) ; 4 ; Special ; Bryon Wackwitz ;  Coldsnap Theme Decks
47 ; Whalebone Glider ; (Missing!) ; 2 ; Special ; Amy Weber ;  Coldsnap Theme Decks
48 ; Plains ; (Missing!) ; ; Special ; Christoper Rush ;  Coldsnap Theme Decks
49 ; Plains ; (Missing!) ; ; Special ; Christoper Rush ;  Coldsnap Theme Decks
50 ; Plains ; (Missing!) ; ; Special ; Christoper Rush ;  Coldsnap Theme Decks
51 ; Island ; (Missing!) ; ; Special ; Anson Maddocks ;  Coldsnap Theme Decks
52 ; Island ; (Missing!) ; ; Special ; Anson Maddocks ;  Coldsnap Theme Decks
53 ; Island ; (Missing!) ; ; Special ; Anson Maddocks ;  Coldsnap Theme Decks
54 ; Swamp ; (Missing!) ; ; Special ; Douglas Shuler ;  Coldsnap Theme Decks
55 ; Swamp ; (Missing!) ; ; Special ; Douglas Shuler ;  Coldsnap Theme Decks
56 ; Swamp ; (Missing!) ; ; Special ; Douglas Shuler ;  Coldsnap Theme Decks
57 ; Mountain ; (Missing!) ; ; Special ; Tom W‰nerstrand ;  Coldsnap Theme Decks
58 ; Mountain ; (Missing!) ; ; Special ; Tom W‰nerstrand ;  Coldsnap Theme Decks
59 ; Mountain ; (Missing!) ; ; Special ; Tom W‰nerstrand ;  Coldsnap Theme Decks
60 ; Forest ; (Missing!) ; ; Special ; Pat Morrissey ;  Coldsnap Theme Decks
61 ; Forest ; (Missing!) ; ; Special ; Pat Morrissey ;  Coldsnap Theme Decks
62 ; Forest ; (Missing!) ; ; Special ; Pat Morrissey ;  Coldsnap Theme Decks
1 ; Eager Cadet ; Creature - Human Soldier 1/1 ; W ; Common ; Scott M. Fischer ;  Ninth Edition Box Set
2 ; Vengeance ; Sorcery ; 3W ; Uncommon ; Paolo Parente ;  Ninth Edition Box Set
3 ; Coral Eel ; Creature - Eel 2/1 ; 1U ; Common ; Una Fricker ;  Ninth Edition Box Set
4 ; Giant Octopus ; Creature - Octopus 3/3 ; 3U ; Common ; Heather Hudson ;  Ninth Edition Box Set
5 ; Index ; Sorcery ; U ; Common ; Kev Walker ;  Ninth Edition Box Set
7 ; Vizzerdrix ; Creature - Beast 6/6 ; 6U ; Rare ; Dave Dorman ;  Ninth Edition Box Set
8 ; Goblin Raider ; Creature - Goblin Warrior 2/2 ; 1R ; Common ; Greg Staples ;  Ninth Edition Box Set
9 ; Enormous Baloth ; Creature - Beast 7/7 ; 6G ; Uncommon ; Mark Tedin ;  Ninth Edition Box Set
10 ; Spined Wurm ; Creature - Wurm 5/4 ; 4G ; Common ; Carl Critchlow ;  Ninth Edition Box Set
1 ; Eager Cadet ; Creature - Soldier 1/1 ; W ; Special ; Greg & Tim Hildebrandt ;  Eighth Edition Box Set
2 ; Vengeance ; Sorcery ; 3W ; Special ; Paolo Parente ;  Eighth Edition Box Set
3 ; Giant Octopus ; Creature - Octopus 3/3 ; 3U ; Special ; Heather Hudson ;  Eighth Edition Box Set
4 ; Sea Eagle ; Creature - Bird 1/1 ; 1U ; Special ; Anthony S. Waters ;  Eighth Edition Box Set
5 ; Vizzerdrix ; Creature - Beast 6/6 ; 6U ; Special ; Dave Dorman ;  Eighth Edition Box Set
6 ; Enormous Baloth ; Creature - Beast 7/7 ; 6G ; Special ; Mark Tedin ;  Eighth Edition Box Set
7 ; Silverback Ape ; Creature - Ape 5/5 ; 3GG ; Special ; Ron Spears ;  Eighth Edition Box Set
1 ; Abyssal Specter ; (Missing!) 2/3 ; 2BB ; Special ; Ruth Thompson ;  Deckmasters
2 ; Contagion ; (Missing!) ; 3BB ; Special ; Mike Raabe ;  Deckmasters
3 ; Dark Banishing ; (Missing!) ; 2B ; Special ; Drew Tucker ;  Deckmasters
4 ; Dark Ritual ; (Missing!) ; B ; Special ; Justin Hampton ;  Deckmasters
5 ; Foul Familiar ; (Missing!) 3/1 ; 2B ; Special ; Anson Maddocks ;  Deckmasters
6 ; Lim-Dul's High Guard ; (Missing!) 2/1 ; 1BB ; Special ; Anson Maddocks ;  Deckmasters
7 ; Necropotence ; (Missing!) ; BBB ; Special ; Mark Tedin ;  Deckmasters
8 ; Phantasmal Fiend ; (Missing!) 1/5 ; 3B ; Special ; Scott Kirschner ;  Deckmasters
9 ; Soul Burn ; (Missing!) ; X2B ; Special ; Rob Alexander ;  Deckmasters
10 ; Balduvian Horde ; (Missing!) 5/5 ; 2RR ; Special ; Brian Snoddy ;  Deckmasters
11 ; Death Spark ; (Missing!) ; R ; Special ; Mark Tedin ;  Deckmasters
12 ; Goblin Mutant ; (Missing!) 5/3 ; 2RR ; Special ; Daniel Gelon ;  Deckmasters
13 ; Guerrilla Tactics ; (Missing!) ; 1R ; Special ; Amy Weber ;  Deckmasters
14 ; Incinerate ; (Missing!) ; 1R ; Special ; Mark Poole ;  Deckmasters
15 ; Jokulhaups ; (Missing!) ; 4RR ; Special ; Richard Thomas ;  Deckmasters
16 ; Lava Burst ; (Missing!) ; XR ; Special ; Tom W‰nerstrand ;  Deckmasters
17 ; Orcish Cannoneers ; (Missing!) 1/3 ; 1RR ; Special ; Dan Frazier ;  Deckmasters
18 ; Pillage ; (Missing!) ; 1RR ; Special ; Richard Kane Ferguson ;  Deckmasters
19 ; Pyroclasm ; (Missing!) ; 1R ; Special ; Pat Morrissey ;  Deckmasters
20 ; Shatter ; (Missing!) ; 1R ; Special ; Bryon Wackwitz ;  Deckmasters
21 ; Storm Shaman ; (Missing!) 0/4 ; 2R ; Special ; Carol Heyer ;  Deckmasters
22 ; Balduvian Bears ; (Missing!) 2/2 ; 1G ; Special ; Quinton Hoover ;  Deckmasters
23 ; Bounty of the Hunt ; (Missing!) ; 3GG ; Special ; Jeff A. Menges ;  Deckmasters
24 ; Elvish Bard ; (Missing!) 2/4 ; 3GG ; Special ; Susan Van Camp ;  Deckmasters
25 ; Folk of the Pines ; (Missing!) 2/5 ; 4G ; Special ; NÈNÈ Thomas & Catherine Buck ;  Deckmasters
26 ; Fyndhorn Elves ; (Missing!) 1/1 ; G ; Special ; Justin Hampton ;  Deckmasters
27 ; Giant Growth ; (Missing!) ; G ; Special ; L. A. Williams ;  Deckmasters
28 ; Hurricane ; (Missing!) ; XG ; Special ; Cornelius Brudi ;  Deckmasters
29 ; Lhurgoyf ; (Missing!) */1+* ; 2GG ; Special ; Pete Venters ;  Deckmasters
30 ; Woolly Spider ; (Missing!) 2/3 ; 1GG ; Special ; Daniel Gelon ;  Deckmasters
31 ; Yavimaya Ancients ; (Missing!) 2/7 ; 3GG ; Special ; Quinton Hoover ;  Deckmasters
32 ; Yavimaya Ants ; (Missing!) 5/1 ; 2GG ; Special ; Pat Morrissey ;  Deckmasters
33 ; Giant Trap Door Spider ; (Missing!) 2/3 ; 1RG ; Special ; Heather Hudson ;  Deckmasters
34 ; Barbed Sextant ; (Missing!) ; 1 ; Special ; Amy Weber ;  Deckmasters
35 ; Elkin Bottle ; (Missing!) ; 3 ; Special ; Quinton Hoover ;  Deckmasters
36 ; Icy Manipulator ; (Missing!) ; 4 ; Special ; Amy Weber ;  Deckmasters
37 ; Phyrexian War Beast ; (Missing!) 3/4 ; 3 ; Special ; Bill Sienkiewicz ;  Deckmasters
38 ; Walking Wall ; (Missing!) 0/6 ; 4 ; Special ; Anthony Waters ;  Deckmasters
39 ; Karplusan Forest ; (Missing!) ; ; Special ; Nicola Leonard ;  Deckmasters
40 ; Sulfurous Springs ; (Missing!) ; ; Special ; Phil Foglio ;  Deckmasters
41 ; Underground River ; (Missing!) ; ; Special ; NÈNÈ Thomas ;  Deckmasters
42 ; Swamp ; (Missing!) ; ; Special ; Douglas Shuler ;  Deckmasters
43 ; Swamp ; (Missing!) ; ; Special ; Douglas Shuler ;  Deckmasters
44 ; Swamp ; (Missing!) ; ; Special ; Douglas Shuler ;  Deckmasters
45 ; Mountain ; (Missing!) ; ; Special ; Tom W‰rnerstrand ;  Deckmasters
46 ; Mountain ; (Missing!) ; ; Special ; Tom W‰rnerstrand ;  Deckmasters
47 ; Mountain ; (Missing!) ; ; Special ; Tom W‰rnerstrand ;  Deckmasters
48 ; Forest ; (Missing!) ; ; Special ; Pat Morrissey ;  Deckmasters
49 ; Forest ; (Missing!) ; ; Special ; Pat Morrissey ;  Deckmasters
50 ; Forest ; (Missing!) ; ; Special ; Pat Morrissey ;  Deckmasters
51 ; Lim-Dul's High Guard ; (Missing!) 2/1 ; 1BB ; Special ; Anson Maddocks ;  Deckmasters
52 ; Phantasmal Fiend ; (Missing!) 1/5 ; 3B ; Special ; Scott Kirschner ;  Deckmasters
53 ; Guerrilla Tactics ; (Missing!) ; 1R ; Special ; Ron Spencer ;  Deckmasters
54 ; Storm Shaman ; (Missing!) 0/4 ; 2R ; Special ; D. J. Cleland-Hura ;  Deckmasters
55 ; Yavimaya Ancients ; (Missing!) 2/7 ; 3GG ; Special ; Quinton Hoover ;  Deckmasters
56 ; Phyrexian War Beast ; (Missing!) 3/4 ; 3 ; Special ; Bill Sienkiewicz ;  Deckmasters
1 ; Air Elemental ; Creature - Elemental 4/4 ; 3UU ; Special ; Doug Chaffee ;  Beatdown Box Set
2 ; Blizzard Elemental ; Creature - Elemental 5/5 ; 5UU ; Special ; Thomas M. Baxa ;  Beatdown Box Set
3 ; Brainstorm ; Instant ; U ; Special ; Christopher Rush ;  Beatdown Box Set
4 ; Cloud Djinn ; Summon Djinn 5/4 ; 5U ; Special ; Mike Dringenberg ;  Beatdown Box Set
5 ; Cloud Elemental ; Summon Elemental 2/3 ; 2U ; Special ; Adam Rex ;  Beatdown Box Set
6 ; Counterspell ; Instant ; UU ; Special ; L. A. Williams ;  Beatdown Box Set
7 ; Fog Elemental ; Creature - Elemental 4/4 ; 2U ; Special ; Jon J Muth ;  Beatdown Box Set
8 ; Gaseous Form ; Enchant Creature ; 2U ; Special ; Roger Raupp ;  Beatdown Box Set
9 ; Giant Crab ; Creature - Crab 3/3 ; 4U ; Special ; Tom Kyffin ;  Beatdown Box Set
10 ; Impulse ; Instant ; 1U ; Special ; Bryan Talbot ;  Beatdown Box Set
11 ; Killer Whale ; Creature - Whale 3/5 ; 3UU ; Special ; Stephen Daniele ;  Beatdown Box Set
12 ; Leviathan ; Creature - Leviathan 10/10 ; 5UUUU ; Special ; Mark Tedin ;  Beatdown Box Set
13 ; Mahamoti Djinn ; Creature - Djinn 5/6 ; 4UU ; Special ; Dan Frazier ;  Beatdown Box Set
14 ; Power Sink ; Instant ; XU ; Special ; Mark Poole ;  Beatdown Box Set
15 ; Snapping Drake ; Creature - Drake 3/2 ; 3U ; Special ; Christopher Rush ;  Beatdown Box Set
16 ; Tolarian Winds ; Instant ; 1U ; Special ; Lawrence Snelly ;  Beatdown Box Set
17 ; Vigilant Drake ; Creature - Drake 3/3 ; 4U ; Special ; Greg Staples ;  Beatdown Box Set
18 ; Wayward Soul ; Creature - Spirit 3/2 ; 2UU ; Special ; DiTerlizzi ;  Beatdown Box Set
19 ; Bone Harvest ; Instant ; 2B ; Special ; Greg Simanson ;  Beatdown Box Set
20 ; Coercion ; Sorcery ; 2B ; Special ; Pete Venters ;  Beatdown Box Set
21 ; Dark Ritual ; Instant ; B ; Special ; Clint Langley ;  Beatdown Box Set
22 ; Death Stroke ; Sorcery ; BB ; Special ; Colin MacNeil ;  Beatdown Box Set
23 ; Diabolic Edict ; Instant ; 1B ; Special ; Ron Spencer ;  Beatdown Box Set
24 ; Drain Life ; Sorcery ; X1B ; Special ; Andrew Robinson ;  Beatdown Box Set
25 ; Fallen Angel ; Creature - Angel 3/3 ; 3BB ; Special ; Anson Maddocks ;  Beatdown Box Set
26 ; Feral Shadow ; Creature - Nightstalker 2/1 ; 2B ; Special ; Cliff Nielsen ;  Beatdown Box Set
27 ; Gravedigger ; Creature - Zombie 2/2 ; 3B ; Special ; Dermot Power ;  Beatdown Box Set
28 ; Hollow Dogs ; Creature - Hound 3/3 ; 4B ; Special ; Jeff Miracola ;  Beatdown Box Set
29 ; Sengir Vampire ; Creature - Vampire 4/4 ; 3BB ; Special ; Jeff Easley ;  Beatdown Box Set
30 ; Skittering Horror ; Creature - Horror 4/3 ; 2B ; Special ; Mark Zug ;  Beatdown Box Set
31 ; Skittering Skirge ; Creature - Imp 3/2 ; BB ; Special ; Ron Spencer ;  Beatdown Box Set
32 ; Tar Pit Warrior ; Creature - Giant 3/4 ; 2B ; Special ; George Pratt ;  Beatdown Box Set
33 ; Terror ; Instant ; 1B ; Special ; Ron Spencer ;  Beatdown Box Set
34 ; Balduvian Horde ; Creature - Barbarian 5/5 ; 2RR ; Special ; Brian Snoddy ;  Beatdown Box Set
35 ; Ball Lightning ; Creature - Ball-Lightning 6/1 ; RRR ; Special ; Dave Dorman ;  Beatdown Box Set
36 ; Bloodrock Cyclops ; Creature - Giant 3/3 ; 2R ; Special ; Tom W‰nerstrand ;  Beatdown Box Set
37 ; Fireball ; Sorcery ; XR ; Special ; Mark Tedin ;  Beatdown Box Set
38 ; Hulking Cyclops ; Creature - Giant 5/5 ; 3RR ; Special ; Paolo Parente ;  Beatdown Box Set
39 ; Kird Ape ; Creature - Ape 1/1 ; R ; Special ; Ken Meyer, Jr. ;  Beatdown Box Set
40 ; Lava Axe ; Sorcery ; 4R ; Special ; Brian Snoddy ;  Beatdown Box Set
41 ; Lightning Bolt ; Instant ; R ; Special ; Christopher Rush ;  Beatdown Box Set
42 ; Lowland Giant ; Creature - Giant 4/3 ; 2RR ; Special ; Paolo Parente ;  Beatdown Box Set
43 ; Raging Goblin ; Creature - Goblin 1/1 ; R ; Special ; Jeff Miracola ;  Beatdown Box Set
44 ; Shivan Dragon ; Creature - Dragon 5/5 ; 4RR ; Special ; Melissa A. Benson ;  Beatdown Box Set
45 ; Shock ; Instant ; R ; Special ; Randy Gallegos ;  Beatdown Box Set
46 ; Sonic Burst ; Instant ; 1R ; Special ; Brian Snoddy ;  Beatdown Box Set
47 ; Talruum Minotaur ; Creature - Minotaur 3/3 ; 2RR ; Special ; Pete Venters ;  Beatdown Box Set
48 ; Thunderbolt ; Instant ; 1R ; Special ; Dylan Martens ;  Beatdown Box Set
49 ; Thundering Giant ; Creature - Giant 4/3 ; 3RR ; Special ; Mark Zug ;  Beatdown Box Set
50 ; Viashino Warrior ; Creature - Viashino 4/2 ; 3R ; Special ; Roger Raupp ;  Beatdown Box Set
51 ; Crash of Rhinos ; Creature - Rhino 8/4 ; 6GG ; Special ; Steve White ;  Beatdown Box Set
52 ; Crashing Boars ; Creature - Boar 4/4 ; 3GG ; Special ; Ron Spencer ;  Beatdown Box Set
53 ; Deadly Insect ; Creature - Insect 6/1 ; 4G ; Special ; Randy Gallegos ;  Beatdown Box Set
54 ; Erhnam Djinn ; Creature - Djinn 4/5 ; 3G ; Special ; Dave Dorman ;  Beatdown Box Set
55 ; Fog ; Instant ; G ; Special ; Harold McNeill ;  Beatdown Box Set
56 ; Force of Nature ; Creature - Force 8/8 ; 2GGGG ; Special ; Douglas Shuler ;  Beatdown Box Set
57 ; Giant Growth ; Instant ; G ; Special ; DiTerlizzi ;  Beatdown Box Set
58 ; Llanowar Elves ; Creature - Elf 1/1 ; G ; Special ; Anson Maddocks ;  Beatdown Box Set
59 ; Plated Spider ; Creature - Spider 4/4 ; 4G ; Special ; Ron Spencer ;  Beatdown Box Set
60 ; Quirion Elves ; Creature - Elf 1/1 ; 1G ; Special ; Randy Gallegos ;  Beatdown Box Set
61 ; Rampant Growth ; Sorcery ; 1G ; Special ; Tom Kyffin ;  Beatdown Box Set
62 ; Scaled Wurm ; Creature - Wurm 7/6 ; 7G ; Special ; Daniel Gelon ;  Beatdown Box Set
63 ; Shambling Strider ; Creature - Strider 5/5 ; 4GG ; Special ; Douglas Shuler ;  Beatdown Box Set
64 ; Wild Growth ; Enchant Land ; G ; Special ; Mike Raabe ;  Beatdown Box Set
65 ; Woolly Spider ; Creature - Spider 2/3 ; 1GG ; Special ; Daniel Gelon ;  Beatdown Box Set
66 ; Yavimaya Wurm ; Creature - Wurm 6/4 ; 4GG ; Special ; Melissa A. Benson ;  Beatdown Box Set
67 ; Diabolic Vision ; Sorcery ; UB ; Special ; Anthony S. Waters ;  Beatdown Box Set
68 ; Segmented Wurm ; Creature - Wurm 5/5 ; 3RG ; Special ; Jeff Miracola ;  Beatdown Box Set
69 ; Clockwork Avian ; Artifact Creature 0/4 ; 5 ; Special ; Randy Asplund ;  Beatdown Box Set
70 ; Clockwork Beast ; Artifact Creature 0/4 ; 6 ; Special ; Carl Critchlow ;  Beatdown Box Set
71 ; Dwarven Ruins ; Land ; ; Special ; Liz Danforth ;  Beatdown Box Set
72 ; Ebon Stronghold ; Land ; ; Special ; Liz Danforth ;  Beatdown Box Set
73 ; Havenwood Battleground ; Land ; ; Special ; Liz Danforth ;  Beatdown Box Set
74 ; Polluted Mire ; Land ; ; Special ; Stephen Daniele ;  Beatdown Box Set
75 ; Remote Isle ; Land ; ; Special ; Ciruelo ;  Beatdown Box Set
76 ; Slippery Karst ; Land ; ; Special ; Stephen Daniele ;  Beatdown Box Set
77 ; Smoldering Crater ; Land ; ; Special ; Mark Tedin ;  Beatdown Box Set
78 ; Svyelunite Temple ; Land ; ; Special ; Liz Danforth ;  Beatdown Box Set
79 ; Island ; Land ; ; Land ; Tony Szczudlo ;  Beatdown Box Set
80 ; Island ; Land ; ; Land ; John Avon ;  Beatdown Box Set
81 ; Island ; Land ; ; Land ; Mark Poole ;  Beatdown Box Set
82 ; Swamp ; Land ; ; Land ; John Avon ;  Beatdown Box Set
83 ; Swamp ; Land ; ; Land ; Romas ;  Beatdown Box Set
84 ; Swamp ; Land ; ; Land ; Douglas Shuler ;  Beatdown Box Set
85 ; Mountain ; Land ; ; Land ; John Avon ;  Beatdown Box Set
86 ; Mountain ; Land ; ; Land ; Douglas Shuler ;  Beatdown Box Set
87 ; Mountain ; Land ; ; Land ; Rob Alexander ;  Beatdown Box Set
88 ; Forest ; Land ; ; Land ; Douglas Shuler ;  Beatdown Box Set
89 ; Forest ; Land ; ; Land ; John Avon ;  Beatdown Box Set
90 ; Forest ; Land ; ; Land ; John Avon ;  Beatdown Box Set
1 ; Abyssal Specter ; Creature - Specter 2/3 ; 2BB ; Special ; George Pratt ;  Battle Royale Box Set
2 ; Advance Scout ; Creature - Soldier 1/1 ; 1W ; Special ; Heather Hudson ;  Battle Royale Box Set
3 ; Air Elemental ; Creature - Elemental 4/4 ; 3UU ; Special ; D. Alexander Gregory ;  Battle Royale Box Set
4 ; Angelic Page ; Creature - Spirit 1/1 ; 1W ; Special ; Rebecca Guay ;  Battle Royale Box Set
5 ; Arc Lightning ; Sorcery ; 2R ; Special ; Andrew Goldhawk ;  Battle Royale Box Set
6 ; Argothian Elder ; Creature - Elf 2/2 ; 3G ; Special ; DiTerlizzi ;  Battle Royale Box Set
7 ; Armored Pegasus ; Creature - Pegasus 1/2 ; 1W ; Special ; Una Fricker ;  Battle Royale Box Set
8 ; Azure Drake ; Creature - Drake 2/4 ; 3U ; Special ; Janine Johnston ;  Battle Royale Box Set
9 ; Blinking Spirit ; Creature - Spirit 2/2 ; 3W ; Special ; L. A. Williams ;  Battle Royale Box Set
10 ; Broken Fall ; Enchantment ; 2G ; Special ; Zina Saunders ;  Battle Royale Box Set
11 ; Cackling Fiend ; Creature - Zombie 2/1 ; 2BB ; Special ; Brian Despain ;  Battle Royale Box Set
12 ; Catastrophe ; Sorcery ; 4WW ; Special ; Andrew Robinson ;  Battle Royale Box Set
13 ; Cinder Marsh ; Land ; ; Special ; John Matson ;  Battle Royale Box Set
14 ; Control Magic ; Enchant Creature ; 2UU ; Special ; Dameon Willich ;  Battle Royale Box Set
15 ; Counterspell ; Instant ; UU ; Special ; Hannibal King ;  Battle Royale Box Set
16 ; Crazed Skirge ; Creature - Imp 2/2 ; 3B ; Special ; Ron Spencer ;  Battle Royale Box Set
17 ; Curfew ; Instant ; U ; Special ; Randy Gallegos ;  Battle Royale Box Set
18 ; Dark Ritual ; Instant ; B ; Special ; Clint Langley ;  Battle Royale Box Set
19 ; Dirtcowl Wurm ; Creature - Wurm 3/4 ; 4G ; Special ; Dan Frazier ;  Battle Royale Box Set
20 ; Disenchant ; Instant ; 1W ; Special ; Brian Snoddy ;  Battle Royale Box Set
21 ; Disruptive Student ; Creature - Wizard 1/1 ; 2U ; Special ; Randy Gallegos ;  Battle Royale Box Set
22 ; Drifting Meadow ; Land ; ; Special ; Bob Eggleton ;  Battle Royale Box Set
23 ; Elvish Lyrist ; Creature - Elf 1/1 ; G ; Special ; Rebecca Guay ;  Battle Royale Box Set
24 ; Exhume ; Sorcery ; 1B ; Special ; Carl Critchlow ;  Battle Royale Box Set
25 ; Fecundity ; Enchantment ; 2G ; Special ; Rebecca Guay ;  Battle Royale Box Set
26 ; Fertile Ground ; Enchant Land ; 1G ; Special ; Heather Hudson ;  Battle Royale Box Set
27 ; Fire Ants ; Creature - Insect 2/1 ; 2R ; Special ; Tom Fleming ;  Battle Royale Box Set
28 ; Flood ; Enchantment ; U ; Special ; Dennis Detwiller ;  Battle Royale Box Set
29 ; Giant Growth ; Instant ; G ; Special ; DiTerlizzi ;  Battle Royale Box Set
30 ; Gorilla Warrior ; Creature - Ape 3/2 ; 2G ; Special ; John Matson ;  Battle Royale Box Set
31 ; Healing Salve ; Instant ; W ; Special ; Zina Saunders ;  Battle Royale Box Set
32 ; Heat Ray ; Instant ; XR ; Special ; Brian Snoddy ;  Battle Royale Box Set
33 ; Hurricane ; Sorcery ; XG ; Special ; Rob Alexander ;  Battle Royale Box Set
34 ; Infantry Veteran ; Creature - Soldier 1/1 ; W ; Special ; Christopher Rush ;  Battle Royale Box Set
35 ; Land Tax ; Enchantment ; W ; Special ; Brian Snoddy ;  Battle Royale Box Set
36 ; Lhurgoyf ; Creature - Lhurgoyf */1+* ; 2GG ; Special ; Pete Venters ;  Battle Royale Box Set
37 ; Lightning Elemental ; Creature - Elemental 4/1 ; 3R ; Special ; D. Alexander Gregory ;  Battle Royale Box Set
38 ; Living Death ; Sorcery ; 3BB ; Special ; Charles Gillespie ;  Battle Royale Box Set
39 ; Llanowar Elves ; Creature - Elf 1/1 ; G ; Special ; Anson Maddocks ;  Battle Royale Box Set
40 ; Man-o'-War ; Creature - Jellyfish 2/2 ; 2U ; Special ; Jon J Muth ;  Battle Royale Box Set
41 ; Mana Leak ; Instant ; 1U ; Special ; Christopher Rush ;  Battle Royale Box Set
42 ; Maniacal Rage ; Enchant Creature ; 1R ; Special ; Pete Venters ;  Battle Royale Box Set
