1 ; Akroma's Blessing ; Instant ; 2W ; Uncommon ; Adam Rex ;  Onslaught
30 ; Glarecaster ; Creature - Bird Cleric 3/3 ; 4WW ; Rare ; Dan Frazier ;  Onslaught
31 ; Glory Seeker ; Creature - Soldier 2/2 ; 1W ; Common ; Dave Dorman ;  Onslaught
32 ; Grassland Crusader ; Creature - Cleric Soldier 2/4 ; 5W ; Common ; Mark Tedin ;  Onslaught
33 ; Gravel Slinger ; Creature - Soldier 1/3 ; 3W ; Common ; Kev Walker ;  Onslaught
34 ; Gustcloak Harrier ; Creature - Bird Soldier 2/2 ; 1WW ; Common ; Dan Frazier ;  Onslaught
35 ; Gustcloak Runner ; Creature - Soldier 1/1 ; W ; Common ; Glen Angus ;  Onslaught
36 ; Gustcloak Savior ; Creature - Bird Soldier 3/4 ; 4W ; Rare ; Jim Nelson ;  Onslaught
37 ; Gustcloak Sentinel ; Creature - Soldier 3/3 ; 2WW ; Uncommon ; Mark Zug ;  Onslaught
38 ; Gustcloak Skirmisher ; Creature - Bird Soldier 2/3 ; 3W ; Uncommon ; Dan Frazier ;  Onslaught
39 ; Harsh Mercy ; Sorcery ; 2W ; Rare ; John Matson ;  Onslaught
40 ; Improvised Armor ; Enchant Creature ; 3W ; Uncommon ; Alan Pollack ;  Onslaught
41 ; Inspirit ; Instant ; 2W ; Uncommon ; Keith Garletts ;  Onslaught
42 ; Ironfist Crusher ; Creature - Soldier 2/4 ; 4W ; Uncommon ; Iain McCaig ;  Onslaught
43 ; Jareth, Leonine Titan ; Creature - Cat Giant Legend 4/7 ; 3WWW ; Rare ; Daren Bader ;  Onslaught
44 ; Mobilization ; Enchantment ; 2W ; Rare ; Carl Critchlow ;  Onslaught
45 ; Nova Cleric ; Creature - Cleric 1/2 ; W ; Uncommon ; Alan Pollack ;  Onslaught
46 ; Oblation ; Instant ; 2W ; Rare ; Doug Chaffee ;  Onslaught
47 ; Pacifism ; Enchant Creature ; 1W ; Common ; Matthew D. Wilson ;  Onslaught
48 ; Pearlspear Courier ; Creature - Soldier 2/1 ; 2W ; Uncommon ; Dany Orizio ;  Onslaught
49 ; Piety Charm ; Instant ; W ; Common ; David Martin ;  Onslaught
50 ; Renewed Faith ; Instant ; 2W ; Common ; Dave Dorman ;  Onslaught
51 ; Righteous Cause ; Enchantment ; 3WW ; Uncommon ; Scott M. Fischer ;  Onslaught
52 ; Sandskin ; Enchant Creature ; 2W ; Common ; Glen Angus ;  Onslaught
53 ; Shared Triumph ; Enchantment ; 1W ; Rare ; Mark Brill ;  Onslaught
54 ; Shieldmage Elder ; Creature - Cleric Wizard 2/3 ; 5W ; Uncommon ; Christopher Moeller ;  Onslaught
55 ; Sigil of the New Dawn ; Enchantment ; 3W ; Rare ; Tony Szczudlo ;  Onslaught
56 ; Sunfire Balm ; Instant ; 2W ; Uncommon ; Monte Michael Moore ;  Onslaught
57 ; True Believer ; Creature - Cleric 2/2 ; WW ; Rare ; Alex Horley-Orlandelli ;  Onslaught
58 ; Unified Strike ; Instant ; W ; Common ; Dave Dorman ;  Onslaught
59 ; Weathered Wayfarer ; Creature - Nomad Cleric 1/1 ; W ; Rare ; Greg & Tim Hildebrandt ;  Onslaught
60 ; Whipcorder ; Creature - Soldier Rebel 2/2 ; WW ; Uncommon ; Ron Spencer ;  Onslaught
61 ; Words of Worship ; Enchantment ; 2W ; Rare ; Rebecca Guay ;  Onslaught
62 ; Airborne Aid ; Sorcery ; 3U ; Common ; Bradley Williams ;  Onslaught
63 ; Annex ; Enchant Land ; 2UU ; Uncommon ; John Avon ;  Onslaught
64 ; Aphetto Alchemist ; Creature - Wizard 1/2 ; 1U ; Uncommon ; Ron Spears ;  Onslaught
65 ; Aphetto Grifter ; Creature - Wizard 1/1 ; 2U ; Uncommon ; Greg Staples ;  Onslaught
66 ; Arcanis the Omnipotent ; Creature - Wizard Legend 3/4 ; 3UUU ; Rare ; Justin Sweet ;  Onslaught
67 ; Artificial Evolution ; Instant ; U ; Rare ; Greg Staples ;  Onslaught
68 ; Ascending Aven ; Creature - Bird Soldier 3/2 ; 2UU ; Common ; Ron Spencer ;  Onslaught
69 ; Aven Fateshaper ; Creature - Bird Wizard 4/5 ; 6U ; Uncommon ; Anthony S. Waters ;  Onslaught
70 ; Backslide ; Instant ; 1U ; Common ; Pete Venters ;  Onslaught
71 ; Blatant Thievery ; Sorcery ; 4UUU ; Rare ; Ron Spencer ;  Onslaught
72 ; Callous Oppressor ; Creature - Cephalid 1/2 ; 1UU ; Rare ; Justin Sweet ;  Onslaught
73 ; Chain of Vapor ; Instant ; U ; Uncommon ; Carl Critchlow ;  Onslaught
74 ; Choking Tethers ; Instant ; 3U ; Common ; Carl Critchlow ;  Onslaught
75 ; Clone ; Creature - Clone 0/0 ; 3U ; Rare ; Carl Critchlow ;  Onslaught
76 ; Complicate ; Instant ; 2U ; Uncommon ; Scott M. Fischer ;  Onslaught
77 ; Crafty Pathmage ; Creature - Wizard 1/1 ; 2U ; Common ; Wayne England ;  Onslaught
78 ; Crown of Ascension ; Enchant Creature ; 1U ; Common ; Bradley Williams ;  Onslaught
79 ; Discombobulate ; Instant ; 2UU ; Uncommon ; Alex Horley-Orlandelli ;  Onslaught
80 ; Dispersing Orb ; Enchantment ; 3UU ; Uncommon ; Rebecca Guay ;  Onslaught
81 ; Disruptive Pitmage ; Creature - Wizard 1/1 ; 2U ; Common ; Darrell Riche ;  Onslaught
82 ; Essence Fracture ; Sorcery ; 3UU ; Uncommon ; Wayne England ;  Onslaught
83 ; Fleeting Aven ; Creature - Bird Wizard 2/2 ; 1UU ; Uncommon ; Iain McCaig ;  Onslaught
84 ; Future Sight ; Enchantment ; 2UUU ; Rare ; Matt Cavotta ;  Onslaught
85 ; Ghosthelm Courier ; Creature - Wizard 2/1 ; 2U ; Uncommon ; Edward P. Beard, Jr. ;  Onslaught
86 ; Graxiplon ; Creature - Beast 3/4 ; 5U ; Uncommon ; Iain McCaig ;  Onslaught
87 ; Imagecrafter ; Creature - Wizard 1/1 ; U ; Common ; Terese Nielsen ;  Onslaught
88 ; Information Dealer ; Creature - Wizard 1/1 ; 1U ; Common ; Jerry Tiritilli ;  Onslaught
89 ; Ixidor, Reality Sculptor ; Creature - Wizard Legend 3/4 ; 3UU ; Rare ; Kev Walker ;  Onslaught
90 ; Ixidor's Will ; Instant ; 2U ; Common ; Eric Peterson ;  Onslaught
91 ; Mage's Guile ; Instant ; 1U ; Common ; Edward P. Beard, Jr. ;  Onslaught
92 ; Meddle ; Instant ; 1U ; Uncommon ; Brian Snoddy ;  Onslaught
93 ; Mistform Dreamer ; Creature - Illusion 2/1 ; 2U ; Common ; Matthew Mitchell ;  Onslaught
94 ; Mistform Mask ; Enchant Creature ; 1U ; Common ; Monte Michael Moore ;  Onslaught
95 ; Mistform Mutant ; Creature - Illusion Mutant 3/4 ; 4UU ; Uncommon ; John Avon ;  Onslaught
96 ; Mistform Shrieker ; Creature - Illusion 3/3 ; 3UU ; Uncommon ; Glen Angus ;  Onslaught
97 ; Mistform Skyreaver ; Creature - Illusion 6/6 ; 5UU ; Rare ; Anthony S. Waters ;  Onslaught
98 ; Mistform Stalker ; Creature - Illusion 1/1 ; 1U ; Uncommon ; Randy Gallegos ;  Onslaught
99 ; Mistform Wall ; Creature - Illusion Wall 1/4 ; 2U ; Common ; Franz Vohwinkel ;  Onslaught
100 ; Nameless One ; Creature - Wizard Avatar */* ; 3U ; Uncommon ; Mark Tedin ;  Onslaught
101 ; Peer Pressure ; Sorcery ; 3U ; Rare ; Edward P. Beard, Jr. ;  Onslaught
102 ; Psychic Trance ; Instant ; 2UU ; Rare ; Rebecca Guay ;  Onslaught
103 ; Quicksilver Dragon ; Creature - Dragon 5/5 ; 4UU ; Rare ; Ron Spencer ;  Onslaught
104 ; Read the Runes ; Instant ; XU ; Rare ; Alan Pollack ;  Onslaught
105 ; Reminisce ; Sorcery ; 2U ; Uncommon ; Bradley Williams ;  Onslaught
106 ; Riptide Biologist ; Creature - Wizard 1/2 ; 1U ; Common ; Justin Sweet ;  Onslaught
107 ; Riptide Chronologist ; Creature - Wizard 1/3 ; 3UU ; Uncommon ; Roger Raupp ;  Onslaught
108 ; Riptide Entrancer ; Creature - Wizard 1/1 ; 1UU ; Rare ; Scott Hampton ;  Onslaught
109 ; Riptide Shapeshifter ; Creature - Shapeshifter 3/3 ; 3UU ; Uncommon ; Arnie Swekel ;  Onslaught
110 ; Rummaging Wizard ; Creature - Wizard 2/2 ; 3U ; Uncommon ; Jerry Tiritilli ;  Onslaught
111 ; Sage Aven ; Creature - Bird Wizard 1/3 ; 3U ; Common ; Randy Gallegos ;  Onslaught
112 ; Screaming Seahawk ; Creature - Bird 2/2 ; 4U ; Common ; Heather Hudson ;  Onslaught
113 ; Sea's Claim ; Enchant Land ; U ; Common ; Alan Pollack ;  Onslaught
114 ; Slipstream Eel ; Creature - Beast 6/6 ; 5UU ; Common ; Mark Tedin ;  Onslaught
115 ; Spy Network ; Instant ; U ; Common ; Ron Spears ;  Onslaught
116 ; Standardize ; Instant ; UU ; Rare ; Justin Sweet ;  Onslaught
117 ; Supreme Inquisitor ; Creature - Wizard Lord 1/3 ; 3UU ; Rare ; rk post ;  Onslaught
118 ; Trade Secrets ; Sorcery ; 1UU ; Rare ; Ron Spears ;  Onslaught
119 ; Trickery Charm ; Instant ; U ; Common ; David Martin ;  Onslaught
120 ; Voidmage Prodigy ; Creature - Wizard 2/1 ; UU ; Rare ; Scott M. Fischer ;  Onslaught
121 ; Wheel and Deal ; Instant ; 3U ; Rare ; Alan Pollack ;  Onslaught
122 ; Words of Wind ; Enchantment ; 2U ; Rare ; Eric Peterson ;  Onslaught
123 ; Accursed Centaur ; Creature - Zombie Centaur 2/2 ; B ; Common ; Jerry Tiritilli ;  Onslaught
124 ; Anurid Murkdiver ; Creature - Zombie Beast 4/3 ; 4BB ; Common ; Dany Orizio ;  Onslaught
125 ; Aphetto Dredging ; Sorcery ; 3B ; Common ; Monte Michael Moore ;  Onslaught
126 ; Aphetto Vulture ; Creature - Zombie Bird 3/2 ; 4BB ; Uncommon ; Tony Szczudlo ;  Onslaught
127 ; Blackmail ; Sorcery ; B ; Uncommon ; Christopher Moeller ;  Onslaught
128 ; Boneknitter ; Creature - Zombie Cleric 1/1 ; 1B ; Uncommon ; Pete Venters ;  Onslaught
129 ; Cabal Archon ; Creature - Cleric 2/2 ; 2B ; Uncommon ; Pete Venters ;  Onslaught
130 ; Cabal Executioner ; Creature - Cleric 2/2 ; 2BB ; Uncommon ; Rebecca Guay ;  Onslaught
131 ; Cabal Slaver ; Creature - Cleric 2/1 ; 2B ; Uncommon ; Pete Venters ;  Onslaught
132 ; Chain of Smog ; Sorcery ; 1B ; Uncommon ; Greg Staples ;  Onslaught
133 ; Cover of Darkness ; Enchantment ; 1B ; Rare ; Kev Walker ;  Onslaught
134 ; Crown of Suspicion ; Enchant Creature ; 1B ; Common ; Wayne England ;  Onslaught
135 ; Cruel Revival ; Instant ; 4B ; Common ; Greg Staples ;  Onslaught
136 ; Death Match ; Enchantment ; 3B ; Rare ; rk post ;  Onslaught
137 ; Death Pulse ; Instant ; 2BB ; Uncommon ; Tony Szczudlo ;  Onslaught
138 ; Dirge of Dread ; Sorcery ; 2B ; Common ; Heather Hudson ;  Onslaught
139 ; Disciple of Malice ; Creature - Cleric 1/2 ; 1B ; Common ; Matt Cavotta ;  Onslaught
140 ; Doomed Necromancer ; Creature - Cleric Mercenary 2/2 ; 2B ; Rare ; Mark Brill ;  Onslaught
141 ; Ebonblade Reaper ; Creature - Cleric 1/1 ; 2B ; Rare ; Wayne England ;  Onslaught
142 ; Endemic Plague ; Sorcery ; 3B ; Rare ; Nelson DeCastro ;  Onslaught
143 ; Entrails Feaster ; Creature - Zombie Cat 1/1 ; B ; Rare ; John Matson ;  Onslaught
144 ; Fade from Memory ; Instant ; B ; Uncommon ; David Martin ;  Onslaught
145 ; Fallen Cleric ; Creature - Zombie Cleric 4/2 ; 4B ; Common ; Dave Dorman ;  Onslaught
146 ; False Cure ; Instant ; BB ; Rare ; Bradley Williams ;  Onslaught
147 ; Feeding Frenzy ; Instant ; 2B ; Uncommon ; Nelson DeCastro ;  Onslaught
148 ; Festering Goblin ; Creature - Zombie Goblin 1/1 ; B ; Common ; Thomas M. Baxa ;  Onslaught
149 ; Frightshroud Courier ; Creature - Zombie 2/1 ; 2B ; Uncommon ; Ron Spears ;  Onslaught
150 ; Gangrenous Goliath ; Creature - Zombie Giant 4/4 ; 3BB ; Rare ; Justin Sweet ;  Onslaught
151 ; Gluttonous Zombie ; Creature - Zombie 3/3 ; 4B ; Uncommon ; Thomas M. Baxa ;  Onslaught
152 ; Gravespawn Sovereign ; Creature - Zombie Lord 3/3 ; 4BB ; Rare ; Adam Rex ;  Onslaught
153 ; Grinning Demon ; Creature - Demon 6/6 ; 2BB ; Rare ; Mark Zug ;  Onslaught
154 ; Haunted Cadaver ; Creature - Zombie 2/2 ; 3B ; Common ; Randy Gallegos ;  Onslaught
155 ; Head Games ; Sorcery ; 3BB ; Rare ; Terese Nielsen ;  Onslaught
156 ; Headhunter ; Creature - Cleric 1/1 ; 1B ; Uncommon ; Matt Cavotta ;  Onslaught
157 ; Infest ; Sorcery ; 1BB ; Uncommon ; Ben Thompson ;  Onslaught
158 ; Misery Charm ; Instant ; B ; Common ; David Martin ;  Onslaught
159 ; Nantuko Husk ; Creature - Zombie Insect 2/2 ; 2B ; Common ; Carl Critchlow ;  Onslaught
160 ; Oversold Cemetery ; Enchantment ; 1B ; Rare ; Thomas M. Baxa ;  Onslaught
161 ; Patriarch's Bidding ; Sorcery ; 3BB ; Rare ; Ben Thompson ;  Onslaught
162 ; Profane Prayers ; Sorcery ; 2BB ; Common ; Alan Pollack ;  Onslaught
163 ; Prowling Pangolin ; Creature - Beast 6/5 ; 3BB ; Uncommon ; Heather Hudson ;  Onslaught
164 ; Rotlung Reanimator ; Creature - Zombie Cleric 2/2 ; 2B ; Rare ; Thomas M. Baxa ;  Onslaught
165 ; Screeching Buzzard ; Creature - Bird 2/2 ; 3B ; Common ; Heather Hudson ;  Onslaught
166 ; Severed Legion ; Creature - Zombie 2/2 ; 1BB ; Common ; Dany Orizio ;  Onslaught
167 ; Shade's Breath ; Instant ; 1B ; Uncommon ; Franz Vohwinkel ;  Onslaught
168 ; Shepherd of Rot ; Creature - Zombie Cleric 1/1 ; 1B ; Common ; Greg Staples ;  Onslaught
169 ; Silent Specter ; Creature - Specter 4/4 ; 4BB ; Rare ; Daren Bader ;  Onslaught
170 ; Smother ; Instant ; 1B ; Uncommon ; Carl Critchlow ;  Onslaught
171 ; Soulless One ; Creature - Zombie Avatar */* ; 3B ; Uncommon ; Thomas M. Baxa ;  Onslaught
172 ; Spined Basher ; Creature - Zombie Beast 3/1 ; 2B ; Common ; Thomas M. Baxa ;  Onslaught
173 ; Strongarm Tactics ; Sorcery ; 1B ; Rare ; Greg & Tim Hildebrandt ;  Onslaught
174 ; Swat ; Instant ; 1BB ; Common ; rk post ;  Onslaught
175 ; Syphon Mind ; Sorcery ; 3B ; Common ; Jeff Easley ;  Onslaught
176 ; Syphon Soul ; Sorcery ; 2B ; Common ; Ron Spears ;  Onslaught
177 ; Thrashing Mudspawn ; Creature - Beast 4/4 ; 3BB ; Uncommon ; Thomas M. Baxa ;  Onslaught
178 ; Undead Gladiator ; Creature - Zombie Barbarian 3/1 ; 1BB ; Rare ; Jeff Easley ;  Onslaught
179 ; Visara the Dreadful ; Creature - Gorgon Legend 5/5 ; 3BBB ; Rare ; Kev Walker ;  Onslaught
180 ; Walking Desecration ; Creature - Zombie 1/1 ; 2B ; Uncommon ; Daren Bader ;  Onslaught
181 ; Withering Hex ; Enchant Creature ; B ; Uncommon ; Greg & Tim Hildebrandt ;  Onslaught
182 ; Words of Waste ; Enchantment ; 2B ; Rare ; Jerry Tiritilli ;  Onslaught
183 ; Wretched Anurid ; Creature - Zombie Beast 3/3 ; 1B ; Common ; Glen Angus ;  Onslaught
184 ; Ather Charge ; Enchantment ; 4R ; Uncommon ; Mark Brill ;  Onslaught
185 ; Aggravated Assault ; Enchantment ; 2R ; Rare ; Greg Staples ;  Onslaught
186 ; Airdrop Condor ; Creature - Bird 2/2 ; 4R ; Uncommon ; Glen Angus ;  Onslaught
187 ; Avarax ; Creature - Beast 3/3 ; 3RR ; Uncommon ; Greg Staples ;  Onslaught
188 ; Battering Craghorn ; Creature - Beast 3/1 ; 2RR ; Common ; Matt Cavotta ;  Onslaught
189 ; Blistering Firecat ; Creature - Cat 7/1 ; 1RRR ; Rare ; Arnie Swekel ;  Onslaught
190 ; Break Open ; Instant ; 1R ; Common ; Alex Horley-Orlandelli ;  Onslaught
191 ; Brightstone Ritual ; Instant ; R ; Common ; Wayne England ;  Onslaught
192 ; Butcher Orgg ; Creature - Orgg 6/6 ; 4RRR ; Rare ; Kev Walker ;  Onslaught
193 ; Chain of Plasma ; Instant ; 1R ; Uncommon ; Gary Ruddell ;  Onslaught
194 ; Charging Slateback ; Creature - Beast 4/3 ; 4R ; Common ; Mark Tedin ;  Onslaught
195 ; Commando Raid ; Instant ; 2R ; Uncommon ; Ron Spencer ;  Onslaught
196 ; Crown of Fury ; Enchant Creature ; 1R ; Common ; Bradley Williams ;  Onslaught
197 ; Custody Battle ; Enchant Creature ; 1R ; Uncommon ; Greg & Tim Hildebrandt ;  Onslaught
198 ; Dragon Roost ; Enchantment ; 4RR ; Rare ; Luca Zontini ;  Onslaught
199 ; Dwarven Blastminer ; Creature - Dwarf 1/1 ; 1R ; Uncommon ; Gary Ruddell ;  Onslaught
200 ; Embermage Goblin ; Creature - Goblin Wizard 1/1 ; 3R ; Uncommon ; Pete Venters ;  Onslaught
201 ; Erratic Explosion ; Sorcery ; 2R ; Common ; Gary Ruddell ;  Onslaught
202 ; Fever Charm ; Instant ; R ; Common ; David Martin ;  Onslaught
203 ; Flamestick Courier ; Creature - Goblin 2/1 ; 2R ; Uncommon ; Luca Zontini ;  Onslaught
204 ; Goblin Machinist ; Creature - Goblin 0/5 ; 4R ; Uncommon ; Doug Chaffee ;  Onslaught
205 ; Goblin Piledriver ; Creature - Goblin 1/2 ; 1R ; Rare ; Matt Cavotta ;  Onslaught
206 ; Goblin Pyromancer ; Creature - Goblin Wizard 2/2 ; 3R ; Rare ; Edward P. Beard, Jr. ;  Onslaught
207 ; Goblin Sharpshooter ; Creature - Goblin 1/1 ; 2R ; Rare ; Greg Staples ;  Onslaught
208 ; Goblin Sky Raider ; Creature - Goblin 1/2 ; 2R ; Common ; Daren Bader ;  Onslaught
209 ; Goblin Sledder ; Creature - Goblin 1/1 ; R ; Common ; Ron Spencer ;  Onslaught
210 ; Goblin Taskmaster ; Creature - Goblin 1/1 ; R ; Common ; Trevor Hairsine ;  Onslaught
211 ; Grand Melee ; Enchantment ; 3R ; Rare ; Trevor Hairsine ;  Onslaught
212 ; Gratuitous Violence ; Enchantment ; 2RRR ; Rare ; Christopher Moeller ;  Onslaught
213 ; Insurrection ; Sorcery ; 5RRR ; Rare ; Mark Zug ;  Onslaught
214 ; Kaboom! ; Sorcery ; 4R ; Rare ; Glen Angus ;  Onslaught
215 ; Lavamancer's Skill ; Enchant Creature ; 1R ; Common ; Monte Michael Moore ;  Onslaught
216 ; Lay Waste ; Sorcery ; 3R ; Common ; Carl Critchlow ;  Onslaught
217 ; Lightning Rift ; Enchantment ; 1R ; Uncommon ; Eric Peterson ;  Onslaught
218 ; Mana Echoes ; Enchantment ; 2RR ; Rare ; Christopher Moeller ;  Onslaught
219 ; Menacing Ogre ; Creature - Ogre 3/3 ; 3RR ; Rare ; Ron Spencer ;  Onslaught
220 ; Nosy Goblin ; Creature - Goblin 2/1 ; 2R ; Common ; Thomas M. Baxa ;  Onslaught
221 ; Pinpoint Avalanche ; Instant ; 3RR ; Common ; Darrell Riche ;  Onslaught
222 ; Reckless One ; Creature - Goblin Avatar */* ; 3R ; Uncommon ; Ron Spencer ;  Onslaught
223 ; Risky Move ; Enchantment ; 3RRR ; Rare ; Jerry Tiritilli ;  Onslaught
224 ; Rorix Bladewing ; Creature - Dragon Legend 6/5 ; 3RRR ; Rare ; Darrell Riche ;  Onslaught
225 ; Searing Flesh ; Sorcery ; 6R ; Uncommon ; Pete Venters ;  Onslaught
226 ; Shaleskin Bruiser ; Creature - Beast 4/4 ; 6R ; Uncommon ; Mark Zug ;  Onslaught
227 ; Shock ; Instant ; R ; Common ; Edward P. Beard, Jr. ;  Onslaught
228 ; Skirk Commando ; Creature - Goblin 2/1 ; 1RR ; Common ; Dave Dorman ;  Onslaught
229 ; Skirk Fire Marshal ; Creature - Goblin Lord 2/2 ; 3RR ; Rare ; Greg & Tim Hildebrandt ;  Onslaught
230 ; Skirk Prospector ; Creature - Goblin 1/1 ; R ; Common ; Doug Chaffee ;  Onslaught
231 ; Skittish Valesk ; Creature - Beast 5/5 ; 6R ; Uncommon ; Alan Pollack ;  Onslaught
232 ; Slice and Dice ; Sorcery ; 4RR ; Uncommon ; Mark Brill ;  Onslaught
233 ; Snapping Thragg ; Creature - Beast 3/3 ; 4R ; Uncommon ; Iain McCaig ;  Onslaught
234 ; Solar Blast ; Instant ; 3R ; Common ; Greg Staples ;  Onslaught
235 ; Sparksmith ; Creature - Goblin 1/1 ; 1R ; Common ; Jim Nelson ;  Onslaught
236 ; Spitfire Handler ; Creature - Goblin 1/1 ; 1R ; Uncommon ; Jim Nelson ;  Onslaught
237 ; Spurred Wolverine ; Creature - Beast 3/2 ; 4R ; Common ; Daren Bader ;  Onslaught
238 ; Starstorm ; Instant ; XRR ; Rare ; David Martin ;  Onslaught
239 ; Tephraderm ; Creature - Beast 4/5 ; 4R ; Rare ; Paolo Parente ;  Onslaught
240 ; Thoughtbound Primoc ; Creature - Bird Beast 2/3 ; 2R ; Uncommon ; Jeff Miracola ;  Onslaught
241 ; Threaten ; Sorcery ; 2R ; Uncommon ; Mark Brill ;  Onslaught
242 ; Thunder of Hooves ; Sorcery ; 3R ; Uncommon ; Jim Nelson ;  Onslaught
243 ; Wave of Indifference ; Sorcery ; XR ; Common ; Greg & Tim Hildebrandt ;  Onslaught
244 ; Words of War ; Enchantment ; 2R ; Rare ; Justin Sweet ;  Onslaught
245 ; Animal Magnetism ; Sorcery ; 4G ; Rare ; Ron Spears ;  Onslaught
246 ; Barkhide Mauler ; Creature - Beast 4/4 ; 4G ; Common ; Iain McCaig ;  Onslaught
247 ; Biorhythm ; Sorcery ; 6GG ; Rare ; Ron Spears ;  Onslaught
248 ; Birchlore Rangers ; Creature - Elf 1/1 ; G ; Common ; Dany Orizio ;  Onslaught
249 ; Bloodline Shaman ; Creature - Elf Wizard 1/1 ; 1G ; Uncommon ; Rebecca Guay ;  Onslaught
250 ; Broodhatch Nantuko ; Creature - Insect Druid 1/1 ; 1G ; Uncommon ; Keith Garletts ;  Onslaught
251 ; Centaur Glade ; Enchantment ; 3GG ; Uncommon ; Alex Horley-Orlandelli ;  Onslaught
252 ; Chain of Acid ; Sorcery ; 3G ; Uncommon ; Ron Spencer ;  Onslaught
253 ; Crown of Vigor ; Enchant Creature ; 1G ; Common ; Matt Cavotta ;  Onslaught
254 ; Elven Riders ; Creature - Elf 3/3 ; 3GG ; Uncommon ; Darrell Riche ;  Onslaught
255 ; Elvish Guidance ; Enchant Land ; 2G ; Common ; Greg & Tim Hildebrandt ;  Onslaught
256 ; Elvish Pathcutter ; Creature - Elf 1/2 ; 3G ; Common ; Todd Lockwood ;  Onslaught
257 ; Elvish Pioneer ; Creature - Elf Druid 1/1 ; G ; Common ; Christopher Rush ;  Onslaught
258 ; Elvish Scrapper ; Creature - Elf 1/1 ; G ; Uncommon ; Edward P. Beard, Jr. ;  Onslaught
259 ; Elvish Vanguard ; Creature - Elf 1/1 ; 1G ; Rare ; Glen Angus ;  Onslaught
260 ; Elvish Warrior ; Creature - Elf 2/3 ; GG ; Common ; Christopher Moeller ;  Onslaught
261 ; Enchantress's Presence ; Enchantment ; 2G ; Rare ; Rebecca Guay ;  Onslaught
262 ; Everglove Courier ; Creature - Elf 2/1 ; 2G ; Uncommon ; Darrell Riche ;  Onslaught
263 ; Explosive Vegetation ; Sorcery ; 3G ; Uncommon ; John Avon ;  Onslaught
264 ; Gigapede ; Creature - Insect 6/1 ; 3GG ; Rare ; Glen Angus ;  Onslaught
265 ; Heedless One ; Creature - Elf Avatar */* ; 3G ; Uncommon ; Mark Zug ;  Onslaught
266 ; Hystrodon ; Creature - Beast 3/4 ; 4G ; Rare ; Anthony S. Waters ;  Onslaught
267 ; Invigorating Boon ; Enchantment ; 1G ; Uncommon ; Edward P. Beard, Jr. ;  Onslaught
