1 ; Grim Lavamancer ; Creature - Human Wizard 1/1 ; R ; Rare ; Michael Sutfin ;  Premium Deck Series: Fire and Lightning
1 ; Elspeth, Knight-Errant ; Planeswalker - Elspeth 4 ; 2WW ; Mythic Rare ; Igor Kieryluk ;  Duel Decks: Elspeth vs. Tezzeret
2 ; Elite Vanguard ; Creature - Human Soldier 2/1 ; W ; Uncommon ; Mark Tedin ;  Duel Decks: Elspeth vs. Tezzeret
3 ; Goldmeadow Harrier ; Creature - Kithkin Soldier 1/1 ; W ; Common ; Steve Prescott ;  Duel Decks: Elspeth vs. Tezzeret
4 ; Infantry Veteran ; Creature - Human Soldier 1/1 ; W ; Common ; Christopher Rush ;  Duel Decks: Elspeth vs. Tezzeret
5 ; Loyal Sentry ; Creature - Human Soldier 1/1 ; W ; Rare ; Michael Sutfin ;  Duel Decks: Elspeth vs. Tezzeret
6 ; Mosquito Guard ; Creature - Kithkin Soldier 1/1 ; W ; Common ; Randy Gallegos ;  Duel Decks: Elspeth vs. Tezzeret
7 ; Glory Seeker ; Creature - Human Soldier 2/2 ; 1W ; Common ; Matt Cavotta ;  Duel Decks: Elspeth vs. Tezzeret
8 ; Kor Skyfisher ; Creature - Kor Soldier 2/3 ; 1W ; Common ; Dan Scott ;  Duel Decks: Elspeth vs. Tezzeret
9 ; Temple Acolyte ; Creature - Human Cleric 1/3 ; 1W ; Common ; Lubov ;  Duel Decks: Elspeth vs. Tezzeret
10 ; Kor Aeronaut ; Creature - Kor Soldier 2/2 ; WW ; Uncommon ; Karl Kopinski ;  Duel Decks: Elspeth vs. Tezzeret
11 ; Burrenton Bombardier ; Creature - Kithkin Soldier 2/2 ; 2W ; Common ; Ron Spencer ;  Duel Decks: Elspeth vs. Tezzeret
12 ; Kor Hookmaster ; Creature - Kor Soldier 2/2 ; 2W ; Common ; Wayne Reynolds ;  Duel Decks: Elspeth vs. Tezzeret
13 ; Kemba's Skyguard ; Creature - Cat Knight 2/2 ; 1WW ; Common ; Whit Brachna ;  Duel Decks: Elspeth vs. Tezzeret
14 ; Celestial Crusader ; Creature - Spirit 2/2 ; 2WW ; Uncommon ; Jim Murray ;  Duel Decks: Elspeth vs. Tezzeret
15 ; Seasoned Marshal ; Creature - Human Soldier 2/2 ; 2WW ; Uncommon ; Matthew D. Wilson ;  Duel Decks: Elspeth vs. Tezzeret
16 ; Conclave Phalanx ; Creature - Human Soldier 2/4 ; 4W ; Uncommon ; Wayne Reynolds ;  Duel Decks: Elspeth vs. Tezzeret
17 ; Stormfront Riders ; Creature - Human Soldier 4/3 ; 4W ; Uncommon ; Wayne Reynolds ;  Duel Decks: Elspeth vs. Tezzeret
18 ; Catapult Master ; Creature - Human Soldier 3/3 ; 3WW ; Rare ; Terese Nielsen ;  Duel Decks: Elspeth vs. Tezzeret
19 ; Conclave Equenaut ; Creature - Human Soldier 3/3 ; 4WW ; Common ; Terese Nielsen ;  Duel Decks: Elspeth vs. Tezzeret
20 ; Angel of Salvation ; Creature - Angel 5/5 ; 6WW ; Rare ; D. Alexander Gregory ;  Duel Decks: Elspeth vs. Tezzeret
21 ; Sunlance ; Sorcery ; W ; Common ; Volkan Baga ;  Duel Decks: Elspeth vs. Tezzeret
22 ; Swords to Plowshares ; Instant ; W ; Uncommon ; Terese Nielsen ;  Duel Decks: Elspeth vs. Tezzeret
23 ; Journey to Nowhere ; Enchantment ; 1W ; Common ; Warren Mahy ;  Duel Decks: Elspeth vs. Tezzeret
24 ; Mighty Leap ; Instant ; 1W ; Common ; rk post ;  Duel Decks: Elspeth vs. Tezzeret
25 ; Raise the Alarm ; Instant ; 1W ; Common ; John Matson ;  Duel Decks: Elspeth vs. Tezzeret
26 ; Razor Barrier ; Instant ; 1W ; Common ; Ron Spencer ;  Duel Decks: Elspeth vs. Tezzeret
27 ; Crusade ; Enchantment ; WW ; Rare ; Howard Lyon ;  Duel Decks: Elspeth vs. Tezzeret
28 ; Blinding Beam ; Instant ; 2W ; Common ; Doug Chaffee ;  Duel Decks: Elspeth vs. Tezzeret
29 ; Abolish ; Instant ; 1WW ; Uncommon ; Kev Walker ;  Duel Decks: Elspeth vs. Tezzeret
30 ; Saltblast ; Sorcery ; 3WW ; Uncommon ; Parente ;  Duel Decks: Elspeth vs. Tezzeret
31 ; Swell of Courage ; Instant ; 3WW ; Uncommon ; Jim Nelson ;  Duel Decks: Elspeth vs. Tezzeret
32 ; Daru Encampment ; Land ; ; Uncommon ; Tony Szczudlo ;  Duel Decks: Elspeth vs. Tezzeret
33 ; Kabira Crossroads ; Land ; ; Common ; James Paick ;  Duel Decks: Elspeth vs. Tezzeret
34 ; Rustic Clachan ; Land ; ; Rare ; Fred Fields ;  Duel Decks: Elspeth vs. Tezzeret
35 ; Plains ; Basic Land - Plains ; ; Land ; Rob Alexander ;  Duel Decks: Elspeth vs. Tezzeret
36 ; Plains ; Basic Land - Plains ; ; Land ; Michael Komarck ;  Duel Decks: Elspeth vs. Tezzeret
37 ; Plains ; Basic Land - Plains ; ; Land ; Michael Komarck ;  Duel Decks: Elspeth vs. Tezzeret
38 ; Plains ; Basic Land - Plains ; ; Land ; Martina Pilcerova ;  Duel Decks: Elspeth vs. Tezzeret
39 ; Tezzeret the Seeker ; Planeswalker - Tezzeret 4 ; 3UU ; Mythic Rare ; Igor Kieryluk ;  Duel Decks: Elspeth vs. Tezzeret
40 ; Arcbound Worker ; Artifact Creature - Construct 0/0 ; 1 ; Common ; Darrell Riche ;  Duel Decks: Elspeth vs. Tezzeret
41 ; Steel Wall ; Artifact Creature - Wall 0/4 ; 1 ; Common ; David Day ;  Duel Decks: Elspeth vs. Tezzeret
42 ; Runed Servitor ; Artifact Creature - Construct 2/2 ; 2 ; Uncommon ; Mike Bierek ;  Duel Decks: Elspeth vs. Tezzeret
43 ; Silver Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Kev Walker ;  Duel Decks: Elspeth vs. Tezzeret
44 ; Steel Overseer ; Artifact Creature - Construct 1/1 ; 2 ; Rare ; Chris Rahn ;  Duel Decks: Elspeth vs. Tezzeret
45 ; Assembly-Worker ; Artifact Creature - Assembly-Worker 2/2 ; 3 ; Uncommon ; Chippy ;  Duel Decks: Elspeth vs. Tezzeret
46 ; Serrated Biskelion ; Artifact Creature - Construct 2/2 ; 3 ; Uncommon ; Ron Spencer ;  Duel Decks: Elspeth vs. Tezzeret
47 ; Esperzoa ; Artifact Creature - Jellyfish 4/3 ; 2U ; Uncommon ; Warren Mahy ;  Duel Decks: Elspeth vs. Tezzeret
48 ; Master of Etherium ; Artifact Creature - Vedalken Wizard */* ; 2U ; Rare ; Matt Cavotta ;  Duel Decks: Elspeth vs. Tezzeret
49 ; Trinket Mage ; Creature - Human Wizard 2/2 ; 2U ; Common ; Mark A. Nelson ;  Duel Decks: Elspeth vs. Tezzeret
50 ; Clockwork Condor ; Artifact Creature - Bird 0/0 ; 4 ; Common ; Arnie Swekel ;  Duel Decks: Elspeth vs. Tezzeret
51 ; Frogmite ; Artifact Creature - Frog 2/2 ; 4 ; Common ; Terese Nielsen ;  Duel Decks: Elspeth vs. Tezzeret
52 ; Juggernaut ; Artifact Creature - Juggernaut 5/3 ; 4 ; Uncommon ; Mark Hyzer ;  Duel Decks: Elspeth vs. Tezzeret
53 ; Synod Centurion ; Artifact Creature - Construct 4/4 ; 4 ; Uncommon ; Kev Walker ;  Duel Decks: Elspeth vs. Tezzeret
54 ; Faerie Mechanist ; Artifact Creature - Faerie Artificer 2/2 ; 3U ; Common ; Matt Cavotta ;  Duel Decks: Elspeth vs. Tezzeret
55 ; Clockwork Hydra ; Artifact Creature - Hydra 0/0 ; 5 ; Uncommon ; Daren Bader ;  Duel Decks: Elspeth vs. Tezzeret
56 ; Razormane Masticore ; Artifact Creature - Masticore 5/5 ; 5 ; Rare ; Jim Murray ;  Duel Decks: Elspeth vs. Tezzeret
57 ; Triskelion ; Artifact Creature - Construct 1/1 ; 6 ; Rare ; Christopher Moeller ;  Duel Decks: Elspeth vs. Tezzeret
58 ; Pentavus ; Artifact Creature - Construct 0/0 ; 7 ; Rare ; Greg Staples ;  Duel Decks: Elspeth vs. Tezzeret
59 ; Qumulox ; Creature - Beast 5/4 ; 6UU ; Uncommon ; Carl Critchlow ;  Duel Decks: Elspeth vs. Tezzeret
60 ; Everflowing Chalice ; Artifact ; 0 ; Uncommon ; Steve Argyle ;  Duel Decks: Elspeth vs. Tezzeret
61 ; Ather Spellbomb ; Artifact ; 1 ; Common ; Jim Nelson ;  Duel Decks: Elspeth vs. Tezzeret
62 ; Elixir of Immortality ; Artifact ; 1 ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Duel Decks: Elspeth vs. Tezzeret
63 ; Contagion Clasp ; Artifact ; 2 ; Uncommon ; Anthony Palumbo ;  Duel Decks: Elspeth vs. Tezzeret
64 ; Energy Chamber ; Artifact ; 2 ; Uncommon ; Kev Walker ;  Duel Decks: Elspeth vs. Tezzeret
65 ; Trip Noose ; Artifact ; 2 ; Uncommon ; Randy Gallegos ;  Duel Decks: Elspeth vs. Tezzeret
66 ; Echoing Truth ; Instant ; 1U ; Common ; Greg Staples ;  Duel Decks: Elspeth vs. Tezzeret
67 ; Moonglove Extract ; Artifact ; 3 ; Common ; Terese Nielsen ;  Duel Decks: Elspeth vs. Tezzeret
68 ; Thirst for Knowledge ; Instant ; 2U ; Uncommon ; Anthony Francisco ;  Duel Decks: Elspeth vs. Tezzeret
69 ; Argivian Restoration ; Sorcery ; 2UU ; Uncommon ; Roger Raupp ;  Duel Decks: Elspeth vs. Tezzeret
70 ; Foil ; Instant ; 2UU ; Uncommon ; Bradley Williams ;  Duel Decks: Elspeth vs. Tezzeret
71 ; Thoughtcast ; Sorcery ; 4U ; Common ; Greg Hildebrandt ;  Duel Decks: Elspeth vs. Tezzeret
72 ; Darksteel Citadel ; Artifact Land ; ; Common ; John Avon ;  Duel Decks: Elspeth vs. Tezzeret
73 ; Mishra's Factory ; Land ; ; Uncommon ; Scott Chou ;  Duel Decks: Elspeth vs. Tezzeret
74 ; Seat of the Synod ; Artifact Land ; ; Common ; John Avon ;  Duel Decks: Elspeth vs. Tezzeret
75 ; Stalking Stones ; Land ; ; Uncommon ; David Day ;  Duel Decks: Elspeth vs. Tezzeret
76 ; Island ; Basic Land - Island ; ; Land ; Rob Alexander ;  Duel Decks: Elspeth vs. Tezzeret
77 ; Island ; Basic Land - Island ; ; Land ; John Avon ;  Duel Decks: Elspeth vs. Tezzeret
78 ; Island ; Basic Land - Island ; ; Land ; Chippy ;  Duel Decks: Elspeth vs. Tezzeret
79 ; Island ; Basic Land - Island ; ; Land ; Chippy ;  Duel Decks: Elspeth vs. Tezzeret
1 ; Ather Vial ; Artifact ; 1 ; Mythic Rare ; Karl Kopinski ;  From the Vault: Relics
2 ; Black Vise ; Artifact ; 1 ; Mythic Rare ; Dan Scott ;  From the Vault: Relics
3 ; Isochron Scepter ; Artifact ; 2 ; Mythic Rare ; Chippy ;  From the Vault: Relics
4 ; Ivory Tower ; Artifact ; 1 ; Mythic Rare ; Jason Chan ;  From the Vault: Relics
5 ; Jester's Cap ; Artifact ; 4 ; Mythic Rare ; D. Alexander Gregory ;  From the Vault: Relics
6 ; Karn, Silver Golem ; Legendary Artifact Creature - Golem 4/4 ; 5 ; Mythic Rare ; Mark Zug ;  From the Vault: Relics
7 ; Masticore ; Artifact Creature - Masticore 4/4 ; 4 ; Mythic Rare ; Steven Belledin ;  From the Vault: Relics
8 ; Memory Jar ; Artifact ; 5 ; Mythic Rare ; Donato Giancola ;  From the Vault: Relics
9 ; Mirari ; Legendary Artifact ; 5 ; Mythic Rare ; Donato Giancola ;  From the Vault: Relics
10 ; Mox Diamond ; Artifact ; 0 ; Mythic Rare ; Volkan Baga ;  From the Vault: Relics
11 ; Nevinyrral's Disk ; Artifact ; 4 ; Mythic Rare ; Steve Argyle ;  From the Vault: Relics
12 ; Sol Ring ; Artifact ; 1 ; Mythic Rare ; Mike Bierek ;  From the Vault: Relics
13 ; Sundering Titan ; Artifact Creature - Golem 7/10 ; 8 ; Mythic Rare ; Jim Murray ;  From the Vault: Relics
14 ; Sword of Body and Mind ; Artifact - Equipment ; 3 ; Mythic Rare ; Chris Rahn ;  From the Vault: Relics
15 ; Zuran Orb ; Artifact ; 0 ; Mythic Rare ; Ryan Pancoast ;  From the Vault: Relics
1 ; Air Elemental ; Creature - Elemental 4/4 ; 3UU ; Uncommon ; Kev Walker ;  Duels of the Planeswalkers
2 ; Boomerang ; Instant ; UU ; Common ; Arnie Swekel ;  Duels of the Planeswalkers
3 ; Cancel ; Instant ; 1UU ; Common ; David Palumbo ;  Duels of the Planeswalkers
4 ; Cloud Sprite ; Creature - Faerie 1/1 ; U ; Common ; Mark Zug ;  Duels of the Planeswalkers
5 ; Counterbore ; Instant ; 3UU ; Rare ; Wayne England ;  Duels of the Planeswalkers
6 ; Deluge ; Instant ; 2U ; Uncommon ; Wayne England ;  Duels of the Planeswalkers
7 ; Denizen of the Deep ; Creature - Serpent 11/11 ; 6UU ; Rare ; Jim Pavelec ;  Duels of the Planeswalkers
8 ; Essence Scatter ; Instant ; 1U ; Common ; Jon Foster ;  Duels of the Planeswalkers
9 ; Evacuation ; Instant ; 3UU ; Rare ; Franz Vohwinkel ;  Duels of the Planeswalkers
10 ; Mahamoti Djinn ; Creature - Djinn 5/6 ; 4UU ; Rare ; Greg Staples ;  Duels of the Planeswalkers
11 ; Mind Control ; Enchantment - Aura ; 3UU ; Uncommon ; Ryan Pancoast ;  Duels of the Planeswalkers
12 ; Mind Spring ; Sorcery ; XUU ; Rare ; Mark Zug ;  Duels of the Planeswalkers
13 ; Negate ; Instant ; 1U ; Common ; Jeremy Jarvis ;  Duels of the Planeswalkers
14 ; Phantom Warrior ; Creature - Illusion Warrior 2/2 ; 1UU ; Uncommon ; Greg Staples ;  Duels of the Planeswalkers
15 ; Snapping Drake ; Creature - Drake 3/2 ; 3U ; Common ; Todd Lockwood ;  Duels of the Planeswalkers
16 ; Thieving Magpie ; Creature - Bird 1/3 ; 2UU ; Uncommon ; Una Fricker ;  Duels of the Planeswalkers
17 ; Unsummon ; Instant ; U ; Common ; Izzy ;  Duels of the Planeswalkers
18 ; Abyssal Specter ; Creature - Specter 2/3 ; 2BB ; Uncommon ; Michael Sutfin ;  Duels of the Planeswalkers
19 ; Ascendant Evincar ; Legendary Creature - Vampire 3/3 ; 4BB ; Rare ; Mark Zug ;  Duels of the Planeswalkers
20 ; Consume Spirit ; Sorcery ; X1B ; Uncommon ; Justin Sweet ;  Duels of the Planeswalkers
21 ; Crowd of Cinders ; Creature - Elemental */* ; 3B ; Uncommon ; Carl Frank ;  Duels of the Planeswalkers
22 ; Drudge Skeletons ; Creature - Skeleton 1/1 ; 1B ; Common ; Daarken ;  Duels of the Planeswalkers
23 ; Dusk Imp ; Creature - Imp 2/1 ; 2B ; Common ; Pete Venters ;  Duels of the Planeswalkers
24 ; Essence Drain ; Sorcery ; 4B ; Common ; Jim Nelson ;  Duels of the Planeswalkers
25 ; Eyeblight's Ending ; Tribal Instant - Elf ; 2B ; Common ; Ron Spears ;  Duels of the Planeswalkers
26 ; Megrim ; Enchantment ; 2B ; Uncommon ; Nick Percival ;  Duels of the Planeswalkers
27 ; Mind Rot ; Sorcery ; 2B ; Common ; Steve Luke ;  Duels of the Planeswalkers
28 ; Mind Shatter ; Sorcery ; XBB ; Rare ; Michael Sutfin ;  Duels of the Planeswalkers
29 ; Moonglove Winnower ; Creature - Elf Rogue 2/3 ; 3B ; Common ; William O'Connor ;  Duels of the Planeswalkers
30 ; Mortivore ; Creature - Lhurgoyf */* ; 2BB ; Rare ; Anthony S. Waters ;  Duels of the Planeswalkers
31 ; Ravenous Rats ; Creature - Rat 1/1 ; 1B ; Common ; Carl Critchlow ;  Duels of the Planeswalkers
32 ; Sengir Vampire ; Creature - Vampire 4/4 ; 3BB ; Rare ; Kev Walker ;  Duels of the Planeswalkers
33 ; Severed Legion ; Creature - Zombie 2/2 ; 1BB ; Common ; Dany Orizio ;  Duels of the Planeswalkers
34 ; Terror ; Instant ; 1B ; Common ; Adam Rex ;  Duels of the Planeswalkers
35 ; Underworld Dreams ; Enchantment ; BBB ; Rare ; Carl Critchlow ;  Duels of the Planeswalkers
36 ; Unholy Strength ; Enchantment - Aura ; B ; Common ; Terese Nielsen ;  Duels of the Planeswalkers
37 ; Act of Treason ; Sorcery ; 2R ; Uncommon ; Eric Deschamps ;  Duels of the Planeswalkers
38 ; Banefire ; Sorcery ; XR ; Rare ; Raymond Swanland ;  Duels of the Planeswalkers
39 ; Blaze ; Sorcery ; XR ; Uncommon ; Alex Horley-Orlandelli ;  Duels of the Planeswalkers
40 ; Bloodmark Mentor ; Creature - Goblin Warrior 1/1 ; 1R ; Uncommon ; Dave Allsop ;  Duels of the Planeswalkers
41 ; Cinder Pyromancer ; Creature - Elemental Shaman 0/1 ; 2R ; Common ; Greg Staples ;  Duels of the Planeswalkers
42 ; Earth Elemental ; Creature - Elemental 4/5 ; 3RR ; Uncommon ; Anthony S. Waters ;  Duels of the Planeswalkers
43 ; Enrage ; Instant ; XR ; Uncommon ; Justin Sweet ;  Duels of the Planeswalkers
44 ; Furnace of Rath ; Enchantment ; 1RRR ; Rare ; John Matson ;  Duels of the Planeswalkers
45 ; Goblin Piker ; Creature - Goblin Warrior 2/1 ; 1R ; Common ; DiTerlizzi ;  Duels of the Planeswalkers
46 ; Goblin Sky Raider ; Creature - Goblin Warrior 1/2 ; 2R ; Common ; Daren Bader ;  Duels of the Planeswalkers
47 ; Hill Giant ; Creature - Giant 3/3 ; 3R ; Common ; Kev Walker ;  Duels of the Planeswalkers
48 ; Incinerate ; Instant ; 1R ; Common ; Zoltan Boros & Gabot Szikszai ;  Duels of the Planeswalkers
49 ; Kamahl, Pit Fighter ; Legendary Creature - Human Barbarian 6/1 ; 4RR ; Rare ; Kev Walker ;  Duels of the Planeswalkers
50 ; Lightning Elemental ; Creature - Elemental 4/1 ; 3R ; Common ; Kev Walker ;  Duels of the Planeswalkers
51 ; Prodigal Pyromancer ; Creature - Human Wizard 1/1 ; 2R ; Uncommon ; Jeremy Jarvis ;  Duels of the Planeswalkers
52 ; Rage Reflection ; Enchantment ; 4RR ; Rare ; Terese Nielsen & Ron Spencer ;  Duels of the Planeswalkers
53 ; Shivan Dragon ; Creature - Dragon 5/5 ; 4RR ; Rare ; Donato Giancola ;  Duels of the Planeswalkers
54 ; Shock ; Instant ; R ; Common ; Jon Foster ;  Duels of the Planeswalkers
55 ; Blanchwood Armor ; Enchantment - Aura ; 2G ; Uncommon ; Parente ;  Duels of the Planeswalkers
56 ; Civic Wayfinder ; Creature - Elf Warrior Druid 2/2 ; 2G ; Common ; Cyril Van Der Haegen ;  Duels of the Planeswalkers
57 ; Drove of Elves ; Creature - Elf */* ; 3G ; Uncommon ; Larry MacDougall ;  Duels of the Planeswalkers
58 ; Duskdale Wurm ; Creature - Wurm 7/7 ; 5GG ; Uncommon ; Dan Dos Santos ;  Duels of the Planeswalkers
59 ; Elven Riders ; Creature - Elf 3/3 ; 3GG ; Uncommon ; Darrell Riche ;  Duels of the Planeswalkers
60 ; Elvish Champion ; Creature - Elf 2/2 ; 1GG ; Rare ; D. Alexander Gregory ;  Duels of the Planeswalkers
61 ; Elvish Eulogist ; Creature - Elf Shaman 1/1 ; G ; Common ; Ben Thompson ;  Duels of the Planeswalkers
62 ; Elvish Promenade ; Tribal Sorcery - Elf ; 3G ; Uncommon ; Steve Ellis ;  Duels of the Planeswalkers
63 ; Elvish Visionary ; Creature - Elf Shaman 1/1 ; 1G ; Common ; D. Alexander Gregory ;  Duels of the Planeswalkers
64 ; Elvish Warrior ; Creature - Elf Warrior 2/3 ; GG ; Common ; Kev Walker ;  Duels of the Planeswalkers
65 ; Gaea's Herald ; Creature - Elf 1/1 ; 1G ; Rare ; Jim Murray ;  Duels of the Planeswalkers
66 ; Giant Growth ; Instant ; G ; Common ; Matt Cavotta ;  Duels of the Planeswalkers
67 ; Giant Spider ; Creature - Spider 2/4 ; 3G ; Common ; Randy Gallegos ;  Duels of the Planeswalkers
68 ; Greenweaver Druid ; Creature - Elf Druid 1/1 ; 2G ; Uncommon ; Justin Sweet ;  Duels of the Planeswalkers
69 ; Howl of the Night Pack ; Sorcery ; 6G ; Uncommon ; Lars Grant-West ;  Duels of the Planeswalkers
70 ; Immaculate Magistrate ; Creature - Elf Shaman 2/2 ; 3G ; Rare ; Jim Nelson ;  Duels of the Planeswalkers
71 ; Imperious Perfect ; Creature - Elf Warrior 2/2 ; 2G ; Uncommon ; Scott M. Fischer ;  Duels of the Planeswalkers
72 ; Jagged-Scar Archers ; Creature - Elf Archer */* ; 1GG ; Uncommon ; Parente ;  Duels of the Planeswalkers
73 ; Lys Alana Huntmaster ; Creature - Elf Warrior 3/3 ; 2GG ; Common ; Pete Venters ;  Duels of the Planeswalkers
74 ; Molimo, Maro-Sorcerer ; Legendary Creature - Elemental */* ; 4GGG ; Rare ; Mark Zug ;  Duels of the Planeswalkers
75 ; Natural Spring ; Sorcery ; 3GG ; Common ; Jeffrey R. Busch ;  Duels of the Planeswalkers
76 ; Naturalize ; Instant ; 1G ; Common ; Tim Hildebrandt ;  Duels of the Planeswalkers
77 ; Nature's Spiral ; Sorcery ; 1G ; Uncommon ; Terese Nielsen ;  Duels of the Planeswalkers
78 ; Overrun ; Sorcery ; 2GGG ; Uncommon ; Carl Critchlow ;  Duels of the Planeswalkers
79 ; Rampant Growth ; Sorcery ; 1G ; Common ; Steven Belledin ;  Duels of the Planeswalkers
80 ; River Boa ; Creature - Snake 2/1 ; 1G ; Uncommon ; Paul Bonner ;  Duels of the Planeswalkers
81 ; Roughshod Mentor ; Creature - Giant Warrior 5/4 ; 5G ; Uncommon ; Steven Belledin ;  Duels of the Planeswalkers
82 ; Runeclaw Bear ; Creature - Bear 2/2 ; 1G ; Common ; Jesper Ejsing ;  Duels of the Planeswalkers
83 ; Spined Wurm ; Creature - Wurm 5/4 ; 4G ; Common ; Carl Critchlow ;  Duels of the Planeswalkers
84 ; Talara's Battalion ; Creature - Elf Warrior 4/3 ; 1G ; Rare ; Todd Lockwood ;  Duels of the Planeswalkers
85 ; Trained Armodon ; Creature - Elephant 3/3 ; 1GG ; Common ; Gary Leach ;  Duels of the Planeswalkers
86 ; Troll Ascetic ; Creature - Troll Shaman 3/2 ; 1GG ; Rare ; Puddnhead ;  Duels of the Planeswalkers
87 ; Verdant Force ; Creature - Elemental 7/7 ; 5GGG ; Rare ; DiTerlizzi ;  Duels of the Planeswalkers
88 ; Vigor ; Creature - Elemental Incarnation 6/6 ; 3GGG ; Rare ; Jim Murray ;  Duels of the Planeswalkers
89 ; Wall of Wood ; Creature - Wall 0/3 ; G ; Common ; Rebecca Guay ;  Duels of the Planeswalkers
90 ; Coat of Arms ; Artifact ; 5 ; Rare ; Scott M. Fischer ;  Duels of the Planeswalkers
91 ; Demon's Horn ; Artifact ; 2 ; Uncommon ; Alan Pollack ;  Duels of the Planeswalkers
92 ; Dragon's Claw ; Artifact ; 2 ; Uncommon ; Alan Pollack ;  Duels of the Planeswalkers
93 ; Kraken's Eye ; Artifact ; 2 ; Uncommon ; Alan Pollack ;  Duels of the Planeswalkers
94 ; Loxodon Warhammer ; Artifact - Equipment ; 3 ; Rare ; Jeremy Jarvis ;  Duels of the Planeswalkers
95 ; The Rack ; Artifact ; 1 ; Uncommon ; Nic Klein ;  Duels of the Planeswalkers
