1 ; Fruitcake Elemental ; Creature - Elemental 7/7 ; 1GG ; Special ; Darrell Riche ;  Happy Holidays
21 ; Hermit Druid ; Creature - Human Druid 1/1 ; 1G ; Special ; Heather Hudson ;  Judge Gift Program
22 ; Gemstone Mine ; Land ; ; Special ; Brom ;  Judge Gift Program
23 ; Regrowth ; Sorcery ; 1G ; Special ; Dameon Willich ;  Judge Gift Program
24 ; Sol Ring ; Artifact ; 1 ; Special ; Mark Tedin ;  Judge Gift Program
25 ; Mishra's Factory ; Land ; ; Special ; Kaja & Phil Foglio ;  Judge Gift Program
26 ; Exalted Angel ; Creature - Angel 4/5 ; 4WW ; Special ; Rob Alexander ;  Judge Gift Program
27 ; Grim Lavamancer ; Creature - Wizard 1/1 ; R ; Special ; Michael Sutfin ;  Judge Gift Program
28 ; Meddling Mage ; Creature - Wizard 2/2 ; WU ; Special ; Nottsuo ;  Judge Gift Program
29 ; Pernicious Deed ; Enchantment ; 1BG ; Special ; Ittoku ;  Judge Gift Program
30 ; Ravenous Baloth ; Creature - Beast 4/4 ; 2GG ; Special ; Todd Lockwood ;  Judge Gift Program
31 ; Cunning Wish ; Instant ; 2U ; Special ; Zoltan Boros & Gabor Szikszai ;  Judge Gift Program
32 ; Yawgmoth's Will ; Sorcery ; 2B ; Special ; Ron Spencer ;  Judge Gift Program
33 ; Vindicate ; Sorcery ; 1WB ; Special ; Mark Zug ;  Judge Gift Program
34 ; Decree of Justice ; Sorcery ; XX2WW ; Special ; Alan Pollack ;  Judge Gift Program
35 ; Orim's Chant ; Instant ; W ; Special ; Chippy ;  Judge Gift Program
36 ; Mind's Desire ; Sorcery ; 4UU ; Special ; Anthony Francisco ;  Judge Gift Program
37 ; Demonic Tutor ; Sorcery ; 1B ; Special ; Daarken ;  Judge Gift Program
38 ; Goblin Piledriver ; Creature - Goblin Warrior 1/2 ; 1R ; Special ; Dave Kendall ;  Judge Gift Program
39 ; Living Wish ; Sorcery ; 1G ; Special ; Hideaki Takamura ;  Judge Gift Program
40 ; Dark Ritual ; Instant ; B ; Special ; Mark Hyzer ;  Judge Gift Program
41 ; Maze of Ith ; Land ; ; Special ; Zoltan Boros & Gabor Szikszai ;  Judge Gift Program
42 ; Stifle ; Instant ; U ; Special ; Eric Fortune ;  Judge Gift Program
43 ; Survival of the Fittest ; Enchantment ; 1G ; Special ; Shelly Wan ;  Judge Gift Program
44 ; Burning Wish ; Sorcery ; 1R ; Special ; Ariel Olivetti ;  Judge Gift Program
45 ; Bloodstained Mire ; Land ; ; Special ; Rob Alexander ;  Judge Gift Program
46 ; Flooded Strand ; Land ; ; Special ; Rob Alexander ;  Judge Gift Program
47 ; Polluted Delta ; Land ; ; Special ; Rob Alexander ;  Judge Gift Program
48 ; Windswept Heath ; Land ; ; Special ; Anthony S. Waters ;  Judge Gift Program
49 ; Wooded Foothills ; Land ; ; Special ; Rob Alexander ;  Judge Gift Program
50 ; Natural Order ; Sorcery ; 2GG ; Special ; Terese Nielsen ;  Judge Gift Program
51 ; Thawing Glaciers ; Land ; ; Special ; Jim Nelson ;  Judge Gift Program
52 ; Land Tax ; Enchantment ; W ; Special ; Chuck Lukacs ;  Judge Gift Program
53 ; Phyrexian Dreadnought ; Artifact Creature - Dreadnought 12/12 ; 1 ; Special ; Pete Venters ;  Judge Gift Program
54 ; Wheel of Fortune ; Sorcery ; 2R ; Special ; John Matson ;  Judge Gift Program
55 ; Wasteland ; Land ; ; Special ; Carl Critchlow ;  Judge Gift Program
56 ; Sword of Fire and Ice ; Artifact - Equipment ; 3 ; Special ; Mark Zug ;  Judge Gift Program
57 ; Morphling ; Creature - Shapeshifter 3/3 ; 3UU ; Special ; rk post ;  Judge Gift Program
58 ; Sinkhole ; Sorcery ; BB ; Special ; Dave Allsop ;  Judge Gift Program
59 ; Vendilion Clique ; Legendary Creature - Faerie Wizard 3/1 ; 1UU ; Special ; Jesper Ejsing ;  Judge Gift Program
60 ; Bitterblossom ; Tribal Enchantment - Faerie ; 1B ; Special ; Nils Hamm ;  Judge Gift Program
1 ; Armored Pegasus ; Creature - Pegasus 1/2 ; 1W ; Special ; Andrew Robinson ;  Portal Demogame
2 ; Bull Hippo ; Creature - Hippo 3/3 ; 3G ; Special ; Roger Raupp ;  Portal Demogame
3 ; Cloud Pirates ; Creature - Human Pirate 1/1 ; U ; Special ; Phil Foglio ;  Portal Demogame
4 ; Feral Shadow ; Creature - Nightstalker 2/1 ; 2B ; Special ; Colin MacNeil ;  Portal Demogame
5 ; Snapping Drake ; Creature - Drake 3/2 ; 3U ; Special ; Christopher Rush ;  Portal Demogame
6 ; Storm Crow ; Creature - Bird 1/2 ; 1U ; Special ; Una Fricker ;  Portal Demogame
