1 ; Abuna Acolyte ; Creature - Cat Cleric 1/1 ; 1W ; Uncommon ; Igor Kieryluk ;  Scars of Mirrodin
100 ; Oxidda Daredevil ; Creature - Goblin Artificer 2/1 ; 1R ; Common ; Pete Venters ;  Scars of Mirrodin
101 ; Oxidda Scrapmelter ; Creature - Beast 3/3 ; 3R ; Uncommon ; Igor Kieryluk ;  Scars of Mirrodin
102 ; Scoria Elemental ; Creature - Elemental 6/1 ; 4R ; Common ; Karl Kopinski ;  Scars of Mirrodin
103 ; Shatter ; Instant ; 1R ; Common ; jD ;  Scars of Mirrodin
104 ; Spikeshot Elder ; Creature - Goblin Shaman 1/1 ; R ; Rare ; Izzy ;  Scars of Mirrodin
105 ; Tunnel Ignus ; Creature - Elemental 2/1 ; 1R ; Rare ; Scott Chou ;  Scars of Mirrodin
106 ; Turn to Slag ; Sorcery ; 3RR ; Common ; Zoltan Boros & Gabor Szikszai ;  Scars of Mirrodin
107 ; Vulshok Heartstoker ; Creature - Human Shaman 2/2 ; 2R ; Common ; Shelly Wan ;  Scars of Mirrodin
108 ; Acid Web Spider ; Creature - Spider 3/5 ; 3GG ; Uncommon ; Austin Hsu ;  Scars of Mirrodin
109 ; Alpha Tyrranax ; Creature - Beast 6/5 ; 4GG ; Common ; Dave Kendall ;  Scars of Mirrodin
110 ; Asceticism ; Enchantment ; 3GG ; Rare ; Daarken ;  Scars of Mirrodin
111 ; Bellowing Tanglewurm ; Creature - Wurm 4/4 ; 3GG ; Uncommon ; jD ;  Scars of Mirrodin
112 ; Blight Mamba ; Creature - Snake 1/1 ; 1G ; Common ; Drew Baker ;  Scars of Mirrodin
113 ; Blunt the Assault ; Instant ; 3G ; Common ; Matt Stewart ;  Scars of Mirrodin
114 ; Carapace Forger ; Creature - Elf Artificer 2/2 ; 1G ; Common ; Matt Cavotta ;  Scars of Mirrodin
115 ; Carrion Call ; Instant ; 3G ; Uncommon ; Adrian Smith ;  Scars of Mirrodin
116 ; Copperhorn Scout ; Creature - Elf Scout 1/1 ; G ; Common ; Shelly Wan ;  Scars of Mirrodin
117 ; Cystbearer ; Creature - Beast 2/3 ; 2G ; Common ; Kev Walker ;  Scars of Mirrodin
118 ; Engulfing Slagwurm ; Creature - Wurm 7/7 ; 5GG ; Rare ; Jaime Jones ;  Scars of Mirrodin
119 ; Ezuri, Renegade Leader ; Legendary Creature - Elf Warrior 2/2 ; 1GG ; Rare ; Karl Kopinski ;  Scars of Mirrodin
120 ; Ezuri's Archers ; Creature - Elf Archer 1/2 ; G ; Common ; Shelly Wan ;  Scars of Mirrodin
121 ; Ezuri's Brigade ; Creature - Elf Warrior 4/4 ; 2GG ; Rare ; Nic Klein ;  Scars of Mirrodin
122 ; Genesis Wave ; Sorcery ; XGGG ; Rare ; James Paick ;  Scars of Mirrodin
123 ; Liege of the Tangle ; Creature - Elemental 8/8 ; 6GG ; Mythic Rare ; Jason Chan ;  Scars of Mirrodin
124 ; Lifesmith ; Creature - Human Artificer 2/1 ; 1G ; Uncommon ; Eric Deschamps ;  Scars of Mirrodin
125 ; Molder Beast ; Creature - Beast 5/3 ; 4G ; Common ; Randis Albion ;  Scars of Mirrodin
126 ; Putrefax ; Creature - Horror 5/3 ; 3GG ; Rare ; Steven Belledin ;  Scars of Mirrodin
127 ; Slice in Twain ; Instant ; 2GG ; Uncommon ; Efrem Palacios ;  Scars of Mirrodin
128 ; Tangle Angler ; Creature - Horror 1/5 ; 3G ; Uncommon ; Igor Kieryluk ;  Scars of Mirrodin
129 ; Tel-Jilad Defiance ; Instant ; 1G ; Common ; Goran Josic ;  Scars of Mirrodin
130 ; Tel-Jilad Fallen ; Creature - Elf Warrior 3/1 ; 2GG ; Common ; James Ryman ;  Scars of Mirrodin
131 ; Untamed Might ; Instant ; XG ; Common ; Erica Yang ;  Scars of Mirrodin
132 ; Viridian Revel ; Enchantment ; 1GG ; Uncommon ; rk post ;  Scars of Mirrodin
133 ; Wing Puncture ; Instant ; G ; Common ; jD ;  Scars of Mirrodin
134 ; Withstand Death ; Instant ; G ; Common ; Tomasz Jedruszek ;  Scars of Mirrodin
135 ; Venser, the Sojourner ; Planeswalker - Venser ; 3WU ; Mythic Rare ; Eric Deschamps ;  Scars of Mirrodin
136 ; Accorder's Shield ; Artifact - Equipment ; 0 ; Common ; Alan Pollack ;  Scars of Mirrodin
137 ; Argentum Armor ; Artifact - Equipment ; 6 ; Rare ; Matt Cavotta ;  Scars of Mirrodin
138 ; Auriok Replica ; Artifact Creature - Cleric 2/2 ; 3 ; Common ; Zoltan Boros & Gabor Szikszai ;  Scars of Mirrodin
139 ; Barbed Battlegear ; Artifact - Equipment ; 3 ; Uncommon ; Steve Argyle ;  Scars of Mirrodin
140 ; Bladed Pinions ; Artifact - Equipment ; 2 ; Common ; Steve Argyle ;  Scars of Mirrodin
141 ; Chimeric Mass ; Artifact ; X ; Rare ; David Palumbo ;  Scars of Mirrodin
142 ; Chrome Steed ; Artifact Creature - Horse 2/2 ; 4 ; Common ; Jana Schirmer & Johannes Voss ;  Scars of Mirrodin
143 ; Clone Shell ; Artifact Creature - Shapeshifter 2/2 ; 5 ; Uncommon ; Volkan Baga ;  Scars of Mirrodin
144 ; Contagion Clasp ; Artifact ; 2 ; Uncommon ; Anthony Palumbo ;  Scars of Mirrodin
145 ; Contagion Engine ; Artifact ; 6 ; Rare ; Daarken ;  Scars of Mirrodin
146 ; Copper Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Alan Pollack ;  Scars of Mirrodin
147 ; Corpse Cur ; Artifact Creature - Hound 2/2 ; 4 ; Common ; Pete Venters ;  Scars of Mirrodin
148 ; Culling Dais ; Artifact ; 2 ; Uncommon ; Anthony Palumbo ;  Scars of Mirrodin
149 ; Darksteel Axe ; Artifact - Equipment ; 1 ; Uncommon ; Daniel Ljunggren ;  Scars of Mirrodin
150 ; Darksteel Juggernaut ; Artifact Creature - Juggernaut */* ; 5 ; Rare ; Randis Albion ;  Scars of Mirrodin
151 ; Darksteel Myr ; Artifact Creature - Myr 0/1 ; 3 ; Uncommon ; Randis Albion ;  Scars of Mirrodin
152 ; Darksteel Sentinel ; Artifact Creature - Golem 3/3 ; 6 ; Uncommon ; Erica Yang ;  Scars of Mirrodin
153 ; Echo Circlet ; Artifact - Equipment ; 2 ; Common ; Daarken ;  Scars of Mirrodin
154 ; Etched Champion ; Artifact Creature - Soldier 2/2 ; 3 ; Rare ; Matt Cavotta ;  Scars of Mirrodin
155 ; Flight Spellbomb ; Artifact ; 1 ; Common ; Franz Vohwinkel ;  Scars of Mirrodin
156 ; Glint Hawk Idol ; Artifact ; 2 ; Common ; Dave Allsop ;  Scars of Mirrodin
157 ; Gold Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Alan Pollack ;  Scars of Mirrodin
158 ; Golden Urn ; Artifact ; 1 ; Common ; Charles Urbach ;  Scars of Mirrodin
159 ; Golem Artisan ; Artifact Creature - Golem 3/3 ; 5 ; Uncommon ; Nic Klein ;  Scars of Mirrodin
160 ; Golem Foundry ; Artifact ; 3 ; Common ; Nic Klein ;  Scars of Mirrodin
161 ; Golem's Heart ; Artifact ; 2 ; Uncommon ; Matt Cavotta ;  Scars of Mirrodin
162 ; Grafted Exoskeleton ; Artifact - Equipment ; 4 ; Uncommon ; Allen Williams ;  Scars of Mirrodin
163 ; Grindclock ; Artifact ; 2 ; Rare ; Nils Hamm ;  Scars of Mirrodin
164 ; Heavy Arbalest ; Artifact - Equipment ; 3 ; Uncommon ; David Rapoza ;  Scars of Mirrodin
165 ; Horizon Spellbomb ; Artifact ; 1 ; Common ; Franz Vohwinkel ;  Scars of Mirrodin
166 ; Ichorclaw Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Eric Deschamps ;  Scars of Mirrodin
167 ; Infiltration Lens ; Artifact - Equipment ; 1 ; Uncommon ; Izzy ;  Scars of Mirrodin
168 ; Iron Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Alan Pollack ;  Scars of Mirrodin
169 ; Kuldotha Forgemaster ; Artifact Creature - Construct 3/5 ; 5 ; Rare ; jD ;  Scars of Mirrodin
170 ; Leaden Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Alan Pollack ;  Scars of Mirrodin
171 ; Liquimetal Coating ; Artifact ; 2 ; Uncommon ; Johann Bodin ;  Scars of Mirrodin
172 ; Livewire Lash ; Artifact - Equipment ; 2 ; Rare ; Daniel Ljunggren ;  Scars of Mirrodin
173 ; Lux Cannon ; Artifact ; 4 ; Mythic Rare ; Martina Pilcerova ;  Scars of Mirrodin
174 ; Memnite ; Artifact Creature - Construct 1/1 ; 0 ; Uncommon ; Svetlin Velinov ;  Scars of Mirrodin
175 ; Mimic Vat ; Artifact ; 3 ; Rare ; Matt Cavotta ;  Scars of Mirrodin
176 ; Mindslaver ; Legendary Artifact ; 6 ; Mythic Rare ; Volkan Baga ;  Scars of Mirrodin
177 ; Molten-Tail Masticore ; Artifact Creature - Masticore 4/4 ; 4 ; Mythic Rare ; Whit Brachna ;  Scars of Mirrodin
178 ; Moriok Replica ; Artifact Creature - Warrior 2/2 ; 3 ; Common ; Zoltan Boros & Gabor Szikszai ;  Scars of Mirrodin
179 ; Mox Opal ; Legendary Artifact ; 0 ; Mythic Rare ; Volkan Baga ;  Scars of Mirrodin
180 ; Myr Battlesphere ; Artifact Creature - Myr Construct 4/7 ; 7 ; Rare ; Franz Vohwinkel ;  Scars of Mirrodin
181 ; Myr Galvanizer ; Artifact Creature - Myr 2/2 ; 3 ; Uncommon ; Greg Staples ;  Scars of Mirrodin
182 ; Myr Propagator ; Artifact Creature - Myr 1/1 ; 3 ; Rare ; Ryan Pancoast ;  Scars of Mirrodin
183 ; Myr Reservoir ; Artifact ; 3 ; Rare ; Jung Park ;  Scars of Mirrodin
184 ; Necrogen Censer ; Artifact ; 3 ; Common ; Pete Venters ;  Scars of Mirrodin
185 ; Necropede ; Artifact Creature - Insect 1/1 ; 2 ; Uncommon ; Nic Klein ;  Scars of Mirrodin
186 ; Neurok Replica ; Artifact Creature - Wizard 1/4 ; 3 ; Common ; Zoltan Boros & Gabor Szikszai ;  Scars of Mirrodin
187 ; Nihil Spellbomb ; Artifact ; 1 ; Common ; Franz Vohwinkel ;  Scars of Mirrodin
188 ; Nim Deathmantle ; Artifact - Equipment ; 2 ; Rare ; Karl Kopinski ;  Scars of Mirrodin
189 ; Origin Spellbomb ; Artifact ; 1 ; Common ; Franz Vohwinkel ;  Scars of Mirrodin
190 ; Palladium Myr ; Artifact Creature - Myr 2/2 ; 3 ; Uncommon ; Alan Pollack ;  Scars of Mirrodin
191 ; Panic Spellbomb ; Artifact ; 1 ; Common ; Franz Vohwinkel ;  Scars of Mirrodin
192 ; Perilous Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Jason Felix ;  Scars of Mirrodin
193 ; Platinum Emperion ; Artifact Creature - Golem 8/8 ; 8 ; Mythic Rare ; Chris Rahn ;  Scars of Mirrodin
194 ; Precursor Golem ; Artifact Creature - Golem 3/3 ; 5 ; Rare ; Chippy ;  Scars of Mirrodin
195 ; Prototype Portal ; Artifact ; 4 ; Rare ; Drew Baker ;  Scars of Mirrodin
196 ; Ratchet Bomb ; Artifact ; 2 ; Rare ; Austin Hsu ;  Scars of Mirrodin
197 ; Razorfield Thresher ; Artifact Creature - Construct 6/4 ; 7 ; Common ; Karl Kopinski ;  Scars of Mirrodin
198 ; Rust Tick ; Artifact Creature - Insect 1/3 ; 3 ; Uncommon ; Carl Critchlow ;  Scars of Mirrodin
199 ; Rusted Relic ; Artifact ; 4 ; Uncommon ; Igor Kieryluk ;  Scars of Mirrodin
200 ; Saberclaw Golem ; Artifact Creature - Golem 4/2 ; 5 ; Common ; Mike Bierek ;  Scars of Mirrodin
201 ; Semblance Anvil ; Artifact ; 3 ; Rare ; Dan Scott ;  Scars of Mirrodin
202 ; Silver Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Alan Pollack ;  Scars of Mirrodin
203 ; Snapsail Glider ; Artifact Creature - Construct 2/2 ; 3 ; Common ; Efrem Palacios ;  Scars of Mirrodin
204 ; Soliton ; Artifact Creature - Construct 3/4 ; 5 ; Common ; Jason Felix ;  Scars of Mirrodin
205 ; Steel Hellkite ; Artifact Creature - Dragon 5/5 ; 6 ; Rare ; James Paick ;  Scars of Mirrodin
206 ; Strata Scythe ; Artifact - Equipment ; 3 ; Rare ; Scott Chou ;  Scars of Mirrodin
207 ; Strider Harness ; Artifact - Equipment ; 3 ; Common ; Matt Stewart ;  Scars of Mirrodin
208 ; Sword of Body and Mind ; Artifact - Equipment ; 3 ; Mythic Rare ; Chris Rahn ;  Scars of Mirrodin
209 ; Sylvok Lifestaff ; Artifact - Equipment ; 1 ; Common ; Martina Pilcerova ;  Scars of Mirrodin
210 ; Sylvok Replica ; Artifact Creature - Shaman 1/3 ; 3 ; Common ; Zoltan Boros & Gabor Szikszai ;  Scars of Mirrodin
211 ; Throne of Geth ; Artifact ; 2 ; Uncommon ; Jana Schirmer & Johannes Voss ;  Scars of Mirrodin
212 ; Tower of Calamities ; Artifact ; 4 ; Rare ; Aleksi Briclot ;  Scars of Mirrodin
213 ; Trigon of Corruption ; Artifact ; 4 ; Uncommon ; Nils Hamm ;  Scars of Mirrodin
214 ; Trigon of Infestation ; Artifact ; 4 ; Uncommon ; Dave Allsop ;  Scars of Mirrodin
215 ; Trigon of Mending ; Artifact ; 2 ; Uncommon ; Igor Kieryluk ;  Scars of Mirrodin
216 ; Trigon of Rage ; Artifact ; 2 ; Uncommon ; Marc Simonetti ;  Scars of Mirrodin
217 ; Trigon of Thought ; Artifact ; 5 ; Uncommon ; Mike Bierek ;  Scars of Mirrodin
218 ; Tumble Magnet ; Artifact ; 3 ; Common ; Drew Baker ;  Scars of Mirrodin
219 ; Vector Asp ; Artifact Creature - Snake 1/1 ; 1 ; Common ; Erica Yang ;  Scars of Mirrodin
220 ; Venser's Journal ; Artifact ; 5 ; Rare ; Christopher Moeller ;  Scars of Mirrodin
221 ; Vulshok Replica ; Artifact Creature - Berserker 3/1 ; 3 ; Common ; Zoltan Boros & Gabor Szikszai ;  Scars of Mirrodin
222 ; Wall of Tanglecord ; Artifact Creature - Wall 0/6 ; 2 ; Common ; Vance Kovacs ;  Scars of Mirrodin
223 ; Wurmcoil Engine ; Artifact Creature - Wurm 6/6 ; 6 ; Mythic Rare ; Raymond Swanland ;  Scars of Mirrodin
224 ; Blackcleave Cliffs ; Land ; ; Rare ; Dave Kendall ;  Scars of Mirrodin
225 ; Copperline Gorge ; Land ; ; Rare ; Zoltan Boros & Gabor Szikszai ;  Scars of Mirrodin
226 ; Darkslick Shores ; Land ; ; Rare ; Charles Urbach ;  Scars of Mirrodin
227 ; Glimmerpost ; Land - Locus ; ; Common ; Matt Cavotta ;  Scars of Mirrodin
228 ; Razorverge Thicket ; Land ; ; Rare ; James Paick ;  Scars of Mirrodin
229 ; Seachrome Coast ; Land ; ; Rare ; Lars Grant-West ;  Scars of Mirrodin
230 ; Plains ; Basic Land - Plains ; ; Land ; James Paick ;  Scars of Mirrodin
231 ; Plains ; Basic Land - Plains ; ; Land ; James Paick ;  Scars of Mirrodin
232 ; Plains ; Basic Land - Plains ; ; Land ; James Paick ;  Scars of Mirrodin
233 ; Plains ; Basic Land - Plains ; ; Land ; James Paick ;  Scars of Mirrodin
234 ; Island ; Basic Land - Island ; ; Land ; Jung Park ;  Scars of Mirrodin
235 ; Island ; Basic Land - Island ; ; Land ; Jung Park ;  Scars of Mirrodin
236 ; Island ; Basic Land - Island ; ; Land ; Jung Park ;  Scars of Mirrodin
237 ; Island ; Basic Land - Island ; ; Land ; Jung Park ;  Scars of Mirrodin
238 ; Swamp ; Basic Land - Swamp ; ; Land ; Lars Grant-West ;  Scars of Mirrodin
239 ; Swamp ; Basic Land - Swamp ; ; Land ; Lars Grant-West ;  Scars of Mirrodin
240 ; Swamp ; Basic Land - Swamp ; ; Land ; Lars Grant-West ;  Scars of Mirrodin
241 ; Swamp ; Basic Land - Swamp ; ; Land ; Lars Grant-West ;  Scars of Mirrodin
242 ; Mountain ; Basic Land - Mountain ; ; Land ; Tomasz Jedruszek ;  Scars of Mirrodin
