1 ; Absolver Thrull ; Creature - Thrull Cleric 2/3 ; 3W ; Common ; Rob Alexander ;  Guildpact
80 ; Beastmaster's Magemark ; Enchantment - Aura ; 2G ; Common ; Brandon Kitkouski ;  Guildpact
81 ; Bioplasm ; Creature - Ooze 4/4 ; 3GG ; Rare ; Jon Foster ;  Guildpact
82 ; Crash Landing ; Instant ; 2G ; Uncommon ; Darrell Riche ;  Guildpact
83 ; Dryad Sophisticate ; Creature - Dryad 2/1 ; 1G ; Uncommon ; Ron Spears ;  Guildpact
84 ; Earth Surge ; Enchantment ; 3G ; Rare ; Luca Zontini ;  Guildpact
85 ; Gatherer of Graces ; Creature - Human Druid 1/2 ; 1G ; Uncommon ; Heather Hudson ;  Guildpact
86 ; Ghor-Clan Savage ; Creature - Centaur Berserker 2/3 ; 3GG ; Common ; Greg Staples ;  Guildpact
87 ; Gristleback ; Creature - Beast 2/2 ; 2G ; Uncommon ; Lars Grant-West ;  Guildpact
88 ; Gruul Nodorog ; Creature - Beast 4/4 ; 4GG ; Common ; Pete Venters ;  Guildpact
89 ; Gruul Scrapper ; Creature - Human Berserker 3/2 ; 3G ; Common ; Liam Sharp ;  Guildpact
90 ; Leyline of Lifeforce ; Enchantment ; 2GG ; Rare ; Kev Walker ;  Guildpact
91 ; Petrified Wood-Kin ; Creature - Elemental Warrior 3/3 ; 6G ; Rare ; Kev Walker ;  Guildpact
92 ; Predatory Focus ; Sorcery ; 3GG ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Guildpact
93 ; Primeval Light ; Sorcery ; 3G ; Uncommon ; Jim Nelson ;  Guildpact
94 ; Silhana Ledgewalker ; Creature - Elf Rogue 1/1 ; 1G ; Common ; James Wong ;  Guildpact
95 ; Silhana Starfletcher ; Creature - Elf Druid Archer 1/3 ; 2G ; Common ; Alex Horley-Orlandelli ;  Guildpact
96 ; Skarrgan Pit-Skulk ; Creature - Human Warrior 1/1 ; G ; Common ; Liam Sharp ;  Guildpact
97 ; Starved Rusalka ; Creature - Spirit 1/1 ; G ; Uncommon ; Dany Orizio ;  Guildpact
98 ; Wildsize ; Instant ; 2G ; Common ; Jim Murray ;  Guildpact
99 ; Wurmweaver Coil ; Enchantment - Aura ; 4GG ; Rare ; Mitch Cotie ;  Guildpact
100 ; Agent of Masks ; Creature - Human Advisor 2/3 ; 3WB ; Uncommon ; Matt Thompson ;  Guildpact
101 ; Angel of Despair ; Creature - Angel 5/5 ; 3WWBB ; Rare ; Todd Lockwood ;  Guildpact
102 ; Blind Hunter ; Creature - Bat 2/2 ; 2WB ; Common ; Warren Mahy ;  Guildpact
103 ; Borborygmos ; Legendary Creature - Cyclops 6/7 ; 3RRGG ; Rare ; Todd Lockwood ;  Guildpact
104 ; Burning-Tree Bloodscale ; Creature - Viashino Berserker 2/2 ; 2RG ; Common ; Kev Walker ;  Guildpact
105 ; Burning-Tree Shaman ; Creature - Centaur Shaman 3/4 ; 1RG ; Rare ; Dan Scott ;  Guildpact
106 ; Castigate ; Sorcery ; WB ; Common ; Darrell Riche ;  Guildpact
107 ; Cerebral Vortex ; Instant ; 1UR ; Rare ; Jeremy Jarvis ;  Guildpact
108 ; Conjurer's Ban ; Sorcery ; WB ; Uncommon ; Pete Venters ;  Guildpact
109 ; Culling Sun ; Sorcery ; 2WWB ; Rare ; Daren Bader ;  Guildpact
110 ; Dune-Brood Nephilim ; Creature - Nephilim 3/3 ; WBRG ; Rare ; Jim Murray ;  Guildpact
111 ; Electrolyze ; Instant ; 1UR ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Guildpact
112 ; Feral Animist ; Creature - Goblin Shaman 2/1 ; 1RG ; Uncommon ; Ron Spears ;  Guildpact
113 ; Gelectrode ; Creature - Weird 0/1 ; 1UR ; Uncommon ; Dan Scott ;  Guildpact
114 ; Ghost Council of Orzhova ; Legendary Creature - Spirit Lord 4/4 ; WWBB ; Rare ; Greg Staples ;  Guildpact
115 ; Glint-Eye Nephilim ; Creature - Nephilim 2/2 ; UBRG ; Rare ; Mark Zug ;  Guildpact
116 ; Goblin Flectomancer ; Creature - Goblin Wizard 2/2 ; URR ; Uncommon ; Matt Cavotta ;  Guildpact
117 ; Ink-Treader Nephilim ; Creature - Nephilim 3/3 ; WURG ; Rare ; Christopher Moeller ;  Guildpact
118 ; Invoke the Firemind ; Sorcery ; XUUR ; Rare ; Zoltan Boros & Gabor Szikszai ;  Guildpact
119 ; Izzet Chronarch ; Creature - Human Wizard 2/2 ; 3UR ; Common ; Nick Percival ;  Guildpact
120 ; Killer Instinct ; Enchantment ; 4RG ; Rare ; Christopher Moeller ;  Guildpact
121 ; Leap of Flame ; Instant ; UR ; Common ; Greg Hildebrandt ;  Guildpact
122 ; Mortify ; Instant ; 1WB ; Uncommon ; Glen Angus ;  Guildpact
123 ; Niv-Mizzet, the Firemind ; Legendary Creature - Dragon Wizard 4/4 ; 2UURR ; Rare ; Todd Lockwood ;  Guildpact
124 ; Orzhov Pontiff ; Creature - Human Cleric 1/1 ; 1WB ; Rare ; Adam Rex ;  Guildpact
125 ; Pillory of the Sleepless ; Enchantment - Aura ; 1WB ; Common ; Mark Romanoski ;  Guildpact
126 ; Rumbling Slum ; Creature - Elemental 5/5 ; 1RGG ; Rare ; Carl Critchlow ;  Guildpact
127 ; Savage Twister ; Sorcery ; XRG ; Uncommon ; Luca Zontini ;  Guildpact
128 ; Scab-Clan Mauler ; Creature - Human Berserker 1/1 ; RG ; Common ; Liam Sharp ;  Guildpact
129 ; Schismotivate ; Instant ; 1UR ; Uncommon ; Ron Spencer ;  Guildpact
130 ; Skarrgan Skybreaker ; Creature - Giant Shaman 3/3 ; 4RRG ; Uncommon ; Dan Scott ;  Guildpact
131 ; Souls of the Faultless ; Creature - Spirit 0/4 ; WBB ; Uncommon ; Pat Lee ;  Guildpact
132 ; Stitch in Time ; Sorcery ; 1UR ; Rare ; Jon Foster ;  Guildpact
133 ; Streetbreaker Wurm ; Creature - Wurm 6/4 ; 3RG ; Common ; Greg Hildebrandt ;  Guildpact
134 ; Teysa, Orzhov Scion ; Legendary Creature - Human Advisor 2/3 ; 1WB ; Rare ; Todd Lockwood ;  Guildpact
135 ; Tibor and Lumia ; Legendary Creature - Human Wizard 3/3 ; 2UR ; Rare ; Jim Murray ;  Guildpact
136 ; Ulasht, the Hate Seed ; Legendary Creature - Hydra 0/0 ; 2RG ; Rare ; Nottsuo ;  Guildpact
137 ; Wee Dragonauts ; Creature - Faerie Wizard 1/3 ; 1UR ; Common ; Greg Staples ;  Guildpact
138 ; Witch-Maw Nephilim ; Creature - Nephilim 1/1 ; WUBG ; Rare ; Greg Staples ;  Guildpact
139 ; Wreak Havoc ; Sorcery ; 2RG ; Uncommon ; Wayne Reynolds ;  Guildpact
140 ; Yore-Tiller Nephilim ; Creature - Nephilim 2/2 ; WUBR ; Rare ; Jeremy Jarvis ;  Guildpact
141 ; Debtors' Knell ; Enchantment ; 4{W/B}{W/B}{W/B} ; Rare ; Kev Walker ;  Guildpact
142 ; Djinn Illuminatus ; Creature - Djinn 3/5 ; 5{U/R}{U/R} ; Rare ; Carl Critchlow ;  Guildpact
143 ; Giant Solifuge ; Creature - Insect 4/1 ; 2{R/G}{R/G} ; Rare ; Pat Lee ;  Guildpact
144 ; Gruul Guildmage ; Creature - Human Shaman 2/2 ; {R/G}{R/G} ; Uncommon ; Paolo Parente ;  Guildpact
145 ; Izzet Guildmage ; Creature - Human Wizard 2/2 ; {U/R}{U/R} ; Uncommon ; Jim Murray ;  Guildpact
146 ; Mourning Thrull ; Creature - Thrull 1/1 ; 1{W/B} ; Common ; Dany Orizio ;  Guildpact
147 ; Orzhov Guildmage ; Creature - Human Wizard 2/2 ; {W/B}{W/B} ; Uncommon ; Greg Staples ;  Guildpact
148 ; Petrahydrox ; Creature - Weird 3/3 ; 3{U/R} ; Common ; Anthony S. Waters ;  Guildpact
149 ; Wild Cantor ; Creature - Human Druid 1/1 ; {R/G} ; Common ; Glenn Fabry ;  Guildpact
150 ; Gruul Signet ; Artifact ; 2 ; Common ; Tim Hildebrandt ;  Guildpact
151 ; Gruul War Plow ; Artifact ; 4 ; Rare ; Martina Pilcerova ;  Guildpact
152 ; Izzet Signet ; Artifact ; 2 ; Common ; Greg Hildebrandt ;  Guildpact
153 ; Mizzium Transreliquat ; Artifact ; 3 ; Rare ; John Avon ;  Guildpact
154 ; Moratorium Stone ; Artifact ; 1 ; Rare ; Martina Pilcerova ;  Guildpact
155 ; Orzhov Signet ; Artifact ; 2 ; Common ; Tim Hildebrandt ;  Guildpact
156 ; Sword of the Paruns ; Artifact - Equipment ; 4 ; Rare ; Tim Hildebrandt ;  Guildpact
157 ; Godless Shrine ; Land - Plains Swamp ; ; Rare ; Rob Alexander ;  Guildpact
158 ; Gruul Turf ; Land ; ; Common ; John Avon ;  Guildpact
159 ; Izzet Boilerworks ; Land ; ; Common ; John Avon ;  Guildpact
160 ; Nivix, Aerie of the Firemind ; Land ; ; Uncommon ; Martina Pilcerova ;  Guildpact
161 ; Orzhov Basilica ; Land ; ; Common ; John Avon ;  Guildpact
162 ; Orzhova, the Church of Deals ; Land ; ; Uncommon ; Martina Pilcerova ;  Guildpact
163 ; Skarrg, the Rage Pits ; Land ; ; Uncommon ; Martina Pilcerova ;  Guildpact
164 ; Steam Vents ; Land - Island Mountain ; ; Rare ; Rob Alexander ;  Guildpact
165 ; Stomping Ground ; Land - Mountain Forest ; ; Rare ; Rob Alexander ;  Guildpact
