1 ; Ashes to Ashes ; Sorcery ; 1BB ; Common (C3) ; Drew Tucker ;  The Dark
69 ; Goblins of the Flarg ; Summon Goblins 1/1 ; R ; Common (C3) ; Tom W‰nerstrand ;  The Dark
70 ; Inferno ; Instant ; 5RR ; Rare (U1) ; Randy Asplund-Faith ;  The Dark
71 ; Mana Clash ; Sorcery ; R ; Rare (U1) ; Mark Tedin ;  The Dark
72 ; Orc General ; Summon General 2/2 ; 2R ; Rare (U2) ; Jesper Myrfors ;  The Dark
73 ; Sisters of the Flame ; Summon Sisters 2/2 ; 1RR ; Rare (U2) ; Jesper Myrfors ;  The Dark
74 ; Angry Mob ; Summon Mob 2+*/2+* ; 2WW ; Rare (U2) ; Drew Tucker ;  The Dark
75 ; Blood of the Martyr ; Instant ; WWW ; Rare (U2) ; Christopher Rush ;  The Dark
76 ; Brainwash ; Enchant Creature ; W ; Common (C3) ; Pete Venters ;  The Dark
77 ; Cleansing ; Sorcery ; WWW ; Rare (U1) ; Pete Venters ;  The Dark
78 ; Dust to Dust ; Sorcery ; 1WW ; Common (C3) ; Drew Tucker ;  The Dark
79 ; Exorcist ; Summon Exorcist 1/1 ; WW ; Rare (U1) ; Drew Tucker ;  The Dark
80 ; Fasting ; Enchantment ; W ; Rare (U2) ; Douglas Shuler ;  The Dark
81 ; Festival ; Instant ; W ; Common (C3) ; Mark Poole ;  The Dark
82 ; Fire and Brimstone ; Instant ; 3WW ; Rare (U2) ; Jeff A. Menges ;  The Dark
83 ; Holy Light ; Instant ; 2W ; Common (C3) ; Drew Tucker ;  The Dark
84 ; Knights of Thorn ; Summon Knights 2/2 ; 3W ; Rare (U1) ; Christopher Rush ;  The Dark
85 ; Martyr's Cry ; Sorcery ; WW ; Rare (U1) ; Jeff A. Menges ;  The Dark
86 ; Miracle Worker ; Summon Miracle Worker 1/1 ; W ; Common (C3) ; Ron Spencer ;  The Dark
87 ; Morale ; Instant ; 1WW ; Common (C3) ; Mark Poole ;  The Dark
88 ; Pikemen ; Summon Pikemen 1/1 ; 1W ; Common (C3) ; Denise Detwiler ;  The Dark
89 ; Preacher ; Summon Preacher 1/1 ; 1WW ; Rare (U1) ; Quinton Hoover ;  The Dark
90 ; Squire ; Summon Squire 1/2 ; 1W ; Common (C3) ; Denise Detwiler ;  The Dark
91 ; Tivadar's Crusade ; Sorcery ; 1WW ; Rare (U2) ; Denise Detwiler ;  The Dark
92 ; Witch Hunter ; Summon Hunter 1/1 ; 2WW ; Rare (U1) ; Jesper Myrfors ;  The Dark
93 ; Barl's Cage ; Artifact ; 4 ; Rare (U1) ; Tom W‰nerstrand ;  The Dark
94 ; Bone Flute ; Artifact ; 3 ; Rare (U2) ; Christopher Rush ;  The Dark
95 ; Book of Rass ; Artifact ; 6 ; Rare (U2) ; Sandra Everingham ;  The Dark
96 ; Coal Golem ; Artifact Creature 3/3 ; 5 ; Rare (U2) ; Christopher Rush ;  The Dark
97 ; Dark Sphere ; Artifact ; 0 ; Rare (U2) ; Mark Tedin ;  The Dark
98 ; Diabolic Machine ; Artifact Creature 4/4 ; 7 ; Rare (U2) ; Anson Maddocks ;  The Dark
99 ; Fellwar Stone ; Artifact ; 2 ; Rare (U2) ; Quinton Hoover ;  The Dark
100 ; Fountain of Youth ; Artifact ; 0 ; Rare (U2) ; Daniel Gelon ;  The Dark
101 ; Living Armor ; Artifact ; 4 ; Rare (U2) ; Anson Maddocks ;  The Dark
102 ; Necropolis ; Artifact Creature 0/1 ; 5 ; Rare (U2) ; NÈNÈ Thomas ;  The Dark
103 ; Reflecting Mirror ; Artifact ; 4 ; Rare (U2) ; Mark Poole ;  The Dark
104 ; Runesword ; Artifact ; 6 ; Rare (U2) ; Christopher Rush ;  The Dark
105 ; Scarecrow ; Artifact Creature 2/2 ; 5 ; Rare (U2) ; Anson Maddocks ;  The Dark
106 ; Skull of Orm ; Artifact ; 3 ; Rare (U2) ; Tom W‰nerstrand ;  The Dark
107 ; Standing Stones ; Artifact ; 3 ; Rare (U2) ; Sandra Everingham ;  The Dark
108 ; Stone Calendar ; Artifact ; 5 ; Rare (U1) ; Amy Weber ;  The Dark
109 ; Tormod's Crypt ; Artifact ; 0 ; Rare (U2) ; Christopher Rush ;  The Dark
110 ; Tower of Coireall ; Artifact ; 2 ; Rare (U2) ; Dan Frazier ;  The Dark
111 ; Wand of Ith ; Artifact ; 4 ; Rare (U2) ; Quinton Hoover ;  The Dark
112 ; War Barge ; Artifact ; 4 ; Rare (U2) ; Tom W‰nerstrand ;  The Dark
113 ; City of Shadows ; Land ; ; Rare (U1) ; Tom W‰nerstrand ;  The Dark
114 ; Maze of Ith ; Land ; ; Uncommon (C1) ; Anson Maddocks ;  The Dark
115 ; Safe Haven ; Land ; ; Rare (U1) ; Christopher Rush ;  The Dark
116 ; Sorrow's Path ; Land ; ; Rare (U1) ; Randy Asplund-Faith ;  The Dark
117 ; Dark Heart of the Wood ; Enchantment ; BG ; Common (C3) ; Christopher Rush ;  The Dark
118 ; Marsh Goblins ; Summon Goblins 1/1 ; BR ; Common (C3) ; Quinton Hoover ;  The Dark
119 ; Scarwood Goblins ; Summon Goblins 2/2 ; RG ; Common (C3) ; Ron Spencer ;  The Dark
