1 ; Abomination ; Summon Abomination 2/6 ; 3BB ; Uncommon ; Mark Tedin ;  Fourth Edition
33 ; Nether Shadow ; Summon Shadow 1/1 ; BB ; Rare ; Christopher Rush ;  Fourth Edition
34 ; Nightmare ; Summon Nightmare */* ; 5B ; Rare ; Melissa A. Benson ;  Fourth Edition
35 ; Paralyze ; Enchant Creature ; B ; Common ; Anson Maddocks ;  Fourth Edition
36 ; Pestilence ; Enchantment ; 2BB ; Common ; Jesper Myrfors ;  Fourth Edition
37 ; Pit Scorpion ; Summon Scorpion 1/1 ; 2B ; Common ; Scott Kirschner ;  Fourth Edition
38 ; Plague Rats ; Summon Rats */* ; 2B ; Common ; Anson Maddocks ;  Fourth Edition
39 ; Rag Man ; Summon Rag Man 2/1 ; 2BB ; Rare ; Daniel Gelon ;  Fourth Edition
40 ; Raise Dead ; Sorcery ; B ; Common ; Jeff A. Menges ;  Fourth Edition
41 ; Royal Assassin ; Summon Assassin 1/1 ; 1BB ; Rare ; Tom W‰nerstrand ;  Fourth Edition
42 ; Scathe Zombies ; Summon Zombies 2/2 ; 2B ; Common ; Jesper Myrfors ;  Fourth Edition
43 ; Scavenging Ghoul ; Summon Ghoul 2/2 ; 3B ; Uncommon ; Jeff A. Menges ;  Fourth Edition
44 ; Sengir Vampire ; Summon Vampire 4/4 ; 3BB ; Uncommon ; Anson Maddocks ;  Fourth Edition
45 ; Simulacrum ; Instant ; 1B ; Uncommon ; Mark Poole ;  Fourth Edition
46 ; Sorceress Queen ; Summon Sorceress 1/1 ; 1BB ; Rare ; Kaja Foglio ;  Fourth Edition
47 ; Spirit Shackle ; Enchant Creature ; BB ; Uncommon ; Edward P. Beard, Jr. ;  Fourth Edition
48 ; Terror ; Instant ; 1B ; Common ; Ron Spencer ;  Fourth Edition
49 ; Uncle Istvan ; Summon Uncle Istvan 1/3 ; 1BBB ; Uncommon ; Daniel Gelon ;  Fourth Edition
50 ; Unholy Strength ; Enchant Creature ; B ; Common ; Douglas Shuler ;  Fourth Edition
51 ; Vampire Bats ; Summon Bats 0/1 ; B ; Common ; Anson Maddocks ;  Fourth Edition
52 ; Wall of Bone ; Summon Wall 1/4 ; 2B ; Uncommon ; Anson Maddocks ;  Fourth Edition
53 ; Warp Artifact ; Enchant Artifact ; BB ; Rare ; Amy Weber ;  Fourth Edition
54 ; Weakness ; Enchant Creature ; B ; Common ; Douglas Shuler ;  Fourth Edition
55 ; Will-O'-The-Wisp ; Summon Will-O'-The-Wisp 0/1 ; B ; Rare ; Jesper Myrfors ;  Fourth Edition
56 ; Word of Binding ; Sorcery ; XBB ; Common ; Ron Spencer ;  Fourth Edition
57 ; Xenic Poltergeist ; Summon Poltergeist 1/1 ; 1BB ; Rare ; Dan Frazier ;  Fourth Edition
58 ; Zombie Master ; Summon Lord 2/3 ; 1BB ; Rare ; Jeff A. Menges ;  Fourth Edition
59 ; Air Elemental ; Summon Elemental 4/4 ; 3UU ; Uncommon ; Richard Thomas ;  Fourth Edition
60 ; Animate Artifact ; Enchant Artifact ; 3U ; Uncommon ; Douglas Shuler ;  Fourth Edition
61 ; Apprentice Wizard ; Summon Wizard 0/1 ; 1UU ; Common ; Dan Frazier ;  Fourth Edition
62 ; Backfire ; Enchant Creature ; U ; Uncommon ; Brian Snoddy ;  Fourth Edition
63 ; Blue Elemental Blast ; Interrupt ; U ; Common ; Richard Thomas ;  Fourth Edition
64 ; Control Magic ; Enchant Creature ; 2UU ; Uncommon ; Dameon Willich ;  Fourth Edition
65 ; Counterspell ; Interrupt ; UU ; Uncommon ; Mark Poole ;  Fourth Edition
66 ; Creature Bond ; Enchant Creature ; 1U ; Common ; Anson Maddocks ;  Fourth Edition
67 ; Drain Power ; Sorcery ; UU ; Rare ; Douglas Shuler ;  Fourth Edition
68 ; Energy Flux ; Enchantment ; 2U ; Uncommon ; Kaja Foglio ;  Fourth Edition
69 ; Energy Tap ; Sorcery ; U ; Common ; Daniel Gelon ;  Fourth Edition
70 ; Erosion ; Enchant Land ; UUU ; Common ; Pete Venters ;  Fourth Edition
71 ; Feedback ; Enchant Enchantment ; 2U ; Uncommon ; Quinton Hoover ;  Fourth Edition
72 ; Flight ; Enchant Creature ; U ; Common ; Anson Maddocks ;  Fourth Edition
73 ; Flood ; Enchantment ; U ; Common ; Dennis Detwiller ;  Fourth Edition
74 ; Gaseous Form ; Enchant Creature ; 2U ; Common ; Phil Foglio ;  Fourth Edition
75 ; Ghost Ship ; Summon Ship 2/4 ; 2UU ; Uncommon ; Tom W‰nerstrand ;  Fourth Edition
76 ; Giant Tortoise ; Summon Tortoise 1/1 ; 1U ; Common ; Kaja Foglio ;  Fourth Edition
77 ; Hurkyl's Recall ; Instant ; 1U ; Rare ; NÈNÈ Thomas ;  Fourth Edition
78 ; Island Fish Jasconius ; Summon Island Fish 6/8 ; 4UUU ; Rare ; Jesper Myrfors ;  Fourth Edition
79 ; Jump ; Instant ; U ; Common ; Mark Poole ;  Fourth Edition
80 ; Leviathan ; Summon Leviathan 10/10 ; 5UUUU ; Rare ; Mark Tedin ;  Fourth Edition
81 ; Lifetap ; Enchantment ; UU ; Uncommon ; Anson Maddocks ;  Fourth Edition
82 ; Lord of Atlantis ; Summon Lord 2/2 ; UU ; Rare ; Melissa A. Benson ;  Fourth Edition
83 ; Magical Hack ; Interrupt ; U ; Rare ; Julie Baroh ;  Fourth Edition
84 ; Mahamoti Djinn ; Summon Djinn 5/6 ; 4UU ; Rare ; Dan Frazier ;  Fourth Edition
85 ; Mana Short ; Instant ; 2U ; Rare ; Dameon Willich ;  Fourth Edition
86 ; Merfolk of the Pearl Trident ; Summon Merfolk 1/1 ; U ; Common ; Jeff A. Menges ;  Fourth Edition
87 ; Mind Bomb ; Sorcery ; U ; Uncommon ; Mark Tedin ;  Fourth Edition
88 ; Phantasmal Forces ; Summon Phantasm 4/1 ; 3U ; Uncommon ; Mark Poole ;  Fourth Edition
89 ; Phantasmal Terrain ; Enchant Land ; UU ; Common ; Dameon Willich ;  Fourth Edition
90 ; Phantom Monster ; Summon Phantasm 3/3 ; 3U ; Uncommon ; Jesper Myrfors ;  Fourth Edition
91 ; Pirate Ship ; Summon Ship 4/3 ; 4U ; Rare ; Tom W‰nerstrand ;  Fourth Edition
92 ; Power Leak ; Enchant Enchantment ; 1U ; Common ; Drew Tucker ;  Fourth Edition
93 ; Power Sink ; Interrupt ; XU ; Common ; Richard Thomas ;  Fourth Edition
94 ; Prodigal Sorcerer ; Summon Wizard 1/1 ; 2U ; Common ; Douglas Shuler ;  Fourth Edition
95 ; Psionic Entity ; Summon Entity 2/2 ; 4U ; Rare ; Justin Hampton ;  Fourth Edition
96 ; Psychic Venom ; Enchant Land ; 1U ; Common ; Brian Snoddy ;  Fourth Edition
97 ; Relic Bind ; Enchant Artifact ; 2U ; Rare ; Christopher Rush ;  Fourth Edition
98 ; Sea Serpent ; Summon Serpent 5/5 ; 5U ; Common ; Jeff A. Menges ;  Fourth Edition
99 ; Segovian Leviathan ; Summon Leviathan 3/3 ; 4U ; Uncommon ; Melissa A. Benson ;  Fourth Edition
100 ; Sindbad ; Summon Sindbad 1/1 ; 1U ; Uncommon ; Julie Baroh ;  Fourth Edition
101 ; Siren's Call ; Instant ; U ; Uncommon ; Anson Maddocks ;  Fourth Edition
102 ; Sleight of Mind ; Interrupt ; U ; Rare ; Mark Poole ;  Fourth Edition
103 ; Spell Blast ; Interrupt ; XU ; Common ; Brian Snoddy ;  Fourth Edition
104 ; Stasis ; Enchantment ; 1U ; Rare ; Fay Jones ;  Fourth Edition
105 ; Steal Artifact ; Enchant Artifact ; 2UU ; Uncommon ; Amy Weber ;  Fourth Edition
106 ; Sunken City ; Enchantment ; UU ; Common ; Jesper Myrfors ;  Fourth Edition
107 ; Thoughtlace ; Interrupt ; U ; Rare ; Mark Poole ;  Fourth Edition
108 ; Time Elemental ; Summon Elemental 0/2 ; 2U ; Rare ; Amy Weber ;  Fourth Edition
109 ; Twiddle ; Instant ; U ; Common ; Rob Alexander ;  Fourth Edition
110 ; Unstable Mutation ; Enchant Creature ; U ; Common ; Douglas Shuler ;  Fourth Edition
111 ; Unsummon ; Instant ; U ; Common ; Douglas Shuler ;  Fourth Edition
112 ; Volcanic Eruption ; Sorcery ; XUUU ; Rare ; Douglas Shuler ;  Fourth Edition
113 ; Wall of Air ; Summon Wall 1/5 ; 1UU ; Uncommon ; Richard Thomas ;  Fourth Edition
114 ; Wall of Water ; Summon Wall 0/5 ; 1UU ; Uncommon ; Richard Thomas ;  Fourth Edition
115 ; Water Elemental ; Summon Elemental 5/4 ; 3UU ; Uncommon ; Jeff A. Menges ;  Fourth Edition
116 ; Zephyr Falcon ; Summon Falcon 1/1 ; 1U ; Common ; Heather Hudson ;  Fourth Edition
117 ; Aspect of Wolf ; Enchant Creature ; 1G ; Rare ; Jeff A. Menges ;  Fourth Edition
118 ; Birds of Paradise ; Summon Mana Birds 0/1 ; G ; Rare ; Mark Poole ;  Fourth Edition
119 ; Carnivorous Plant ; Summon Wall 4/5 ; 3G ; Common ; Quinton Hoover ;  Fourth Edition
120 ; Channel ; Sorcery ; GG ; Uncommon ; Richard Thomas ;  Fourth Edition
121 ; Cockatrice ; Summon Cockatrice 2/4 ; 3GG ; Rare ; Dan Frazier ;  Fourth Edition
122 ; Craw Wurm ; Summon Wurm 6/4 ; 4GG ; Common ; Daniel Gelon ;  Fourth Edition
123 ; Crumble ; Instant ; G ; Uncommon ; Jesper Myrfors ;  Fourth Edition
124 ; Desert Twister ; Sorcery ; 4GG ; Uncommon ; Susan Van Camp ;  Fourth Edition
125 ; Durkwood Boars ; Summon Boars 4/4 ; 4G ; Common ; Mike Kimble ;  Fourth Edition
126 ; Elven Riders ; Summon Riders 3/3 ; 3GG ; Uncommon ; Melissa A. Benson ;  Fourth Edition
127 ; Elvish Archers ; Summon Elves 2/1 ; 1G ; Rare ; Anson Maddocks ;  Fourth Edition
128 ; Fog ; Instant ; G ; Common ; Jesper Myrfors ;  Fourth Edition
129 ; Force of Nature ; Summon Force 8/8 ; 2GGGG ; Rare ; Douglas Shuler ;  Fourth Edition
130 ; Fungusaur ; Summon Fungusaur 2/2 ; 3G ; Rare ; Daniel Gelon ;  Fourth Edition
131 ; Gaea's Liege ; Summon Gaea's Liege */* ; 3GGG ; Rare ; Dameon Willich ;  Fourth Edition
132 ; Giant Growth ; Instant ; G ; Common ; Sandra Everingham ;  Fourth Edition
133 ; Giant Spider ; Summon Spider 2/4 ; 3G ; Common ; Sandra Everingham ;  Fourth Edition
134 ; Grizzly Bears ; Summon Bears 2/2 ; 1G ; Common ; Jeff A. Menges ;  Fourth Edition
135 ; Hurricane ; Sorcery ; XG ; Uncommon ; Dameon Willich ;  Fourth Edition
136 ; Instill Energy ; Enchant Creature ; G ; Uncommon ; Dameon Willich ;  Fourth Edition
137 ; Ironroot Treefolk ; Summon Treefolk 3/5 ; 4G ; Common ; Jesper Myrfors ;  Fourth Edition
138 ; Killer Bees ; Summon Bees 0/1 ; 1GG ; Uncommon ; Phil Foglio ;  Fourth Edition
139 ; Land Leeches ; Summon Leeches 2/2 ; 1GG ; Common ; Quinton Hoover ;  Fourth Edition
140 ; Ley Druid ; Summon Cleric 1/1 ; 2G ; Uncommon ; Sandra Everingham ;  Fourth Edition
141 ; Lifeforce ; Enchantment ; GG ; Uncommon ; Dameon Willich ;  Fourth Edition
142 ; Lifelace ; Interrupt ; G ; Rare ; Amy Weber ;  Fourth Edition
143 ; Living Artifact ; Enchant Artifact ; G ; Rare ; Anson Maddocks ;  Fourth Edition
144 ; Living Lands ; Enchantment ; 3G ; Rare ; Jesper Myrfors ;  Fourth Edition
145 ; Llanowar Elves ; Summon Elves 1/1 ; G ; Common ; Anson Maddocks ;  Fourth Edition
146 ; Lure ; Enchant Creature ; 1GG ; Uncommon ; Anson Maddocks ;  Fourth Edition
147 ; Marsh Viper ; Summon Viper 1/2 ; 3G ; Common ; Ron Spencer ;  Fourth Edition
148 ; Nafs Asp ; Summon Asp 1/1 ; G ; Common ; Christopher Rush ;  Fourth Edition
149 ; Pradesh Gypsies ; Summon Gypsies 1/1 ; 2G ; Common ; Quinton Hoover ;  Fourth Edition
150 ; Radjan Spirit ; Summon Spirit 3/2 ; 3G ; Uncommon ; Christopher Rush ;  Fourth Edition
151 ; Rebirth ; Sorcery ; 3GGG ; Rare ; Mark Tedin ;  Fourth Edition
152 ; Regeneration ; Enchant Creature ; 1G ; Common ; Quinton Hoover ;  Fourth Edition
153 ; Sandstorm ; Instant ; G ; Common ; Brian Snoddy ;  Fourth Edition
154 ; Scryb Sprites ; Summon Faeries 1/1 ; G ; Common ; Amy Weber ;  Fourth Edition
155 ; Shanodin Dryads ; Summon Nymphs 1/1 ; G ; Common ; Anson Maddocks ;  Fourth Edition
156 ; Stream of Life ; Sorcery ; XG ; Common ; Mark Poole ;  Fourth Edition
157 ; Sylvan Library ; Enchantment ; 1G ; Rare ; Harold McNeill ;  Fourth Edition
158 ; Thicket Basilisk ; Summon Basilisk 2/4 ; 3GG ; Uncommon ; Dan Frazier ;  Fourth Edition
159 ; Timber Wolves ; Summon Wolves 1/1 ; G ; Rare ; Melissa A. Benson ;  Fourth Edition
160 ; Titania's Song ; Enchantment ; 3G ; Rare ; Kersten Kaman ;  Fourth Edition
161 ; Tranquility ; Sorcery ; 2G ; Common ; Douglas Shuler ;  Fourth Edition
162 ; Tsunami ; Sorcery ; 3G ; Uncommon ; Richard Thomas ;  Fourth Edition
163 ; Untamed Wilds ; Sorcery ; 2G ; Uncommon ; NÈNÈ Thomas ;  Fourth Edition
164 ; Venom ; Enchant Creature ; 1GG ; Common ; Tom W‰nerstrand ;  Fourth Edition
165 ; Verduran Enchantress ; Summon Enchantress 0/2 ; 1GG ; Rare ; Kev Brockschmidt ;  Fourth Edition
166 ; Wall of Brambles ; Summon Wall 2/3 ; 2G ; Uncommon ; Anson Maddocks ;  Fourth Edition
167 ; Wall of Ice ; Summon Wall 0/7 ; 2G ; Uncommon ; Richard Thomas ;  Fourth Edition
168 ; Wall of Wood ; Summon Wall 0/3 ; G ; Common ; Mark Tedin ;  Fourth Edition
169 ; Wanderlust ; Enchant Creature ; 2G ; Uncommon ; Cornelius Brudi ;  Fourth Edition
170 ; War Mammoth ; Summon Mammoth 3/3 ; 3G ; Common ; Jeff A. Menges ;  Fourth Edition
171 ; Web ; Enchant Creature ; G ; Rare ; Rob Alexander ;  Fourth Edition
172 ; Whirling Dervish ; Summon Dervish 1/1 ; GG ; Uncommon ; Susan Van Camp ;  Fourth Edition
173 ; Wild Growth ; Enchant Land ; G ; Common ; Mark Poole ;  Fourth Edition
174 ; Winter Blast ; Sorcery ; XG ; Uncommon ; Kaja Foglio ;  Fourth Edition
175 ; Forest ; Land ; ; Land ; Christopher Rush ;  Fourth Edition
176 ; Forest ; Land ; ; Land ; Christopher Rush ;  Fourth Edition
177 ; Forest ; Land ; ; Land ; Christopher Rush ;  Fourth Edition
178 ; Island ; Land ; ; Land ; Mark Poole ;  Fourth Edition
179 ; Island ; Land ; ; Land ; Mark Poole ;  Fourth Edition
180 ; Island ; Land ; ; Land ; Mark Poole ;  Fourth Edition
181 ; Mishra's Factory ; Land ; ; Uncommon ; Kaja & Phil Foglio ;  Fourth Edition
182 ; Mountain ; Land ; ; Land ; Douglas Shuler ;  Fourth Edition
183 ; Mountain ; Land ; ; Land ; Douglas Shuler ;  Fourth Edition
184 ; Mountain ; Land ; ; Land ; Douglas Shuler ;  Fourth Edition
185 ; Oasis ; Land ; ; Uncommon ; Brian Snoddy ;  Fourth Edition
186 ; Plains ; Land ; ; Land ; Jesper Myrfors ;  Fourth Edition
187 ; Plains ; Land ; ; Land ; Jesper Myrfors ;  Fourth Edition
188 ; Plains ; Land ; ; Land ; Jesper Myrfors ;  Fourth Edition
189 ; Strip Mine ; Land ; ; Uncommon ; Daniel Gelon ;  Fourth Edition
190 ; Swamp ; Land ; ; Land ; Dan Frazier ;  Fourth Edition
191 ; Swamp ; Land ; ; Land ; Dan Frazier ;  Fourth Edition
192 ; Swamp ; Land ; ; Land ; Dan Frazier ;  Fourth Edition
193 ; Ali Baba ; Summon Ali Baba 1/1 ; R ; Uncommon ; Julie Baroh ;  Fourth Edition
194 ; Ball Lightning ; Summon Ball Lightning 6/1 ; RRR ; Rare ; Quinton Hoover ;  Fourth Edition
195 ; Bird Maiden ; Summon Bird Maiden 1/2 ; 2R ; Common ; Kaja Foglio ;  Fourth Edition
196 ; Blood Lust ; Instant ; 1R ; Common ; Anson Maddocks ;  Fourth Edition
197 ; Brothers of Fire ; Summon Brothers 2/2 ; 1RR ; Common ; Mark Tedin ;  Fourth Edition
198 ; Burrowing ; Enchant Creature ; R ; Uncommon ; Mark Poole ;  Fourth Edition
199 ; Cave People ; Summon Cave People 1/4 ; 1RR ; Uncommon ; Drew Tucker ;  Fourth Edition
200 ; Chaoslace ; Interrupt ; R ; Rare ; Dameon Willich ;  Fourth Edition
201 ; Crimson Manticore ; Summon Manticore 2/2 ; 2RR ; Rare ; Daniel Gelon ;  Fourth Edition
202 ; Detonate ; Sorcery ; XR ; Uncommon ; Randy Asplund-Faith ;  Fourth Edition
203 ; Disintegrate ; Sorcery ; XR ; Common ; Anson Maddocks ;  Fourth Edition
204 ; Dragon Whelp ; Summon Dragon 2/3 ; 2RR ; Uncommon ; Amy Weber ;  Fourth Edition
205 ; Dwarven Warriors ; Summon Dwarves 1/1 ; 2R ; Common ; Douglas Shuler ;  Fourth Edition
206 ; Earth Elemental ; Summon Elemental 4/5 ; 3RR ; Uncommon ; Dan Frazier ;  Fourth Edition
207 ; Earthquake ; Sorcery ; XR ; Rare ; Dan Frazier ;  Fourth Edition
208 ; Eternal Warrior ; Enchant Creature ; R ; Common ; Anson Maddocks ;  Fourth Edition
209 ; Fire Elemental ; Summon Elemental 5/4 ; 3RR ; Uncommon ; Melissa A. Benson ;  Fourth Edition
210 ; Fireball ; Sorcery ; XR ; Common ; Mark Tedin ;  Fourth Edition
211 ; Firebreathing ; Enchant Creature ; R ; Common ; Dan Frazier ;  Fourth Edition
212 ; Fissure ; Instant ; 3RR ; Common ; Douglas Shuler ;  Fourth Edition
213 ; Flashfires ; Sorcery ; 3R ; Uncommon ; Dameon Willich ;  Fourth Edition
214 ; Giant Strength ; Enchant Creature ; RR ; Common ; Justin Hampton ;  Fourth Edition
215 ; Goblin Balloon Brigade ; Summon Goblins 1/1 ; R ; Uncommon ; Andi Rusu ;  Fourth Edition
216 ; Goblin King ; Summon Lord 2/2 ; 1RR ; Rare ; Jesper Myrfors ;  Fourth Edition
217 ; Goblin Rock Sled ; Summon Rock Sled 3/1 ; 1R ; Common ; Dennis Detwiller ;  Fourth Edition
218 ; Gray Ogre ; Summon Ogre 2/2 ; 2R ; Common ; Dan Frazier ;  Fourth Edition
219 ; Hill Giant ; Summon Giant 3/3 ; 3R ; Common ; Dan Frazier ;  Fourth Edition
220 ; Hurloon Minotaur ; Summon Minotaur 2/3 ; 1RR ; Common ; Anson Maddocks ;  Fourth Edition
221 ; Hurr Jackal ; Summon Jackal 1/1 ; R ; Rare ; Drew Tucker ;  Fourth Edition
222 ; Immolation ; Enchant Creature ; R ; Common ; Scott Kirschner ;  Fourth Edition
223 ; Inferno ; Instant ; 5RR ; Rare ; Randy Asplund-Faith ;  Fourth Edition
224 ; Ironclaw Orcs ; Summon Orcs 2/2 ; 1R ; Common ; Anson Maddocks ;  Fourth Edition
225 ; Keldon Warlord ; Summon Lord */* ; 2RR ; Uncommon ; Kev Brockschmidt ;  Fourth Edition
226 ; Lightning Bolt ; Instant ; R ; Common ; Christopher Rush ;  Fourth Edition
227 ; Magnetic Mountain ; Enchantment ; 1RR ; Rare ; Susan Van Camp ;  Fourth Edition
228 ; Mana Clash ; Sorcery ; R ; Rare ; Mark Tedin ;  Fourth Edition
229 ; Mana Flare ; Enchantment ; 2R ; Rare ; Christopher Rush ;  Fourth Edition
230 ; Manabarbs ; Enchantment ; 3R ; Rare ; Christopher Rush ;  Fourth Edition
231 ; Mons's Goblin Raiders ; Summon Goblins 1/1 ; R ; Common ; Jeff A. Menges ;  Fourth Edition
232 ; Orcish Artillery ; Summon Orcs 1/3 ; 1RR ; Uncommon ; Anson Maddocks ;  Fourth Edition
233 ; Orcish Oriflamme ; Enchantment ; 3R ; Uncommon ; Dan Frazier ;  Fourth Edition
234 ; Power Surge ; Enchantment ; RR ; Rare ; Douglas Shuler ;  Fourth Edition
235 ; Pyrotechnics ; Sorcery ; 4R ; Uncommon ; Anson Maddocks ;  Fourth Edition
236 ; Red Elemental Blast ; Interrupt ; R ; Common ; Richard Thomas ;  Fourth Edition
237 ; Shatter ; Instant ; 1R ; Common ; Amy Weber ;  Fourth Edition
238 ; Shivan Dragon ; Summon Dragon 5/5 ; 4RR ; Rare ; Melissa A. Benson ;  Fourth Edition
239 ; Sisters of the Flame ; Summon Sisters 2/2 ; 1RR ; Common ; Jesper Myrfors ;  Fourth Edition
240 ; Smoke ; Enchantment ; RR ; Rare ; Jesper Myrfors ;  Fourth Edition
241 ; Stone Giant ; Summon Giant 3/4 ; 2RR ; Uncommon ; Dameon Willich ;  Fourth Edition
242 ; Stone Rain ; Sorcery ; 2R ; Common ; Daniel Gelon ;  Fourth Edition
243 ; Tempest Efreet ; Summon Efreet 3/3 ; 1RRR ; Rare ; NÈNÈ Thomas ;  Fourth Edition
244 ; The Brute ; Enchant Creature ; 1R ; Common ; Mark Poole ;  Fourth Edition
245 ; Tunnel ; Instant ; R ; Uncommon ; Dan Frazier ;  Fourth Edition
246 ; Uthden Troll ; Summon Troll 2/2 ; 2R ; Uncommon ; Douglas Shuler ;  Fourth Edition
247 ; Wall of Dust ; Summon Wall 1/4 ; 2R ; Uncommon ; Richard Thomas ;  Fourth Edition
248 ; Wall of Fire ; Summon Wall 0/5 ; 1RR ; Uncommon ; Richard Thomas ;  Fourth Edition
249 ; Wall of Stone ; Summon Wall 0/8 ; 1RR ; Uncommon ; Dan Frazier ;  Fourth Edition
250 ; Winds of Change ; Sorcery ; R ; Rare ; Justin Hampton ;  Fourth Edition
251 ; Alabaster Potion ; Instant ; XWW ; Common ; Harold McNeill ;  Fourth Edition
252 ; Amrou Kithkin ; Summon Kithkin 1/1 ; WW ; Common ; Quinton Hoover ;  Fourth Edition
253 ; Angry Mob ; Summon Mob 2+*/2+* ; 2WW ; Uncommon ; Drew Tucker ;  Fourth Edition
254 ; Animate Wall ; Enchant Wall ; W ; Rare ; Dan Frazier ;  Fourth Edition
255 ; Armageddon ; Sorcery ; 3W ; Rare ; Jesper Myrfors ;  Fourth Edition
256 ; Balance ; Sorcery ; 1W ; Rare ; Mark Poole ;  Fourth Edition
257 ; Benalish Hero ; Summon Hero 1/1 ; W ; Common ; Douglas Shuler ;  Fourth Edition
258 ; Black Ward ; Enchant Creature ; W ; Uncommon ; Dan Frazier ;  Fourth Edition
259 ; Blessing ; Enchant Creature ; WW ; Rare ; Julie Baroh ;  Fourth Edition
260 ; Blue Ward ; Enchant Creature ; W ; Uncommon ; Dan Frazier ;  Fourth Edition
261 ; Brainwash ; Enchant Creature ; W ; Common ; Pete Venters ;  Fourth Edition
262 ; Castle ; Enchantment ; 3W ; Uncommon ; Dameon Willich ;  Fourth Edition
263 ; Circle of Protection: Artifacts ; Enchantment ; 1W ; Uncommon ; Pete Venters ;  Fourth Edition
264 ; Circle of Protection: Black ; Enchantment ; 1W ; Common ; Jesper Myrfors ;  Fourth Edition
265 ; Circle of Protection: Blue ; Enchantment ; 1W ; Common ; Dameon Willich ;  Fourth Edition
266 ; Circle of Protection: Green ; Enchantment ; 1W ; Common ; Sandra Everingham ;  Fourth Edition
267 ; Circle of Protection: Red ; Enchantment ; 1W ; Common ; Mark Tedin ;  Fourth Edition
268 ; Circle of Protection: White ; Enchantment ; 1W ; Common ; Douglas Shuler ;  Fourth Edition
269 ; Conversion ; Enchantment ; 2WW ; Uncommon ; Jesper Myrfors ;  Fourth Edition
270 ; Crusade ; Enchantment ; WW ; Rare ; Mark Poole ;  Fourth Edition
271 ; Death Ward ; Instant ; W ; Common ; Mark Poole ;  Fourth Edition
272 ; Disenchant ; Instant ; 1W ; Common ; Amy Weber ;  Fourth Edition
273 ; Divine Transformation ; Enchant Creature ; 2WW ; Uncommon ; NÈNÈ Thomas ;  Fourth Edition
