20 ; Flying Men ; Creature ó Human 1/1 ; U ; Special ; Christopher Rush ;  Time Spiral "Timeshifted"
21 ; Ghost Ship ; Creature ó Spirit 2/4 ; 2UU ; Special ; Tom W‰nerstrand ;  Time Spiral "Timeshifted"
22 ; Giant Oyster ; Creature ó Oyster 0/3 ; 2UU ; Special ; Nicola Leonard ;  Time Spiral "Timeshifted"
23 ; Leviathan ; Creature ó Leviathan 10/10 ; 5UUUU ; Special ; Mark Tedin ;  Time Spiral "Timeshifted"
24 ; Lord of Atlantis ; Creature ó Merfolk Lord 2/2 ; UU ; Special ; Melissa A. Benson ;  Time Spiral "Timeshifted"
25 ; Merfolk Assassin ; Creature ó Merfolk Assassin 1/2 ; UU ; Special ; Dennis Detwiller ;  Time Spiral "Timeshifted"
26 ; Mistform Ultimus ; Legendary Creature ó Illusion 3/3 ; 3U ; Special ; Anthony S. Waters ;  Time Spiral "Timeshifted"
27 ; Ovinomancer ; Creature ó Human Wizard 0/1 ; 2U ; Special ; Kev Walker ;  Time Spiral "Timeshifted"
28 ; Pirate Ship ; Creature ó Human Pirate 4/3 ; 4U ; Special ; Tom W‰nerstrand ;  Time Spiral "Timeshifted"
29 ; Prodigal Sorcerer ; Creature ó Human Wizard 1/1 ; 2U ; Special ; Douglas Shuler ;  Time Spiral "Timeshifted"
30 ; Psionic Blast ; Instant ; 2U ; Special ; Douglas Shuler ;  Time Spiral "Timeshifted"
31 ; Sindbad ; Creature ó Human 1/1 ; 1U ; Special ; Julie Baroh ;  Time Spiral "Timeshifted"
32 ; Stormscape Familiar ; Creature ó Bird 1/1 ; 1U ; Special ; Heather Hudson ;  Time Spiral "Timeshifted"
33 ; Unstable Mutation ; Enchantment ó Aura ; U ; Special ; Douglas Shuler ;  Time Spiral "Timeshifted"
34 ; Voidmage Prodigy ; Creature ó Human Wizard 2/1 ; UU ; Special ; Christopher Moeller ;  Time Spiral "Timeshifted"
35 ; Whispers of the Muse ; Instant ; U ; Special ; Quinton Hoover ;  Time Spiral "Timeshifted"
36 ; Willbender ; Creature ó Human Wizard 1/2 ; 1U ; Special ; Eric Peterson ;  Time Spiral "Timeshifted"
37 ; Avatar of Woe ; Creature ó Avatar 6/5 ; 6BB ; Special ; rk post ;  Time Spiral "Timeshifted"
38 ; Bad Moon ; Enchantment ; 1B ; Special ; Jesper Myrfors ;  Time Spiral "Timeshifted"
39 ; Conspiracy ; Enchantment ; 3BB ; Special ; Jeff Easley ;  Time Spiral "Timeshifted"
40 ; Darkness ; Instant ; B ; Special ; Harold McNeill ;  Time Spiral "Timeshifted"
41 ; Dauthi Slayer ; Creature ó Dauthi Soldier 2/2 ; BB ; Special ; Dermot Power ;  Time Spiral "Timeshifted"
42 ; Evil Eye of Orms-by-Gore ; Creature ó Eye 3/6 ; 4B ; Special ; Jesper Myrfors ;  Time Spiral "Timeshifted"
43 ; Faceless Butcher ; Creature ó Nightmare Horror 2/3 ; 2BB ; Special ; Daren Bader ;  Time Spiral "Timeshifted"
44 ; Funeral Charm ; Instant ; B ; Special ; Greg Spalenka ;  Time Spiral "Timeshifted"
45 ; Sengir Autocrat ; Creature ó Human 2/2 ; 3B ; Special ; David A. Cherry ;  Time Spiral "Timeshifted"
46 ; Shadow Guildmage ; Creature ó Human Wizard 1/1 ; B ; Special ; Mike Kimble ;  Time Spiral "Timeshifted"
47 ; Soul Collector ; Creature ó Vampire 3/4 ; 3BB ; Special ; Matthew D. Wilson ;  Time Spiral "Timeshifted"
48 ; Stupor ; Sorcery ; 2B ; Special ; Mike Kimble ;  Time Spiral "Timeshifted"
49 ; Swamp Mosquito ; Creature ó Insect 0/1 ; 1B ; Special ; Nicola Leonard ;  Time Spiral "Timeshifted"
50 ; Twisted Abomination ; Creature ó Zombie Mutant 5/3 ; 5B ; Special ; Daren Bader ;  Time Spiral "Timeshifted"
51 ; Uncle Istvan ; Creature ó Human 1/3 ; 1BBB ; Special ; Daniel Gelon ;  Time Spiral "Timeshifted"
52 ; Undead Warchief ; Creature ó Zombie 1/1 ; 2BB ; Special ; Greg Hildebrandt ;  Time Spiral "Timeshifted"
53 ; Undertaker ; Creature ó Human Spellshaper 1/1 ; 1B ; Special ; Jeff Easley ;  Time Spiral "Timeshifted"
54 ; Withered Wretch ; Creature ó Zombie Cleric 2/2 ; BB ; Special ; Tim Hildebrandt ;  Time Spiral "Timeshifted"
55 ; Avalanche Riders ; Creature ó Human Nomad 2/2 ; 3R ; Special ; Edward P. Beard, Jr. ;  Time Spiral "Timeshifted"
56 ; Browbeat ; Sorcery ; 2R ; Special ; Mark Tedin ;  Time Spiral "Timeshifted"
57 ; Desolation Giant ; Creature ó Giant 3/3 ; 2RR ; Special ; Alan Pollack ;  Time Spiral "Timeshifted"
58 ; Disintegrate ; Sorcery ; XR ; Special ; Anson Maddocks ;  Time Spiral "Timeshifted"
59 ; Dragon Whelp ; Creature ó Dragon 2/3 ; 2RR ; Special ; Amy Weber ;  Time Spiral "Timeshifted"
60 ; Dragonstorm ; Sorcery ; 8R ; Special ; Kev Walker ;  Time Spiral "Timeshifted"
61 ; Eron the Relentless ; Legendary Creature ó Human Rogue 5/2 ; 3RR ; Special ; Christopher Rush ;  Time Spiral "Timeshifted"
62 ; Fiery Temper ; Instant ; 1RR ; Special ; Greg & Tim Hildebrandt ;  Time Spiral "Timeshifted"
63 ; Fire Whip ; Enchantment ó Aura ; 1R ; Special ; Jeff Miracola ;  Time Spiral "Timeshifted"
64 ; Goblin Snowman ; Creature ó Goblin 1/1 ; 3R ; Special ; Daniel Gelon ;  Time Spiral "Timeshifted"
65 ; Kobold Taskmaster ; Creature ó Kobold 1/2 ; 1R ; Special ; Randy Asplund ;  Time Spiral "Timeshifted"
66 ; Orcish Librarian ; Creature ó Orc 1/1 ; 1R ; Special ; Phil Foglio ;  Time Spiral "Timeshifted"
67 ; Orgg ; Creature ó Orgg 6/6 ; 3RR ; Special ; Daniel Gelon ;  Time Spiral "Timeshifted"
68 ; Pandemonium ; Enchantment ; 3R ; Special ; Pete Venters ;  Time Spiral "Timeshifted"
69 ; Suq'Ata Lancer ; Creature ó Human Knight 2/2 ; 2R ; Special ; Jeff Miracola ;  Time Spiral "Timeshifted"
70 ; Tribal Flames ; Sorcery ; 1R ; Special ; Tony Szczudlo ;  Time Spiral "Timeshifted"
71 ; Uthden Troll ; Creature ó Troll 2/2 ; 2R ; Special ; Douglas Shuler ;  Time Spiral "Timeshifted"
72 ; Wildfire Emissary ; Creature ó Efreet 2/4 ; 3R ; Special ; Richard Kane Ferguson ;  Time Spiral "Timeshifted"
73 ; Avoid Fate ; Instant ; G ; Special ; Phil Foglio ;  Time Spiral "Timeshifted"
74 ; Call of the Herd ; Sorcery ; 2G ; Special ; Carl Critchlow ;  Time Spiral "Timeshifted"
75 ; Cockatrice ; Creature ó Cockatrice 2/4 ; 3GG ; Special ; Dan Frazier ;  Time Spiral "Timeshifted"
76 ; Craw Giant ; Creature ó Giant 6/4 ; 3GGGG ; Special ; Christopher Rush ;  Time Spiral "Timeshifted"
77 ; Gaea's Blessing ; Sorcery ; 1G ; Special ; Rebecca Guay ;  Time Spiral "Timeshifted"
78 ; Gaea's Liege ; Creature ó Avatar */* ; 3GGG ; Special ; Dameon Willich ;  Time Spiral "Timeshifted"
79 ; Hail Storm ; Instant ; 1GG ; Special ; Jeff A. Menges ;  Time Spiral "Timeshifted"
80 ; Hunting Moa ; Creature ó Bird 3/2 ; 2G ; Special ; DiTerlizzi ;  Time Spiral "Timeshifted"
81 ; Jolrael, Empress of Beasts ; Legendary Creature ó Human Spellshaper 3/3 ; 3GG ; Special ; Matthew D. Wilson ;  Time Spiral "Timeshifted"
82 ; Krosan Cloudscraper ; Creature ó Beast Mutant 13/13 ; 7GGG ; Special ; Ron Spears ;  Time Spiral "Timeshifted"
83 ; Scragnoth ; Creature ó Beast 3/4 ; 4G ; Special ; Jeff Laubenstein ;  Time Spiral "Timeshifted"
84 ; Spike Feeder ; Creature ó Spike 0/0 ; 1GG ; Special ; Heather Hudson ;  Time Spiral "Timeshifted"
85 ; Spitting Slug ; Creature ó Slug 2/4 ; 1GG ; Special ; Anson Maddocks ;  Time Spiral "Timeshifted"
86 ; Thallid ; Creature ó Fungus 1/1 ; G ; Special ; Edward Beard, Jr. ;  Time Spiral "Timeshifted"
87 ; Thornscape Battlemage ; Creature ó Elf Wizard 2/2 ; 2G ; Special ; Matt Cavotta ;  Time Spiral "Timeshifted"
88 ; Verdeloth the Ancient ; Legendary Creature ó Treefolk 4/7 ; 4GG ; Special ; Daren Bader ;  Time Spiral "Timeshifted"
89 ; Wall of Roots ; Creature ó Plant Wall 0/5 ; 1G ; Special ; John Matson ;  Time Spiral "Timeshifted"
90 ; Whirling Dervish ; Creature ó Human Monk 1/1 ; GG ; Special ; Susan Van Camp ;  Time Spiral "Timeshifted"
91 ; Coalition Victory ; Sorcery ; 3WUBRG ; Special ; Eric Peterson ;  Time Spiral "Timeshifted"
92 ; Fiery Justice ; Sorcery ; WRG ; Special ; Melissa A. Benson ;  Time Spiral "Timeshifted"
93 ; Jasmine Boreal ; Legendary Creature ó Human 4/5 ; 3WG ; Special ; Richard Kane Ferguson ;  Time Spiral "Timeshifted"
94 ; Lightning Angel ; Creature ó Angel 3/4 ; 1WUR ; Special ; rk post ;  Time Spiral "Timeshifted"
95 ; Merieke Ri Berit ; Legendary Creature ó Human 1/1 ; WUB ; Special ; Heather Hudson ;  Time Spiral "Timeshifted"
96 ; Mystic Enforcer ; Creature ó Human Nomad Mystic 3/3 ; 2WG ; Special ; Gary Ruddell ;  Time Spiral "Timeshifted"
97 ; Mystic Snake ; Creature ó Snake 2/2 ; 1UUG ; Special ; Daren Bader ;  Time Spiral "Timeshifted"
98 ; Nicol Bolas ; Legendary Creature ó Elder Dragon 7/7 ; 2UUBBRR ; Special ; Edward P. Beard, Jr. ;  Time Spiral "Timeshifted"
99 ; Shadowmage Infiltrator ; Creature ó Human Wizard 1/3 ; 1UB ; Special ; Rick Farrell ;  Time Spiral "Timeshifted"
100 ; Sol'kanar the Swamp King ; Legendary Creature ó Demon 5/5 ; 2UBR ; Special ; Richard Kane Ferguson ;  Time Spiral "Timeshifted"
101 ; Spined Sliver ; Creature ó Sliver 2/2 ; RG ; Special ; Ron Spencer ;  Time Spiral "Timeshifted"
102 ; Stormbind ; Enchantment ; 1RG ; Special ; NÈNÈ Thomas & Phillip Mosness ;  Time Spiral "Timeshifted"
103 ; Teferi's Moat ; Enchantment ; 3WU ; Special ; rk post ;  Time Spiral "Timeshifted"
104 ; Vhati il-Dal ; Legendary Creature ó Human Warrior 3/3 ; 2BG ; Special ; Ron Spencer ;  Time Spiral "Timeshifted"
105 ; Void ; Sorcery ; 3BR ; Special ; Kev Walker ;  Time Spiral "Timeshifted"
106 ; Assault (Assault/Battery) ; Sorcery ; R ; Special ; Ben Thompson ;  Time Spiral "Timeshifted"
107 ; Claws of Gix ; Artifact ; 0 ; Special ; Henry G. Higgenbotham ;  Time Spiral "Timeshifted"
108 ; Dodecapod ; Artifact Creature ó Golem 3/3 ; 4 ; Special ; John Howe ;  Time Spiral "Timeshifted"
109 ; Feldon's Cane ; Artifact ; 1 ; Special ; Mark Tedin ;  Time Spiral "Timeshifted"
110 ; Grinning Totem ; Artifact ; 4 ; Special ; Donato Giancola ;  Time Spiral "Timeshifted"
111 ; Mindless Automaton ; Artifact Creature ó Construct 0/0 ; 4 ; Special ; Brian Snoddy ;  Time Spiral "Timeshifted"
112 ; Mirari ; Legendary Artifact ; 5 ; Special ; Donato Giancola ;  Time Spiral "Timeshifted"
113 ; The Rack ; Artifact ; 1 ; Special ; Richard Thomas ;  Time Spiral "Timeshifted"
114 ; Serrated Arrows ; Artifact ; 4 ; Special ; David A. Cherry ;  Time Spiral "Timeshifted"
115 ; Tormod's Crypt ; Artifact ; 0 ; Special ; Christopher Rush ;  Time Spiral "Timeshifted"
116 ; War Barge ; Artifact ; 4 ; Special ; Tom W‰nerstrand ;  Time Spiral "Timeshifted"
117 ; Arena ; Land ; ; Special ; Rob Alexander ;  Time Spiral "Timeshifted"
118 ; Desert ; Land ó Desert ; ; Special ; Jesper Myrfors ;  Time Spiral "Timeshifted"
119 ; Gemstone Mine ; Land ; ; Special ; Brom ;  Time Spiral "Timeshifted"
120 ; Pendelhaven ; Legendary Land ; ; Special ; Bryon Wackwitz ;  Time Spiral "Timeshifted"
121 ; Safe Haven ; Land ; ; Special ; Christopher Rush ;  Time Spiral "Timeshifted"
122 ; Battery (Assault/Battery) ; Sorcery ; 3G ; Uncommon ; Ben Thompson ;  Time Spiral "Timeshifted"
