1 ; Absolute Grace ; Enchantment ; 1W ; Uncommon ; Jeff Miracola ;  Urza's Saga
102 ; Telepathy ; Enchantment ; U ; Uncommon ; Matthew Wilson ;  Urza's Saga
103 ; Time Spiral ; Sorcery ; 4UU ; Rare ; Michael Sutfin ;  Urza's Saga
104 ; Tolarian Winds ; Instant ; 1U ; Common ; Lawrence Snelly ;  Urza's Saga
105 ; Turnabout ; Instant ; 2UU ; Uncommon ; Heather Hudson ;  Urza's Saga
106 ; Veil of Birds ; Enchantment ; U ; Common ; Heather Hudson ;  Urza's Saga
107 ; Veiled Apparition ; Enchantment ; 1U ; Uncommon ; Andrew Robinson ;  Urza's Saga
108 ; Veiled Crocodile ; Enchantment ; 2U ; Rare ; Paolo Parente ;  Urza's Saga
109 ; Veiled Sentry ; Enchantment ; U ; Uncommon ; Ron Spears ;  Urza's Saga
110 ; Veiled Serpent ; Enchantment ; 2U ; Common ; Bob Eggleton ;  Urza's Saga
111 ; Windfall ; Sorcery ; 2U ; Uncommon ; Pete Venters ;  Urza's Saga
112 ; Wizard Mentor ; Summon Wizard 2/2 ; 2U ; Common ; Jeff Miracola ;  Urza's Saga
113 ; Zephid ; Summon Illusion 3/4 ; 4UU ; Rare ; Daren Bader ;  Urza's Saga
114 ; Zephid's Embrace ; Enchant Creature ; 2UU ; Uncommon ; Daren Bader ;  Urza's Saga
115 ; Abyssal Horror ; Summon Horror 2/2 ; 4BB ; Rare ; rk post ;  Urza's Saga
116 ; Befoul ; Sorcery ; 2BB ; Common ; Pete Venters ;  Urza's Saga
117 ; Bereavement ; Enchantment ; 1B ; Uncommon ; Andrew Goldhawk ;  Urza's Saga
118 ; Blood Vassal ; Summon Thrull 2/2 ; 2B ; Common ; Chippy ;  Urza's Saga
119 ; Bog Raiders ; Summon Zombies 2/2 ; 2B ; Common ; Carl Critchlow ;  Urza's Saga
120 ; Breach ; Instant ; 2B ; Common ; Greg Staples ;  Urza's Saga
121 ; Cackling Fiend ; Summon Zombie 2/1 ; 2BB ; Common ; Brian Despain ;  Urza's Saga
122 ; Carrion Beetles ; Summon Insects 1/1 ; B ; Common ; Ron Spencer ;  Urza's Saga
123 ; Contamination ; Enchantment ; 2B ; Rare ; Stephen Daniele ;  Urza's Saga
124 ; Corrupt ; Sorcery ; 5B ; Common ; Vincent Evans ;  Urza's Saga
125 ; Crazed Skirge ; Summon Imp 2/2 ; 3B ; Uncommon ; Ron Spencer ;  Urza's Saga
126 ; Dark Hatchling ; Summon Horror 3/3 ; 4BB ; Rare ; Mark Nelson ;  Urza's Saga
127 ; Dark Ritual ; Mana Source ; B ; Common ; Tom Fleming ;  Urza's Saga
128 ; Darkest Hour ; Enchantment ; B ; Rare ; Heather Hudson ;  Urza's Saga
129 ; Despondency ; Enchant Creature ; 1B ; Common ; D. Alexander Gregory ;  Urza's Saga
130 ; Diabolic Servitude ; Enchantment ; 3B ; Uncommon ; Scott M. Fischer ;  Urza's Saga
131 ; Discordant Dirge ; Enchantment ; 3BB ; Rare ; Carl Critchlow ;  Urza's Saga
132 ; Duress ; Sorcery ; B ; Common ; Lawrence Snelly ;  Urza's Saga
133 ; Eastern Paladin ; Summon Knight 3/3 ; 2BB ; Rare ; Carl Critchlow ;  Urza's Saga
134 ; Exhume ; Sorcery ; 1B ; Common ; Carl Critchlow ;  Urza's Saga
135 ; Expunge ; Instant ; 2B ; Common ; Christopher Moeller ;  Urza's Saga
136 ; Flesh Reaver ; Summon Horror 4/4 ; 1B ; Uncommon ; Pete Venters ;  Urza's Saga
137 ; Hollow Dogs ; Summon Hounds 3/3 ; 4B ; Common ; Jeff Miracola ;  Urza's Saga
138 ; Ill-Gotten Gains ; Sorcery ; 2BB ; Rare ; Greg Staples ;  Urza's Saga
139 ; Looming Shade ; Summon Shade 1/1 ; 2B ; Common ; Vincent Evans ;  Urza's Saga
140 ; Lurking Evil ; Enchantment ; BBB ; Rare ; Scott Kirschner ;  Urza's Saga
141 ; Mana Leech ; Summon Worm 1/1 ; 2B ; Uncommon ; Mark Nelson ;  Urza's Saga
142 ; No Rest for the Wicked ; Enchantment ; 1B ; Uncommon ; Carl Critchlow ;  Urza's Saga
143 ; Oppression ; Enchantment ; 1BB ; Rare ; Pete Venters ;  Urza's Saga
144 ; Order of Yawgmoth ; Summon Knight 2/2 ; 2BB ; Uncommon ; Chippy ;  Urza's Saga
145 ; Parasitic Bond ; Enchant Creature ; 3B ; Uncommon ; Scott Kirschner ;  Urza's Saga
146 ; Persecute ; Sorcery ; 2BB ; Rare ; D. Alexander Gregory ;  Urza's Saga
147 ; Pestilence ; Enchantment ; 2BB ; Common ; Pete Venters ;  Urza's Saga
148 ; Phyrexian Ghoul ; Summon Zombie 2/2 ; 2B ; Common ; Pete Venters ;  Urza's Saga
149 ; Planar Void ; Enchantment ; B ; Uncommon ; Andrew Goldhawk ;  Urza's Saga
150 ; Priest of Gix ; Summon Minion 2/1 ; 2B ; Uncommon ; Brian Despain ;  Urza's Saga
151 ; Rain of Filth ; Instant ; B ; Uncommon ; Stephen Daniele ;  Urza's Saga
152 ; Ravenous Skirge ; Summon Imp 1/1 ; 2B ; Common ; Ron Spencer ;  Urza's Saga
153 ; Reclusive Wight ; Summon Minion 4/4 ; 3B ; Uncommon ; Vincent Evans ;  Urza's Saga
154 ; Reprocess ; Sorcery ; 2BB ; Rare ; Mark Tedin ;  Urza's Saga
155 ; Sanguine Guard ; Summon Knight 2/2 ; 1BB ; Uncommon ; Kev Walker ;  Urza's Saga
156 ; Sicken ; Enchant Creature ; B ; Common ; Heather Hudson ;  Urza's Saga
157 ; Skirge Familiar ; Summon Imp 3/2 ; 4B ; Uncommon ; Ron Spencer ;  Urza's Saga
158 ; Skittering Skirge ; Summon Imp 3/2 ; BB ; Common ; Ron Spencer ;  Urza's Saga
159 ; Sleeper Agent ; Summon Minion 3/3 ; B ; Rare ; Randy Gallegos ;  Urza's Saga
160 ; Spined Fluke ; Summon Horror 5/1 ; 2B ; Uncommon ; Mark Nelson ;  Urza's Saga
161 ; Tainted Ather ; Enchantment ; 2BB ; Rare ; Thomas M. Baxa ;  Urza's Saga
162 ; Unnerve ; Sorcery ; 3B ; Common ; Terese Nielsen ;  Urza's Saga
163 ; Unworthy Dead ; Summon Skeletons 1/1 ; 1B ; Common ; Carl Critchlow ;  Urza's Saga
164 ; Vampiric Embrace ; Enchant Creature ; 2BB ; Uncommon ; Thomas M. Baxa ;  Urza's Saga
165 ; Vebulid ; Summon Horror 0/0 ; B ; Rare ; Ron Spencer ;  Urza's Saga
166 ; Victimize ; Sorcery ; 2B ; Uncommon ; Val Mayerik ;  Urza's Saga
167 ; Vile Requiem ; Enchantment ; 2BB ; Uncommon ; Carl Critchlow ;  Urza's Saga
168 ; Western Paladin ; Summon Knight 3/3 ; 2BB ; Rare ; Carl Critchlow ;  Urza's Saga
169 ; Witch Engine ; Summon Horror 4/4 ; 5B ; Rare ; Kev Walker ;  Urza's Saga
170 ; Yawgmoth's Edict ; Enchantment ; 1B ; Uncommon ; Scott Kirschner ;  Urza's Saga
171 ; Yawgmoth's Will ; Sorcery ; 2B ; Rare ; Ron Spencer ;  Urza's Saga
172 ; Acidic Soil ; Sorcery ; 2R ; Uncommon ; Scott M. Fischer ;  Urza's Saga
173 ; Antagonism ; Enchantment ; 3R ; Rare ; Donato Giancola ;  Urza's Saga
174 ; Arc Lightning ; Sorcery ; 2R ; Common ; Andrew Goldhawk ;  Urza's Saga
175 ; Bedlam ; Enchantment ; 2RR ; Rare ; Mike Raabe ;  Urza's Saga
176 ; Brand ; Instant ; R ; Rare ; Donato Giancola ;  Urza's Saga
177 ; Bravado ; Enchant Creature ; 1R ; Common ; Jerry Tiritilli ;  Urza's Saga
178 ; Bulwark ; Enchantment ; 3RR ; Rare ; Brian Snoddy ;  Urza's Saga
179 ; Crater Hellion ; Summon Beast 6/6 ; 4RR ; Rare ; Daren Bader ;  Urza's Saga
180 ; Destructive Urge ; Enchant Creature ; 1RR ; Uncommon ; Andrew Robinson ;  Urza's Saga
181 ; Disorder ; Sorcery ; 1R ; Uncommon ; Terese Nielsen ;  Urza's Saga
182 ; Dromosaur ; Summon Lizard 2/3 ; 2R ; Common ; Ciruelo ;  Urza's Saga
183 ; Electryte ; Summon Beast 3/3 ; 3RR ; Rare ; Thomas M. Baxa ;  Urza's Saga
184 ; Falter ; Instant ; 1R ; Common ; Mike Raabe ;  Urza's Saga
185 ; Fault Line ; Instant ; XRR ; Rare ; Ron Spencer ;  Urza's Saga
186 ; Fiery Mantle ; Enchant Creature ; 1R ; Common ; Bob Eggleton ;  Urza's Saga
187 ; Fire Ants ; Summon Insects 2/1 ; 2R ; Uncommon ; Tom Fleming ;  Urza's Saga
188 ; Gamble ; Sorcery ; R ; Rare ; Andrew Goldhawk ;  Urza's Saga
189 ; Goblin Cadets ; Summon Goblins 2/1 ; R ; Uncommon ; Jerry Tiritilli ;  Urza's Saga
190 ; Goblin Lackey ; Summon Goblin 1/1 ; R ; Uncommon ; Jerry Tiritilli ;  Urza's Saga
191 ; Goblin Matron ; Summon Goblin 1/1 ; 2R ; Common ; DiTerlizzi ;  Urza's Saga
192 ; Goblin Offensive ; Sorcery ; X1RR ; Uncommon ; Carl Critchlow ;  Urza's Saga
193 ; Goblin Patrol ; Summon Goblins 2/1 ; R ; Common ; Greg Staples ;  Urza's Saga
194 ; Goblin Raider ; Summon Goblin 2/2 ; 1R ; Common ; Greg Staples ;  Urza's Saga
195 ; Goblin Spelunkers ; Summon Goblins 2/2 ; 2R ; Common ; DiTerlizzi ;  Urza's Saga
196 ; Goblin War Buggy ; Summon Goblin 2/2 ; 1R ; Common ; DiTerlizzi ;  Urza's Saga
197 ; Guma ; Summon Cat 2/2 ; 2R ; Uncommon ; Daren Bader ;  Urza's Saga
198 ; Headlong Rush ; Instant ; 1R ; Common ; Dermot Power ;  Urza's Saga
199 ; Heat Ray ; Instant ; XR ; Common ; Brian Snoddy ;  Urza's Saga
200 ; Jagged Lightning ; Sorcery ; 3RR ; Uncommon ; Mike Raabe ;  Urza's Saga
201 ; Lay Waste ; Sorcery ; 3R ; Common ; Terese Nielsen ;  Urza's Saga
202 ; Lightning Dragon ; Summon Dragon 4/4 ; 2RR ; Rare ; Ron Spencer ;  Urza's Saga
203 ; Meltdown ; Sorcery ; XR ; Uncommon ; Donato Giancola ;  Urza's Saga
204 ; Okk ; Summon Goblin 4/4 ; 1R ; Rare ; Mike Raabe ;  Urza's Saga
205 ; Outmaneuver ; Instant ; XR ; Uncommon ; Greg Staples ;  Urza's Saga
206 ; Rain of Salt ; Sorcery ; 4RR ; Uncommon ; Adam Rex ;  Urza's Saga
207 ; Raze ; Sorcery ; R ; Common ; Mike Raabe ;  Urza's Saga
208 ; Reflexes ; Enchant Creature ; R ; Common ; Steve White ;  Urza's Saga
209 ; Retromancer ; Summon Viashino 3/3 ; 2RR ; Common ; Robh Ruppel ;  Urza's Saga
210 ; Rumbling Crescendo ; Enchantment ; 3RR ; Rare ; Lawrence Snelly ;  Urza's Saga
211 ; Scald ; Enchantment ; 1R ; Uncommon ; Adam Rex ;  Urza's Saga
212 ; Scoria Wurm ; Summon Wurm 7/7 ; 4R ; Rare ; Steve Firchow ;  Urza's Saga
213 ; Scrap ; Instant ; 2R ; Common ; Donato Giancola ;  Urza's Saga
214 ; Shivan Hellkite ; Summon Dragon 5/5 ; 5RR ; Rare ; Bob Eggleton ;  Urza's Saga
215 ; Shivan Raptor ; Summon Lizard 3/1 ; 2R ; Uncommon ; Bob Eggleton ;  Urza's Saga
216 ; Shiv's Embrace ; Enchant Creature ; 2RR ; Uncommon ; Bob Eggleton ;  Urza's Saga
217 ; Shower of Sparks ; Instant ; R ; Common ; Christopher Moeller ;  Urza's Saga
218 ; Sneak Attack ; Enchantment ; 3R ; Rare ; Jerry Tiritilli ;  Urza's Saga
219 ; Steam Blast ; Sorcery ; 2R ; Uncommon ; Mike Raabe ;  Urza's Saga
220 ; Sulfuric Vapors ; Enchantment ; 3R ; Rare ; Lawrence Snelly ;  Urza's Saga
221 ; Thundering Giant ; Summon Giant 4/3 ; 3RR ; Uncommon ; Mark Zug ;  Urza's Saga
222 ; Torch Song ; Enchantment ; 2R ; Uncommon ; Thomas M. Baxa ;  Urza's Saga
223 ; Viashino Outrider ; Summon Viashino 4/3 ; 2R ; Common ; Ciruelo ;  Urza's Saga
224 ; Viashino Runner ; Summon Viashino 3/2 ; 3R ; Common ; Steve White ;  Urza's Saga
225 ; Viashino Sandswimmer ; Summon Viashino 3/2 ; 2RR ; Rare ; Pete Venters ;  Urza's Saga
226 ; Viashino Weaponsmith ; Summon Viashino 2/2 ; 3R ; Common ; Dermot Power ;  Urza's Saga
227 ; Vug Lizard ; Summon Lizard 3/4 ; 1RR ; Uncommon ; Heather Hudson ;  Urza's Saga
228 ; Wildfire ; Sorcery ; 4RR ; Rare ; Carl Critchlow ;  Urza's Saga
229 ; Abundance ; Enchantment ; 2GG ; Rare ; Rebecca Guay ;  Urza's Saga
230 ; Acridian ; Summon Insect 2/4 ; 1G ; Common ; rk post ;  Urza's Saga
231 ; Albino Troll ; Summon Troll 3/3 ; 1G ; Uncommon ; Paolo Parente ;  Urza's Saga
232 ; Anaconda ; Summon Snake 3/3 ; 3G ; Uncommon ; Stephen Daniele ;  Urza's Saga
233 ; Argothian Elder ; Summon Elf 2/2 ; 3G ; Uncommon ; DiTerlizzi ;  Urza's Saga
234 ; Argothian Enchantress ; Summon Enchantress 0/1 ; 1G ; Rare ; Daren Bader ;  Urza's Saga
235 ; Argothian Swine ; Summon Boars 3/3 ; 3G ; Common ; Randy Elliott ;  Urza's Saga
236 ; Argothian Wurm ; Summon Wurm 6/6 ; 3G ; Rare ; Kev Walker ;  Urza's Saga
237 ; Blanchwood Armor ; Enchant Creature ; 2G ; Uncommon ; Paolo Parente ;  Urza's Saga
238 ; Blanchwood Treefolk ; Summon Treefolk 4/5 ; 4G ; Common ; DiTerlizzi ;  Urza's Saga
239 ; Bull Hippo ; Summon Hippo 3/3 ; 3G ; Uncommon ; Daren Bader ;  Urza's Saga
240 ; Carpet of Flowers ; Enchantment ; G ; Uncommon ; Rebecca Guay ;  Urza's Saga
241 ; Cave Tiger ; Summon Cat 2/2 ; 2G ; Common ; Hannibal King ;  Urza's Saga
242 ; Child of Gaea ; Summon Elemental 7/7 ; 3GGG ; Rare ; Paolo Parente ;  Urza's Saga
243 ; Citanul Centaurs ; Summon Centaurs 6/3 ; 3G ; Rare ; Val Mayerik ;  Urza's Saga
244 ; Citanul Hierophants ; Summon Druids 3/2 ; 3G ; Rare ; Vincent Evans ;  Urza's Saga
245 ; Cradle Guard ; Summon Treefolk 4/4 ; 1GG ; Uncommon ; Mark Zug ;  Urza's Saga
246 ; Crosswinds ; Enchantment ; 1G ; Uncommon ; Randy Elliott ;  Urza's Saga
247 ; Elvish Herder ; Summon Elf 1/1 ; G ; Common ; Tom Fleming ;  Urza's Saga
248 ; Elvish Lyrist ; Summon Elf 1/1 ; G ; Common ; Rebecca Guay ;  Urza's Saga
249 ; Endless Wurm ; Summon Wurm 9/9 ; 3GG ; Rare ; DiTerlizzi ;  Urza's Saga
250 ; Exploration ; Enchantment ; G ; Rare ; Brian Snoddy ;  Urza's Saga
251 ; Fecundity ; Enchantment ; 2G ; Uncommon ; Rebecca Guay ;  Urza's Saga
252 ; Fertile Ground ; Enchant Land ; 1G ; Common ; Heather Hudson ;  Urza's Saga
253 ; Fortitude ; Enchant Creature ; 1G ; Common ; Daren Bader ;  Urza's Saga
254 ; Gaea's Bounty ; Sorcery ; 2G ; Common ; Stephen Daniele ;  Urza's Saga
255 ; Gaea's Embrace ; Enchant Creature ; 2GG ; Uncommon ; Paolo Parente ;  Urza's Saga
256 ; Gorilla Warrior ; Summon Ape 3/2 ; 2G ; Common ; Steve White ;  Urza's Saga
257 ; Greater Good ; Enchantment ; 2GG ; Rare ; Pete Venters ;  Urza's Saga
258 ; Greener Pastures ; Enchantment ; 2G ; Rare ; Heather Hudson ;  Urza's Saga
259 ; Hawkeater Moth ; Summon Insect 1/2 ; 3G ; Uncommon ; Heather Hudson ;  Urza's Saga
260 ; Hidden Ancients ; Enchantment ; 1G ; Uncommon ; Daren Bader ;  Urza's Saga
261 ; Hidden Guerrillas ; Enchantment ; G ; Uncommon ; Christopher Moeller ;  Urza's Saga
262 ; Hidden Herd ; Enchantment ; G ; Rare ; Andrew Robinson ;  Urza's Saga
263 ; Hidden Predators ; Enchantment ; G ; Rare ; John Matson ;  Urza's Saga
264 ; Hidden Spider ; Enchantment ; G ; Common ; Thomas M. Baxa ;  Urza's Saga
265 ; Hidden Stag ; Enchantment ; 1G ; Rare ; Berry ;  Urza's Saga
266 ; Hush ; Sorcery ; 3G ; Common ; Rebecca Guay ;  Urza's Saga
267 ; Lull ; Instant ; 1G ; Common ; Terese Nielsen ;  Urza's Saga
268 ; Midsummer Revel ; Enchantment ; 3GG ; Rare ; Steve Firchow ;  Urza's Saga
269 ; Pouncing Jaguar ; Summon Cat 2/2 ; G ; Common ; Daren Bader ;  Urza's Saga
270 ; Priest of Titania ; Summon Elf 1/1 ; 1G ; Common ; Rebecca Guay ;  Urza's Saga
271 ; Rejuvenate ; Sorcery ; 3G ; Common ; Greg Simanson ;  Urza's Saga
272 ; Retaliation ; Enchantment ; 2G ; Uncommon ; Tom Fleming ;  Urza's Saga
273 ; Sporogenesis ; Enchantment ; 3G ; Rare ; Ron Spencer ;  Urza's Saga
