1 ; Abyssal Hunter ; Summon Hunter 1/1 ; 3B ; Rare ; Steve Luke ;  Mirage
34 ; Ravenous Vampire ; Summon Vampire 3/3 ; 3BB ; Uncommon ; John Bolton ;  Mirage
35 ; Reign of Terror ; Sorcery ; 3BB ; Uncommon ; Gary Leach ;  Mirage
36 ; Restless Dead ; Summon Skeletons 1/1 ; 1B ; Common ; Ian Miller ;  Mirage
37 ; Sewer Rats ; Summon Rats 1/1 ; B ; Common ; Martin McKenna ;  Mirage
38 ; Shadow Guildmage ; Summon Wizard 1/1 ; B ; Common ; Mike Kimble ;  Mirage
39 ; Shallow Grave ; Instant ; 1B ; Rare ; John Coulthart ;  Mirage
40 ; Shauku, Endbringer ; Summon Legend 5/5 ; 5BB ; Rare ; Pete Venters ;  Mirage
41 ; Skulking Ghost ; Summon Ghost 2/1 ; 1B ; Common ; Robert Bliss ;  Mirage
42 ; Soul Rend ; Instant ; 1B ; Uncommon ; Jeff Miracola ;  Mirage
43 ; Soulshriek ; Instant ; B ; Common ; John Bolton ;  Mirage
44 ; Spirit of the Night ; Summon Legend 6/5 ; 6BBB ; Rare ; Cliff Nielsen ;  Mirage
45 ; Stupor ; Sorcery ; 2B ; Uncommon ; Mike Kimble ;  Mirage
46 ; Tainted Specter ; Summon Specter 2/2 ; 3B ; Rare ; Chippy ;  Mirage
47 ; Tombstone Stairwell ; Enchant World ; 2BB ; Rare ; Dom ;  Mirage
48 ; Urborg Panther ; Summon Night Stalker 2/2 ; 2B ; Common ; Cliff Nielsen ;  Mirage
49 ; Wall of Corpses ; Summon Wall 0/2 ; 1B ; Common ; Gary Leach ;  Mirage
50 ; Withering Boon ; Interrupt ; 1B ; Uncommon ; Robert Bliss ;  Mirage
51 ; Zombie Mob ; Summon Zombies 2/0 ; 2BB ; Uncommon ; Terese Nielsen ;  Mirage
52 ; Ancestral Memories ; Sorcery ; 2UUU ; Rare ; William Donohoe ;  Mirage
53 ; Azimaet Drake ; Summon Drake 1/3 ; 2U ; Common ; Gerry Grace ;  Mirage
54 ; Bay Falcon ; Summon Falcon 1/1 ; 1U ; Common ; Una Fricker ;  Mirage
55 ; Bazaar of Wonders ; Enchant World ; 3UU ; Rare ; Liz Danforth ;  Mirage
56 ; Boomerang ; Instant ; UU ; Common ; Richard Kane Ferguson ;  Mirage
57 ; Cerulean Wyvern ; Summon Wyvern 3/3 ; 4U ; Uncommon ; Gerry Grace ;  Mirage
58 ; Cloak of Invisibility ; Enchant Creature ; U ; Common ; John Coulthart ;  Mirage
59 ; Coral Fighters ; Summon Merfolk 1/1 ; 1U ; Uncommon ; Steve Luke ;  Mirage
60 ; Daring Apprentice ; Summon Wizard 1/1 ; 1UU ; Rare ; Kaja Foglio ;  Mirage
61 ; Dissipate ; Interrupt ; 1UU ; Uncommon ; Richard Kane Ferguson ;  Mirage
62 ; Dream Cache ; Sorcery ; 2U ; Common ; D. Alexander Gregory ;  Mirage
63 ; Dream Fighter ; Summon Soldier 1/1 ; 2U ; Common ; Drew Tucker ;  Mirage
64 ; Energy Vortex ; Enchantment ; 3UU ; Rare ; Tom Wänerstrand ;  Mirage
65 ; Ether Well ; Instant ; 3U ; Uncommon ; Charles Gillespie ;  Mirage
66 ; Flash ; Instant ; 1U ; Rare ; David Ho ;  Mirage
67 ; Floodgate ; Summon Wall 0/5 ; 3U ; Uncommon ; Jeff Miracola ;  Mirage
68 ; Hakim, Loreweaver ; Summon Legend 2/4 ; 3UU ; Rare ; Alan Rabinowitz ;  Mirage
69 ; Harmattan Efreet ; Summon Efreet 2/2 ; 2UU ; Uncommon ; Drew Tucker ;  Mirage
70 ; Jolt ; Instant ; 2U ; Common ; John Matson ;  Mirage
71 ; Kukemssa Pirates ; Summon Pirates 2/2 ; 3U ; Rare ; JOCK ;  Mirage
72 ; Kukemssa Serpent ; Summon Serpent 4/3 ; 3U ; Common ; Ian Miller ;  Mirage
73 ; Meddle ; Interrupt ; 1U ; Uncommon ; Brian Snoddy ;  Mirage
74 ; Memory Lapse ; Interrupt ; 1U ; Common ; Rebecca Guay ;  Mirage
75 ; Merfolk Raiders ; Summon Merfolk 2/3 ; 1U ; Common ; Steve Luke ;  Mirage
76 ; Merfolk Seer ; Summon Merfolk 2/2 ; 2U ; Common ; Steve Luke ;  Mirage
77 ; Mind Bend ; Instant ; U ; Uncommon ; Mike Dringenberg ;  Mirage
78 ; Mind Harness ; Enchant Creature ; U ; Uncommon ; John Malloy ;  Mirage
79 ; Mist Dragon ; Summon Dragon 4/4 ; 4UU ; Rare ; Al Davidson ;  Mirage
80 ; Mystical Tutor ; Instant ; U ; Uncommon ; David O'Connor ;  Mirage
81 ; Political Trickery ; Sorcery ; 2U ; Rare ; Scott Kirschner ;  Mirage
82 ; Polymorph ; Sorcery ; 3U ; Rare ; Robert Bliss ;  Mirage
83 ; Power Sink ; Interrupt ; XU ; Common ; Charles Gillespie ;  Mirage
84 ; Prismatic Lace ; Instant ; U ; Rare ; David O'Connor ;  Mirage
85 ; Psychic Transfer ; Sorcery ; 4U ; Rare ; Dom ;  Mirage
86 ; Ray of Command ; Instant ; 3U ; Common ; Andrew Robinson ;  Mirage
87 ; Reality Ripple ; Instant ; 1U ; Common ; Alan Rabinowitz ;  Mirage
88 ; Sandbar Crocodile ; Summon Crocodile 6/5 ; 4U ; Common ; Una Fricker ;  Mirage
89 ; Sapphire Charm ; Instant ; U ; Common ; Steve Luke ;  Mirage
90 ; Sea Scryer ; Summon Merfolk 1/1 ; 1U ; Common ; Martin McKenna ;  Mirage
91 ; Shaper Guildmage ; Summon Wizard 1/1 ; U ; Common ; D. Alexander Gregory ;  Mirage
92 ; Shimmer ; Enchantment ; 2UU ; Rare ; David A. Cherry ;  Mirage
93 ; Soar ; Enchant Creature ; 1U ; Common ; Tony Roberts ;  Mirage
94 ; Suq'Ata Firewalker ; Summon Wizard 0/1 ; 1UU ; Uncommon ; David O'Connor ;  Mirage
95 ; Taniwha ; Summon Legend 7/7 ; 3UU ; Rare ; Ian Miller ;  Mirage
96 ; Teferi's Curse ; Enchant Permanent ; 1U ; Common ; Robert Bliss ;  Mirage
97 ; Teferi's Drake ; Summon Drake 3/2 ; 2U ; Common ; Kari Johnson ;  Mirage
98 ; Teferi's Imp ; Summon Imp 1/1 ; 2U ; Rare ; Una Fricker ;  Mirage
99 ; Thirst ; Enchant Creature ; 2U ; Common ; Roger Raupp ;  Mirage
100 ; Tidal Wave ; Instant ; 2U ; Uncommon ; Brian Snoddy ;  Mirage
101 ; Vaporous Djinn ; Summon Djinn 3/4 ; 2UU ; Uncommon ; Adam Rex ;  Mirage
102 ; Wave Elemental ; Summon Elemental 2/3 ; 2UU ; Uncommon ; Zak Plucinski ;  Mirage
103 ; Afiya Grove ; Enchantment ; 1G ; Rare ; Stuart Griffin ;  Mirage
104 ; Armor of Thorns ; Enchant Creature ; 1G ; Common ; Alan Rabinowitz ;  Mirage
105 ; Barbed Foliage ; Enchantment ; 2GG ; Uncommon ; Mark Poole ;  Mirage
106 ; Brushwagg ; Summon Brushwagg 3/2 ; 1GG ; Rare ; Ian Miller ;  Mirage
107 ; Canopy Dragon ; Summon Dragon 4/4 ; 4GG ; Rare ; Alan Rabinowitz ;  Mirage
108 ; Crash of Rhinos ; Summon Rhinos 8/4 ; 6GG ; Common ; Steve White ;  Mirage
109 ; Cycle of Life ; Enchantment ; 1GG ; Rare ; Chippy ;  Mirage
110 ; Decomposition ; Enchant Creature ; 1G ; Uncommon ; Drew Tucker ;  Mirage
111 ; Early Harvest ; Instant ; 1GG ; Rare ; Janine Johnston ;  Mirage
112 ; Fallow Earth ; Sorcery ; 2G ; Uncommon ; Janine Johnston ;  Mirage
113 ; Femeref Archers ; Summon Archers 2/2 ; 2G ; Uncommon ; William Donohoe ;  Mirage
114 ; Fog ; Instant ; G ; Common ; Harold McNeill ;  Mirage
115 ; Foratog ; Summon Atog 1/2 ; 2G ; Uncommon ; Mark Poole ;  Mirage
116 ; Giant Mantis ; Summon Mantis 2/4 ; 3G ; Common ; Randy Gallegos ;  Mirage
117 ; Gibbering Hyenas ; Summon Hyenas 3/2 ; 2G ; Common ; Una Fricker ;  Mirage
118 ; Granger Guildmage ; Summon Wizard 1/1 ; G ; Common ; Dan Frazier ;  Mirage
119 ; Hall of Gemstone ; Enchant World ; 1GG ; Rare ; David A. Cherry ;  Mirage
120 ; Jolrael's Centaur ; Summon Centaur 2/2 ; 1GG ; Common ; Junior Tomlin ;  Mirage
121 ; Jungle Patrol ; Summon Soldiers 3/2 ; 3G ; Rare ; Mark Poole ;  Mirage
122 ; Jungle Wurm ; Summon Wurm 5/5 ; 3GG ; Common ; Tom Kyffin ;  Mirage
123 ; Karoo Meerkat ; Summon Meerkat 2/1 ; 1G ; Uncommon ; Janine Johnston ;  Mirage
124 ; Locust Swarm ; Summon Swarm 1/1 ; 3G ; Uncommon ; William Donohoe ;  Mirage
125 ; Lure of Prey ; Instant ; 2GG ; Rare ; Andrew Robinson ;  Mirage
126 ; Maro ; Summon Nature Spirit */* ; 2GG ; Rare ; Stuart Griffin ;  Mirage
127 ; Mindbender Spores ; Summon Wall 0/1 ; 2G ; Rare ; Ian Miller ;  Mirage
128 ; Mtenda Lion ; Summon Lion 2/1 ; G ; Common ; Stuart Griffin ;  Mirage
129 ; Natural Balance ; Sorcery ; 2GG ; Rare ; John Malloy ;  Mirage
130 ; Nettletooth Djinn ; Summon Djinn 4/4 ; 3G ; Uncommon ; Janine Johnston ;  Mirage
131 ; Preferred Selection ; Enchantment ; 2GG ; Rare ; Kev Walker ;  Mirage
132 ; Quirion Elves ; Summon Elves 1/1 ; 1G ; Common ; Randy Gallegos ;  Mirage
133 ; Rampant Growth ; Sorcery ; 1G ; Common ; Pat Morrissey ;  Mirage
134 ; Regeneration ; Enchant Creature ; 1G ; Common ; Charles Gillespie ;  Mirage
135 ; Roots of Life ; Enchantment ; 1GG ; Uncommon ; Tony Roberts ;  Mirage
136 ; Sabertooth Cobra ; Summon Cobra 2/2 ; 2G ; Common ; Andrew Robinson ;  Mirage
137 ; Sandstorm ; Instant ; G ; Common ; Mike Kimble ;  Mirage
138 ; Seedling Charm ; Instant ; G ; Common ; Stuart Griffin ;  Mirage
139 ; Seeds of Innocence ; Sorcery ; 1GG ; Rare ; Junior Tomlin ;  Mirage
140 ; Serene Heart ; Instant ; 1G ; Common ; D. Alexander Gregory ;  Mirage
141 ; Stalking Tiger ; Summon Tiger 3/3 ; 3G ; Common ; Terese Nielsen ;  Mirage
142 ; Superior Numbers ; Sorcery ; GG ; Uncommon ; Geofrey Darrow ;  Mirage
143 ; Tranquil Domain ; Instant ; 1G ; Common ; D. Alexander Gregory ;  Mirage
144 ; Tropical Storm ; Sorcery ; XG ; Uncommon ; Richard Kane Ferguson ;  Mirage
145 ; Uktabi Faerie ; Summon Faerie 1/1 ; 1G ; Common ; Junior Tomlin ;  Mirage
146 ; Uktabi Wildcats ; Summon Wildcats */* ; 4G ; Rare ; John Matson ;  Mirage
147 ; Unseen Walker ; Summon Dryad 1/1 ; 1G ; Uncommon ; Alan Rabinowitz ;  Mirage
148 ; Unyaro Bee Sting ; Sorcery ; 3G ; Uncommon ; Pat Morrissey ;  Mirage
149 ; Village Elder ; Summon Druid 1/1 ; G ; Common ; Donato Giancola ;  Mirage
150 ; Waiting in the Weeds ; Sorcery ; 1GG ; Rare ; Susan Van Camp ;  Mirage
151 ; Wall of Roots ; Summon Wall 0/5 ; 1G ; Common ; John Matson ;  Mirage
152 ; Wild Elephant ; Summon Elephant 3/3 ; 3G ; Common ; Junior Tomlin ;  Mirage
153 ; Worldly Tutor ; Instant ; G ; Uncommon ; David O'Connor ;  Mirage
154 ; Agility ; Enchant Creature ; 1R ; Common ; Drew Tucker ;  Mirage
155 ; Aleatory ; Instant ; 1R ; Uncommon ; Kev Walker ;  Mirage
156 ; Armorer Guildmage ; Summon Wizard 1/1 ; R ; Common ; Martin McKenna ;  Mirage
157 ; Barreling Attack ; Instant ; 2RR ; Rare ; Ian Miller ;  Mirage
158 ; Blind Fury ; Instant ; 2RR ; Uncommon ; John Coulthart ;  Mirage
159 ; Blistering Barrier ; Summon Wall 5/2 ; 2R ; Common ; David Ho ;  Mirage
160 ; Builder's Bane ; Sorcery ; XXR ; Common ; Charles Gillespie ;  Mirage
161 ; Burning Palm Efreet ; Summon Efreet 2/2 ; 2RR ; Uncommon ; Dermot Power ;  Mirage
162 ; Burning Shield Askari ; Summon Knight 2/2 ; 2R ; Common ; Dan Frazier ;  Mirage
163 ; Chaos Charm ; Instant ; R ; Common ; Steve Luke ;  Mirage
164 ; Chaosphere ; Enchant World ; 2R ; Rare ; Steve Luke ;  Mirage
165 ; Cinder Cloud ; Instant ; 3RR ; Uncommon ; JOCK ;  Mirage
166 ; Consuming Ferocity ; Enchant Creature ; 1R ; Uncommon ; Scott Kirschner ;  Mirage
167 ; Crimson Hellkite ; Summon Dragon 6/6 ; 6RRR ; Rare ; Gerry Grace ;  Mirage
168 ; Crimson Roc ; Summon Roc 2/2 ; 4R ; Uncommon ; Ian Miller ;  Mirage
169 ; Dwarven Miner ; Summon Dwarf 1/2 ; 1R ; Uncommon ; JOCK ;  Mirage
170 ; Dwarven Nomad ; Summon Dwarf 1/1 ; 2R ; Common ; Mike Kimble ;  Mirage
171 ; Ekundu Cyclops ; Summon Cyclops 3/4 ; 3R ; Common ; Robert Bliss ;  Mirage
172 ; Emberwilde Djinn ; Summon Djinn 5/4 ; 2RR ; Rare ; Mike Dringenberg ;  Mirage
173 ; Final Fortune ; Instant ; RR ; Rare ; D. Alexander Gregory ;  Mirage
174 ; Firebreathing ; Enchant Creature ; R ; Common ; Mike Kerr ;  Mirage
175 ; Flame Elemental ; Summon Elemental 3/2 ; 2RR ; Uncommon ; Richard Kane Ferguson ;  Mirage
176 ; Flare ; Instant ; 2R ; Common ; Greg Simanson ;  Mirage
177 ; Goblin Elite Infantry ; Summon Goblins 2/2 ; 1R ; Common ; Robert Bliss ;  Mirage
178 ; Goblin Scouts ; Sorcery ; 3RR ; Uncommon ; Geofrey Darrow ;  Mirage
179 ; Goblin Soothsayer ; Summon Goblin 1/1 ; R ; Uncommon ; Robert Bliss ;  Mirage
180 ; Goblin Tinkerer ; Summon Goblin 1/2 ; 1R ; Common ; Hannibal King ;  Mirage
181 ; Hammer of Bogardan ; Sorcery ; 1RR ; Rare ; Ron Spencer ;  Mirage
182 ; Hivis of the Scale ; Summon Legend 3/4 ; 3RR ; Rare ; Andrew Robinson ;  Mirage
183 ; Illicit Auction ; Sorcery ; 3RR ; Rare ; Scott Kirschner ;  Mirage
184 ; Incinerate ; Instant ; 1R ; Common ; Brian Snoddy ;  Mirage
185 ; Kaervek's Torch ; Sorcery ; XR ; Common ; John Coulthart ;  Mirage
186 ; Lightning Reflexes ; Enchant Creature ; 1R ; Common ; Tom Kyffin ;  Mirage
187 ; Pyric Salamander ; Summon Salamander 1/1 ; 1R ; Common ; Tony Roberts ;  Mirage
188 ; Raging Spirit ; Summon Spirit 3/3 ; 3R ; Common ; Scott M. Fischer ;  Mirage
189 ; Reckless Embermage ; Summon Wizard 2/2 ; 3R ; Rare ; Tom Kyffin ;  Mirage
190 ; Reign of Chaos ; Sorcery ; 2RR ; Uncommon ; Kathryn Rathke ;  Mirage
191 ; Searing Spear Askari ; Summon Knight 2/2 ; 2R ; Common ; Richard Kane Ferguson ;  Mirage
192 ; Sirocco ; Instant ; 1R ; Uncommon ; Alan Rabinowitz ;  Mirage
193 ; Spitting Earth ; Sorcery ; 1R ; Common ; Brian Snoddy ;  Mirage
194 ; Stone Rain ; Sorcery ; 2R ; Common ; Tony Roberts ;  Mirage
195 ; Subterranean Spirit ; Summon Elemental 3/3 ; 3RR ; Rare ; John Bolton ;  Mirage
196 ; Talruum Minotaur ; Summon Minotaur 3/3 ; 2RR ; Common ; Pete Venters ;  Mirage
197 ; Telim'Tor ; Summon Legend 2/2 ; 4R ; Rare ; Kev Walker ;  Mirage
198 ; Telim'Tor's Edict ; Instant ; R ; Rare ; Kev Walker ;  Mirage
199 ; Torrent of Lava ; Sorcery ; XRR ; Rare ; Kathryn Rathke ;  Mirage
200 ; Viashino Warrior ; Summon Viashino 4/2 ; 3R ; Common ; Roger Raupp ;  Mirage
201 ; Volcanic Dragon ; Summon Dragon 4/4 ; 4RR ; Rare ; Janine Johnston ;  Mirage
202 ; Volcanic Geyser ; Instant ; XRR ; Uncommon ; David O'Connor ;  Mirage
203 ; Wildfire Emissary ; Summon Efreet 2/4 ; 3R ; Uncommon ; Richard Kane Ferguson ;  Mirage
204 ; Zirilan of the Claw ; Summon Legend 3/4 ; 3RR ; Rare ; Andrew Robinson ;  Mirage
205 ; Afterlife ; Instant ; 2W ; Uncommon ; Pete Venters ;  Mirage
206 ; Alarum ; Instant ; 1W ; Common ; Andrew Robinson ;  Mirage
207 ; Auspicious Ancestor ; Summon Ancestor 2/3 ; 3W ; Rare ; Zina Saunders ;  Mirage
208 ; Benevolent Unicorn ; Summon Unicorn 1/2 ; 1W ; Common ; David A. Cherry ;  Mirage
209 ; Blinding Light ; Sorcery ; 2W ; Uncommon ; Hannibal King ;  Mirage
210 ; Celestial Dawn ; Enchantment ; 1WW ; Rare ; Liz Danforth ;  Mirage
211 ; Civic Guildmage ; Summon Wizard 1/1 ; W ; Common ; Andrew Robinson ;  Mirage
212 ; Dazzling Beauty ; Instant ; 2W ; Common ; Harold McNeill ;  Mirage
213 ; Disempower ; Instant ; 1W ; Common ; John Matson ;  Mirage
214 ; Disenchant ; Instant ; 1W ; Common ; Charles Gillespie ;  Mirage
215 ; Divine Offering ; Instant ; 1W ; Common ; Terese Nielsen ;  Mirage
216 ; Divine Retribution ; Instant ; 1W ; Rare ; Charles Gillespie ;  Mirage
217 ; Ekundu Griffin ; Summon Griffin 2/2 ; 3W ; Common ; David A. Cherry ;  Mirage
218 ; Enlightened Tutor ; Instant ; W ; Uncommon ; Dan Frazier ;  Mirage
219 ; Ethereal Champion ; Summon Avatar 3/4 ; 2WWW ; Rare ; Terese Nielsen ;  Mirage
220 ; Favorable Destiny ; Enchant Creature ; 1W ; Uncommon ; Thomas Gianni ;  Mirage
221 ; Femeref Healer ; Summon Cleric 1/1 ; 1W ; Common ; Steve Luke ;  Mirage
222 ; Femeref Knight ; Summon Knight 2/2 ; 2W ; Common ; Tony Roberts ;  Mirage
223 ; Femeref Scouts ; Summon Scouts 1/4 ; 2W ; Common ; Zak Plucinski ;  Mirage
224 ; Healing Salve ; Instant ; W ; Common ; Hannibal King ;  Mirage
225 ; Illumination ; Interrupt ; WW ; Uncommon ; David O'Connor ;  Mirage
226 ; Iron Tusk Elephant ; Summon Elephant 3/3 ; 4W ; Uncommon ; Tony Roberts ;  Mirage
227 ; Ivory Charm ; Instant ; W ; Common ; Gerry Grace ;  Mirage
228 ; Jabari's Influence ; Instant ; 3WW ; Rare ; Gerry Grace ;  Mirage
229 ; Mangara's Blessing ; Instant ; 2W ; Uncommon ; David A. Cherry ;  Mirage
230 ; Mangara's Equity ; Enchantment ; 1WW ; Uncommon ; Alan Rabinowitz ;  Mirage
231 ; Melesse Spirit ; Summon Angel 3/3 ; 3WW ; Uncommon ; Gerry Grace ;  Mirage
232 ; Mtenda Griffin ; Summon Griffin 2/2 ; 3W ; Uncommon ; Janine Johnston ;  Mirage
233 ; Mtenda Herder ; Summon Scout 1/1 ; W ; Common ; Zina Saunders ;  Mirage
234 ; Noble Elephant ; Summon Elephant 2/2 ; 3W ; Common ; Tony Roberts ;  Mirage
235 ; Null Chamber ; Enchant World ; 3W ; Rare ; Douglas Shuler ;  Mirage
236 ; Pacifism ; Enchant Creature ; 1W ; Common ; Robert Bliss ;  Mirage
237 ; Pearl Dragon ; Summon Dragon 4/4 ; 4WW ; Rare ; Ian Miller ;  Mirage
238 ; Prismatic Circle ; Enchantment ; 2W ; Common ; Pete Venters ;  Mirage
239 ; Rashida Scalebane ; Summon Legend 3/4 ; 3WW ; Rare ; Randy Gallegos ;  Mirage
240 ; Ritual of Steel ; Enchant Creature ; 2W ; Common ; Mark Poole ;  Mirage
241 ; Sacred Mesa ; Enchantment ; 2W ; Rare ; Margaret Organ-Kean ;  Mirage
242 ; Shadowbane ; Instant ; 1W ; Uncommon ; Douglas Shuler ;  Mirage
243 ; Sidar Jabari ; Summon Legend 2/2 ; 3W ; Rare ; Gerry Grace ;  Mirage
244 ; Soul Echo ; Enchantment ; XWW ; Rare ; Ron Spencer ;  Mirage
245 ; Spectral Guardian ; Summon Guardian 2/3 ; 2WW ; Rare ; Mike Dringenberg ;  Mirage
246 ; Sunweb ; Summon Wall 5/6 ; 3W ; Rare ; Dan Frazier ;  Mirage
247 ; Teremko Griffin ; Summon Griffin 2/2 ; 3W ; Common ; Martin McKenna ;  Mirage
248 ; Unyaro Griffin ; Summon Griffin 2/2 ; 3W ; Uncommon ; Al Davidson ;  Mirage
249 ; Vigilant Martyr ; Summon Martyr 1/1 ; W ; Uncommon ; Rebecca Guay ;  Mirage
250 ; Wall of Resistance ; Summon Wall 0/3 ; 1W ; Common ; Harold McNeill ;  Mirage
251 ; Ward of Lights ; Enchant Creature ; WW ; Common ; Mike Dringenberg ;  Mirage
252 ; Yare ; Instant ; 2W ; Rare ; Ron Spencer ;  Mirage
253 ; Zhalfirin Commander ; Summon Knight 2/2 ; 2W ; Uncommon ; Stuart Griffin ;  Mirage
254 ; Zhalfirin Knight ; Summon Knight 2/2 ; 2W ; Common ; John Bolton ;  Mirage
255 ; Zuberi, Golden Feather ; Summon Legend 3/3 ; 4W ; Rare ; Alan Rabinowitz ;  Mirage
256 ; Acidic Dagger ; Artifact ; 4 ; Rare ; Stuart Beel ;  Mirage
257 ; Amber Prison ; Artifact ; 4 ; Rare ; Donato Giancola ;  Mirage
258 ; Amulet of Unmaking ; Artifact ; 5 ; Rare ; Kaja Foglio ;  Mirage
259 ; Basalt Golem ; Artifact Creature 2/4 ; 5 ; Uncommon ; Scott Kirschner ;  Mirage
260 ; Bone Mask ; Artifact ; 4 ; Rare ; D. Alexander Gregory ;  Mirage
261 ; Charcoal Diamond ; Artifact ; 2 ; Uncommon ; Drew Tucker ;  Mirage
262 ; Chariot of the Sun ; Artifact ; 3 ; Uncommon ; Gerry Grace ;  Mirage
263 ; Crystal Golem ; Artifact Creature 3/3 ; 4 ; Uncommon ; Mike Dringenberg ;  Mirage
264 ; Cursed Totem ; Artifact ; 2 ; Rare ; D. Alexander Gregory ;  Mirage
265 ; Elixir of Vitality ; Artifact ; 4 ; Uncommon ; Douglas Shuler ;  Mirage
266 ; Ersatz Gnomes ; Artifact Creature 1/1 ; 3 ; Uncommon ; Ron Spencer ;  Mirage
267 ; Fire Diamond ; Artifact ; 2 ; Uncommon ; Richard Thomas ;  Mirage
268 ; Grinning Totem ; Artifact ; 4 ; Rare ; Donato Giancola ;  Mirage
269 ; Horrible Hordes ; Artifact Creature 2/2 ; 3 ; Uncommon ; Ian Miller ;  Mirage
270 ; Igneous Golem ; Artifact Creature 3/4 ; 5 ; Uncommon ; Adam Rex ;  Mirage
271 ; Lead Golem ; Artifact Creature 3/5 ; 5 ; Uncommon ; Hannibal King ;  Mirage
272 ; Lion's Eye Diamond ; Artifact ; 0 ; Rare ; Margaret Organ-Kean ;  Mirage
273 ; Mana Prism ; Artifact ; 3 ; Uncommon ; Margaret Organ-Kean ;  Mirage
274 ; Mangara's Tome ; Artifact ; 5 ; Rare ; John Bolton ;  Mirage
275 ; Marble Diamond ; Artifact ; 2 ; Uncommon ; Jeff Miracola ;  Mirage
276 ; Misers' Cage ; Artifact ; 3 ; Rare ; Jeff Miracola ;  Mirage
277 ; Moss Diamond ; Artifact ; 2 ; Uncommon ; Donato Giancola ;  Mirage
278 ; Patagia Golem ; Artifact Creature 2/3 ; 4 ; Uncommon ; Scott Kirschner ;  Mirage
279 ; Paupers' Cage ; Artifact ; 3 ; Rare ; Mike Kimble ;  Mirage
280 ; Phyrexian Dreadnought ; Artifact Creature 12/12 ; 1 ; Rare ; Pete Venters ;  Mirage
281 ; Phyrexian Vault ; Artifact ; 3 ; Uncommon ; Hannibal King ;  Mirage
282 ; Razor Pendulum ; Artifact ; 4 ; Rare ; Zak Plucinski ;  Mirage
283 ; Sand Golem ; Artifact Creature 3/3 ; 5 ; Uncommon ; John Matson ;  Mirage
284 ; Sky Diamond ; Artifact ; 2 ; Uncommon ; D. Alexander Gregory ;  Mirage
285 ; Teeka's Dragon ; Artifact Creature 5/5 ; 9 ; Rare ; Liz Danforth ;  Mirage
