1 ; Auratouched Mage ; Creature - Human Wizard 3/3 ; 5W ; Uncommon ; Jeff Miracola ;  Ravnica: City of Guilds
18 ; Flickerform ; Enchantment - Aura ; 1W ; Rare ; Ron Spears ;  Ravnica: City of Guilds
19 ; Gate Hound ; Creature - Hound 1/1 ; 2W ; Common ; Ralph Horsley ;  Ravnica: City of Guilds
20 ; Ghosts of the Innocent ; Creature - Spirit 4/5 ; 5WW ; Rare ; Kev Walker ;  Ravnica: City of Guilds
21 ; Hour of Reckoning ; Sorcery ; 4WWW ; Rare ; Randy Gallegos ;  Ravnica: City of Guilds
22 ; Hunted Lammasu ; Creature - Lammasu 5/5 ; 2WW ; Rare ; Mark Zug ;  Ravnica: City of Guilds
23 ; Leave No Trace ; Instant ; 1W ; Common ; Pat Lee ;  Ravnica: City of Guilds
24 ; Light of Sanction ; Enchantment ; 1WW ; Rare ; Michael Phillippi ;  Ravnica: City of Guilds
25 ; Loxodon Gatekeeper ; Creature - Elephant Soldier 2/3 ; 2WW ; Rare ; Carl Critchlow ;  Ravnica: City of Guilds
26 ; Nightguard Patrol ; Creature - Human Soldier 2/1 ; 2W ; Common ; Dany Orizio ;  Ravnica: City of Guilds
27 ; Oathsworn Giant ; Creature - Giant Soldier 3/4 ; 4WW ; Uncommon ; Daren Bader ;  Ravnica: City of Guilds
28 ; Sandsower ; Creature - Spirit 1/3 ; 3W ; Uncommon ; Kev Walker ;  Ravnica: City of Guilds
29 ; Screeching Griffin ; Creature - Griffin 2/2 ; 3W ; Common ; Tim Hildebrandt ;  Ravnica: City of Guilds
30 ; Seed Spark ; Instant ; 3W ; Uncommon ; Jeff Miracola ;  Ravnica: City of Guilds
31 ; Suppression Field ; Enchantment ; 1W ; Uncommon ; John Avon ;  Ravnica: City of Guilds
32 ; Three Dreams ; Sorcery ; 4W ; Rare ; Shishizaru ;  Ravnica: City of Guilds
33 ; Twilight Drover ; Creature - Spirit 1/1 ; 2W ; Rare ; Dave Allsop ;  Ravnica: City of Guilds
34 ; Veteran Armorer ; Creature - Human Soldier 2/2 ; 1W ; Common ; Ralph Horsley ;  Ravnica: City of Guilds
35 ; Votary of the Conclave ; Creature - Human Soldier 1/1 ; W ; Common ; Alan Pollack ;  Ravnica: City of Guilds
36 ; Wojek Apothecary ; Creature - Human Cleric 1/1 ; 2WW ; Uncommon ; Keith Garletts ;  Ravnica: City of Guilds
37 ; Wojek Siren ; Instant ; W ; Common ; Zoltan Boros & Gabor Szikszai ;  Ravnica: City of Guilds
38 ; Belltower Sphinx ; Creature - Sphinx 2/5 ; 4U ; Uncommon ; Jim Nelson ;  Ravnica: City of Guilds
39 ; Cerulean Sphinx ; Creature - Sphinx 5/5 ; 4UU ; Rare ; Jim Murray ;  Ravnica: City of Guilds
40 ; Compulsive Research ; Sorcery ; 2U ; Common ; Michael Sutfin ;  Ravnica: City of Guilds
41 ; Convolute ; Instant ; 2U ; Common ; Dany Orizio ;  Ravnica: City of Guilds
42 ; Copy Enchantment ; Enchantment ; 2U ; Rare ; Joel Thomas ;  Ravnica: City of Guilds
43 ; Dizzy Spell ; Instant ; U ; Common ; Christopher Moeller ;  Ravnica: City of Guilds
44 ; Drake Familiar ; Creature - Drake 2/1 ; 1U ; Common ; Darrell Riche ;  Ravnica: City of Guilds
45 ; Dream Leash ; Enchantment - Aura ; 3UU ; Rare ; Alex Horley-Orlandelli ;  Ravnica: City of Guilds
46 ; Drift of Phantasms ; Creature - Spirit 0/5 ; 2U ; Common ; Michael Phillippi ;  Ravnica: City of Guilds
47 ; Ethereal Usher ; Creature - Spirit 2/3 ; 5U ; Uncommon ; Mark A. Nelson ;  Ravnica: City of Guilds
48 ; Eye of the Storm ; Enchantment ; 5UU ; Rare ; Hideaki Takamura ;  Ravnica: City of Guilds
49 ; Flight of Fancy ; Enchantment - Aura ; 3U ; Common ; Glen Angus ;  Ravnica: City of Guilds
50 ; Flow of Ideas ; Sorcery ; 5U ; Uncommon ; Dan Scott ;  Ravnica: City of Guilds
51 ; Followed Footsteps ; Enchantment - Aura ; 3UU ; Rare ; Glen Angus ;  Ravnica: City of Guilds
52 ; Grayscaled Gharial ; Creature - Crocodile 1/1 ; U ; Common ; Chris Dien ;  Ravnica: City of Guilds
53 ; Grozoth ; Creature - Leviathan 9/9 ; 6UUU ; Rare ; Cyril Van Der Haegen ;  Ravnica: City of Guilds
54 ; Halcyon Glaze ; Enchantment ; 1UU ; Uncommon ; John Avon ;  Ravnica: City of Guilds
55 ; Hunted Phantasm ; Creature - Spirit 4/6 ; 1UU ; Rare ; Justin Sweet ;  Ravnica: City of Guilds
56 ; Induce Paranoia ; Instant ; 2UU ; Common ; Jim Murray ;  Ravnica: City of Guilds
57 ; Lore Broker ; Creature - Human Rogue 1/2 ; 1U ; Uncommon ; Alan Pollack ;  Ravnica: City of Guilds
58 ; Mark of Eviction ; Enchantment - Aura ; U ; Uncommon ; Tsutomu Kawade ;  Ravnica: City of Guilds
59 ; Mnemonic Nexus ; Instant ; 3U ; Uncommon ; Stephen Tappin ;  Ravnica: City of Guilds
60 ; Muddle the Mixture ; Instant ; UU ; Common ; Luca Zontini ;  Ravnica: City of Guilds
61 ; Peel from Reality ; Instant ; 1U ; Common ; Puddnhead ;  Ravnica: City of Guilds
62 ; Quickchange ; Instant ; 1U ; Common ; Christopher Moeller ;  Ravnica: City of Guilds
63 ; Remand ; Instant ; 1U ; Uncommon ; Mark A. Nelson ;  Ravnica: City of Guilds
64 ; Snapping Drake ; Creature - Drake 3/2 ; 3U ; Common ; Dave Dorman ;  Ravnica: City of Guilds
65 ; Spawnbroker ; Creature - Human Wizard 1/1 ; 2U ; Rare ; Wayne England ;  Ravnica: City of Guilds
66 ; Stasis Cell ; Enchantment - Aura ; 4U ; Common ; Mark A. Nelson ;  Ravnica: City of Guilds
67 ; Surveilling Sprite ; Creature - Faerie Rogue 1/1 ; 1U ; Common ; Terese Nielsen ;  Ravnica: City of Guilds
68 ; Tattered Drake ; Creature - Zombie Drake 2/2 ; 4U ; Common ; Glenn Fabry ;  Ravnica: City of Guilds
69 ; Telling Time ; Instant ; 1U ; Uncommon ; Scott M. Fischer ;  Ravnica: City of Guilds
70 ; Terraformer ; Creature - Human Wizard 2/2 ; 2U ; Common ; Luca Zontini ;  Ravnica: City of Guilds
71 ; Tidewater Minion ; Creature - Elemental 4/4 ; 3UU ; Common ; Tomas Giorello ;  Ravnica: City of Guilds
72 ; Tunnel Vision ; Sorcery ; 5U ; Rare ; Dany Orizio ;  Ravnica: City of Guilds
73 ; Vedalken Dismisser ; Creature - Vedalken Wizard 2/2 ; 5U ; Common ; Dan Scott ;  Ravnica: City of Guilds
74 ; Vedalken Entrancer ; Creature - Vedalken Wizard 1/4 ; 3U ; Common ; Dan Scott ;  Ravnica: City of Guilds
75 ; Wizened Snitches ; Creature - Faerie Rogue 1/3 ; 3U ; Uncommon ; Greg Staples ;  Ravnica: City of Guilds
76 ; Zephyr Spirit ; Creature - Spirit 0/6 ; 5U ; Common ; Tomas Giorello ;  Ravnica: City of Guilds
77 ; Blood Funnel ; Enchantment ; 1B ; Rare ; Thomas M. Baxa ;  Ravnica: City of Guilds
78 ; Brainspoil ; Sorcery ; 3BB ; Common ; Tomas Giorello ;  Ravnica: City of Guilds
79 ; Carrion Howler ; Creature - Zombie Wolf 2/2 ; 3B ; Uncommon ; John Zeleznik ;  Ravnica: City of Guilds
80 ; Clinging Darkness ; Enchantment - Aura ; 1B ; Common ; Glen Angus ;  Ravnica: City of Guilds
81 ; Dark Confidant ; Creature - Human Wizard 2/1 ; 1B ; Rare ; Ron Spears ;  Ravnica: City of Guilds
82 ; Darkblast ; Instant ; B ; Uncommon ; Randy Gallegos ;  Ravnica: City of Guilds
83 ; Dimir House Guard ; Creature - Skeleton 2/3 ; 3B ; Common ; John Zeleznik ;  Ravnica: City of Guilds
84 ; Dimir Machinations ; Sorcery ; 2B ; Uncommon ; Greg Staples ;  Ravnica: City of Guilds
85 ; Disembowel ; Instant ; XB ; Common ; Chengo McFlingers ;  Ravnica: City of Guilds
86 ; Empty the Catacombs ; Sorcery ; 3B ; Rare ; Mark A. Nelson ;  Ravnica: City of Guilds
87 ; Golgari Thug ; Creature - Human Warrior 1/1 ; 1B ; Uncommon ; Kev Walker ;  Ravnica: City of Guilds
88 ; Helldozer ; Creature - Zombie Giant 6/5 ; 3BBB ; Rare ; Zoltan Boros & Gabor Szikszai ;  Ravnica: City of Guilds
89 ; Hex ; Sorcery ; 4BB ; Rare ; Michael Sutfin ;  Ravnica: City of Guilds
90 ; Hunted Horror ; Creature - Horror 7/7 ; BB ; Rare ; Paolo Parente ;  Ravnica: City of Guilds
91 ; Infectious Host ; Creature - Zombie 1/1 ; 2B ; Common ; rk post ;  Ravnica: City of Guilds
92 ; Keening Banshee ; Creature - Spirit 2/2 ; 2BB ; Uncommon ; Robert Bliss ;  Ravnica: City of Guilds
93 ; Last Gasp ; Instant ; 1B ; Common ; Thomas M. Baxa ;  Ravnica: City of Guilds
94 ; Mausoleum Turnkey ; Creature - Ogre Rogue 3/2 ; 3B ; Uncommon ; Darrell Riche ;  Ravnica: City of Guilds
95 ; Moonlight Bargain ; Instant ; 3BB ; Rare ; Nick Percival ;  Ravnica: City of Guilds
96 ; Mortipede ; Creature - Insect 4/1 ; 3B ; Common ; Dave Dorman ;  Ravnica: City of Guilds
97 ; Necromantic Thirst ; Enchantment - Aura ; 2BB ; Common ; Brandon Kitkouski ;  Ravnica: City of Guilds
98 ; Necroplasm ; Creature - Ooze 1/1 ; 1BB ; Rare ; rk post ;  Ravnica: City of Guilds
99 ; Netherborn Phalanx ; Creature - Horror 2/4 ; 5B ; Uncommon ; Christopher Rush ;  Ravnica: City of Guilds
100 ; Nightmare Void ; Sorcery ; 3B ; Uncommon ; Chippy ;  Ravnica: City of Guilds
101 ; Ribbons of Night ; Sorcery ; 4B ; Uncommon ; Ron Spears ;  Ravnica: City of Guilds
102 ; Roofstalker Wight ; Creature - Zombie 2/1 ; 1B ; Common ; Puddnhead ;  Ravnica: City of Guilds
103 ; Sadistic Augermage ; Creature - Human Wizard 3/1 ; 2B ; Common ; Nick Percival ;  Ravnica: City of Guilds
104 ; Sewerdreg ; Creature - Spirit 3/3 ; 3BB ; Common ; Joel Thomas ;  Ravnica: City of Guilds
105 ; Shred Memory ; Instant ; 1B ; Common ; Hideaki Takamura ;  Ravnica: City of Guilds
106 ; Sins of the Past ; Sorcery ; 4BB ; Rare ; Jeremy Jarvis ;  Ravnica: City of Guilds
107 ; Stinkweed Imp ; Creature - Imp 1/2 ; 2B ; Common ; Edward P. Beard, Jr. ;  Ravnica: City of Guilds
108 ; Strands of Undeath ; Enchantment - Aura ; 3B ; Common ; Dave Allsop ;  Ravnica: City of Guilds
109 ; Thoughtpicker Witch ; Creature - Human Wizard 1/1 ; B ; Common ; Pete Venters ;  Ravnica: City of Guilds
110 ; Undercity Shade ; Creature - Shade 1/1 ; 4B ; Uncommon ; Dana Knutson ;  Ravnica: City of Guilds
111 ; Vigor Mortis ; Sorcery ; 2BB ; Uncommon ; Dan Scott ;  Ravnica: City of Guilds
112 ; Vindictive Mob ; Creature - Human Berserker 5/5 ; 4BB ; Uncommon ; Wayne Reynolds ;  Ravnica: City of Guilds
113 ; Woebringer Demon ; Creature - Demon 4/4 ; 3BB ; Rare ; Daren Bader ;  Ravnica: City of Guilds
114 ; Barbarian Riftcutter ; Creature - Human Barbarian 3/3 ; 4R ; Common ; Carl Critchlow ;  Ravnica: City of Guilds
115 ; Blockbuster ; Enchantment ; 3RR ; Uncommon ; Dave Dorman ;  Ravnica: City of Guilds
116 ; Breath of Fury ; Enchantment - Aura ; 2RR ; Rare ; Kev Walker ;  Ravnica: City of Guilds
117 ; Char ; Instant ; 2R ; Rare ; Adam Rex ;  Ravnica: City of Guilds
118 ; Cleansing Beam ; Instant ; 4R ; Uncommon ; Pat Lee ;  Ravnica: City of Guilds
119 ; Coalhauler Swine ; Creature - Beast 4/4 ; 4RR ; Common ; Daren Bader ;  Ravnica: City of Guilds
120 ; Dogpile ; Instant ; 3R ; Common ; Jeff Miracola ;  Ravnica: City of Guilds
121 ; Excruciator ; Creature - Avatar 7/7 ; 6RR ; Rare ; Paolo Parente ;  Ravnica: City of Guilds
122 ; Fiery Conclusion ; Instant ; 1R ; Common ; Paolo Parente ;  Ravnica: City of Guilds
123 ; Flame Fusillade ; Sorcery ; 3R ; Rare ; Dany Orizio ;  Ravnica: City of Guilds
124 ; Flash Conscription ; Instant ; 5R ; Uncommon ; Stephen Tappin ;  Ravnica: City of Guilds
125 ; Frenzied Goblin ; Creature - Goblin Berserker 1/1 ; R ; Uncommon ; Carl Critchlow ;  Ravnica: City of Guilds
126 ; Galvanic Arc ; Enchantment - Aura ; 2R ; Common ; Michael Sutfin ;  Ravnica: City of Guilds
127 ; Goblin Fire Fiend ; Creature - Goblin Berserker 1/1 ; 3R ; Common ; Paolo Parente ;  Ravnica: City of Guilds
128 ; Goblin Spelunkers ; Creature - Goblin Warrior 2/2 ; 2R ; Common ; Glenn Fabry ;  Ravnica: City of Guilds
129 ; Greater Forgeling ; Creature - Elemental 3/4 ; 3RR ; Uncommon ; Marcelo Vignali ;  Ravnica: City of Guilds
130 ; Hammerfist Giant ; Creature - Giant Warrior 5/4 ; 4RR ; Rare ; Carl Critchlow ;  Ravnica: City of Guilds
131 ; Hunted Dragon ; Creature - Dragon 6/6 ; 3RR ; Rare ; Mark Zug ;  Ravnica: City of Guilds
132 ; Incite Hysteria ; Sorcery ; 2R ; Common ; Paolo Parente ;  Ravnica: City of Guilds
133 ; Indentured Oaf ; Creature - Ogre Warrior 4/3 ; 3R ; Uncommon ; Glenn Fabry ;  Ravnica: City of Guilds
134 ; Instill Furor ; Enchantment - Aura ; 1R ; Uncommon ; Jim Nelson ;  Ravnica: City of Guilds
135 ; Mindmoil ; Enchantment ; 4R ; Rare ; Alex Horley-Orlandelli ;  Ravnica: City of Guilds
136 ; Molten Sentry ; Creature - Elemental */* ; 3R ; Rare ; Kev Walker ;  Ravnica: City of Guilds
137 ; Ordruun Commando ; Creature - Minotaur Soldier 4/1 ; 3R ; Common ; Stephen Tappin ;  Ravnica: City of Guilds
138 ; Rain of Embers ; Sorcery ; 1R ; Common ; Tsutomu Kawade ;  Ravnica: City of Guilds
139 ; Reroute ; Instant ; 1R ; Uncommon ; Christopher Rush ;  Ravnica: City of Guilds
140 ; Sabertooth Alley Cat ; Creature - Cat 2/1 ; 1RR ; Common ; Carl Critchlow ;  Ravnica: City of Guilds
141 ; Seismic Spike ; Sorcery ; 2RR ; Common ; John Avon ;  Ravnica: City of Guilds
142 ; Sell-Sword Brute ; Creature - Human Mercenary 2/2 ; 1R ; Common ; Jeff Miracola ;  Ravnica: City of Guilds
143 ; Smash ; Instant ; 2R ; Common ; Paolo Parente ;  Ravnica: City of Guilds
144 ; Sparkmage Apprentice ; Creature - Human Wizard 1/1 ; 1R ; Common ; Mark Poole ;  Ravnica: City of Guilds
145 ; Stoneshaker Shaman ; Creature - Human Shaman 1/1 ; 2R ; Uncommon ; Jeff Miracola ;  Ravnica: City of Guilds
146 ; Surge of Zeal ; Instant ; R ; Common ; Justin Sweet ;  Ravnica: City of Guilds
147 ; Torpid Moloch ; Creature - Lizard 3/2 ; R ; Common ; Paolo Parente ;  Ravnica: City of Guilds
148 ; Viashino Fangtail ; Creature - Viashino Warrior 3/3 ; 2RR ; Common ; Alex Horley-Orlandelli ;  Ravnica: City of Guilds
149 ; Viashino Slasher ; Creature - Viashino Warrior 1/2 ; 1R ; Common ; Glenn Fabry ;  Ravnica: City of Guilds
150 ; Warp World ; Sorcery ; 5RRR ; Rare ; Ron Spencer ;  Ravnica: City of Guilds
151 ; War-Torch Goblin ; Creature - Goblin Warrior 1/1 ; R ; Common ; Alex Horley-Orlandelli ;  Ravnica: City of Guilds
152 ; Wojek Embermage ; Creature - Human Wizard 1/2 ; 3R ; Uncommon ; Luca Zontini ;  Ravnica: City of Guilds
153 ; Birds of Paradise ; Creature - Bird 0/1 ; G ; Rare ; Marcelo Vignali ;  Ravnica: City of Guilds
154 ; Bramble Elemental ; Creature - Elemental 4/4 ; 3GG ; Common ; Tomas Giorello ;  Ravnica: City of Guilds
155 ; Carven Caryatid ; Creature - Spirit 2/5 ; 1GG ; Uncommon ; Jim Nelson ;  Ravnica: City of Guilds
156 ; Chord of Calling ; Instant ; XGGG ; Rare ; Heather Hudson ;  Ravnica: City of Guilds
157 ; Civic Wayfinder ; Creature - Elf Warrior Druid 2/2 ; 2G ; Common ; Cyril Van Der Haegen ;  Ravnica: City of Guilds
158 ; Doubling Season ; Enchantment ; 4G ; Rare ; Wayne Reynolds ;  Ravnica: City of Guilds
159 ; Dowsing Shaman ; Creature - Centaur Shaman 3/4 ; 4G ; Uncommon ; Wayne Reynolds ;  Ravnica: City of Guilds
160 ; Dryad's Caress ; Instant ; 4GG ; Common ; Randy Gallegos ;  Ravnica: City of Guilds
161 ; Elves of Deep Shadow ; Creature - Elf Druid 1/1 ; G ; Common ; Justin Sweet ;  Ravnica: City of Guilds
162 ; Elvish Skysweeper ; Creature - Elf Warrior 1/1 ; G ; Common ; Mark Tedin ;  Ravnica: City of Guilds
163 ; Farseek ; Sorcery ; 1G ; Common ; Martina Pilcerova ;  Ravnica: City of Guilds
164 ; Fists of Ironwood ; Enchantment - Aura ; 1G ; Common ; Glen Angus ;  Ravnica: City of Guilds
165 ; Gather Courage ; Instant ; G ; Common ; Brian Despain ;  Ravnica: City of Guilds
166 ; Golgari Brownscale ; Creature - Lizard 2/3 ; 1GG ; Common ; Carl Critchlow ;  Ravnica: City of Guilds
167 ; Golgari Grave-Troll ; Creature - Skeleton Troll 0/0 ; 4G ; Rare ; Greg Hildebrandt ;  Ravnica: City of Guilds
168 ; Goliath Spider ; Creature - Spider 7/6 ; 6GG ; Uncommon ; Alan Pollack ;  Ravnica: City of Guilds
169 ; Greater Mossdog ; Creature - Hound 3/3 ; 3G ; Common ; Chippy ;  Ravnica: City of Guilds
170 ; Hunted Troll ; Creature - Troll Warrior 8/4 ; 2GG ; Rare ; Greg Staples ;  Ravnica: City of Guilds
171 ; Ivy Dancer ; Creature - Dryad Shaman 1/2 ; 2G ; Uncommon ; Terese Nielsen ;  Ravnica: City of Guilds
172 ; Life from the Loam ; Sorcery ; 1G ; Rare ; Terese Nielsen ;  Ravnica: City of Guilds
173 ; Moldervine Cloak ; Enchantment - Aura ; 2G ; Uncommon ; Wayne England ;  Ravnica: City of Guilds
174 ; Nullmage Shepherd ; Creature - Elf Shaman 2/4 ; 3G ; Uncommon ; Stephen Tappin ;  Ravnica: City of Guilds
175 ; Overwhelm ; Sorcery ; 5GG ; Uncommon ; Wayne Reynolds ;  Ravnica: City of Guilds
176 ; Perilous Forays ; Enchantment ; 3GG ; Uncommon ; Chris Dien ;  Ravnica: City of Guilds
177 ; Primordial Sage ; Creature - Spirit 4/5 ; 4GG ; Rare ; Justin Sweet ;  Ravnica: City of Guilds
178 ; Recollect ; Sorcery ; 2G ; Uncommon ; Pete Venters ;  Ravnica: City of Guilds
179 ; Rolling Spoil ; Sorcery ; 2GG ; Uncommon ; Ron Spencer ;  Ravnica: City of Guilds
180 ; Root-Kin Ally ; Creature - Elemental Warrior 3/3 ; 4GG ; Uncommon ; Arnie Swekel ;  Ravnica: City of Guilds
181 ; Scatter the Seeds ; Instant ; 3GG ; Common ; Rob Alexander ;  Ravnica: City of Guilds
182 ; Scion of the Wild ; Creature - Avatar */* ; 1GG ; Rare ; Kev Walker ;  Ravnica: City of Guilds
183 ; Siege Wurm ; Creature - Wurm 5/5 ; 5GG ; Common ; Carl Critchlow ;  Ravnica: City of Guilds
184 ; Stone-Seeder Hierophant ; Creature - Human Druid 1/1 ; 2GG ; Common ; William Simpson ;  Ravnica: City of Guilds
185 ; Sundering Vitae ; Instant ; 2G ; Common ; Shishizaru ;  Ravnica: City of Guilds
186 ; Transluminant ; Creature - Dryad Shaman 2/2 ; 1G ; Common ; Greg Hildebrandt ;  Ravnica: City of Guilds
187 ; Trophy Hunter ; Creature - Human Archer 2/3 ; 2G ; Uncommon ; rk post ;  Ravnica: City of Guilds
188 ; Ursapine ; Creature - Beast 3/3 ; 3GG ; Rare ; Jim Murray ;  Ravnica: City of Guilds
189 ; Vinelasher Kudzu ; Creature - Plant 1/1 ; 1G ; Rare ; Mark Tedin ;  Ravnica: City of Guilds
190 ; Agrus Kos, Wojek Veteran ; Legendary Creature - Human Soldier 3/3 ; 3WR ; Rare ; Donato Giancola ;  Ravnica: City of Guilds
191 ; Autochthon Wurm ; Creature - Wurm 9/14 ; 10WWGGG ; Rare ; Michael Phillippi ;  Ravnica: City of Guilds
192 ; Bloodbond March ; Enchantment ; 2BG ; Rare ; Jim Nelson ;  Ravnica: City of Guilds
193 ; Boros Swiftblade ; Creature - Human Soldier 1/2 ; WR ; Uncommon ; Doug Chaffee ;  Ravnica: City of Guilds
194 ; Brightflame ; Sorcery ; XWWRR ; Rare ; Dave Dorman ;  Ravnica: City of Guilds
195 ; Chorus of the Conclave ; Legendary Creature - Dryad Lord 3/8 ; 4WWGG ; Rare ; Brian Despain ;  Ravnica: City of Guilds
196 ; Circu, Dimir Lobotomist ; Legendary Creature - Human Wizard 2/3 ; 2UB ; Rare ; Cyril Van Der Haegen ;  Ravnica: City of Guilds
197 ; Clutch of the Undercity ; Instant ; 1UUB ; Uncommon ; Pete Venters ;  Ravnica: City of Guilds
198 ; Congregation at Dawn ; Instant ; WGG ; Uncommon ; Randy Gallegos ;  Ravnica: City of Guilds
199 ; Consult the Necrosages ; Sorcery ; 1UB ; Common ; Paolo Parente ;  Ravnica: City of Guilds
200 ; Dark Heart of the Wood ; Enchantment ; BG ; Uncommon ; Mark Tedin ;  Ravnica: City of Guilds
201 ; Dimir Cutpurse ; Creature - Spirit 2/2 ; 1UB ; Rare ; Kev Walker ;  Ravnica: City of Guilds
202 ; Dimir Doppelganger ; Creature - Shapeshifter 0/2 ; 1UB ; Rare ; Jim Murray ;  Ravnica: City of Guilds
203 ; Dimir Infiltrator ; Creature - Spirit 1/3 ; UB ; Common ; Jim Nelson ;  Ravnica: City of Guilds
204 ; Drooling Groodion ; Creature - Beast 4/3 ; 3BBG ; Uncommon ; Kev Walker ;  Ravnica: City of Guilds
205 ; Firemane Angel ; Creature - Angel 4/3 ; 3WWR ; Rare ; Matt Cavotta ;  Ravnica: City of Guilds
206 ; Flame-Kin Zealot ; Creature - Elemental Berserker 2/2 ; 1WRR ; Uncommon ; Arnie Swekel ;  Ravnica: City of Guilds
207 ; Glare of Subdual ; Enchantment ; 2WG ; Rare ; Zoltan Boros & Gabor Szikszai ;  Ravnica: City of Guilds
208 ; Glimpse the Unthinkable ; Sorcery ; UB ; Rare ; Brandon Kitkouski ;  Ravnica: City of Guilds
209 ; Golgari Germination ; Enchantment ; 1BG ; Uncommon ; Thomas M. Baxa ;  Ravnica: City of Guilds
210 ; Golgari Rotwurm ; Creature - Zombie Wurm 5/4 ; 3BG ; Common ; Wayne England ;  Ravnica: City of Guilds
211 ; Grave-Shell Scarab ; Creature - Insect 4/4 ; 2BGG ; Rare ; Pete Venters ;  Ravnica: City of Guilds
212 ; Guardian of Vitu-Ghazi ; Creature - Elemental 4/7 ; 6WG ; Common ; Wayne Reynolds ;  Ravnica: City of Guilds
213 ; Lightning Helix ; Instant ; WR ; Uncommon ; Kev Walker ;  Ravnica: City of Guilds
214 ; Loxodon Hierarch ; Creature - Elephant Cleric 4/4 ; 2WG ; Rare ; Kev Walker ;  Ravnica: City of Guilds
215 ; Mindleech Mass ; Creature - Horror 6/6 ; 5UBB ; Rare ; Kev Walker ;  Ravnica: City of Guilds
216 ; Moroii ; Creature - Vampire 4/4 ; 2UB ; Uncommon ; Dan Scott ;  Ravnica: City of Guilds
217 ; Perplex ; Instant ; 1UB ; Common ; Tsutomu Kawade ;  Ravnica: City of Guilds
218 ; Phytohydra ; Creature - Plant Hydra 1/1 ; 2WWG ; Rare ; Jim Murray ;  Ravnica: City of Guilds
219 ; Pollenbright Wings ; Enchantment - Aura ; 4WG ; Uncommon ; Terese Nielsen ;  Ravnica: City of Guilds
220 ; Psychic Drain ; Sorcery ; XUB ; Uncommon ; Nick Percival ;  Ravnica: City of Guilds
221 ; Putrefy ; Instant ; 1BG ; Uncommon ; Jim Nelson ;  Ravnica: City of Guilds
222 ; Rally the Righteous ; Instant ; 1WR ; Common ; Dan Scott ;  Ravnica: City of Guilds
223 ; Razia, Boros Archangel ; Legendary Creature - Angel 6/3 ; 4WWRR ; Rare ; Donato Giancola ;  Ravnica: City of Guilds
224 ; Razia's Purification ; Sorcery ; 4WR ; Rare ; Shishizaru ;  Ravnica: City of Guilds
225 ; Savra, Queen of the Golgari ; Legendary Creature - Elf Shaman 2/2 ; 2BG ; Rare ; Scott M. Fischer ;  Ravnica: City of Guilds
226 ; Searing Meditation ; Enchantment ; 1WR ; Rare ; Dave Dorman ;  Ravnica: City of Guilds
227 ; Seeds of Strength ; Instant ; WG ; Common ; Ralph Horsley ;  Ravnica: City of Guilds
228 ; Selesnya Evangel ; Creature - Elf Shaman 1/2 ; WG ; Common ; Rob Alexander ;  Ravnica: City of Guilds
229 ; Selesnya Sagittars ; Creature - Elf Archer 2/5 ; 3WG ; Uncommon ; Edward P. Beard, Jr. ;  Ravnica: City of Guilds
230 ; Shambling Shell ; Creature - Plant Zombie 3/1 ; 1BG ; Common ; Joel Thomas ;  Ravnica: City of Guilds
231 ; Sisters of Stone Death ; Legendary Creature - Gorgon 7/5 ; 4BBGG ; Rare ; Donato Giancola ;  Ravnica: City of Guilds
