1 ; Angelic Blessing ; Sorcery ; 2W ; Special ; Mark Zug ;  Starter 2000
14 ; Devout Monk ; Creature - Cleric 1/1 ; W ; Common ; Daniel Gelon ;  Starter 1999
15 ; Eager Cadet ; Creature - Soldier 1/1 ; W ; Special ; Scott M. Fischer ;  Starter 1999
16 ; False Peace ; Sorcery ; W ; Uncommon ; Zina Saunders ;  Starter 1999
17 ; Foot Soldiers ; Creature - Soldier 2/4 ; 3W ; Common ; Kev Walker ;  Starter 1999
18 ; Gerrard's Wisdom ; Sorcery ; 2WW ; Rare ; Heather Hudson ;  Starter 1999
19 ; Knight Errant ; Creature - Knight 2/2 ; 1W ; Common ; Dan Frazier ;  Starter 1999
20 ; Loyal Sentry ; Creature - Soldier 1/1 ; W ; Rare ; Ron Spears ;  Starter 1999
21 ; Path of Peace ; Sorcery ; 3W ; Common ; Val Mayerik ;  Starter 1999
22 ; Righteous Charge ; Sorcery ; 1WW ; Uncommon ; Jeffrey R. Busch ;  Starter 1999
23 ; Righteous Fury ; Sorcery ; 4WW ; Rare ; Edward P. Beard, Jr. ;  Starter 1999
24 ; Royal Falcon ; Creature - Bird 1/1 ; 1W ; Special ; Carl Critchlow ;  Starter 1999
25 ; Royal Trooper ; Creature - Soldier 2/2 ; 2W ; Uncommon ; Scott M. Fischer ;  Starter 1999
26 ; Sacred Nectar ; Sorcery ; 1W ; Common ; Janine Johnston ;  Starter 1999
27 ; Steadfastness ; Sorcery ; 1W ; Common ; Kev Walker ;  Starter 1999
28 ; Venerable Monk ; Creature - Cleric 2/2 ; 2W ; Common ; D. Alexander Gregory ;  Starter 1999
29 ; Vengeance ; Sorcery ; 3W ; Uncommon ; Andrew Robinson ;  Starter 1999
30 ; Veteran Cavalier ; Creature - Knight 2/2 ; WW ; Uncommon ; rk post ;  Starter 1999
31 ; Wild Griffin ; Creature - Griffin 2/2 ; 2W ; Common ; Jeff Miracola ;  Starter 1999
32 ; Air Elemental ; Creature - Elemental 4/4 ; 3UU ; Uncommon ; Doug Chaffee ;  Starter 1999
33 ; Coral Eel ; Creature - Eel 2/1 ; 1U ; Common ; Una Fricker ;  Starter 1999
34 ; Counterspell ; Instant ; UU ; Uncommon ; Hannibal King ;  Starter 1999
35 ; Denizen of the Deep ; Creature - Serpent 11/11 ; 6UU ; Rare ; Anson Maddocks ;  Starter 1999
36 ; Exhaustion ; Sorcery ; 2U ; Uncommon ; Paolo Parente ;  Starter 1999
37 ; Extinguish ; Instant ; 1U ; Common ; Douglas Shuler ;  Starter 1999
38 ; Eye Spy ; Sorcery ; U ; Uncommon ; DiTerlizzi ;  Starter 1999
39 ; Giant Octopus ; Creature - Octopus 3/3 ; 3U ; Common ; John Matson ;  Starter 1999
40 ; Ingenious Thief ; Creature - Thief 1/1 ; 1U ; Common ; Dan Frazier ;  Starter 1999
41 ; Man-o'-War ; Creature - Jellyfish 2/2 ; 2U ; Uncommon ; Una Fricker ;  Starter 1999
42 ; Merfolk of the Pearl Trident ; Creature - Merfolk 1/1 ; U ; Special ; DiTerlizzi ;  Starter 1999
43 ; Owl Familiar ; Creature - Bird 1/1 ; 1U ; Uncommon ; Janine Johnston ;  Starter 1999
44 ; Phantom Warrior ; Creature - Illusion 2/2 ; 1UU ; Rare ; John Matson ;  Starter 1999
45 ; Piracy ; Sorcery ; UU ; Rare ; Bradley Williams ;  Starter 1999
46 ; Psychic Transfer ; Sorcery ; 4U ; Rare ; Dom ;  Starter 1999
47 ; Ransack ; Sorcery ; 3U ; Rare ; Ron Spencer ;  Starter 1999
48 ; Relearn ; Sorcery ; 1UU ; Uncommon ; Zina Saunders ;  Starter 1999
49 ; Remove Soul ; Instant ; 1U ; Common ; Mike Dringenberg ;  Starter 1999
50 ; Sea Eagle ; Creature - Bird 1/1 ; 1U ; Special ; Anthony S. Waters ;  Starter 1999
51 ; Sleight of Hand ; Sorcery ; U ; Common ; Phil Foglio ;  Starter 1999
52 ; Snapping Drake ; Creature - Drake 3/2 ; 3U ; Common ; Christopher Rush ;  Starter 1999
53 ; Storm Crow ; Creature - Bird 1/2 ; 1U ; Common ; Una Fricker ;  Starter 1999
54 ; Tidings ; Sorcery ; 3UU ; Uncommon ; Pete Venters ;  Starter 1999
55 ; Time Ebb ; Sorcery ; 2U ; Common ; Alan Rabinowitz ;  Starter 1999
56 ; Time Warp ; Sorcery ; 3UU ; Rare ; Pete Venters ;  Starter 1999
57 ; Touch of Brilliance ; Sorcery ; 3U ; Common ; Kaja Foglio ;  Starter 1999
58 ; Undo ; Sorcery ; 1UU ; Uncommon ; Terese Nielsen ;  Starter 1999
59 ; Vizzerdrix ; Creature - Beast 6/6 ; 6U ; Rare ; Eric Peterson ;  Starter 1999
60 ; Water Elemental ; Creature - Elemental 5/4 ; 3UU ; Uncommon ; Jeff A. Menges ;  Starter 1999
61 ; Wind Drake ; Creature - Drake 2/2 ; 2U ; Common ; Zina Saunders ;  Starter 1999
62 ; Wind Sail ; Sorcery ; 1U ; Uncommon ; Matt Stawicki ;  Starter 1999
63 ; Abyssal Horror ; Creature - Horror 2/2 ; 4BB ; Rare ; rk post ;  Starter 1999
64 ; Ancient Craving ; Sorcery ; 3B ; Rare ; Rob Alexander ;  Starter 1999
65 ; Bog Imp ; Creature - Imp 1/1 ; 1B ; Common ; Christopher Rush ;  Starter 1999
66 ; Bog Raiders ; Creature - Zombie 2/2 ; 2B ; Common ; Carl Critchlow ;  Starter 1999
67 ; Bog Wraith ; Creature - Wraith 3/3 ; 3B ; Uncommon ; Jeff A. Menges ;  Starter 1999
68 ; Chorus of Woe ; Sorcery ; B ; Common ; Randy Gallegos ;  Starter 1999
69 ; Coercion ; Sorcery ; 2B ; Uncommon ; Jeffrey R. Busch ;  Starter 1999
70 ; Dakmor Ghoul ; Creature - Zombie 2/2 ; 2BB ; Uncommon ; Dana Knutson ;  Starter 1999
71 ; Dakmor Lancer ; Creature - Knight 3/3 ; 4BB ; Rare ; Chippy ;  Starter 1999
72 ; Dakmor Plague ; Sorcery ; 3BB ; Uncommon ; Jeff Miracola ;  Starter 1999
73 ; Dakmor Scorpion ; Creature - Scorpion 2/1 ; 1B ; Common ; Randy Gallegos ;  Starter 1999
74 ; Dakmor Sorceress ; Creature - Wizard */4 ; 5B ; Rare ; Matthew Wilson ;  Starter 1999
75 ; Dark Offering ; Sorcery ; 4BB ; Uncommon ; Edward P. Beard, Jr. ;  Starter 1999
76 ; Dread Reaper ; Creature - Horror 6/5 ; 3BBB ; Rare ; Christopher Rush ;  Starter 1999
77 ; Feral Shadow ; Creature - Night Stalker 2/1 ; 2B ; Common ; Cliff Nielsen ;  Starter 1999
78 ; Gravedigger ; Creature - Zombie 2/2 ; 3B ; Uncommon ; Dermot Power ;  Starter 1999
79 ; Grim Tutor ; Sorcery ; 1BB ; Rare ; Mark Tedin ;  Starter 1999
80 ; Hand of Death ; Sorcery ; 2B ; Common ; Heather Hudson ;  Starter 1999
81 ; Hollow Dogs ; Creature - Hound 3/3 ; 4B ; Common ; Jeff Miracola ;  Starter 1999
82 ; Howling Fury ; Sorcery ; 2B ; Uncommon ; Mike Dringenberg ;  Starter 1999
83 ; Mind Rot ; Sorcery ; 2B ; Common ; Steve Luke ;  Starter 1999
84 ; Muck Rats ; Creature - Rat 1/1 ; B ; Common ; Una Fricker ;  Starter 1999
85 ; Raise Dead ; Sorcery ; B ; Common ; Charles Gillespie ;  Starter 1999
86 ; Ravenous Rats ; Creature - Rat 1/1 ; 1B ; Uncommon ; Carl Critchlow ;  Starter 1999
87 ; Scathe Zombies ; Creature - Zombie 2/2 ; 2B ; Special ; Tom Kyffin ;  Starter 1999
88 ; Serpent Warrior ; Creature - Soldier 3/3 ; 2B ; Common ; Ron Spencer ;  Starter 1999
89 ; Shrieking Specter ; Creature - Specter 2/2 ; 5B ; Uncommon ; rk post ;  Starter 1999
90 ; Soul Feast ; Sorcery ; 3BB ; Uncommon ; Ray Lago ;  Starter 1999
91 ; Stream of Acid ; Sorcery ; 2BB ; Uncommon ; DiTerlizzi ;  Starter 1999
92 ; Wicked Pact ; Sorcery ; 1BB ; Rare ; Adam Rex ;  Starter 1999
93 ; Cinder Storm ; Sorcery ; 6R ; Uncommon ; Mark Tedin ;  Starter 1999
94 ; Devastation ; Sorcery ; 5RR ; Rare ; Steve Luke ;  Starter 1999
95 ; Earth Elemental ; Creature - Elemental 4/5 ; 3RR ; Uncommon ; Dan Frazier ;  Starter 1999
96 ; Fire Elemental ; Creature - Elemental 5/4 ; 3RR ; Uncommon ; Melissa A. Benson ;  Starter 1999
97 ; Fire Tempest ; Sorcery ; 5RR ; Rare ; Mike Dringenberg ;  Starter 1999
98 ; Goblin Cavaliers ; Creature - Goblin 3/2 ; 2R ; Common ; DiTerlizzi ;  Starter 1999
99 ; Goblin Chariot ; Creature - Goblin 2/2 ; 2R ; Common ; Pete Venters ;  Starter 1999
100 ; Goblin Commando ; Creature - Goblin 2/2 ; 4R ; Uncommon ; Todd Lockwood ;  Starter 1999
101 ; Goblin General ; Creature - Goblin 1/1 ; 1RR ; Uncommon ; Keith Parkinson ;  Starter 1999
102 ; Goblin Glider ; Creature - Goblin 1/1 ; 1R ; Uncommon ; Pete Venters ;  Starter 1999
103 ; Goblin Hero ; Creature - Goblin 2/2 ; 2R ; Special ; Pete Venters ;  Starter 1999
104 ; Goblin Lore ; Sorcery ; 1R ; Uncommon ; D. Alexander Gregory ;  Starter 1999
105 ; Goblin Mountaineer ; Creature - Goblin 1/1 ; R ; Common ; DiTerlizzi ;  Starter 1999
106 ; Goblin Settler ; Creature - Goblin 1/1 ; 3R ; Uncommon ; Carl Critchlow ;  Starter 1999
107 ; Hulking Goblin ; Creature - Goblin 2/2 ; 1R ; Common ; Pete Venters ;  Starter 1999
108 ; Hulking Ogre ; Creature - Ogre 3/3 ; 2R ; Uncommon ; Greg & Tim Hildebrandt ;  Starter 1999
109 ; Jagged Lightning ; Sorcery ; 3RR ; Uncommon ; Michael Weaver ;  Starter 1999
110 ; Last Chance ; Sorcery ; RR ; Rare ; Hannibal King ;  Starter 1999
111 ; Lava Axe ; Sorcery ; 4R ; Common ; Brian Snoddy ;  Starter 1999
112 ; Mons's Goblin Raiders ; Creature - Goblin 1/1 ; R ; Special ; Pete Venters ;  Starter 1999
113 ; Ogre Warrior ; Creature - Ogre 3/3 ; 3R ; Common ; Jeff Miracola ;  Starter 1999
114 ; Raging Goblin ; Creature - Goblin 1/1 ; R ; Common ; Jeff Miracola ;  Starter 1999
115 ; Relentless Assault ; Sorcery ; 2RR ; Rare ; G. Darrow and I. Rabarot ;  Starter 1999
116 ; Scorching Spear ; Sorcery ; R ; Common ; Mike Raabe ;  Starter 1999
117 ; Spitting Earth ; Sorcery ; 1R ; Uncommon ; Brian Snoddy ;  Starter 1999
118 ; Stone Rain ; Sorcery ; 2R ; Common ; John Matson ;  Starter 1999
119 ; Thunder Dragon ; Creature - Dragon 5/5 ; 5RR ; Rare ; Dana Knutson ;  Starter 1999
120 ; Trained Orgg ; Creature - Beast 6/6 ; 6R ; Rare ; Eric Peterson ;  Starter 1999
121 ; Tremor ; Sorcery ; R ; Common ; Pete Venters ;  Starter 1999
122 ; Volcanic Dragon ; Creature - Dragon 4/4 ; 4RR ; Rare ; Janine Johnston ;  Starter 1999
123 ; Volcanic Hammer ; Sorcery ; 1R ; Common ; Edward P. Beard, Jr. ;  Starter 1999
124 ; Alluring Scent ; Sorcery ; 1GG ; Rare ; Melissa A. Benson ;  Starter 1999
125 ; Barbtooth Wurm ; Creature - Wurm 6/4 ; 5G ; Common ; Rebecca Guay ;  Starter 1999
126 ; Bull Hippo ; Creature - Hippo 3/3 ; 3G ; Uncommon ; Daren Bader ;  Starter 1999
127 ; Durkwood Boars ; Creature - Boar 4/4 ; 4G ; Common ; Mike Kimble ;  Starter 1999
128 ; Gorilla Warrior ; Creature - Ape 3/2 ; 2G ; Common ; John Matson ;  Starter 1999
129 ; Grizzly Bears ; Creature - Bear 2/2 ; 1G ; Common ; Una Fricker ;  Starter 1999
130 ; Lone Wolf ; Creature - Wolf 2/2 ; 2G ; Common ; Una Fricker ;  Starter 1999
131 ; Lynx ; Creature - Cat 2/1 ; 1G ; Uncommon ; Rebecca Guay ;  Starter 1999
132 ; Monstrous Growth ; Sorcery ; 1G ; Common ; Una Fricker ;  Starter 1999
133 ; Moon Sprite ; Creature - Faerie 1/1 ; 1G ; Uncommon ; Terese Nielsen ;  Starter 1999
134 ; Natural Spring ; Sorcery ; 3GG ; Uncommon ; Jeffrey R. Busch ;  Starter 1999
135 ; Nature's Cloak ; Sorcery ; 2G ; Rare ; Rebecca Guay ;  Starter 1999
136 ; Nature's Lore ; Sorcery ; 1G ; Common ; Alan Rabinowitz ;  Starter 1999
137 ; Norwood Archers ; Creature - Elf 3/3 ; 3G ; Common ; Rebecca Guay ;  Starter 1999
138 ; Norwood Ranger ; Creature - Elf 1/2 ; G ; Common ; Ron Spencer ;  Starter 1999
139 ; Pride of Lions ; Creature - Cat 4/4 ; 3GG ; Uncommon ; Carl Critchlow ;  Starter 1999
140 ; Renewing Touch ; Sorcery ; G ; Uncommon ; Rebecca Guay ;  Starter 1999
141 ; Silverback Ape ; Creature - Ape 5/5 ; 3GG ; Uncommon ; Ron Spears ;  Starter 1999
142 ; Southern Elephant ; Creature - Elephant 3/4 ; 3G ; Common ; Wang Yuqun ;  Starter 1999
143 ; Squall ; Sorcery ; 2G ; Common ; Carl Critchlow ;  Starter 1999
144 ; Summer Bloom ; Sorcery ; 1G ; Rare ; Kaja Foglio ;  Starter 1999
145 ; Sylvan Basilisk ; Creature - Basilisk 2/4 ; 3GG ; Rare ; Ron Spencer ;  Starter 1999
146 ; Sylvan Yeti ; Creature - Elemental */4 ; 2GG ; Rare ; Brom ;  Starter 1999
147 ; Thorn Elemental ; Creature - Elemental 7/7 ; 5GG ; Rare ; rk post ;  Starter 1999
148 ; Untamed Wilds ; Sorcery ; 2G ; Uncommon ; NÈNÈ Thomas ;  Starter 1999
149 ; Whiptail Wurm ; Creature - Wurm 8/5 ; 6G ; Uncommon ; Una Fricker ;  Starter 1999
150 ; Whirlwind ; Sorcery ; 2GG ; Rare ; John Matson ;  Starter 1999
151 ; Wild Ox ; Creature - Ox 3/3 ; 3G ; Uncommon ; Jeffrey R. Busch ;  Starter 1999
152 ; Willow Elf ; Creature - Elf 1/1 ; G ; Special ; DiTerlizzi ;  Starter 1999
153 ; Wood Elves ; Creature - Elf 1/1 ; 2G ; Uncommon ; Rebecca Guay ;  Starter 1999
154 ; Plains ; Land ; ; Land ; Tom W‰nerstrand ;  Starter 1999
155 ; Plains ; Land ; ; Land ; Tom W‰nerstrand ;  Starter 1999
156 ; Plains ; Land ; ; Land ; Douglas Shuler ;  Starter 1999
157 ; Plains ; Land ; ; Land ; Fred Fields ;  Starter 1999
158 ; Island ; Land ; ; Land ; Douglas Shuler ;  Starter 1999
159 ; Island ; Land ; ; Land ; J. W. Frost ;  Starter 1999
160 ; Island ; Land ; ; Land ; John Avon ;  Starter 1999
161 ; Island ; Land ; ; Land ; Eric Peterson ;  Starter 1999
162 ; Swamp ; Land ; ; Land ; Romas ;  Starter 1999
163 ; Swamp ; Land ; ; Land ; Dan Frazier ;  Starter 1999
164 ; Swamp ; Land ; ; Land ; Douglas Shuler ;  Starter 1999
165 ; Swamp ; Land ; ; Land ; Romas ;  Starter 1999
166 ; Mountain ; Land ; ; Land ; John Avon ;  Starter 1999
167 ; Mountain ; Land ; ; Land ; John Avon ;  Starter 1999
168 ; Mountain ; Land ; ; Land ; John Avon ;  Starter 1999
169 ; Mountain ; Land ; ; Land ; Brian Durfee ;  Starter 1999
170 ; Forest ; Land ; ; Land ; Quinton Hoover ;  Starter 1999
171 ; Forest ; Land ; ; Land ; Quinton Hoover ;  Starter 1999
172 ; Forest ; Land ; ; Land ; John Avon ;  Starter 1999
173 ; Forest ; Land ; ; Land ; John Avon ;  Starter 1999
1 ; Alert Shu Infantry ; Creature - Soldiers 2/2 ; 2W ; Uncommon ; Solomon Au Yeung ;  Portal Three Kingdoms
2 ; Eightfold Maze ; Sorcery ; 2W ; Rare ; Shang Huitong ;  Portal Three Kingdoms
3 ; Empty City Ruse ; Sorcery ; W ; Uncommon ; Qu Xin ;  Portal Three Kingdoms
4 ; False Defeat ; Sorcery ; 3W ; Common ; Li Wang ;  Portal Three Kingdoms
5 ; Flanking Troops ; Creature - Soldiers 2/2 ; 2WW ; Uncommon ; Li Wang ;  Portal Three Kingdoms
6 ; Guan Yu, Sainted Warrior ; Creature - Legend 3/5 ; 3WW ; Rare ; Zhao Dafu ;  Portal Three Kingdoms
7 ; Guan Yu's 1,000-Li March ; Sorcery ; 4WW ; Rare ; Yang Guangmai ;  Portal Three Kingdoms
8 ; Huang Zhong, Shu General ; Creature - Legend 2/3 ; 2WW ; Rare ; Quan Xuejun ;  Portal Three Kingdoms
9 ; Kongming, "Sleeping Dragon" ; Creature - Legend 2/2 ; 2WW ; Rare ; Gao Yan ;  Portal Three Kingdoms
10 ; Kongming's Contraptions ; Creature - Soldiers 2/4 ; 3W ; Rare ; Jiaming ;  Portal Three Kingdoms
11 ; Liu Bei, Lord of Shu ; Creature - Legend 2/4 ; 3WW ; Rare ; Zhao Dafu ;  Portal Three Kingdoms
12 ; Loyal Retainers ; Creature - Advisors 1/1 ; 2W ; Uncommon ; Solomon Au Yeung ;  Portal Three Kingdoms
13 ; Misfortune's Gain ; Sorcery ; 3W ; Common ; Jiaming ;  Portal Three Kingdoms
14 ; Pang Tong, "Young Phoenix" ; Creature - Legend 1/2 ; 1WW ; Rare ; Li Tie ;  Portal Three Kingdoms
15 ; Peach Garden Oath ; Sorcery ; W ; Uncommon ; Zhao Dafu ;  Portal Three Kingdoms
16 ; Rally the Troops ; Sorcery ; W ; Uncommon ; Shang Huitong ;  Portal Three Kingdoms
17 ; Ravages of War ; Sorcery ; 3W ; Rare ; Fang Yue ;  Portal Three Kingdoms
18 ; Riding Red Hare ; Sorcery ; 2W ; Common ; Qi Baocheng ;  Portal Three Kingdoms
19 ; Shu Cavalry ; Creature - Soldiers 2/2 ; 2W ; Common ; Li Xiaohua ;  Portal Three Kingdoms
20 ; Shu Defender ; Creature - Soldier 2/2 ; 2W ; Common ; Sun Nan ;  Portal Three Kingdoms
21 ; Shu Elite Companions ; Creature - Soldiers 3/3 ; 4W ; Uncommon ; Zhao Dafu ;  Portal Three Kingdoms
22 ; Shu Elite Infantry ; Creature - Soldiers 3/3 ; 3W ; Common ; Song Shikai ;  Portal Three Kingdoms
23 ; Shu Farmer ; Creature - Farmer 1/1 ; 1W ; Common ; Li Xiaohua ;  Portal Three Kingdoms
24 ; Shu Foot Soldiers ; Creature - Soldiers 2/3 ; 2W ; Common ; Xu Tan ;  Portal Three Kingdoms
25 ; Shu General ; Creature - Soldier 2/2 ; 3W ; Uncommon ; Li Xiaohua ;  Portal Three Kingdoms
26 ; Shu Grain Caravan ; Creature - Soldiers 2/2 ; 2W ; Common ; Li Wang ;  Portal Three Kingdoms
27 ; Shu Soldier-Farmers ; Creature - Soldiers 2/4 ; 4W ; Uncommon ; Li Xiaohua ;  Portal Three Kingdoms
28 ; Vengeance ; Sorcery ; 3W ; Uncommon ; Solomon Au Yeung ;  Portal Three Kingdoms
29 ; Virtuous Charge ; Sorcery ; 2W ; Common ; Qu Xin ;  Portal Three Kingdoms
30 ; Volunteer Militia ; Creature - Soldier 1/2 ; W ; Common ; Lin Yan ;  Portal Three Kingdoms
31 ; Warrior's Stand ; Sorcery ; 1W ; Uncommon ; Zhao Dafu ;  Portal Three Kingdoms
32 ; Zhang Fei, Fierce Warrior ; Creature - Legend 4/4 ; 4WW ; Rare ; Zhao Dafu ;  Portal Three Kingdoms
33 ; Zhao Zilong, Tiger General ; Creature - Legend 3/3 ; 3WW ; Rare ; Quan Xuejun ;  Portal Three Kingdoms
34 ; Balance of Power ; Sorcery ; 3UU ; Rare ; Quan Xuejun ;  Portal Three Kingdoms
35 ; Borrowing 100,000 Arrows ; Sorcery ; 2U ; Uncommon ; Song Shikai ;  Portal Three Kingdoms
36 ; Brilliant Plan ; Sorcery ; 4U ; Uncommon ; Song Shikai ;  Portal Three Kingdoms
37 ; Broken Dam ; Sorcery ; U ; Common ; Jiang Zhuqing ;  Portal Three Kingdoms
38 ; Capture of Jingzhou ; Sorcery ; 3UU ; Rare ; Jack Wei ;  Portal Three Kingdoms
39 ; Champion's Victory ; Sorcery ; U ; Uncommon ; Hong Yan ;  Portal Three Kingdoms
40 ; Council of Advisors ; Creature - Advisors 1/1 ; 2U ; Uncommon ; Liu Shangying ;  Portal Three Kingdoms
41 ; Counterintelligence ; Sorcery ; 2UU ; Uncommon ; Wang Feng ;  Portal Three Kingdoms
42 ; Exhaustion ; Sorcery ; 2U ; Rare ; Qu Xin ;  Portal Three Kingdoms
43 ; Extinguish ; Sorcery ; 1U ; Common ; Ding Songjian ;  Portal Three Kingdoms
44 ; Forced Retreat ; Sorcery ; 2U ; Common ; Huang Qishi ;  Portal Three Kingdoms
45 ; Lady Sun ; Creature - Legend 1/1 ; 1UU ; Rare ; Miao Aili ;  Portal Three Kingdoms
46 ; Lu Meng, Wu General ; Creature - Legend 4/4 ; 3UU ; Rare ; Gao Yan ;  Portal Three Kingdoms
47 ; Lu Su, Wu Advisor ; Creature - Legend 1/2 ; 3UU ; Rare ; Zhao Tan ;  Portal Three Kingdoms
48 ; Lu Xun, Scholar General ; Creature - Legend 1/3 ; 2UU ; Rare ; Xu Xiaoming ;  Portal Three Kingdoms
49 ; Mystic Denial ; Sorcery ; 1UU ; Uncommon ; Kang Yu ;  Portal Three Kingdoms
50 ; Preemptive Strike ; Sorcery ; 1U ; Common ; Jiaming ;  Portal Three Kingdoms
51 ; Red Cliffs Armada ; Creature - Ships 5/4 ; 4U ; Uncommon ; Zhang Jiazhen ;  Portal Three Kingdoms
52 ; Sage's Knowledge ; Sorcery ; 2U ; Common ; Ding Songjian ;  Portal Three Kingdoms
53 ; Strategic Planning ; Sorcery ; 1U ; Uncommon ; Zhang Jiazhen ;  Portal Three Kingdoms
54 ; Straw Soldiers ; Creature - Soldiers 1/3 ; 1U ; Common ; Cai Tingting ;  Portal Three Kingdoms
55 ; Sun Ce, Young Conquerer ; Creature - Legend 3/3 ; 3UU ; Rare ; Yang Guangmai ;  Portal Three Kingdoms
56 ; Sun Quan, Lord of Wu ; Creature - Legend 4/4 ; 4UU ; Rare ; Xu Xiaoming ;  Portal Three Kingdoms
57 ; Wu Admiral ; Creature - Soldier 3/3 ; 4U ; Uncommon ; Zhang Jiazhen ;  Portal Three Kingdoms
58 ; Wu Elite Cavalry ; Creature - Soldiers 2/3 ; 3U ; Common ; Li Wang ;  Portal Three Kingdoms
59 ; Wu Infantry ; Creature - Soldiers 2/1 ; 1U ; Common ; Xu Xiaoming ;  Portal Three Kingdoms
60 ; Wu Light Cavalry ; Creature - Soldiers 1/2 ; 1U ; Common ; Huang Qishi ;  Portal Three Kingdoms
61 ; Wu Longbowman ; Creature - Soldier 1/1 ; 2U ; Uncommon ; Xu Tan ;  Portal Three Kingdoms
62 ; Wu Scout ; Creature - Soldier 1/1 ; 1U ; Common ; Jiaming ;  Portal Three Kingdoms
63 ; Wu Spy ; Creature - Soldier 1/1 ; 1U ; Uncommon ; Zhao Tan ;  Portal Three Kingdoms
64 ; Wu Warship ; Creature - Ship 3/3 ; 2U ; Common ; Jiang Zhuqing ;  Portal Three Kingdoms
65 ; Zhou Yu, Chief Commander ; Creature - Legend 8/8 ; 5UU ; Rare ; Xu Xiaoming ;  Portal Three Kingdoms
66 ; Zhuge Jin, Wu Strategist ; Creature - Legend 1/1 ; 1UU ; Rare ; Song Shikai ;  Portal Three Kingdoms
67 ; Ambition's Cost ; Sorcery ; 3B ; Rare ; Junko Taguchi ;  Portal Three Kingdoms
68 ; Cao Cao, Lord of Wei ; Creature - Legend 3/3 ; 3BB ; Rare ; Gao Jianzhang ;  Portal Three Kingdoms
69 ; Cao Ren, Wei Commander ; Creature - Legend 3/3 ; 2BB ; Rare ; Junko Taguchi ;  Portal Three Kingdoms
70 ; Coercion ; Sorcery ; 2B ; Uncommon ; Kang Yu ;  Portal Three Kingdoms
71 ; Corrupt Court Official ; Creature - Advisor 1/1 ; 1B ; Uncommon ; Li Yousong ;  Portal Three Kingdoms
